1'莱万特开球！比赛开始                   1'莱万特第1分钟就向对手施压，西班牙人收缩防守应对
75'哈维洛佩斯得球起高球传中！球被顶出了外围                   72'莱万特第72分钟再次扳平，马约拉尔脚后跟传球，罗奇纳禁区弧内射入上角，2-2
87'现在纳德尔后场中路得球！转移左侧佩德罗萨！继续挑传前场                   87'第87分钟，哈维-洛佩斯传球，埃尔南-佩雷斯禁区右侧射门击中近角立柱
87'球被顶出去了~                   87'第87分钟，哈维-洛佩斯传球，埃尔南-佩雷斯禁区右侧射门击中近角立柱
87'佩德罗萨大脚开球出去！梅伦多禁区直接爆射！球弹出去了                   87'第87分钟，哈维-洛佩斯传球，埃尔南-佩雷斯禁区右侧射门击中近角立柱
88'莱万特得球反击！起高球传中！球被佩德罗萨顶出了外围                   87'第87分钟，哈维-洛佩斯传球，埃尔南-佩雷斯禁区右侧射门击中近角立柱
88'外围莱万特球权！拼抢中出了边线                   87'第87分钟，哈维-洛佩斯传球，埃尔南-佩雷斯禁区右侧射门击中近角立柱
89'埃尔莫索得球转移前场左侧佩德罗萨！                   87'第87分钟，哈维-洛佩斯传球，埃尔南-佩雷斯禁区右侧射门击中近角立柱
89'加西亚得球被推倒了                   87'第87分钟，哈维-洛佩斯传球，埃尔南-佩雷斯禁区右侧射门击中近角立柱
89'任意球开出！艾托尔大脚开球前场右侧！                   87'第87分钟，哈维-洛佩斯传球，埃尔南-佩雷斯禁区右侧射门击中近角立柱
89'佩德罗洛佩斯得球转移中路坎帕尼亚！！！继续分左侧！球出界了                   87'第87分钟，哈维-洛佩斯传球，埃尔南-佩雷斯禁区右侧射门击中近角立柱
90'西班牙人边线球掷出！洛佩斯半高球传中！球被解围了                   87'第87分钟，哈维-洛佩斯传球，埃尔南-佩雷斯禁区右侧射门击中近角立柱
90'现在中圈罗卡得球分左侧！阿莱克斯直塞球往前给！球被断了                   87'第87分钟，哈维-洛佩斯传球，埃尔南-佩雷斯禁区右侧射门击中近角立柱
