1'上半场比赛开始                   1'第1分钟，托利索接到J罗回传，在门前25米处抽射掠过横梁
46'哈克后场出球，被瓦格纳碰出边线                   44'第44分钟，托利索左路斜传，J罗后点距门6米处胸部停球左脚凌空抽射入近角，2比0
47'迪亚洛左路连续突破                   44'第44分钟，托利索左路斜传，J罗后点距门6米处胸部停球左脚凌空抽射入近角，2比0
47'球被破坏，拜仁反击                   44'第44分钟，托利索左路斜传，J罗后点距门6米处胸部停球左脚凌空抽射入近角，2比0
47'里贝里走左路，速度没起来                   44'第44分钟，托利索左路斜传，J罗后点距门6米处胸部停球左脚凌空抽射入近角，2比0
52'J罗打门被扑出                   52'乌尔赖希第52分钟做出神奇扑救，多纳蒂禁区右侧回传，奎松在门前10米处推射被乌尔赖希托出横梁
52'瓦格纳补射没打上                   52'乌尔赖希第52分钟做出神奇扑救，多纳蒂禁区右侧回传，奎松在门前10米处推射被乌尔赖希托出横梁
52'门将把球摁在身下                   52'乌尔赖希第52分钟做出神奇扑救，多纳蒂禁区右侧回传，奎松在门前10米处推射被乌尔赖希托出横梁
52'夸森拿球分右路                   52'乌尔赖希第52分钟做出神奇扑救，多纳蒂禁区右侧回传，奎松在门前10米处推射被乌尔赖希托出横梁
53'多纳蒂上来，倒三角                   52'乌尔赖希第52分钟做出神奇扑救，多纳蒂禁区右侧回传，奎松在门前10米处推射被乌尔赖希托出横梁
53'夸森打门被乌尔赖希扑出，角球                   52'乌尔赖希第52分钟做出神奇扑救，多纳蒂禁区右侧回传，奎松在门前10米处推射被乌尔赖希托出横梁
53'角球开后点，头球点下来                   52'乌尔赖希第52分钟做出神奇扑救，多纳蒂禁区右侧回传，奎松在门前10米处推射被乌尔赖希托出横梁
53'胡梅尔斯二点球解围                   52'乌尔赖希第52分钟做出神奇扑救，多纳蒂禁区右侧回传，奎松在门前10米处推射被乌尔赖希托出横梁
53'反击，多打少                   52'乌尔赖希第52分钟做出神奇扑救，多纳蒂禁区右侧回传，奎松在门前10米处推射被乌尔赖希托出横梁
53'里贝里带球进禁区，趟过门将                   52'乌尔赖希第52分钟做出神奇扑救，多纳蒂禁区右侧回传，奎松在门前10米处推射被乌尔赖希托出横梁
53'角度太小了，没能追上                   52'乌尔赖希第52分钟做出神奇扑救，多纳蒂禁区右侧回传，奎松在门前10米处推射被乌尔赖希托出横梁
55'J罗分左路，贝尔纳特，小范围配合                   52'乌尔赖希第52分钟做出神奇扑救，多纳蒂禁区右侧回传，奎松在门前10米处推射被乌尔赖希托出横梁
55'球被破坏，美因茨转移出去                   52'乌尔赖希第52分钟做出神奇扑救，多纳蒂禁区右侧回传，奎松在门前10米处推射被乌尔赖希托出横梁
55'拉萨中场拼抢犯规                   52'乌尔赖希第52分钟做出神奇扑救，多纳蒂禁区右侧回传，奎松在门前10米处推射被乌尔赖希托出横梁
70'拜仁换人，阿拉巴换下鲁迪                   70'穆勒第70分钟错过必进球，他接应托利索右肋直塞，反越位单挑出击的门将岑特纳，在门前10米处捅射滑出远门柱
70'穆勒反越位进禁区                   70'穆勒第70分钟错过必进球，他接应托利索右肋直塞，反越位单挑出击的门将岑特纳，在门前10米处捅射滑出远门柱
70'单刀了，低射打偏了                   70'穆勒第70分钟错过必进球，他接应托利索右肋直塞，反越位单挑出击的门将岑特纳，在门前10米处捅射滑出远门柱
71'打门还是犹豫了                   70'穆勒第70分钟错过必进球，他接应托利索右肋直塞，反越位单挑出击的门将岑特纳，在门前10米处捅射滑出远门柱
71'霍尔特曼左路拿球送入禁区                   70'穆勒第70分钟错过必进球，他接应托利索右肋直塞，反越位单挑出击的门将岑特纳，在门前10米处捅射滑出远门柱
71'球被门将没收                   70'穆勒第70分钟错过必进球，他接应托利索右肋直塞，反越位单挑出击的门将岑特纳，在门前10米处捅射滑出远门柱
72'莱万右路策应，拿到一个任意球                   70'穆勒第70分钟错过必进球，他接应托利索右肋直塞，反越位单挑出击的门将岑特纳，在门前10米处捅射滑出远门柱
72'任意球吊后点，拉萨解围，角球                   70'穆勒第70分钟错过必进球，他接应托利索右肋直塞，反越位单挑出击的门将岑特纳，在门前10米处捅射滑出远门柱
73'美因茨换人，霍尔特曼被贝尔格伦换下                   70'穆勒第70分钟错过必进球，他接应托利索右肋直塞，反越位单挑出击的门将岑特纳，在门前10米处捅射滑出远门柱
