1'上半场比赛开始了，利物浦开球                   1'埃姆雷-詹开场不到1分钟的外围射门被里科救下
23'转身输送，交给马内，加速带过中场                   21'利物浦第21分钟扳平，莫雷诺同亨德森踢墙配合后突入禁区左侧传中，里科前点拦截落空，菲尔米诺近距离垫射入网，1-1
23'禁区左侧再分前插的詹                   21'利物浦第21分钟扳平，莫雷诺同亨德森踢墙配合后突入禁区左侧传中，里科前点拦截落空，菲尔米诺近距离垫射入网，1-1
23'詹左侧形成半单刀的机会，面对出击的里科，推射远角                   21'利物浦第21分钟扳平，莫雷诺同亨德森踢墙配合后突入禁区左侧传中，里科前点拦截落空，菲尔米诺近距离垫射入网，1-1
24'球直奔大门，，最后是贴着门柱出去了                   21'利物浦第21分钟扳平，莫雷诺同亨德森踢墙配合后突入禁区左侧传中，里科前点拦截落空，菲尔米诺近距离垫射入网，1-1
24'利物浦浪费了一次很好的反击啊                   21'利物浦第21分钟扳平，莫雷诺同亨德森踢墙配合后突入禁区左侧传中，里科前点拦截落空，菲尔米诺近距离垫射入网，1-1
24'渣叔也是气的捶胸顿足                   21'利物浦第21分钟扳平，莫雷诺同亨德森踢墙配合后突入禁区左侧传中，里科前点拦截落空，菲尔米诺近距离垫射入网，1-1
24'里科大脚开起来                   21'利物浦第21分钟扳平，莫雷诺同亨德森踢墙配合后突入禁区左侧传中，里科前点拦截落空，菲尔米诺近距离垫射入网，1-1
24'恩宗齐后场给到克亚尔，在给巴内加                   21'利物浦第21分钟扳平，莫雷诺同亨德森踢墙配合后突入禁区左侧传中，里科前点拦截落空，菲尔米诺近距离垫射入网，1-1
24'身前给到皮萨罗，左侧给恩宗齐，回敲巴内加                   21'利物浦第21分钟扳平，莫雷诺同亨德森踢墙配合后突入禁区左侧传中，里科前点拦截落空，菲尔米诺近距离垫射入网，1-1
37'球又是回到萨拉赫脚下，萨拉赫禁区前沿直接远射，球是打在后卫腿上，折射入网                   37'利物浦第37分钟反超比分，萨拉赫前场抢断恩宗齐后25码处劲射，皮球打中克亚尔偏转吊入大门，2-1
37'萨拉赫的进球反超了比分                   37'利物浦第37分钟反超比分，萨拉赫前场抢断恩宗齐后25码处劲射，皮球打中克亚尔偏转吊入大门，2-1
37'刚说场面趋于平静，就有进球了，啪啪打脸啊                   37'利物浦第37分钟反超比分，萨拉赫前场抢断恩宗齐后25码处劲射，皮球打中克亚尔偏转吊入大门，2-1
38'萨拉赫右侧的横敲，禁区内马内包抄被对方先捅出，禁区前沿恩宗齐拿球被萨拉赫反抢下来，萨拉赫转身就射，折射入网                   37'利物浦第37分钟反超比分，萨拉赫前场抢断恩宗齐后25码处劲射，皮球打中克亚尔偏转吊入大门，2-1
38'这球是打在克亚尔腿上变向入网的                   37'利物浦第37分钟反超比分，萨拉赫前场抢断恩宗齐后25码处劲射，皮球打中克亚尔偏转吊入大门，2-1
39'这球塞维利亚球员在投诉萨拉赫的抢断有犯规，但是裁判没有理会                   37'利物浦第37分钟反超比分，萨拉赫前场抢断恩宗齐后25码处劲射，皮球打中克亚尔偏转吊入大门，2-1
39'恩宗齐中场拿球，左侧分埃斯库德罗                   37'利物浦第37分钟反超比分，萨拉赫前场抢断恩宗齐后25码处劲射，皮球打中克亚尔偏转吊入大门，2-1
39'推进到前场，直塞被洛夫伦拦截                   37'利物浦第37分钟反超比分，萨拉赫前场抢断恩宗齐后25码处劲射，皮球打中克亚尔偏转吊入大门，2-1
39'回敲卡里乌斯，大脚开起来                   37'利物浦第37分钟反超比分，萨拉赫前场抢断恩宗齐后25码处劲射，皮球打中克亚尔偏转吊入大门，2-1
39'前场中路菲尔米诺拿球，再分右侧戈麦斯                   37'利物浦第37分钟反超比分，萨拉赫前场抢断恩宗齐后25码处劲射，皮球打中克亚尔偏转吊入大门，2-1
39'大范围转移，左侧拼抢，莫雷诺动作过大，干翻了纳瓦斯                   37'利物浦第37分钟反超比分，萨拉赫前场抢断恩宗齐后25码处劲射，皮球打中克亚尔偏转吊入大门，2-1
40'莫雷诺黄牌一张，自然逃不过                   37'利物浦第37分钟反超比分，萨拉赫前场抢断恩宗齐后25码处劲射，皮球打中克亚尔偏转吊入大门，2-1
40'塞维利亚右侧定位球，右侧给恩宗齐                   37'利物浦第37分钟反超比分，萨拉赫前场抢断恩宗齐后25码处劲射，皮球打中克亚尔偏转吊入大门，2-1
40'传中被莫雷诺解围                   37'利物浦第37分钟反超比分，萨拉赫前场抢断恩宗齐后25码处劲射，皮球打中克亚尔偏转吊入大门，2-1
40'克亚尔边路争抢顶出边线                   37'利物浦第37分钟反超比分，萨拉赫前场抢断恩宗齐后25码处劲射，皮球打中克亚尔偏转吊入大门，2-1
40'左侧马内拿球，向前传球出了边线                   37'利物浦第37分钟反超比分，萨拉赫前场抢断恩宗齐后25码处劲射，皮球打中克亚尔偏转吊入大门，2-1
60'突破内切，闪出角度，右脚射门偏出                   60'第60分钟，贝里佐场边接到皮球后再次扔开，这次他被裁判直接请出赛场
60'里科大脚开起来                   60'第60分钟，贝里佐场边接到皮球后再次扔开，这次他被裁判直接请出赛场
60'直接送出了边线                   60'第60分钟，贝里佐场边接到皮球后再次扔开，这次他被裁判直接请出赛场
60'利物浦想快发界外球，但是贝里佐上前干扰，把球扔到一边                   60'第60分钟，贝里佐场边接到皮球后再次扔开，这次他被裁判直接请出赛场
60'这已经是今天贝里佐第二次这样了                   60'第60分钟，贝里佐场边接到皮球后再次扔开，这次他被裁判直接请出赛场
61'主裁过来直接把贝里佐罚向了看台                   60'第60分钟，贝里佐场边接到皮球后再次扔开，这次他被裁判直接请出赛场
61'利物浦左侧进攻过来                   60'第60分钟，贝里佐场边接到皮球后再次扔开，这次他被裁判直接请出赛场
61'莫雷诺拿球，中路交给亨德森，被克亚尔顶出                   60'第60分钟，贝里佐场边接到皮球后再次扔开，这次他被裁判直接请出赛场
61'弹到外围，萨拉赫不停球，直接爆杆                   60'第60分钟，贝里佐场边接到皮球后再次扔开，这次他被裁判直接请出赛场
62'球是贴地箭，蹦蹦跳跳，门前里科倒地扑出                   60'第60分钟，贝里佐场边接到皮球后再次扔开，这次他被裁判直接请出赛场
62'右侧利物浦角球打一个战术                   60'第60分钟，贝里佐场边接到皮球后再次扔开，这次他被裁判直接请出赛场
62'给到萨拉赫，右侧再起来                   60'第60分钟，贝里佐场边接到皮球后再次扔开，这次他被裁判直接请出赛场
62'禁区内被解围，右侧埃斯库德罗拿球                   60'第60分钟，贝里佐场边接到皮球后再次扔开，这次他被裁判直接请出赛场
62'在给恩宗齐，身前给到梅尔卡多，起球                   60'第60分钟，贝里佐场边接到皮球后再次扔开，这次他被裁判直接请出赛场
62'前场萨拉布里亚拿球被詹断下                   60'第60分钟，贝里佐场边接到皮球后再次扔开，这次他被裁判直接请出赛场
63'转身的解围，帕雷哈后场控制                   60'第60分钟，贝里佐场边接到皮球后再次扔开，这次他被裁判直接请出赛场
63'帕雷哈也是一记长传                   60'第60分钟，贝里佐场边接到皮球后再次扔开，这次他被裁判直接请出赛场
63'前场右侧纳瓦斯拿球，传中到门前被卡里乌斯没收                   60'第60分钟，贝里佐场边接到皮球后再次扔开，这次他被裁判直接请出赛场
63'卡里乌斯手抛给到菲尔米诺                   60'第60分钟，贝里佐场边接到皮球后再次扔开，这次他被裁判直接请出赛场
63'加速带过中场，弧顶附近，菲尔米诺直接起右脚射门，偏出                   60'第60分钟，贝里佐场边接到皮球后再次扔开，这次他被裁判直接请出赛场
63'里科大脚开起来                   60'第60分钟，贝里佐场边接到皮球后再次扔开，这次他被裁判直接请出赛场
72'后场洛夫伦拿球，斜传右路                   72'塞维利亚第72分钟扳平，替补出场的穆里尔传球，科雷亚停球欠佳后12码处抢在卡里乌斯封堵前推射入网，2-2
72'戈麦斯中路在给菲尔米诺，被断                   72'塞维利亚第72分钟扳平，替补出场的穆里尔传球，科雷亚停球欠佳后12码处抢在卡里乌斯封堵前推射入网，2-2
72'恩宗齐断下来，长传向前                   72'塞维利亚第72分钟扳平，替补出场的穆里尔传球，科雷亚停球欠佳后12码处抢在卡里乌斯封堵前推射入网，2-2
72'中路萨拉布里亚拿球，莫雷诺身后犯规                   72'塞维利亚第72分钟扳平，替补出场的穆里尔传球，科雷亚停球欠佳后12码处抢在卡里乌斯封堵前推射入网，2-2
72'前场定位球，右侧给到穆里尔，传中被莫雷诺挡出                   72'塞维利亚第72分钟扳平，替补出场的穆里尔传球，科雷亚停球欠佳后12码处抢在卡里乌斯封堵前推射入网，2-2
72'外围争顶，恩宗齐拿到，在给克亚尔                   72'塞维利亚第72分钟扳平，替补出场的穆里尔传球，科雷亚停球欠佳后12码处抢在卡里乌斯封堵前推射入网，2-2
73'右侧给巴内加，在给恩宗齐，交给萨拉布里亚                   72'塞维利亚第72分钟扳平，替补出场的穆里尔传球，科雷亚停球欠佳后12码处抢在卡里乌斯封堵前推射入网，2-2
73'斜传被戈麦斯挡出                   72'塞维利亚第72分钟扳平，替补出场的穆里尔传球，科雷亚停球欠佳后12码处抢在卡里乌斯封堵前推射入网，2-2
73'塞维利亚界外球快发，中路给穆里尔                   72'塞维利亚第72分钟扳平，替补出场的穆里尔传球，科雷亚停球欠佳后12码处抢在卡里乌斯封堵前推射入网，2-2
73'低球直塞，禁区内科雷亚前插                   72'塞维利亚第72分钟扳平，替补出场的穆里尔传球，科雷亚停球欠佳后12码处抢在卡里乌斯封堵前推射入网，2-2
73'机会来了，面对出击的门将，科雷亚搓射，挑入大门                   72'塞维利亚第72分钟扳平，替补出场的穆里尔传球，科雷亚停球欠佳后12码处抢在卡里乌斯封堵前推射入网，2-2
73'科雷亚的进球，扳平了比分                   72'塞维利亚第72分钟扳平，替补出场的穆里尔传球，科雷亚停球欠佳后12码处抢在卡里乌斯封堵前推射入网，2-2
74'替补上来的穆里尔拿球突进，一脚直塞给到点球点附近，科雷亚面对门将冷静的破网                   72'塞维利亚第72分钟扳平，替补出场的穆里尔传球，科雷亚停球欠佳后12码处抢在卡里乌斯封堵前推射入网，2-2
74'这边库鸟终于要上了，主场渣叔肯定是要拿3分的                   72'塞维利亚第72分钟扳平，替补出场的穆里尔传球，科雷亚停球欠佳后12码处抢在卡里乌斯封堵前推射入网，2-2
74'利物浦前场左侧拿到定位球                   72'塞维利亚第72分钟扳平，替补出场的穆里尔传球，科雷亚停球欠佳后12码处抢在卡里乌斯封堵前推射入网，2-2
74'开起来到禁区边缘，菲尔米诺拿住                   72'塞维利亚第72分钟扳平，替补出场的穆里尔传球，科雷亚停球欠佳后12码处抢在卡里乌斯封堵前推射入网，2-2
74'强行的起球传中，被挡出                   72'塞维利亚第72分钟扳平，替补出场的穆里尔传球，科雷亚停球欠佳后12码处抢在卡里乌斯封堵前推射入网，2-2
75'外围禁区右侧马蒂普拿球，横敲                   72'塞维利亚第72分钟扳平，替补出场的穆里尔传球，科雷亚停球欠佳后12码处抢在卡里乌斯封堵前推射入网，2-2
75'詹左侧再起，被里科没收                   72'塞维利亚第72分钟扳平，替补出场的穆里尔传球，科雷亚停球欠佳后12码处抢在卡里乌斯封堵前推射入网，2-2
75'里科交给萨拉布里亚，转身带球，在斜传                   72'塞维利亚第72分钟扳平，替补出场的穆里尔传球，科雷亚停球欠佳后12码处抢在卡里乌斯封堵前推射入网，2-2
75'巴内加回撤拿球，右侧在给前插的梅尔卡多                   72'塞维利亚第72分钟扳平，替补出场的穆里尔传球，科雷亚停球欠佳后12码处抢在卡里乌斯封堵前推射入网，2-2
75'中路萨拉布里亚拿球，长传被戈麦斯顶出                   72'塞维利亚第72分钟扳平，替补出场的穆里尔传球，科雷亚停球欠佳后12码处抢在卡里乌斯封堵前推射入网，2-2
75'边路争抢，克亚尔铲出界外                   72'塞维利亚第72分钟扳平，替补出场的穆里尔传球，科雷亚停球欠佳后12码处抢在卡里乌斯封堵前推射入网，2-2
93'禁区内打到后点，维纳尔杜姆，头球攻门                   93'第93分钟，帕雷霍长传，穆里尔禁区边缘单刀射门偏出
93'力量不够，门前里科把球没收                   93'第93分钟，帕雷霍长传，穆里尔禁区边缘单刀射门偏出
93'里科大脚开起来                   93'第93分钟，帕雷霍长传，穆里尔禁区边缘单刀射门偏出
93'中圈附近帕雷哈送出一脚长传                   93'第93分钟，帕雷霍长传，穆里尔禁区边缘单刀射门偏出
93'前面穆里尔转身，反越位成功                   93'第93分钟，帕雷霍长传，穆里尔禁区边缘单刀射门偏出
93'利物浦防线失误啊，给了穆里尔单刀机会                   93'第93分钟，帕雷霍长传，穆里尔禁区边缘单刀射门偏出
94'穆里尔杀入禁区，面对出击的门将，停顿一下，推射近角                   93'第93分钟，帕雷霍长传，穆里尔禁区边缘单刀射门偏出
94'哇塞，稍稍偏出立柱，险些截杀                   93'第93分钟，帕雷霍长传，穆里尔禁区边缘单刀射门偏出
94'险些绝杀                   93'第93分钟，帕雷霍长传，穆里尔禁区边缘单刀射门偏出
94'这球戈麦斯责任很大啊                   93'第93分钟，帕雷霍长传，穆里尔禁区边缘单刀射门偏出
94'利物浦后场门球开出                   93'第93分钟，帕雷霍长传，穆里尔禁区边缘单刀射门偏出
94'戈麦斯拼抢中有犯规                   93'第93分钟，帕雷霍长传，穆里尔禁区边缘单刀射门偏出
95'吃到黄牌，两黄变一红，戈麦斯最后时刻被罚下                   93'第93分钟，帕雷霍长传，穆里尔禁区边缘单刀射门偏出
95'巴内加长传向前到左侧                   93'第93分钟，帕雷霍长传，穆里尔禁区边缘单刀射门偏出
95'穆里尔和马蒂普争抢，出了边线                   93'第93分钟，帕雷霍长传，穆里尔禁区边缘单刀射门偏出
