2'埃弗顿前场再攻，右路传中，被科斯切尔尼解围出底线                   2'开场仅2分钟，克莱维利开出角球，科尔曼前点抢在维尔贝克之前射门擦柱偏出
53'贝莱林右路拿球，强突传中到禁区                   51'第51分钟，斯通斯失误丢球，但他奋力回追在小禁区前抢断维尔贝克
53'斯通抢先将球解围出禁区                   51'第51分钟，斯通斯失误丢球，但他奋力回追在小禁区前抢断维尔贝克
53'科奎林中路上来，抢到第二落点，禁区外的远射，打飞！！                   51'第51分钟，斯通斯失误丢球，但他奋力回追在小禁区前抢断维尔贝克
54'桑切斯右路拿球，强突被贾吉尔卡卡位                   51'第51分钟，斯通斯失误丢球，但他奋力回追在小禁区前抢断维尔贝克
54'桑切斯趟球趟出了边线！！                   51'第51分钟，斯通斯失误丢球，但他奋力回追在小禁区前抢断维尔贝克
54'科尔曼右路拿球，面对阿森纳三人围抢                   51'第51分钟，斯通斯失误丢球，但他奋力回追在小禁区前抢断维尔贝克
65'科尔曼右路拿球，横切，一直到了左路，给到拜恩斯                   65'第65分钟，列农快发任意球，科尔曼禁区右侧传中，奥斯皮纳出击拦截皮球被试图抢点的卢卡库撞伤，球员和裁判紧急招呼队医入场，马特-梅西在场边热身，奥斯皮纳在接受治疗后继续比赛
65'拜恩斯的边路传中，被阿森纳球员解围                   65'第65分钟，列农快发任意球，科尔曼禁区右侧传中，奥斯皮纳出击拦截皮球被试图抢点的卢卡库撞伤，球员和裁判紧急招呼队医入场，马特-梅西在场边热身，奥斯皮纳在接受治疗后继续比赛
65'全场比赛65分钟，比分0-2，阿森纳领先！！                   65'第65分钟，列农快发任意球，科尔曼禁区右侧传中，奥斯皮纳出击拦截皮球被试图抢点的卢卡库撞伤，球员和裁判紧急招呼队医入场，马特-梅西在场边热身，奥斯皮纳在接受治疗后继续比赛
66'列侬中场拿球，被放倒在地                   65'第65分钟，列农快发任意球，科尔曼禁区右侧传中，奥斯皮纳出击拦截皮球被试图抢点的卢卡库撞伤，球员和裁判紧急招呼队医入场，马特-梅西在场边热身，奥斯皮纳在接受治疗后继续比赛
66'列侬快发任意球，科尔曼右路拿球强突                   65'第65分钟，列农快发任意球，科尔曼禁区右侧传中，奥斯皮纳出击拦截皮球被试图抢点的卢卡库撞伤，球员和裁判紧急招呼队医入场，马特-梅西在场边热身，奥斯皮纳在接受治疗后继续比赛
67'科尔曼横传球到禁区，奥斯皮纳倒地将球没收                   65'第65分钟，列农快发任意球，科尔曼禁区右侧传中，奥斯皮纳出击拦截皮球被试图抢点的卢卡库撞伤，球员和裁判紧急招呼队医入场，马特-梅西在场边热身，奥斯皮纳在接受治疗后继续比赛
67'卢卡库抢点直接踩到了奥斯皮纳打的后背上                   65'第65分钟，列农快发任意球，科尔曼禁区右侧传中，奥斯皮纳出击拦截皮球被试图抢点的卢卡库撞伤，球员和裁判紧急招呼队医入场，马特-梅西在场边热身，奥斯皮纳在接受治疗后继续比赛
67'奥斯皮纳受伤倒地，这下伤的不轻啊                   65'第65分钟，列农快发任意球，科尔曼禁区右侧传中，奥斯皮纳出击拦截皮球被试图抢点的卢卡库撞伤，球员和裁判紧急招呼队医入场，马特-梅西在场边热身，奥斯皮纳在接受治疗后继续比赛
67'比赛暂时中断，队医进场，紧急检查！！                   65'第65分钟，列农快发任意球，科尔曼禁区右侧传中，奥斯皮纳出击拦截皮球被试图抢点的卢卡库撞伤，球员和裁判紧急招呼队医入场，马特-梅西在场边热身，奥斯皮纳在接受治疗后继续比赛
68'奥斯皮纳经过简单治疗，起身慢慢适应下                   65'第65分钟，列农快发任意球，科尔曼禁区右侧传中，奥斯皮纳出击拦截皮球被试图抢点的卢卡库撞伤，球员和裁判紧急招呼队医入场，马特-梅西在场边热身，奥斯皮纳在接受治疗后继续比赛
