1'裁判哨响！上半场开始了！                   1'利物浦第1分钟就试图压制对手
27'回传米尔纳！给右侧维纳尔杜姆！                   25'水晶宫第25分钟险些破门，本特克传球，汤森德右路内切后30码处抽射憾中横梁弹回，扎哈再射被阿诺德挡出
27'斜传球被挡出边线！                   25'水晶宫第25分钟险些破门，本特克传球，汤森德右路内切后30码处抽射憾中横梁弹回，扎哈再射被阿诺德挡出
27'戈麦斯得球横传中圈范迪克！分左侧罗伯逊！                   25'水晶宫第25分钟险些破门，本特克传球，汤森德右路内切后30码处抽射憾中横梁弹回，扎哈再射被阿诺德挡出
27'横传给米尔纳！回传戈麦斯！                   25'水晶宫第25分钟险些破门，本特克传球，汤森德右路内切后30码处抽射憾中横梁弹回，扎哈再射被阿诺德挡出
27'分右侧阿诺德！横传弧顶萨拉赫！                   25'水晶宫第25分钟险些破门，本特克传球，汤森德右路内切后30码处抽射憾中横梁弹回，扎哈再射被阿诺德挡出
27'萨拉赫转身抽射！被挡了一下！                   25'水晶宫第25分钟险些破门，本特克传球，汤森德右路内切后30码处抽射憾中横梁弹回，扎哈再射被阿诺德挡出
27'凯塔跟进小角度射门！被门将扑出底线！                   25'水晶宫第25分钟险些破门，本特克传球，汤森德右路内切后30码处抽射憾中横梁弹回，扎哈再射被阿诺德挡出
28'利物浦左侧角球！给到后点！                   25'水晶宫第25分钟险些破门，本特克传球，汤森德右路内切后30码处抽射憾中横梁弹回，扎哈再射被阿诺德挡出
28'争顶后被解围出去！扎哈左侧反击！                   25'水晶宫第25分钟险些破门，本特克传球，汤森德右路内切后30码处抽射憾中横梁弹回，扎哈再射被阿诺德挡出
28'萨拉赫逼抢拉人犯规！                   25'水晶宫第25分钟险些破门，本特克传球，汤森德右路内切后30码处抽射憾中横梁弹回，扎哈再射被阿诺德挡出
28'汤姆金斯得球回传亨内西！直传给麦克阿瑟！                   25'水晶宫第25分钟险些破门，本特克传球，汤森德右路内切后30码处抽射憾中横梁弹回，扎哈再射被阿诺德挡出
45'横传禁区中路！萨拉赫得球转身！                   45'利物浦第45分钟打破僵局，萨拉赫12码处拿球转身被萨科钩倒，米尔纳主罚点球命中
45'倒地了！裁判给了点球！                   45'利物浦第45分钟打破僵局，萨拉赫12码处拿球转身被萨科钩倒，米尔纳主罚点球命中
45'米尔纳来主罚！                   45'利物浦第45分钟打破僵局，萨拉赫12码处拿球转身被萨科钩倒，米尔纳主罚点球命中
46'米尔纳骗过门将推射右下角！GOOOOOOOOOOOAL！！                   45'利物浦第45分钟打破僵局，萨拉赫12码处拿球转身被萨科钩倒，米尔纳主罚点球命中
46'汤姆金斯后场得球！长传前场左侧！                   45'利物浦第45分钟打破僵局，萨拉赫12码处拿球转身被萨科钩倒，米尔纳主罚点球命中
46'争顶后左侧范安霍尔特得球！越位了！                   45'利物浦第45分钟打破僵局，萨拉赫12码处拿球转身被萨科钩倒，米尔纳主罚点球命中
47'裁判哨响！上半场比赛结束！                   45'利物浦第45分钟打破僵局，萨拉赫12码处拿球转身被萨科钩倒，米尔纳主罚点球命中
46'裁判哨响！下半场开始了！                   45'利物浦第45分钟打破僵局，萨拉赫12码处拿球转身被萨科钩倒，米尔纳主罚点球命中
47'扎哈中场左侧短传失误了！                   45'利物浦第45分钟打破僵局，萨拉赫12码处拿球转身被萨科钩倒，米尔纳主罚点球命中
47'萨拉赫右侧得球回传！球失误出界了！                   45'利物浦第45分钟打破僵局，萨拉赫12码处拿球转身被萨科钩倒，米尔纳主罚点球命中
47'萨科得球短传范安霍尔特！回传给米利沃杰维奇！                   45'利物浦第45分钟打破僵局，萨拉赫12码处拿球转身被萨科钩倒，米尔纳主罚点球命中
48'长传右侧比萨卡！横传汤森德！                   45'利物浦第45分钟打破僵局，萨拉赫12码处拿球转身被萨科钩倒，米尔纳主罚点球命中
48'回传给麦克阿瑟！横敲给米利沃杰维奇！                   45'利物浦第45分钟打破僵局，萨拉赫12码处拿球转身被萨科钩倒，米尔纳主罚点球命中
48'斜传前场右侧比萨卡！横传禁区被解围出边线！                   45'利物浦第45分钟打破僵局，萨拉赫12码处拿球转身被萨科钩倒，米尔纳主罚点球命中
48'汤森德右侧得球！横传给麦克阿瑟！                   45'利物浦第45分钟打破僵局，萨拉赫12码处拿球转身被萨科钩倒，米尔纳主罚点球命中
48'交给米利沃杰维奇！挑传右侧被断了！                   45'利物浦第45分钟打破僵局，萨拉赫12码处拿球转身被萨科钩倒，米尔纳主罚点球命中
48'阿利森长传中场！米利沃杰维奇得球分左侧范安霍尔特！                   45'利物浦第45分钟打破僵局，萨拉赫12码处拿球转身被萨科钩倒，米尔纳主罚点球命中
75'球被挡出底线！                   75'第75分钟，菲尔米诺直传，萨拉赫单刀突破至禁区弧内被比萨卡放倒，后者被红牌直接罚下，萨拉赫任意球射门被人墙挡高
75'水晶宫右侧角球！                   75'第75分钟，菲尔米诺直传，萨拉赫单刀突破至禁区弧内被比萨卡放倒，后者被红牌直接罚下，萨拉赫任意球射门被人墙挡高
75'角球给到前点！被头球解围了！                   75'第75分钟，菲尔米诺直传，萨拉赫单刀突破至禁区弧内被比萨卡放倒，后者被红牌直接罚下，萨拉赫任意球射门被人墙挡高
75'萨拉赫中路反击！推进弧顶！被顶倒！                   75'第75分钟，菲尔米诺直传，萨拉赫单刀突破至禁区弧内被比萨卡放倒，后者被红牌直接罚下，萨拉赫任意球射门被人墙挡高
75'裁判给了比萨卡红牌！                   75'第75分钟，菲尔米诺直传，萨拉赫单刀突破至禁区弧内被比萨卡放倒，后者被红牌直接罚下，萨拉赫任意球射门被人墙挡高
77'利物浦禁区线上的任意球！                   75'第75分钟，菲尔米诺直传，萨拉赫单刀突破至禁区弧内被比萨卡放倒，后者被红牌直接罚下，萨拉赫任意球射门被人墙挡高
77'萨拉赫助跑！射门打中人墙出了底线！                   75'第75分钟，菲尔米诺直传，萨拉赫单刀突破至禁区弧内被比萨卡放倒，后者被红牌直接罚下，萨拉赫任意球射门被人墙挡高
78'利物浦左侧角球！给到小禁区！                   75'第75分钟，菲尔米诺直传，萨拉赫单刀突破至禁区弧内被比萨卡放倒，后者被红牌直接罚下，萨拉赫任意球射门被人墙挡高
78'亨内西双拳打出去！                   75'第75分钟，菲尔米诺直传，萨拉赫单刀突破至禁区弧内被比萨卡放倒，后者被红牌直接罚下，萨拉赫任意球射门被人墙挡高
93'水晶宫右侧角球！                   93'利物浦第93分钟锁定胜局，范戴克混战中头球解围，萨拉赫反击中直传，马内单刀突破晃过亨尼西射入空门，2-0
93'角球给到后点！被头球解围了！                   93'利物浦第93分钟锁定胜局，范戴克混战中头球解围，萨拉赫反击中直传，马内单刀突破晃过亨尼西射入空门，2-0
93'萨拉赫得球反击直塞！马内得球顶开防守！                   93'利物浦第93分钟锁定胜局，范戴克混战中头球解围，萨拉赫反击中直传，马内单刀突破晃过亨尼西射入空门，2-0
93'趟过门将推射空门！！                   93'利物浦第93分钟锁定胜局，范戴克混战中头球解围，萨拉赫反击中直传，马内单刀突破晃过亨尼西射入空门，2-0
93'GOOOOOOOOOOOOOOAL！！                   93'利物浦第93分钟锁定胜局，范戴克混战中头球解围，萨拉赫反击中直传，马内单刀突破晃过亨尼西射入空门，2-0
94'利物浦换人！斯图里奇换下菲尔米诺！                   93'利物浦第93分钟锁定胜局，范戴克混战中头球解围，萨拉赫反击中直传，马内单刀突破晃过亨尼西射入空门，2-0
94'水晶宫左侧传中！球被挡出底线！                   93'利物浦第93分钟锁定胜局，范戴克混战中头球解围，萨拉赫反击中直传，马内单刀突破晃过亨尼西射入空门，2-0
95'水晶宫左侧角球！给到前点被头球解围了！                   93'利物浦第93分钟锁定胜局，范戴克混战中头球解围，萨拉赫反击中直传，马内单刀突破晃过亨尼西射入空门，2-0
