1'上半场比赛开始！！                   1'开场不到1分钟，埃姆雷-詹禁区左侧弧线球射门偏出远角
45'赫尔城角球送禁区中路，队友头球顶了一个反弹球，米尼奥莱在对方的干扰下击球没有打远，恩迪亚耶跟进补射将球打进！！                   44'赫尔城第44分钟打破僵局，米尼奥莱角球混战中出击扑球失误，恩迪亚耶近距离破门
46'这球米尼奥莱要负有一定的责任                   44'赫尔城第44分钟打破僵局，米尼奥莱角球混战中出击扑球失误，恩迪亚耶近距离破门
46'上半场补时2分钟！！                   44'赫尔城第44分钟打破僵局，米尼奥莱角球混战中出击扑球失误，恩迪亚耶近距离破门
46'利物浦右路拿球被碰出边线                   44'赫尔城第44分钟打破僵局，米尼奥莱角球混战中出击扑球失误，恩迪亚耶近距离破门
47'马内拿球将球回敲                   44'赫尔城第44分钟打破僵局，米尼奥莱角球混战中出击扑球失误，恩迪亚耶近距离破门
47'拉拉纳禁区弧顶做配合                   44'赫尔城第44分钟打破僵局，米尼奥莱角球混战中出击扑球失误，恩迪亚耶近距离破门
47'没有形成默契                   44'赫尔城第44分钟打破僵局，米尼奥莱角球混战中出击扑球失误，恩迪亚耶近距离破门
46'下半场比赛开始！！                   44'赫尔城第44分钟打破僵局，米尼奥莱角球混战中出击扑球失误，恩迪亚耶近距离破门
46'下半场比赛由赫尔城开球                   44'赫尔城第44分钟打破僵局，米尼奥莱角球混战中出击扑球失误，恩迪亚耶近距离破门
47'赫尔城底线拿球被侵犯                   44'赫尔城第44分钟打破僵局，米尼奥莱角球混战中出击扑球失误，恩迪亚耶近距离破门
47'任意球直接扫门前                   44'赫尔城第44分钟打破僵局，米尼奥莱角球混战中出击扑球失误，恩迪亚耶近距离破门
47'利物浦将球解围出来                   44'赫尔城第44分钟打破僵局，米尼奥莱角球混战中出击扑球失误，恩迪亚耶近距离破门
47'利物浦这边反击没有打出来                   44'赫尔城第44分钟打破僵局，米尼奥莱角球混战中出击扑球失误，恩迪亚耶近距离破门
67'马内禁区内挑传                   67'第67分钟，米尔纳小禁区左侧外小角度射门被挡出，库蒂尼奥小禁区边缘凌空扫射偏出
67'球被顶出来后被米尔纳得到                   67'第67分钟，米尔纳小禁区左侧外小角度射门被挡出，库蒂尼奥小禁区边缘凌空扫射偏出
67'米尔纳脚弓推射被挡出                   67'第67分钟，米尔纳小禁区左侧外小角度射门被挡出，库蒂尼奥小禁区边缘凌空扫射偏出
67'后点利物浦还有机会                   67'第67分钟，米尔纳小禁区左侧外小角度射门被挡出，库蒂尼奥小禁区边缘凌空扫射偏出
67'机会是推射空门也是打偏了                   67'第67分钟，米尔纳小禁区左侧外小角度射门被挡出，库蒂尼奥小禁区边缘凌空扫射偏出
67'利物浦这边进行调整                   67'第67分钟，米尔纳小禁区左侧外小角度射门被挡出，库蒂尼奥小禁区边缘凌空扫射偏出
68'埃姆雷-詹被换下                   67'第67分钟，米尔纳小禁区左侧外小角度射门被挡出，库蒂尼奥小禁区边缘凌空扫射偏出
68'换上了斯图里奇                   67'第67分钟，米尔纳小禁区左侧外小角度射门被挡出，库蒂尼奥小禁区边缘凌空扫射偏出
69'米尔纳左路起球被挡出                   67'第67分钟，米尔纳小禁区左侧外小角度射门被挡出，库蒂尼奥小禁区边缘凌空扫射偏出
69'利物浦这边继续角球                   67'第67分钟，米尔纳小禁区左侧外小角度射门被挡出，库蒂尼奥小禁区边缘凌空扫射偏出
69'看看有没有改写比分的机会                   67'第67分钟，米尔纳小禁区左侧外小角度射门被挡出，库蒂尼奥小禁区边缘凌空扫射偏出
69'角球送前点                   67'第67分钟，米尔纳小禁区左侧外小角度射门被挡出，库蒂尼奥小禁区边缘凌空扫射偏出
70'赫尔城这边球员蹭到后点                   67'第67分钟，米尔纳小禁区左侧外小角度射门被挡出，库蒂尼奥小禁区边缘凌空扫射偏出
70'斯图里奇后点没有控制好                   67'第67分钟，米尔纳小禁区左侧外小角度射门被挡出，库蒂尼奥小禁区边缘凌空扫射偏出
88'利物浦禁区前沿横向转移                   86'赫尔城第86分钟锁定胜局，马内禁区前被铲断，拉诺齐亚直传，尼亚塞单刀低射入网，2-0
88'赫尔城后场断球                   86'赫尔城第86分钟锁定胜局，马内禁区前被铲断，拉诺齐亚直传，尼亚塞单刀低射入网，2-0
88'尼亚塞拿球被侵犯                   86'赫尔城第86分钟锁定胜局，马内禁区前被铲断，拉诺齐亚直传，尼亚塞单刀低射入网，2-0
