1'上半场比赛开始                   1'第1分钟，贵州人和队一度反客为主，多次威胁主队球门
28'吕征突破到禁区内传球，刘彬彬横传球                   28'第28分钟，山东鲁能前场连续一脚传球，蒿俊闵、吕征和刘彬彬默契配合后，刘彬彬转身射门被挡出
28'张文钊突破妙传，金敬道下底横传球，被破坏                   28'第28分钟，山东鲁能前场连续一脚传球，蒿俊闵、吕征和刘彬彬默契配合后，刘彬彬转身射门被挡出
28'张文钊在前场逼抢，犯规啦！                   28'第28分钟，山东鲁能前场连续一脚传球，蒿俊闵、吕征和刘彬彬默契配合后，刘彬彬转身射门被挡出
29'贵州人和队右路小角度打门，被王大雷扑出！跟上队员外围劲射，王大雷再次扑出！！                   28'第28分钟，山东鲁能前场连续一脚传球，蒿俊闵、吕征和刘彬彬默契配合后，刘彬彬转身射门被挡出
29'王大雷立功啦！！这两次打门都有威胁啊！                   28'第28分钟，山东鲁能前场连续一脚传球，蒿俊闵、吕征和刘彬彬默契配合后，刘彬彬转身射门被挡出
29'贵州人和队得到角球机会                   28'第28分钟，山东鲁能前场连续一脚传球，蒿俊闵、吕征和刘彬彬默契配合后，刘彬彬转身射门被挡出
30'角球发到禁区内，对方破坏出来                   28'第28分钟，山东鲁能前场连续一脚传球，蒿俊闵、吕征和刘彬彬默契配合后，刘彬彬转身射门被挡出
30'贵州人和队外围远射，王大雷轻松没收                   28'第28分钟，山东鲁能前场连续一脚传球，蒿俊闵、吕征和刘彬彬默契配合后，刘彬彬转身射门被挡出
30'张成林受伤倒在对方禁区内，不过队友将他拉起来，问题不大！                   28'第28分钟，山东鲁能前场连续一脚传球，蒿俊闵、吕征和刘彬彬默契配合后，刘彬彬转身射门被挡出
31'鲁能泰山队长传前场，蒙蒂略右路突破，萨利把球开到中场                   28'第28分钟，山东鲁能前场连续一脚传球，蒿俊闵、吕征和刘彬彬默契配合后，刘彬彬转身射门被挡出
35'鲁能泰山队右路直传球，张文钊越位啦                   35'第35分钟，杜威前场送出直塞，张文钊切入禁区后小角度传中被门将抢先获得
36'中场鲁能泰山队断球，左路直传球被断                   35'第35分钟，杜威前场送出直塞，张文钊切入禁区后小角度传中被门将抢先获得
36'蒿俊闵直传球，吕征右路横传，萨利紧贴吕征啊！！                   35'第35分钟，杜威前场送出直塞，张文钊切入禁区后小角度传中被门将抢先获得
37'贵州人和队长传反击！！二打三！！                   35'第35分钟，杜威前场送出直塞，张文钊切入禁区后小角度传中被门将抢先获得
37'于海的速度真快，大禁区线斜推，乌索回防把球破坏出底线！                   35'第35分钟，杜威前场送出直塞，张文钊切入禁区后小角度传中被门将抢先获得
38'角球发到禁区内，杜威头球顶出，乌索空中接力把球再顶远                   35'第35分钟，杜威前场送出直塞，张文钊切入禁区后小角度传中被门将抢先获得
38'贵州人和队右路横传，蒿俊闵护球，出界                   35'第35分钟，杜威前场送出直塞，张文钊切入禁区后小角度传中被门将抢先获得
42'贵州人和队左路横传，萨利右路传门前，王大雷把球得到                   42'第42分钟，贵州人和斜传冲吊，萨利小角度凌空垫射，王大雷抢在插上球员之前将球没收
42'王大雷要快速发球，陈杰干扰，放倒了王大雷！                   42'第42分钟，贵州人和斜传冲吊，萨利小角度凌空垫射，王大雷抢在插上球员之前将球没收
42'陈杰表示道歉！态度不错，否则真有可能吃黄牌！                   42'第42分钟，贵州人和斜传冲吊，萨利小角度凌空垫射，王大雷抢在插上球员之前将球没收
43'陈杰干扰了王大雷快速发门球！阻碍了鲁能泰山队的快速发球进攻！                   42'第42分钟，贵州人和斜传冲吊，萨利小角度凌空垫射，王大雷抢在插上球员之前将球没收
44'张文钊前场右路回传，蒙蒂略突破直传，乌索抢点劲射！！打偏！！                   42'第42分钟，贵州人和斜传冲吊，萨利小角度凌空垫射，王大雷抢在插上球员之前将球没收
44'乌索真是全能型的球员啊，防守到位，中场组织给力，还能打门！！                   42'第42分钟，贵州人和斜传冲吊，萨利小角度凌空垫射，王大雷抢在插上球员之前将球没收
44'乌索中场断球！给力                   42'第42分钟，贵州人和斜传冲吊，萨利小角度凌空垫射，王大雷抢在插上球员之前将球没收
45'蒙蒂略中路突破，横传给金敬道                   42'第42分钟，贵州人和斜传冲吊，萨利小角度凌空垫射，王大雷抢在插上球员之前将球没收
45'金敬道右路强突，对方挡了一下                   42'第42分钟，贵州人和斜传冲吊，萨利小角度凌空垫射，王大雷抢在插上球员之前将球没收
53'张烈大脚开球过中场，对方顶回来                   53'第53分钟，山东鲁能长传进攻，韩鹏头球回传，刘彬彬拿球后横带摆脱突然起脚远射，球稍稍高出横梁
53'张文钊右路强突下底横传，皮球滑门而过，出边线                   53'第53分钟，山东鲁能长传进攻，韩鹏头球回传，刘彬彬拿球后横带摆脱突然起脚远射，球稍稍高出横梁
54'鲁能泰山队右路横传球，倒三角传球，可惜没能打进                   53'第53分钟，山东鲁能长传进攻，韩鹏头球回传，刘彬彬拿球后横带摆脱突然起脚远射，球稍稍高出横梁
54'贵州人和队快速反击，戴琳在中场抢球犯规                   53'第53分钟，山东鲁能长传进攻，韩鹏头球回传，刘彬彬拿球后横带摆脱突然起脚远射，球稍稍高出横梁
55'乌索在前场拿球，一脚大力远射！！势大力沉，可惜高出！                   53'第53分钟，山东鲁能长传进攻，韩鹏头球回传，刘彬彬拿球后横带摆脱突然起脚远射，球稍稍高出横梁
55'小赞成明，你也不咋地！口出脏话！                   53'第53分钟，山东鲁能长传进攻，韩鹏头球回传，刘彬彬拿球后横带摆脱突然起脚远射，球稍稍高出横梁
56'那一年木棉花开落满地：鲁能，必胜回复〔为喜欢的球队加油！〕                   53'第53分钟，山东鲁能长传进攻，韩鹏头球回传，刘彬彬拿球后横带摆脱突然起脚远射，球稍稍高出横梁
56'蒙蒂略右路直传球禁区，没能过去啊，直接传到对方脚下                   53'第53分钟，山东鲁能长传进攻，韩鹏头球回传，刘彬彬拿球后横带摆脱突然起脚远射，球稍稍高出横梁
56'王永珀右路突破横传球，没能传到位                   53'第53分钟，山东鲁能长传进攻，韩鹏头球回传，刘彬彬拿球后横带摆脱突然起脚远射，球稍稍高出横梁
56'鲁能泰山队得球再从右路横传，萨利把球破坏                   53'第53分钟，山东鲁能长传进攻，韩鹏头球回传，刘彬彬拿球后横带摆脱突然起脚远射，球稍稍高出横梁
46'刘彬彬回传球力量小啦                   46'1分钟后，乌索禁区突然重炮轰门，球擦着横梁高出
46'后场贵州人和队断球左路长传，陈子介突破没能成功，戴琳把球抢断下来                   46'1分钟后，乌索禁区突然重炮轰门，球擦着横梁高出
47'大宋岳鹏举：主播，上半场快结束了，估计不会再有进球了，评价一下两只球队吧回复〔都想赢球，但优势并不明显！非要分出谁的攻击力更强一些，应该是鲁能。〕                   46'1分钟后，乌索禁区突然重炮轰门，球擦着横梁高出
47'上半场比赛结束！双方都没能破门，战成0-0！                   46'1分钟后，乌索禁区突然重炮轰门，球擦着横梁高出
46'下半场比赛开始                   46'1分钟后，乌索禁区突然重炮轰门，球擦着横梁高出
46'鲁能泰山队左路传球，出边线                   46'1分钟后，乌索禁区突然重炮轰门，球擦着横梁高出
47'sweet中街520：那主播，你说人和会换人吗？回复〔肯定会换的！〕                   46'1分钟后，乌索禁区突然重炮轰门，球擦着横梁高出
48'鲁能球迷装备，对骂人的人，不要去理他！太没素质，就当骂的自己好了！给自己的父母丢脸！你要对骂的话显得自己也没素质啦！                   46'1分钟后，乌索禁区突然重炮轰门，球擦着横梁高出
48'刘彬彬左路横传禁区，王永珀没有打啊！有点犹豫                   46'1分钟后，乌索禁区突然重炮轰门，球擦着横梁高出
49'用户3lu19nxyso：王永珀韩鹏上了回复〔猜了个正着！〕                   46'1分钟后，乌索禁区突然重炮轰门，球擦着横梁高出
49'刘彬彬左路强突下底，横传造了一个角球                   46'1分钟后，乌索禁区突然重炮轰门，球擦着横梁高出
49'蒙蒂略发角球到禁区内，滑门而过！                   46'1分钟后，乌索禁区突然重炮轰门，球擦着横梁高出
64'没有人比我更帅了吧：一统，我是曲阜的，你是吗？回复〔不是啊，我已经说了，我是LOVE！〕                   64'第64分钟，王永珀拿球赢得禁区前沿任意球，王永珀亲自主罚，弧线球打门稍稍高出
64'王永珀发任意球打门！！！打高啦                   64'第64分钟，王永珀拿球赢得禁区前沿任意球，王永珀亲自主罚，弧线球打门稍稍高出
65'新浪用户：一统谢谢你对我们山东这么了解！回复〔不好意思！我是山东的所以了解，我是搞地理的，所以应该了解！〕                   64'第64分钟，王永珀拿球赢得禁区前沿任意球，王永珀亲自主罚，弧线球打门稍稍高出
65'贵州人和队换人：穆斯利上场换下陈子介                   64'第64分钟，王永珀拿球赢得禁区前沿任意球，王永珀亲自主罚，弧线球打门稍稍高出
66'于海左路带球突破，连续晃动没能过去。                   64'第64分钟，王永珀拿球赢得禁区前沿任意球，王永珀亲自主罚，弧线球打门稍稍高出
66'饶伟辉拿球，回传给李春郁                   64'第64分钟，王永珀拿球赢得禁区前沿任意球，王永珀亲自主罚，弧线球打门稍稍高出
66'用户uopxz0btp0：一统你为啥不回复我的问题回复〔不好意思，没看到呢！〕                   64'第64分钟，王永珀拿球赢得禁区前沿任意球，王永珀亲自主罚，弧线球打门稍稍高出
67'lm538：一统，是不好更新下新上场人员名单回复[鲁能泰山队换上了韩鹏和王永珀，换下了吕征和金敬道，贵州人和队换上了穆斯利换下了陈子介！]                   64'第64分钟，王永珀拿球赢得禁区前沿任意球，王永珀亲自主罚，弧线球打门稍稍高出
70'今夕何夕5016793484：鲁能换上去的是谁呢？回复〔韩鹏和王永珀上场换下的是吕征和金敬道！〕                   70'第70分钟，贵州人和打出快速反击，于海边路弧线球传中，中路包抄的杨一虎错过，后点的陈杰垫射打偏
71'手机用户2700675440：新浪众多解说！只有一统让骂！回复〔你这是咋说的？我什么时间说让人家骂来？我是觉得要骂的话回家关起门来骂自己！〕                   70'第70分钟，贵州人和打出快速反击，于海边路弧线球传中，中路包抄的杨一虎错过，后点的陈杰垫射打偏
71'于海左路拿球，蒿俊闵一对一把球破坏                   70'第70分钟，贵州人和打出快速反击，于海边路弧线球传中，中路包抄的杨一虎错过，后点的陈杰垫射打偏
72'新浪用户：一统来曹县我请你吃烧牛肉！回复〔谢谢！曹州牡丹！不过现在有牡丹区了是吧！去过〕                   70'第70分钟，贵州人和打出快速反击，于海边路弧线球传中，中路包抄的杨一虎错过，后点的陈杰垫射打偏
73'蒿俊闵右路突破回传，蒙蒂略打门被挡出                   70'第70分钟，贵州人和打出快速反击，于海边路弧线球传中，中路包抄的杨一虎错过，后点的陈杰垫射打偏
77'穆斯利禁区内接球，横传球太有威胁啦！！尤里铲身没能踢到球！                   77'第77分钟，贵州人和前场进攻，穆斯利禁区内送出妙传，尤里中路铲射错过皮球
78'鲁能泰山队得到角球机会                   77'第77分钟，贵州人和前场进攻，穆斯利禁区内送出妙传，尤里中路铲射错过皮球
78'蒙蒂略发出战术角球，刘彬彬横传禁区，球到另一侧                   77'第77分钟，贵州人和前场进攻，穆斯利禁区内送出妙传，尤里中路铲射错过皮球
78'张文钊连续假动作，突破下底倒在地上，球出底线                   77'第77分钟，贵州人和前场进攻，穆斯利禁区内送出妙传，尤里中路铲射错过皮球
79'哪位贵州球迷给大家介绍一下贵州的情况？包括建制，除遵义以外的其他名圣！让大家学习了解一下                   77'第77分钟，贵州人和前场进攻，穆斯利禁区内送出妙传，尤里中路铲射错过皮球
79'蒙蒂略左路铲球，碰到萨利出底线                   77'第77分钟，贵州人和前场进攻，穆斯利禁区内送出妙传，尤里中路铲射错过皮球
79'蒙蒂略斜传禁区，对方把球顶出，蒿俊闵控球                   77'第77分钟，贵州人和前场进攻，穆斯利禁区内送出妙传，尤里中路铲射错过皮球
79'张文钊在右路大禁区角上打门，没有力量啊！被张烈没收                   77'第77分钟，贵州人和前场进攻，穆斯利禁区内送出妙传，尤里中路铲射错过皮球
80'用户8mqyxtkbxs：一统，你现在是济南人了，莱芜被济南收编了，济南的重污染企业要迁到莱芜，老百姓要遭殃了回复〔我在济南生活四年，听说莱芜把济南收编啦？〕                   77'第77分钟，贵州人和前场进攻，穆斯利禁区内送出妙传，尤里中路铲射错过皮球
80'张驰左路突破内切，王永珀没能控好                   77'第77分钟，贵州人和前场进攻，穆斯利禁区内送出妙传，尤里中路铲射错过皮球
80'鲁能泰山队换人：杨旭上场换下杜威                   77'第77分钟，贵州人和前场进攻，穆斯利禁区内送出妙传，尤里中路铲射错过皮球
81'贵州人和队换人：范云龙上场换下杨一虎！                   81'第81分钟，库卡破釜沉舟，用杨旭替下杜威，试图双中锋冲击对方禁区
81'看来鲁能泰山队要拼啦！！冒险的换人！换下一后卫，换上一前锋！                   81'第81分钟，库卡破釜沉舟，用杨旭替下杜威，试图双中锋冲击对方禁区
82'橘红色的精灵 ：胡说八道，只是个济莱协作区，根本运转不灵，啥企业也没过来回复〔只是开个玩笑！开不起啊！大家都知道是济南省会城市圈，济莱、济德、济聊、济泰等，只是济莱先行。〕                   81'第81分钟，库卡破釜沉舟，用杨旭替下杜威，试图双中锋冲击对方禁区
83'后场鲁能泰山队抢到球，走中路进攻                   81'第81分钟，库卡破釜沉舟，用杨旭替下杜威，试图双中锋冲击对方禁区
83'杨旭这个队员我没能猜到！以为赵明剑能上场来着！                   81'第81分钟，库卡破釜沉舟，用杨旭替下杜威，试图双中锋冲击对方禁区
83'杨旭丢球，陈昌源控球后杨旭反抢犯规                   81'第81分钟，库卡破釜沉舟，用杨旭替下杜威，试图双中锋冲击对方禁区
84'sweet中街520：贵州辖贵阳市、六盘水市、遵义市、安顺市、铜仁市、黔西南布依族苗族自治州、毕节市、黔东南苗族侗族自治州和黔南布依族苗族自治州。回复〔谢谢你！让大家长了见识！〕                   81'第81分钟，库卡破釜沉舟，用杨旭替下杜威，试图双中锋冲击对方禁区
84'王永珀后场控球，尤里抢球犯规！！动作过大，吃到了黄牌                   81'第81分钟，库卡破釜沉舟，用杨旭替下杜威，试图双中锋冲击对方禁区
84'用户3853049679：一统是我老乡啊，我是小故事的，你呢回复〔我不是大故事！继续向南〕                   81'第81分钟，库卡破釜沉舟，用杨旭替下杜威，试图双中锋冲击对方禁区
87'一个人的天空照样飞6：一统不是学地理的吗！中国离得最近的两座城市是哪两个！不到三十公里！不是县集市回复〔县级市不好考！我知道博湖和焉耆相隔不远！〕                   85'第85分钟，尤里进攻时犯规被黄牌警告
87'鲁能泰山队左路进攻，对方把球破坏                   85'第85分钟，尤里进攻时犯规被黄牌警告
87'界外球发出来，鲁能泰山队把球回传，长传给蒿俊闵                   85'第85分钟，尤里进攻时犯规被黄牌警告
87'蒿俊闵回顶，饶伟辉把球断下来                   85'第85分钟，尤里进攻时犯规被黄牌警告
88'sweet中街520：一统，山东威海来过没？哈尔滨工业大学就在这呢？回复〔呵呵，去过，是分校！还有山大的〕                   85'第85分钟，尤里进攻时犯规被黄牌警告
88'后场鲁能泰山队断球，左路长球，对方抢断                   85'第85分钟，尤里进攻时犯规被黄牌警告
88'比赛时间已经不多啦！！                   85'第85分钟，尤里进攻时犯规被黄牌警告
