1'主裁判吹响了上半场比赛开始的哨音~                   1'第1分钟，拉拉纳和卢卡斯的外围射门先后被挡
63'瓦西莱夫斯基转身打门~将球打高了                   63'莱斯特城第63分钟遭遇打击，防线最后一人的摩根对兰伯特犯规被罚红牌直接离场
63'利物浦在中场断球~                   63'莱斯特城第63分钟遭遇打击，防线最后一人的摩根对兰伯特犯规被罚红牌直接离场
63'斯特林带到了禁区前沿~                   63'莱斯特城第63分钟遭遇打击，防线最后一人的摩根对兰伯特犯规被罚红牌直接离场
63'自己打门了~远射将球打偏                   63'莱斯特城第63分钟遭遇打击，防线最后一人的摩根对兰伯特犯规被罚红牌直接离场
64'红牌                   63'莱斯特城第63分钟遭遇打击，防线最后一人的摩根对兰伯特犯规被罚红牌直接离场
64'场上突然起了变化~                   63'莱斯特城第63分钟遭遇打击，防线最后一人的摩根对兰伯特犯规被罚红牌直接离场
64'利物浦一次反击的机会，摩根回传球失误                   63'莱斯特城第63分钟遭遇打击，防线最后一人的摩根对兰伯特犯规被罚红牌直接离场
64'眼看要被兰伯特抢到单刀机会                   63'莱斯特城第63分钟遭遇打击，防线最后一人的摩根对兰伯特犯规被罚红牌直接离场
64'摩根情急之下拉人犯规                   63'莱斯特城第63分钟遭遇打击，防线最后一人的摩根对兰伯特犯规被罚红牌直接离场
65'作为最后一名后卫，这次犯规他也领到了一张红牌                   63'莱斯特城第63分钟遭遇打击，防线最后一人的摩根对兰伯特犯规被罚红牌直接离场
65'利物浦禁区前沿的定位球机会                   63'莱斯特城第63分钟遭遇打击，防线最后一人的摩根对兰伯特犯规被罚红牌直接离场
65'杰拉德的传中被解围出来~                   63'莱斯特城第63分钟遭遇打击，防线最后一人的摩根对兰伯特犯规被罚红牌直接离场
65'回追的时候杰拉德身后踢人犯规                   63'莱斯特城第63分钟遭遇打击，防线最后一人的摩根对兰伯特犯规被罚红牌直接离场
65'裁判掏出了一张黄牌                   63'莱斯特城第63分钟遭遇打击，防线最后一人的摩根对兰伯特犯规被罚红牌直接离场
66'Vincent-Hap 我去，下了重注，这是要跪的节奏么？---很好奇你买了谁？                   63'莱斯特城第63分钟遭遇打击，防线最后一人的摩根对兰伯特犯规被罚红牌直接离场
66'詹姆斯来处理这个远距离的前场定位球                   63'莱斯特城第63分钟遭遇打击，防线最后一人的摩根对兰伯特犯规被罚红牌直接离场
66'直接打门~踢高了                   63'莱斯特城第63分钟遭遇打击，防线最后一人的摩根对兰伯特犯规被罚红牌直接离场
