17'被西班牙人后卫顶出禁区                   17'第17分钟，武磊上前逼抢令博尔哈前场断球，但西班牙人后继进攻乏力
32'长传找右侧边路队友                   29'瓦伦西亚第29分钟险些破门，费兰-托雷斯直传，加梅罗禁区右侧劲射憾中近角立柱弹回
50'西班牙人右侧边路拿球                    50'第50分钟，武磊突入禁区被加雷解围赢得角球，格拉内罗开至外围，罗萨莱斯远射偏转，武磊小禁区边缘混战中头球攻门稍稍高出
50'武磊禁区内尝试突破                   50'第50分钟，武磊突入禁区被加雷解围赢得角球，格拉内罗开至外围，罗萨莱斯远射偏转，武磊小禁区边缘混战中头球攻门稍稍高出
51'被瓦伦西亚后卫解围出底线                   50'第50分钟，武磊突入禁区被加雷解围赢得角球，格拉内罗开至外围，罗萨莱斯远射偏转，武磊小禁区边缘混战中头球攻门稍稍高出
51'西班牙人获得角球机会                   50'第50分钟，武磊突入禁区被加雷解围赢得角球，格拉内罗开至外围，罗萨莱斯远射偏转，武磊小禁区边缘混战中头球攻门稍稍高出
51'给到禁区外的罗萨莱斯                   50'第50分钟，武磊突入禁区被加雷解围赢得角球，格拉内罗开至外围，罗萨莱斯远射偏转，武磊小禁区边缘混战中头球攻门稍稍高出
51'罗萨莱斯起右脚打门 球出了底线                   50'第50分钟，武磊突入禁区被加雷解围赢得角球，格拉内罗开至外围，罗萨莱斯远射偏转，武磊小禁区边缘混战中头球攻门稍稍高出
52'瓦伦西亚给到右侧边路队友                    50'第50分钟，武磊突入禁区被加雷解围赢得角球，格拉内罗开至外围，罗萨莱斯远射偏转，武磊小禁区边缘混战中头球攻门稍稍高出
52'传球失误了                    50'第50分钟，武磊突入禁区被加雷解围赢得角球，格拉内罗开至外围，罗萨莱斯远射偏转，武磊小禁区边缘混战中头球攻门稍稍高出
52'西班牙人中场拿球                   50'第50分钟，武磊突入禁区被加雷解围赢得角球，格拉内罗开至外围，罗萨莱斯远射偏转，武磊小禁区边缘混战中头球攻门稍稍高出
52'再回传给门将洛佩斯                   50'第50分钟，武磊突入禁区被加雷解围赢得角球，格拉内罗开至外围，罗萨莱斯远射偏转，武磊小禁区边缘混战中头球攻门稍稍高出
53'再给到右侧边路的洛佩斯                   50'第50分钟，武磊突入禁区被加雷解围赢得角球，格拉内罗开至外围，罗萨莱斯远射偏转，武磊小禁区边缘混战中头球攻门稍稍高出
53'直传找前锋博尔哈                   50'第50分钟，武磊突入禁区被加雷解围赢得角球，格拉内罗开至外围，罗萨莱斯远射偏转，武磊小禁区边缘混战中头球攻门稍稍高出
53'但是被瓦伦西亚后卫断下                   50'第50分钟，武磊突入禁区被加雷解围赢得角球，格拉内罗开至外围，罗萨莱斯远射偏转，武磊小禁区边缘混战中头球攻门稍稍高出
53'长传找右侧边路的队友                   50'第50分钟，武磊突入禁区被加雷解围赢得角球，格拉内罗开至外围，罗萨莱斯远射偏转，武磊小禁区边缘混战中头球攻门稍稍高出
72'塞梅多换下武磊                   72'第72分钟，武磊被塞梅多换下
72'瓦伦西亚右侧边路传中                    72'第72分钟，武磊被塞梅多换下
72'被西班牙人后卫解围                   72'第72分钟，武磊被塞梅多换下
73'孔多比亚大禁区弧顶处没有拿好球                   72'第72分钟，武磊被塞梅多换下
73'西班牙人中场控球                   72'第72分钟，武磊被塞梅多换下
73'给到右侧边路的博尔哈                   72'第72分钟，武磊被塞梅多换下
74'博尔哈没有控制好皮球                   72'第72分钟，武磊被塞梅多换下
74'被西班牙人后卫断下                   72'第72分钟，武磊被塞梅多换下
74'给到左侧边路的队友                    72'第72分钟，武磊被塞梅多换下
75'普阿多大禁区外起右脚打门                   72'第72分钟，武磊被塞梅多换下
75'被门将内托扑出                   72'第72分钟，武磊被塞梅多换下
75'塞梅多再次尝试远射                    72'第72分钟，武磊被塞梅多换下
95'被裁判员红牌罚下                   95'第95分钟，西班牙人队长哈维-洛佩斯累计两张黄牌被罚下
95'瓦伦西亚获得最后一次定位球机会                   95'第95分钟，西班牙人队长哈维-洛佩斯累计两张黄牌被罚下
