1'曼联球员弗莱彻一脚直塞球给范佩西,但是边裁举旗显示后者已经越位.                   1'曼联第1分钟控制局面，但难以敲开对方的铁桶阵
64'曼联球员维迪奇一脚直塞球给阿什利-扬,但是边裁举旗显示后者已经越位.                   62'第62分钟，贾努扎伊换下弗莱彻
65'富勒姆换人,帕克换下图尼克里夫                   62'第62分钟，贾努扎伊换下弗莱彻
70'曼联球员鲁尼大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.                   70'第70分钟，鲁尼25码处劲射偏出
72'曼联球员鲁尼大禁区中央头球,被防守球员封堵.给他传球的是埃弗拉.                   70'第70分钟，鲁尼25码处劲射偏出
72'富勒姆霍尔特比受伤倒地,比赛暂停                   70'第70分钟，鲁尼25码处劲射偏出
73'暂停结束,球员们重新开始比赛.                   70'第70分钟，鲁尼25码处劲射偏出
84'射门!!!曼联球员卡里克右侧很远处右脚射门,被对方守门员横身扑出.给他传球的是Luis Antonio Valencia.                   84'第84分钟，瓦伦西亚传球，卡里克远射被斯特克伦博格救下
86'曼联球员贾努扎伊大禁区中央右脚射门,被防守球员封堵.给他传球的是埃弗拉.                   84'第84分钟，瓦伦西亚传球，卡里克远射被斯特克伦博格救下
87'海廷加将球处理出底线,曼联获得角球.                   84'第84分钟，瓦伦西亚传球，卡里克远射被斯特克伦博格救下
88'曼联球员埃尔南德斯球门线跟前尝试左脚射门,可惜皮球高出球门.给他传球的是斯马林.                   88'第88分钟，埃弗拉禁区左侧传中，斯马林挡下皮球，埃尔南德斯近距离射门高出
90'富勒姆球员理查德森手球犯规,对手获得球权.                   88'第88分钟，埃弗拉禁区左侧传中，斯马林挡下皮球，埃尔南德斯近距离射门高出
90'+2'富勒姆球员霍尔特比大禁区外左脚射门,被防守球员封堵.给他传球的是科尔.                   88'第88分钟，埃弗拉禁区左侧传中，斯马林挡下皮球，埃尔南德斯近距离射门高出
90'+3'曼联球员马塔大禁区外尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是范佩西.                   88'第88分钟，埃弗拉禁区左侧传中，斯马林挡下皮球，埃尔南德斯近距离射门高出
90'+3'曼联球员范佩西大禁区左侧尝试左脚射门,可惜皮球高出球门.                   88'第88分钟，埃弗拉禁区左侧传中，斯马林挡下皮球，埃尔南德斯近距离射门高出
90'+4'射门!!!富勒姆球员理查德森大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是西德维尔.                   88'第88分钟，埃弗拉禁区左侧传中，斯马林挡下皮球，埃尔南德斯近距离射门高出
90'+4'进球啦！！！富勒姆球员达伦-本特球门线跟前头球,球从右下角飞进球门,球进了! 曼联 2-2 富勒姆.                   88'第88分钟，埃弗拉禁区左侧传中，斯马林挡下皮球，埃尔南德斯近距离射门高出
90'+6'下半场结束,曼联 2-2 富勒姆                   88'第88分钟，埃弗拉禁区左侧传中，斯马林挡下皮球，埃尔南德斯近距离射门高出
