5'皇马先出一脚将球破坏出底线                   5'开场5分钟，罗本右路切入禁区回做，克罗斯在门前20米处低射被破坏
20'皇马右路起球送禁区内，C罗头球攻门被诺伊尔拿到                   19'第19分钟，拉菲尼亚右路起球，曼朱基奇后点头球摆渡，克罗斯在门前9米处凌空抽射被佩佩封堵，皇马马上打出反击，C罗左路直塞博阿滕身后，科恩特朗禁区左侧传中，本泽马后点距门4米处推入近角，皇马1比0领先
20'这球C罗顶的太正                   19'第19分钟，拉菲尼亚右路起球，曼朱基奇后点头球摆渡，克罗斯在门前9米处凌空抽射被佩佩封堵，皇马马上打出反击，C罗左路直塞博阿滕身后，科恩特朗禁区左侧传中，本泽马后点距门4米处推入近角，皇马1比0领先
22'绝对大手：这下有好戏看了 半场挺过 下班场贝尔一上 拜仁就完了【都等着看贝尔的超车呢？】                   19'第19分钟，拉菲尼亚右路起球，曼朱基奇后点头球摆渡，克罗斯在门前9米处凌空抽射被佩佩封堵，皇马马上打出反击，C罗左路直塞博阿滕身后，科恩特朗禁区左侧传中，本泽马后点距门4米处推入近角，皇马1比0领先
22'皇马在开场被动的情况下首先取得了领先                   19'第19分钟，拉菲尼亚右路起球，曼朱基奇后点头球摆渡，克罗斯在门前9米处凌空抽射被佩佩封堵，皇马马上打出反击，C罗左路直塞博阿滕身后，科恩特朗禁区左侧传中，本泽马后点距门4米处推入近角，皇马1比0领先
22'这下看看拜仁这边怎么打                   19'第19分钟，拉菲尼亚右路起球，曼朱基奇后点头球摆渡，克罗斯在门前9米处凌空抽射被佩佩封堵，皇马马上打出反击，C罗左路直塞博阿滕身后，科恩特朗禁区左侧传中，本泽马后点距门4米处推入近角，皇马1比0领先
20'皇马左路送直塞给到科恩特朗，科恩特朗插上到底线，低平球送门前，拜仁门前两点铲球都没有碰到，后点的本泽马轻松将球推进！                   20'第20分钟，迪马利亚右路斜传，C罗在门前8米处头球落入诺伊尔怀中
20'皇马右路起球送禁区内，C罗头球攻门被诺伊尔拿到                   20'第20分钟，迪马利亚右路斜传，C罗在门前8米处头球落入诺伊尔怀中
20'这球C罗顶的太正                   20'第20分钟，迪马利亚右路斜传，C罗在门前8米处头球落入诺伊尔怀中
22'绝对大手：这下有好戏看了 半场挺过 下班场贝尔一上 拜仁就完了【都等着看贝尔的超车呢？】                   20'第20分钟，迪马利亚右路斜传，C罗在门前8米处头球落入诺伊尔怀中
22'皇马在开场被动的情况下首先取得了领先                   20'第20分钟，迪马利亚右路斜传，C罗在门前8米处头球落入诺伊尔怀中
22'这下看看拜仁这边怎么打                   20'第20分钟，迪马利亚右路斜传，C罗在门前8米处头球落入诺伊尔怀中
23'皇马的反击又来了                   20'第20分钟，迪马利亚右路斜传，C罗在门前8米处头球落入诺伊尔怀中
23'本泽马右路拿球往中路走                   20'第20分钟，迪马利亚右路斜传，C罗在门前8米处头球落入诺伊尔怀中
23'给到了迪马利亚                   20'第20分钟，迪马利亚右路斜传，C罗在门前8米处头球落入诺伊尔怀中
23'迪马利亚禁区外围远射！！                   20'第20分钟，迪马利亚右路斜传，C罗在门前8米处头球落入诺伊尔怀中
23'这球太正被诺伊尔拿到                   20'第20分钟，迪马利亚右路斜传，C罗在门前8米处头球落入诺伊尔怀中
25'角球送中路，丹特头球顶了一个弧线                   25'第25分钟，罗本右侧开出角球，丹特在门前10米处头球被卡西利亚斯没收
25'这球在空中停留太久，卡西利亚斯将球拿到                   25'第25分钟，罗本右侧开出角球，丹特在门前10米处头球被卡西利亚斯没收
26'..克里斯蒂诺罗：拜仁这是4231么【是的】                   25'第25分钟，罗本右侧开出角球，丹特在门前10米处头球被卡西利亚斯没收
26'C罗~~~~                   25'第25分钟，罗本右侧开出角球，丹特在门前10米处头球被卡西利亚斯没收
27'皇马的左路反击，摩德里奇边路的传球送到禁区内，C罗在无人看防的情况下推射打高了！！                   25'第25分钟，罗本右侧开出角球，丹特在门前10米处头球被卡西利亚斯没收
28'【互动话题】C罗今天能进球吗？[qiangda]                   25'第25分钟，罗本右侧开出角球，丹特在门前10米处头球被卡西利亚斯没收
28'罗本右路送直塞，拉菲尼亚拿球越位了                   25'第25分钟，罗本右侧开出角球，丹特在门前10米处头球被卡西利亚斯没收
37'施魏因施泰格前场拿球分到边路                   36'第36分钟，罗本中路摆脱阿隆索盯防，在门前23米处左脚推射高出
37'皇马都退回到本方半场防守                   36'第36分钟，罗本中路摆脱阿隆索盯防，在门前23米处左脚推射高出
38'阿拉巴左路传球又被挡出底线                   36'第36分钟，罗本中路摆脱阿隆索盯防，在门前23米处左脚推射高出
38'拜仁再次获得角球机会                   36'第36分钟，罗本中路摆脱阿隆索盯防，在门前23米处左脚推射高出
39'这次是战术角球                   36'第36分钟，罗本中路摆脱阿隆索盯防，在门前23米处左脚推射高出
39'里贝里禁区内拿球横敲给到中路                   36'第36分钟，罗本中路摆脱阿隆索盯防，在门前23米处左脚推射高出
39'罗本跟上后推射被后卫挡出                   36'第36分钟，罗本中路摆脱阿隆索盯防，在门前23米处左脚推射高出
39'里贝里左路再拿球，传中又被挡出底线                   36'第36分钟，罗本中路摆脱阿隆索盯防，在门前23米处左脚推射高出
39'拜仁角球送后点，第一是皇马的                   36'第36分钟，罗本中路摆脱阿隆索盯防，在门前23米处左脚推射高出
40'场下，瓜迪奥拉的表情很轻松                   40'第40分钟，罗本分球，拉菲尼亚右路塞入禁区，拉姆面对出击封堵的卡西利亚斯，底线附小角度推射击中边网
40'用户q98am12cwt：谁的主场？？【皇马啊】                   40'第40分钟，罗本分球，拉菲尼亚右路塞入禁区，拉姆面对出击封堵的卡西利亚斯，底线附小角度推射击中边网
40'拜仁右路送直塞到禁区内                   40'第40分钟，罗本分球，拉菲尼亚右路塞入禁区，拉姆面对出击封堵的卡西利亚斯，底线附小角度推射击中边网
41'拉姆小角度射门打在边网上                   40'第40分钟，罗本分球，拉菲尼亚右路塞入禁区，拉姆面对出击封堵的卡西利亚斯，底线附小角度推射击中边网
41'皇马这边左路进攻上来                   40'第40分钟，罗本分球，拉菲尼亚右路塞入禁区，拉姆面对出击封堵的卡西利亚斯，底线附小角度推射击中边网
41'边路传球送禁区内，第一点被拜仁顶出                   40'第40分钟，罗本分球，拉菲尼亚右路塞入禁区，拉姆面对出击封堵的卡西利亚斯，底线附小角度推射击中边网
41'皇马二次进攻                   40'第40分钟，罗本分球，拉菲尼亚右路塞入禁区，拉姆面对出击封堵的卡西利亚斯，底线附小角度推射击中边网
41'左路的传球送后点                   40'第40分钟，罗本分球，拉菲尼亚右路塞入禁区，拉姆面对出击封堵的卡西利亚斯，底线附小角度推射击中边网
41'迪马利亚在无人看防的情况小，小角度打远角打高了                   40'第40分钟，罗本分球，拉菲尼亚右路塞入禁区，拉姆面对出击封堵的卡西利亚斯，底线附小角度推射击中边网
42'皇马又是一次很好的机会啊                   40'第40分钟，罗本分球，拉菲尼亚右路塞入禁区，拉姆面对出击封堵的卡西利亚斯，底线附小角度推射击中边网
42'今天皇马的反击质量极高                   40'第40分钟，罗本分球，拉菲尼亚右路塞入禁区，拉姆面对出击封堵的卡西利亚斯，底线附小角度推射击中边网
43'佩佩后场抢球被克罗斯勾了一下                   40'第40分钟，罗本分球，拉菲尼亚右路塞入禁区，拉姆面对出击封堵的卡西利亚斯，底线附小角度推射击中边网
43'佩佩很痛苦的倒在了地上                   40'第40分钟，罗本分球，拉菲尼亚右路塞入禁区，拉姆面对出击封堵的卡西利亚斯，底线附小角度推射击中边网
43'这球裁判并没有吹犯规                   40'第40分钟，罗本分球，拉菲尼亚右路塞入禁区，拉姆面对出击封堵的卡西利亚斯，底线附小角度推射击中边网
43'控球上，拜仁有74%                   40'第40分钟，罗本分球，拉菲尼亚右路塞入禁区，拉姆面对出击封堵的卡西利亚斯，底线附小角度推射击中边网
57'裁判出示了一张黄牌！                   57'第57分钟，伊斯科手球吃到黄牌
57'给了伊斯科！！                   57'第57分钟，伊斯科手球吃到黄牌
57'原来是手球了                   57'第57分钟，伊斯科手球吃到黄牌
58'罗本右路的突破，伊斯科手球犯规                   57'第57分钟，伊斯科手球吃到黄牌
58'看看拜仁的任意球机会                   57'第57分钟，伊斯科手球吃到黄牌
58'直接打了                   57'第57分钟，伊斯科手球吃到黄牌
58'克罗斯远程发炮打高了                   57'第57分钟，伊斯科手球吃到黄牌
59'【互动话题】拜仁这么进攻，能在客场拿个进球吗？[qiangda]                   57'第57分钟，伊斯科手球吃到黄牌
60'罗本角球区拿球，皇马双方包夹犯规了                   57'第57分钟，伊斯科手球吃到黄牌
60'克罗斯任意球送中路                   57'第57分钟，伊斯科手球吃到黄牌
60'阿隆索头球顶出底线                   57'第57分钟，伊斯科手球吃到黄牌
60'拜仁战术角球开出                   57'第57分钟，伊斯科手球吃到黄牌
62'罗本前场带球到禁区弧顶                   62'第62分钟，罗本个人突破禁区前沿左脚低射被卡西利亚斯没收
62'内切的打门没有打上力量                   62'第62分钟，罗本个人突破禁区前沿左脚低射被卡西利亚斯没收
62'卡西利亚斯很轻松将球拿到                   62'第62分钟，罗本个人突破禁区前沿左脚低射被卡西利亚斯没收
63'拉菲尼亚右路起球落点不好                   62'第62分钟，罗本个人突破禁区前沿左脚低射被卡西利亚斯没收
63'施魏因施泰格前场抢球犯规                   62'第62分钟，罗本个人突破禁区前沿左脚低射被卡西利亚斯没收
63'拜仁这边要准备调整了                   62'第62分钟，罗本个人突破禁区前沿左脚低射被卡西利亚斯没收
64'拜仁这边进攻节奏有些放缓                   62'第62分钟，罗本个人突破禁区前沿左脚低射被卡西利亚斯没收
64'里贝里左路跟队友做撞墙配合没有成功                   62'第62分钟，罗本个人突破禁区前沿左脚低射被卡西利亚斯没收
65'C罗中场挑传没有过顶                   62'第62分钟，罗本个人突破禁区前沿左脚低射被卡西利亚斯没收
65'皇马前场断球了                   62'第62分钟，罗本个人突破禁区前沿左脚低射被卡西利亚斯没收
68'空瓶打酒：贝尔还没上吗【还没上呢】                   68'第68分钟，C罗接到科恩特朗传球，突至左侧禁区边缘左脚低射被诺伊尔封出近角
68'迪马利亚中场带球往前走被阻挡                   68'第68分钟，C罗接到科恩特朗传球，突至左侧禁区边缘左脚低射被诺伊尔封出近角
68'皇马任意球快速发出                   68'第68分钟，C罗接到科恩特朗传球，突至左侧禁区边缘左脚低射被诺伊尔封出近角
68'C罗禁区边缘低射被诺伊尔扑出                   68'第68分钟，C罗接到科恩特朗传球，突至左侧禁区边缘左脚低射被诺伊尔封出近角
69'皇马战术角球开出                   68'第68分钟，C罗接到科恩特朗传球，突至左侧禁区边缘左脚低射被诺伊尔封出近角
69'边路起球到前点被破坏                   68'第68分钟，C罗接到科恩特朗传球，突至左侧禁区边缘左脚低射被诺伊尔封出近角
69'佩佩右路起球没有威胁                   68'第68分钟，C罗接到科恩特朗传球，突至左侧禁区边缘左脚低射被诺伊尔封出近角
70'手机用户3186995612：国王杯决赛贝尔的绝杀进球 速度真牛掰！！【这爆发力不得不佩服】                   68'第68分钟，C罗接到科恩特朗传球，突至左侧禁区边缘左脚低射被诺伊尔封出近角
70'罗本右路拿球到了禁区内                   68'第68分钟，C罗接到科恩特朗传球，突至左侧禁区边缘左脚低射被诺伊尔封出近角
70'打门！！又被挡下来                   68'第68分钟，C罗接到科恩特朗传球，突至左侧禁区边缘左脚低射被诺伊尔封出近角
71'拜仁再传禁区内，卡西利亚斯单拳将球击出                   68'第68分钟，C罗接到科恩特朗传球，突至左侧禁区边缘左脚低射被诺伊尔封出近角
71'皇马这个时候两名球员都倒地了                   68'第68分钟，C罗接到科恩特朗传球，突至左侧禁区边缘左脚低射被诺伊尔封出近角
71'佩佩的受伤是被自己人撞了一下                   68'第68分钟，C罗接到科恩特朗传球，突至左侧禁区边缘左脚低射被诺伊尔封出近角
71'问题不是很大                   68'第68分钟，C罗接到科恩特朗传球，突至左侧禁区边缘左脚低射被诺伊尔封出近角
71'拜仁左路起球送中路                   68'第68分钟，C罗接到科恩特朗传球，突至左侧禁区边缘左脚低射被诺伊尔封出近角
71'曼朱基齐这点没有顶到啊                   68'第68分钟，C罗接到科恩特朗传球，突至左侧禁区边缘左脚低射被诺伊尔封出近角
81'穆勒禁区弧顶转身打门打偏了                   81'第81分钟，罗本中路直塞，格策让给穆勒，穆勒在门前16米处转身左脚大力抽射偏出左门柱
81'这球裁判给了角球                   81'第81分钟，罗本中路直塞，格策让给穆勒，穆勒在门前16米处转身左脚大力抽射偏出左门柱
81'皇马换人，伊斯科下，伊利亚拉门迪上！                   81'第81分钟，罗本中路直塞，格策让给穆勒，穆勒在门前16米处转身左脚大力抽射偏出左门柱
82'拜仁角球送中路，卡西利亚斯将球拿到                   81'第81分钟，罗本中路直塞，格策让给穆勒，穆勒在门前16米处转身左脚大力抽射偏出左门柱
82'迪马利亚前场带球被铲倒                   81'第81分钟，罗本中路直塞，格策让给穆勒，穆勒在门前16米处转身左脚大力抽射偏出左门柱
83'贝尔左路拿球到了禁区内                   81'第81分钟，罗本中路直塞，格策让给穆勒，穆勒在门前16米处转身左脚大力抽射偏出左门柱
83'底线的传中被丹特解围                   81'第81分钟，罗本中路直塞，格策让给穆勒，穆勒在门前16米处转身左脚大力抽射偏出左门柱
83'皇马角球开出，禁区内第一点还是拜仁的                   81'第81分钟，罗本中路直塞，格策让给穆勒，穆勒在门前16米处转身左脚大力抽射偏出左门柱
84'卡西利亚斯！！                   81'第81分钟，罗本中路直塞，格策让给穆勒，穆勒在门前16米处转身左脚大力抽射偏出左门柱
84'卡西利亚斯！！                   84'第84分钟，穆勒右路抢断底线传中，格策在门前7米处半凌空射门被卡西利亚斯封出
85'格策禁区内近距离的攻门被卡西利亚斯封出                   84'第84分钟，穆勒右路抢断底线传中，格策在门前7米处半凌空射门被卡西利亚斯封出
85'卡西利亚斯立功了                   84'第84分钟，穆勒右路抢断底线传中，格策在门前7米处半凌空射门被卡西利亚斯封出
86'罗本右路拿球，皇马再次全线退防                   84'第84分钟，穆勒右路抢断底线传中，格策在门前7米处半凌空射门被卡西利亚斯封出
86'禁区弧顶，皇马有8人在防守                   84'第84分钟，穆勒右路抢断底线传中，格策在门前7米处半凌空射门被卡西利亚斯封出
86'克罗斯右路起球送后点                   84'第84分钟，穆勒右路抢断底线传中，格策在门前7米处半凌空射门被卡西利亚斯封出
86'第一点被皇马球员顶出                   84'第84分钟，穆勒右路抢断底线传中，格策在门前7米处半凌空射门被卡西利亚斯封出
87'贝尔中场拿球被铲倒                   84'第84分钟，穆勒右路抢断底线传中，格策在门前7米处半凌空射门被卡西利亚斯封出
47'皇马战术角球开出                   47'补时第2分钟，曼朱基奇禁区左侧头球摆渡，穆勒在门前7米处转身半凌空勾射被阿隆索伸脚破坏，拜仁球员和瓜迪奥拉提出抗议，认为阿隆索犯规，英格兰主裁判韦伯未予理会
47'边路传球到禁区里                   47'补时第2分钟，曼朱基奇禁区左侧头球摆渡，穆勒在门前7米处转身半凌空勾射被阿隆索伸脚破坏，拜仁球员和瓜迪奥拉提出抗议，认为阿隆索犯规，英格兰主裁判韦伯未予理会
47'诺伊尔出击将球打出禁区                   47'补时第2分钟，曼朱基奇禁区左侧头球摆渡，穆勒在门前7米处转身半凌空勾射被阿隆索伸脚破坏，拜仁球员和瓜迪奥拉提出抗议，认为阿隆索犯规，英格兰主裁判韦伯未予理会
47'本泽马拿球的时候越位了                   47'补时第2分钟，曼朱基奇禁区左侧头球摆渡，穆勒在门前7米处转身半凌空勾射被阿隆索伸脚破坏，拜仁球员和瓜迪奥拉提出抗议，认为阿隆索犯规，英格兰主裁判韦伯未予理会
47'C罗禁区内接球，右路小角度射门被诺伊尔扑出                   47'补时第2分钟，曼朱基奇禁区左侧头球摆渡，穆勒在门前7米处转身半凌空勾射被阿隆索伸脚破坏，拜仁球员和瓜迪奥拉提出抗议，认为阿隆索犯规，英格兰主裁判韦伯未予理会
48'佩佩争抢头球，落地的时候脚歪了一下                   47'补时第2分钟，曼朱基奇禁区左侧头球摆渡，穆勒在门前7米处转身半凌空勾射被阿隆索伸脚破坏，拜仁球员和瓜迪奥拉提出抗议，认为阿隆索犯规，英格兰主裁判韦伯未予理会
48'佩佩很痛苦倒在了地上                   47'补时第2分钟，曼朱基奇禁区左侧头球摆渡，穆勒在门前7米处转身半凌空勾射被阿隆索伸脚破坏，拜仁球员和瓜迪奥拉提出抗议，认为阿隆索犯规，英格兰主裁判韦伯未予理会
49'皇马转移的时候出现了失误                   47'补时第2分钟，曼朱基奇禁区左侧头球摆渡，穆勒在门前7米处转身半凌空勾射被阿隆索伸脚破坏，拜仁球员和瓜迪奥拉提出抗议，认为阿隆索犯规，英格兰主裁判韦伯未予理会
50'皇马左路策动攻势                   47'补时第2分钟，曼朱基奇禁区左侧头球摆渡，穆勒在门前7米处转身半凌空勾射被阿隆索伸脚破坏，拜仁球员和瓜迪奥拉提出抗议，认为阿隆索犯规，英格兰主裁判韦伯未予理会
50'博阿滕先出一脚将球破坏                   47'补时第2分钟，曼朱基奇禁区左侧头球摆渡，穆勒在门前7米处转身半凌空勾射被阿隆索伸脚破坏，拜仁球员和瓜迪奥拉提出抗议，认为阿隆索犯规，英格兰主裁判韦伯未予理会
