1'上半场比赛开始！！                   1'第1分钟国安展开积极冲击，张池明与奥古斯托相继形成外围攻门
29'但是边裁举旗示意越位了                   29'第29分钟，建业在任意球攻势中取得入球，边裁认定越位在先，入球无效
31'赵和靖右路带球被铲倒                   29'第29分钟，建业在任意球攻势中取得入球，边裁认定越位在先，入球无效
31'国安队前场右路的任意球                   29'第29分钟，建业在任意球攻势中取得入球，边裁认定越位在先，入球无效
31'任意球快发给到禁区弧顶                   29'第29分钟，建业在任意球攻势中取得入球，边裁认定越位在先，入球无效
31'建业这边盯防的还是很紧                   29'第29分钟，建业在任意球攻势中取得入球，边裁认定越位在先，入球无效
32'国安队右路有机会啊                   29'第29分钟，建业在任意球攻势中取得入球，边裁认定越位在先，入球无效
32'张呈栋这边调整错过了机会                   29'第29分钟，建业在任意球攻势中取得入球，边裁认定越位在先，入球无效
32'场上这边起了冲突！！！                   29'第29分钟，建业在任意球攻势中取得入球，边裁认定越位在先，入球无效
36'队友捅射一脚被杨智封住                   36'第36分钟，伊沃将建业左路任意球传至后门柱附近，哈维尔飞身攻门被杨智挡出，萨马尔季奇准备补射时被身后的奥古斯托撞倒，裁判没有理会
36'二点双方拼抢中有人倒地                   36'第36分钟，伊沃将建业左路任意球传至后门柱附近，哈维尔飞身攻门被杨智挡出，萨马尔季奇准备补射时被身后的奥古斯托撞倒，裁判没有理会
36'裁判这边示意没有犯规                   36'第36分钟，伊沃将建业左路任意球传至后门柱附近，哈维尔飞身攻门被杨智挡出，萨马尔季奇准备补射时被身后的奥古斯托撞倒，裁判没有理会
36'建业现在有围攻之势                   36'第36分钟，伊沃将建业左路任意球传至后门柱附近，哈维尔飞身攻门被杨智挡出，萨马尔季奇准备补射时被身后的奥古斯托撞倒，裁判没有理会
36'建业右路挑传                   36'第36分钟，伊沃将建业左路任意球传至后门柱附近，哈维尔飞身攻门被杨智挡出，萨马尔季奇准备补射时被身后的奥古斯托撞倒，裁判没有理会
36'奥古斯托将球让出底线                   36'第36分钟，伊沃将建业左路任意球传至后门柱附近，哈维尔飞身攻门被杨智挡出，萨马尔季奇准备补射时被身后的奥古斯托撞倒，裁判没有理会
37'萨尔马季奇中场拦截犯规                   36'第36分钟，伊沃将建业左路任意球传至后门柱附近，哈维尔飞身攻门被杨智挡出，萨马尔季奇准备补射时被身后的奥古斯托撞倒，裁判没有理会
37'国安队前场左路的任意球                   36'第36分钟，伊沃将建业左路任意球传至后门柱附近，哈维尔飞身攻门被杨智挡出，萨马尔季奇准备补射时被身后的奥古斯托撞倒，裁判没有理会
38'任意球打了一个战术配合                   36'第36分钟，伊沃将建业左路任意球传至后门柱附近，哈维尔飞身攻门被杨智挡出，萨马尔季奇准备补射时被身后的奥古斯托撞倒，裁判没有理会
38'1-0！！！                   36'第36分钟，伊沃将建业左路任意球传至后门柱附近，哈维尔飞身攻门被杨智挡出，萨马尔季奇准备补射时被身后的奥古斯托撞倒，裁判没有理会
38'奥古斯托！！                   36'第36分钟，伊沃将建业左路任意球传至后门柱附近，哈维尔飞身攻门被杨智挡出，萨马尔季奇准备补射时被身后的奥古斯托撞倒，裁判没有理会
39'杜明洋左路起球送禁区内，奥古斯托头球蹭后点，国安队这边两人后点包抄到位，但进球还是算在奥古斯托头上！！                   36'第36分钟，伊沃将建业左路任意球传至后门柱附近，哈维尔飞身攻门被杨智挡出，萨马尔季奇准备补射时被身后的奥古斯托撞倒，裁判没有理会
49'建业右路起球送中路                   49'第49分钟，杨阔右路传中，陈灏禁区内倒钩攻门打高
49'陈灏倒钩打门将球打高了                   49'第49分钟，杨阔右路传中，陈灏禁区内倒钩攻门打高
50'建业队下半场比赛能进球吗？1能、2不能[qiangda]                   49'第49分钟，杨阔右路传中，陈灏禁区内倒钩攻门打高
50'建业右路策动攻势                   49'第49分钟，杨阔右路传中，陈灏禁区内倒钩攻门打高
50'直塞的时候被国安队挡出                   49'第49分钟，杨阔右路传中，陈灏禁区内倒钩攻门打高
50'建业队的角球                   49'第49分钟，杨阔右路传中，陈灏禁区内倒钩攻门打高
50'伊沃角球送中路                   49'第49分钟，杨阔右路传中，陈灏禁区内倒钩攻门打高
50'杨智出击将球得到                   49'第49分钟，杨阔右路传中，陈灏禁区内倒钩攻门打高
51'李磊后场拿球被拉倒                   49'第49分钟，杨阔右路传中，陈灏禁区内倒钩攻门打高
52'建业中场拿球给哈维尔                   49'第49分钟，杨阔右路传中，陈灏禁区内倒钩攻门打高
52'哈维尔带球往前走                   49'第49分钟，杨阔右路传中，陈灏禁区内倒钩攻门打高
52'雷腾龙这边拉人犯规了                   49'第49分钟，杨阔右路传中，陈灏禁区内倒钩攻门打高
52'雷腾龙身上有一张黄牌啊                   49'第49分钟，杨阔右路传中，陈灏禁区内倒钩攻门打高
52'要小心                   49'第49分钟，杨阔右路传中，陈灏禁区内倒钩攻门打高
46' 上半场补时1分钟！！                   46'1分钟后伊尔马兹左路劲射被王国明挡出底线
46'国安队左路拿球到了禁区里                   46'1分钟后伊尔马兹左路劲射被王国明挡出底线
46'奥古斯托的人球分过非常的好                   46'1分钟后伊尔马兹左路劲射被王国明挡出底线
46'伊尔马兹小禁区推射被门将扑了出去！！                   46'1分钟后伊尔马兹左路劲射被王国明挡出底线
46'这球奥古斯托也可以直接打                   46'1分钟后伊尔马兹左路劲射被王国明挡出底线
47'看看国安队的角球机会                   46'1分钟后伊尔马兹左路劲射被王国明挡出底线
47'角球打了一个战术                   46'1分钟后伊尔马兹左路劲射被王国明挡出底线
46'下半场比赛开始！！                   46'1分钟后伊尔马兹左路劲射被王国明挡出底线
46'下半场比赛由河南建业开球                   46'1分钟后伊尔马兹左路劲射被王国明挡出底线
47'建业队右路进攻                   46'1分钟后伊尔马兹左路劲射被王国明挡出底线
47'故意一漏没有达成默契                   46'1分钟后伊尔马兹左路劲射被王国明挡出底线
47'建业右路下底给到禁区                   46'1分钟后伊尔马兹左路劲射被王国明挡出底线
47'前点的头球攻门顶偏了                   46'1分钟后伊尔马兹左路劲射被王国明挡出底线
48'哈维尔的头球没有顶正                   46'1分钟后伊尔马兹左路劲射被王国明挡出底线
48'奥古斯托中场滑铲将球破坏                   46'1分钟后伊尔马兹左路劲射被王国明挡出底线
48'建业下半场还是有想法的                   46'1分钟后伊尔马兹左路劲射被王国明挡出底线
49'建业右路起球送中路                   46'1分钟后伊尔马兹左路劲射被王国明挡出底线
49'陈灏倒钩打门将球打高了                   46'1分钟后伊尔马兹左路劲射被王国明挡出底线
67'2-0！！！                   67'第67分钟，国安将比分扩大：国安后场长传找到杜明洋，杜明洋迅速斜传左路前插的伊尔马兹，伊尔马兹在禁区左侧斜射攻破球门后角
67'伊尔马兹！！                   67'第67分钟，国安将比分扩大：国安后场长传找到杜明洋，杜明洋迅速斜传左路前插的伊尔马兹，伊尔马兹在禁区左侧斜射攻破球门后角
68'杜明洋中场胸部停球下来大范围转移给到左路，伊尔马兹插上后直接推射远角，球打在门柱内则入网！！                   67'第67分钟，国安将比分扩大：国安后场长传找到杜明洋，杜明洋迅速斜传左路前插的伊尔马兹，伊尔马兹在禁区左侧斜射攻破球门后角
68'国安队换人                   67'第67分钟，国安将比分扩大：国安后场长传找到杜明洋，杜明洋迅速斜传左路前插的伊尔马兹，伊尔马兹在禁区左侧斜射攻破球门后角
68'张池明下，李翰博上！                   67'第67分钟，国安将比分扩大：国安后场长传找到杜明洋，杜明洋迅速斜传左路前插的伊尔马兹，伊尔马兹在禁区左侧斜射攻破球门后角
68'本场比赛前，国安俱乐部为在球队中效力了10年出场299次的功勋老将周挺举办了一个简短的告别仪式                   67'第67分钟，国安将比分扩大：国安后场长传找到杜明洋，杜明洋迅速斜传左路前插的伊尔马兹，伊尔马兹在禁区左侧斜射攻破球门后角
69'周挺怀抱着自己的两个孩子在众将的列队致意下出场，领受了印有4号的纪念球衣                   67'第67分钟，国安将比分扩大：国安后场长传找到杜明洋，杜明洋迅速斜传左路前插的伊尔马兹，伊尔马兹在禁区左侧斜射攻破球门后角
69'建业这边也准备换人                   67'第67分钟，国安将比分扩大：国安后场长传找到杜明洋，杜明洋迅速斜传左路前插的伊尔马兹，伊尔马兹在禁区左侧斜射攻破球门后角
69'杨阔下，王飞上！                   67'第67分钟，国安将比分扩大：国安后场长传找到杜明洋，杜明洋迅速斜传左路前插的伊尔马兹，伊尔马兹在禁区左侧斜射攻破球门后角
70'国安队这场打得很稳                   67'第67分钟，国安将比分扩大：国安后场长传找到杜明洋，杜明洋迅速斜传左路前插的伊尔马兹，伊尔马兹在禁区左侧斜射攻破球门后角
72'陈灏这边又得到一张黄牌！！                   72'第72分钟，国安把握机会再度入球：李翰博右翼斜传禁区中路，伊尔马兹飞身头球攻破球门下角
72'3-0！！！                   72'第72分钟，国安把握机会再度入球：李翰博右翼斜传禁区中路，伊尔马兹飞身头球攻破球门下角
72'又是伊尔马兹！！                   72'第72分钟，国安把握机会再度入球：李翰博右翼斜传禁区中路，伊尔马兹飞身头球攻破球门下角
72'国安队右路起球送禁区，伊尔马兹跟进后冲顶破门！！                   72'第72分钟，国安把握机会再度入球：李翰博右翼斜传禁区中路，伊尔马兹飞身头球攻破球门下角
73'这球后卫没有顶住啊                   72'第72分钟，国安把握机会再度入球：李翰博右翼斜传禁区中路，伊尔马兹飞身头球攻破球门下角
73'建业左路下底到中路                   72'第72分钟，国安把握机会再度入球：李翰博右翼斜传禁区中路，伊尔马兹飞身头球攻破球门下角
73'第一点被国安队解围                   72'第72分钟，国安把握机会再度入球：李翰博右翼斜传禁区中路，伊尔马兹飞身头球攻破球门下角
73'禁区弧顶建业再打被杨智扑出                   72'第72分钟，国安把握机会再度入球：李翰博右翼斜传禁区中路，伊尔马兹飞身头球攻破球门下角
74'国安队在少打一人的情况下也是连进三球                   72'第72分钟，国安把握机会再度入球：李翰博右翼斜传禁区中路，伊尔马兹飞身头球攻破球门下角
87'国安队再次换人                   87'第87分钟，建业扳回一球：奥斯马插入禁区劲射破门
87'杜明洋下，张晓彬上！                   87'第87分钟，建业扳回一球：奥斯马插入禁区劲射破门
87'3-1！！                   87'第87分钟，建业扳回一球：奥斯马插入禁区劲射破门
87'奥斯曼！！                   87'第87分钟，建业扳回一球：奥斯马插入禁区劲射破门
87'建业扳回一球                   87'第87分钟，建业扳回一球：奥斯马插入禁区劲射破门
88'建业队前场传球给到禁区前沿，国安队解围正好踢到了奥斯曼脚下，奥斯曼禁区内拿球推射破门！！                   87'第87分钟，建业扳回一球：奥斯马插入禁区劲射破门
89'奥斯曼禁区内争抢冲撞门将                   87'第87分钟，建业扳回一球：奥斯马插入禁区劲射破门
