32'小法中场突破时被防守队员从身后推倒，犯规                   32'第32分钟，小法直传，佩德罗停球稍大错过单刀射门机会
54'切尔西小法任意球斜传到后点，祖马包抄到位，居然无人盯防，头球攻门，顶入近角！！！！                   53'切尔西第53分钟打破僵局，法布雷加斯任意球传入禁区，祖马小禁区右侧冲顶入近角
54'切尔西又来了，阿扎尔禁区左侧控球，没有晃出空挡                   53'切尔西第53分钟打破僵局，法布雷加斯任意球传入禁区，祖马小禁区右侧冲顶入近角
55'阿扎尔把球拨给禁区线上的科斯塔，同样阿森纳后卫补位很快！阻止了这次进攻                   53'切尔西第53分钟打破僵局，法布雷加斯任意球传入禁区，祖马小禁区右侧冲顶入近角
55'这样阿森纳下半场刚刚开场就丢球，而且自己人数也处于劣势                   53'切尔西第53分钟打破僵局，法布雷加斯任意球传入禁区，祖马小禁区右侧冲顶入近角
56'这个情况就麻烦了，温格估计又要打掉牙齿往肚子里吞了                   53'切尔西第53分钟打破僵局，法布雷加斯任意球传入禁区，祖马小禁区右侧冲顶入近角
56'阿斯皮利奎塔左侧抢断，把球送到前场给小法                   53'切尔西第53分钟打破僵局，法布雷加斯任意球传入禁区，祖马小禁区右侧冲顶入近角
79'阿森纳中场抢断，把球转移到左侧                   79'阿森纳第79分钟再遭打击，卡索拉前场铲倒法布雷加斯累计两张黄牌被罚下，落后的阿森纳仅剩下9人应战
79'卡索拉还是把球在转移到右侧给贝莱林                   79'阿森纳第79分钟再遭打击，卡索拉前场铲倒法布雷加斯累计两张黄牌被罚下，落后的阿森纳仅剩下9人应战
79'贝莱林右侧斜传到禁区内，球还是被后卫解围！                   79'阿森纳第79分钟再遭打击，卡索拉前场铲倒法布雷加斯累计两张黄牌被罚下，落后的阿森纳仅剩下9人应战
80'禁区外卡索拉反抢拦截是铲翻了小法！！第二张黄牌！又被红牌罚下！！                   79'阿森纳第79分钟再遭打击，卡索拉前场铲倒法布雷加斯累计两张黄牌被罚下，落后的阿森纳仅剩下9人应战
80'阿森纳场上只剩9个人了！                   79'阿森纳第79分钟再遭打击，卡索拉前场铲倒法布雷加斯累计两张黄牌被罚下，落后的阿森纳仅剩下9人应战
80'卡索拉也是来到场外和第四官员说了些什么                   79'阿森纳第79分钟再遭打击，卡索拉前场铲倒法布雷加斯累计两张黄牌被罚下，落后的阿森纳仅剩下9人应战
81'这下阿森纳麻烦了！                   79'阿森纳第79分钟再遭打击，卡索拉前场铲倒法布雷加斯累计两张黄牌被罚下，落后的阿森纳仅剩下9人应战
81'好在时间已经不多了，已经80分钟了                   79'阿森纳第79分钟再遭打击，卡索拉前场铲倒法布雷加斯累计两张黄牌被罚下，落后的阿森纳仅剩下9人应战
81'阿扎尔左侧空挡拿球，地平球传到禁区外，马蒂奇远射被后卫挡出                   79'阿森纳第79分钟再遭打击，卡索拉前场铲倒法布雷加斯累计两张黄牌被罚下，落后的阿森纳仅剩下9人应战
82'切尔西换人，科斯塔被换下                   79'阿森纳第79分钟再遭打击，卡索拉前场铲倒法布雷加斯累计两张黄牌被罚下，落后的阿森纳仅剩下9人应战
82'雷米上！                   79'阿森纳第79分钟再遭打击，卡索拉前场铲倒法布雷加斯累计两张黄牌被罚下，落后的阿森纳仅剩下9人应战
91'进球了！！2-0                   91'切尔西第91分钟锁定胜局，雷米混战中点球点射门被封堵，阿扎尔15码处劲射打中钱伯斯偏转入网，2-0
91'此时此刻值得来杯嘉士伯                   91'切尔西第91分钟锁定胜局，雷米混战中点球点射门被封堵，阿扎尔15码处劲射打中钱伯斯偏转入网，2-0
92'切尔西右边路突然加速，直塞到禁区里，拉米雷斯横传到禁区里被后卫挡出，雷米的打门被后卫挡出，阿扎尔再射，打在钱伯斯身上弹进了大门！                   91'切尔西第91分钟锁定胜局，雷米混战中点球点射门被封堵，阿扎尔15码处劲射打中钱伯斯偏转入网，2-0
92'全场补时5分钟！                   91'切尔西第91分钟锁定胜局，雷米混战中点球点射门被封堵，阿扎尔15码处劲射打中钱伯斯偏转入网，2-0
92'切尔西用米克尔换下小法                   91'切尔西第91分钟锁定胜局，雷米混战中点球点射门被封堵，阿扎尔15码处劲射打中钱伯斯偏转入网，2-0
93'阿森纳左边路传真到后点，沃尔科特头球摆渡到门前，跟进的拉姆塞射门被封上了的门将挡出！                   91'切尔西第91分钟锁定胜局，雷米混战中点球点射门被封堵，阿扎尔15码处劲射打中钱伯斯偏转入网，2-0
93'拉米雷斯中路带球突破，禁区内射门又被钱伯斯挡出底线，角球                   91'切尔西第91分钟锁定胜局，雷米混战中点球点射门被封堵，阿扎尔15码处劲射打中钱伯斯偏转入网，2-0
94'战术角球，切尔西中前场控球                   91'切尔西第91分钟锁定胜局，雷米混战中点球点射门被封堵，阿扎尔15码处劲射打中钱伯斯偏转入网，2-0
