1'上半场比赛开始                   1'阿森纳第1分钟就以紧密逼抢压制对手
35'马歇尔左路拿球，强突下底传中到禁区                   33'第33分钟，厄齐尔传球，桑切斯禁区内的射门稍稍高出
36'穆蒂尼奥跟进一脚扫射，可惜高了一点点啊                   33'第33分钟，厄齐尔传球，桑切斯禁区内的射门稍稍高出
36'桑切斯前场拿球，强突到禁区弧顶，直塞找厄齐尔                   33'第33分钟，厄齐尔传球，桑切斯禁区内的射门稍稍高出
38'贝莱林右路拿球，低平球到禁区，吉鲁抢点攻门，可惜打偏了                   38'摩纳哥第38分钟打破僵局，穆蒂尼奥传球，孔多比亚30码处远射打中默特萨克后偏转，奥斯皮纳毫无反应
38'摩纳哥进球啦！！！                   38'摩纳哥第38分钟打破僵局，穆蒂尼奥传球，孔多比亚30码处远射打中默特萨克后偏转，奥斯皮纳毫无反应
38'孔德比亚禁区外的远射，打进！！！                   38'摩纳哥第38分钟打破僵局，穆蒂尼奥传球，孔多比亚30码处远射打中默特萨克后偏转，奥斯皮纳毫无反应
40'图雷抢断横传给到穆蒂尼奥，穆蒂尼奥再给孔德比亚，孔德比亚禁区外的远射，打在默特萨克身上，折射钻进网窝，奥斯皮纳毫无反应哦                   38'摩纳哥第38分钟打破僵局，穆蒂尼奥传球，孔多比亚30码处远射打中默特萨克后偏转，奥斯皮纳毫无反应
40'这样客场作战、场面并不占优的摩纳哥取得了领先                   38'摩纳哥第38分钟打破僵局，穆蒂尼奥传球，孔多比亚30码处远射打中默特萨克后偏转，奥斯皮纳毫无反应
41'这也为摩纳哥赢得了一个宝贵的客场进球                   38'摩纳哥第38分钟打破僵局，穆蒂尼奥传球，孔多比亚30码处远射打中默特萨克后偏转，奥斯皮纳毫无反应
41'吉布斯左路拿球，强突后传中到禁区，吉鲁抢点头球，顶高                   38'摩纳哥第38分钟打破僵局，穆蒂尼奥传球，孔多比亚30码处远射打中默特萨克后偏转，奥斯皮纳毫无反应
52'卡素拉任意球搓传门前，吉鲁抢点攻门，可惜顶高啦                   52'第52分钟再次浪费机会，卡索拉左路任意球传中，但吉鲁小禁区前头球攻门再次高出，他愤怒捶地表达不满
52'这球落点相当好，可惜吉鲁的攻门，在防守球员干扰下，并未形成威胁                   52'第52分钟再次浪费机会，卡索拉左路任意球传中，但吉鲁小禁区前头球攻门再次高出，他愤怒捶地表达不满
53'桑切斯右路拿球内切，进入禁区，被法比尼奥抢断                   52'第52分钟再次浪费机会，卡索拉左路任意球传中，但吉鲁小禁区前头球攻门再次高出，他愤怒捶地表达不满
53'摩纳哥再进一个！！！                   52'第52分钟再次浪费机会，卡索拉左路任意球传中，但吉鲁小禁区前头球攻门再次高出，他愤怒捶地表达不满
53'贝尔巴托夫的抽射打进！！！                   52'第52分钟再次浪费机会，卡索拉左路任意球传中，但吉鲁小禁区前头球攻门再次高出，他愤怒捶地表达不满
55'法比尼奥后场抢断，直塞球给到前插的马歇尔，马歇尔左路拿球，横传后点给到贝尔巴托夫，贝尔巴托夫停球顺势一趟，刚进禁区直接起脚打门，打进球门左侧，奥斯皮纳毫无办法                   52'第52分钟再次浪费机会，卡索拉左路任意球传中，但吉鲁小禁区前头球攻门再次高出，他愤怒捶地表达不满
57'吉鲁背身拿球，转身分球时被破坏                   57'第57分钟，科奎林突破受阻，桑切斯禁区右侧劲射被苏巴西奇勉强扑出，但吉鲁10码处补射空门却打高
57'阿森纳前场进攻，科奎林中路拿球，强突被破坏                   57'第57分钟，科奎林突破受阻，桑切斯禁区右侧劲射被苏巴西奇勉强扑出，但吉鲁10码处补射空门却打高
57'球到了右侧的桑切斯脚下，桑切斯禁区角上横传门前                   57'第57分钟，科奎林突破受阻，桑切斯禁区右侧劲射被苏巴西奇勉强扑出，但吉鲁10码处补射空门却打高
58'吉鲁跟进一脚端射，可惜打飞啦，近在迟尺啊                   57'第57分钟，科奎林突破受阻，桑切斯禁区右侧劲射被苏巴西奇勉强扑出，但吉鲁10码处补射空门却打高
58'华莱士中场和吉鲁争抢时被撞翻在地，有点受伤，不过无大碍                   57'第57分钟，科奎林突破受阻，桑切斯禁区右侧劲射被苏巴西奇勉强扑出，但吉鲁10码处补射空门却打高
59'桑切斯右路拿球，强突时自己趟球有点大，被孔德比亚卡在身前拦截                   57'第57分钟，科奎林突破受阻，桑切斯禁区右侧劲射被苏巴西奇勉强扑出，但吉鲁10码处补射空门却打高
60'阿森纳换人：14号沃尔科特上，换下12号吉鲁                   57'第57分钟，科奎林突破受阻，桑切斯禁区右侧劲射被苏巴西奇勉强扑出，但吉鲁10码处补射空门却打高
64'吉布斯再给桑切斯，桑切斯拿球没机会，回传科斯切尔尼                   64'第64分钟，桑切斯直传，沃尔科特10码处捅射被苏巴西奇挡出，维尔贝克跟进补射打在沃尔科特腿上高出横梁
64'阿森纳前场进攻，桑切斯直塞禁区给到沃尔科特                   64'第64分钟，桑切斯直传，沃尔科特10码处捅射被苏巴西奇挡出，维尔贝克跟进补射打在沃尔科特腿上高出横梁
64'沃尔科特停球横切，外脚背撩射被苏巴西奇挡出                   64'第64分钟，桑切斯直传，沃尔科特10码处捅射被苏巴西奇挡出，维尔贝克跟进补射打在沃尔科特腿上高出横梁
64'维尔贝克跟进补射，打在倒在地上的沃尔科特身上出了底线                   64'第64分钟，桑切斯直传，沃尔科特10码处捅射被苏巴西奇挡出，维尔贝克跟进补射打在沃尔科特腿上高出横梁
65'全场比赛来到了65分钟，比分0-2，主场作战的阿森纳落后                   64'第64分钟，桑切斯直传，沃尔科特10码处捅射被苏巴西奇挡出，维尔贝克跟进补射打在沃尔科特腿上高出横梁
67'埃希耶吉雷禁区线上的低射，没能踢中部位，出了底线                   64'第64分钟，桑切斯直传，沃尔科特10码处捅射被苏巴西奇挡出，维尔贝克跟进补射打在沃尔科特腿上高出横梁
91'张伯伦禁区外的拉弓射箭，打进！！！                   91'阿森纳第91分钟扳回一城，厄齐尔左路传中被顶出，张伯伦禁区弧边缘外弧线球破门，1-2
91'厄齐尔左路传中被后卫解围，张伯伦跟进，禁区弧顶抢到落点，直接起脚打门，球直钻网窝！！！                   91'阿森纳第91分钟扳回一城，厄齐尔左路传中被顶出，张伯伦禁区弧边缘外弧线球破门，1-2
92'穆蒂尼奥右路拿球，强突球被吉布斯破坏出边线                   91'阿森纳第91分钟扳回一城，厄齐尔左路传中被顶出，张伯伦禁区弧边缘外弧线球破门，1-2
92'穆蒂尼奥界外球，裁判认为拖延时间，被出示了黄牌警告！！！                   91'阿森纳第91分钟扳回一城，厄齐尔左路传中被顶出，张伯伦禁区弧边缘外弧线球破门，1-2
93'罗西基后场中路防守被吹犯规，送给摩纳哥一个任意球                   91'阿森纳第91分钟扳回一城，厄齐尔左路传中被顶出，张伯伦禁区弧边缘外弧线球破门，1-2
93'穆蒂尼奥的任意球攻门，直接被奥斯皮纳没收                   91'阿森纳第91分钟扳回一城，厄齐尔左路传中被顶出，张伯伦禁区弧边缘外弧线球破门，1-2
93'张伯伦前场拿球反击，失误啦                   91'阿森纳第91分钟扳回一城，厄齐尔左路传中被顶出，张伯伦禁区弧边缘外弧线球破门，1-2
93'摩纳哥的反击，卡拉斯科单刀赴会                   91'阿森纳第91分钟扳回一城，厄齐尔左路传中被顶出，张伯伦禁区弧边缘外弧线球破门，1-2
93'进球啦！！！3-1！！！                   91'阿森纳第91分钟扳回一城，厄齐尔左路传中被顶出，张伯伦禁区弧边缘外弧线球破门，1-2
