1'上半场比赛开始                   1'洛夫图斯-奇克开场不到1分钟的蹬踏犯规被罚黄牌
61'位置在大禁区左上角，小法来主罚                   58'切尔西第58分钟锁定胜局，法布雷加斯传球，迭戈-科斯塔12码处凌空扫射入右上死角，3-0
61'小法任意球直接攻门，打在人墙上弹出                   58'切尔西第58分钟锁定胜局，法布雷加斯传球，迭戈-科斯塔12码处凌空扫射入右上死角，3-0
78'马卡比前场进攻，获得右路的任意球机会                   78'第78分钟，阿扎尔4打2反击中斜传，雷米禁区边缘内射门被拉伊科维奇勉强扑挡，法布雷加斯轻松打入空门，4-0
78'米托维奇任意球斜传禁区，雷米头球解围‘                   78'第78分钟，阿扎尔4打2反击中斜传，雷米禁区边缘内射门被拉伊科维奇勉强扑挡，法布雷加斯轻松打入空门，4-0
78'4-0！！！1                   78'第78分钟，阿扎尔4打2反击中斜传，雷米禁区边缘内射门被拉伊科维奇勉强扑挡，法布雷加斯轻松打入空门，4-0
79'小法推射空门得分！！！                   78'第78分钟，阿扎尔4打2反击中斜传，雷米禁区边缘内射门被拉伊科维奇勉强扑挡，法布雷加斯轻松打入空门，4-0
80'切尔西后场抢断打反击，阿扎尔中路拿球，斜塞给到前插的雷米，雷米面对出击的拉耶科维奇劲射被扑，球到了后点的小法脚下，后者推射空门得手！！！                   78'第78分钟，阿扎尔4打2反击中斜传，雷米禁区边缘内射门被拉伊科维奇勉强扑挡，法布雷加斯轻松打入空门，4-0
80'全场比赛80分钟了，比分4-0，切尔西领先，还会有进球嘛？                   78'第78分钟，阿扎尔4打2反击中斜传，雷米禁区边缘内射门被拉伊科维奇勉强扑挡，法布雷加斯轻松打入空门，4-0
87'德扬-拉德吉奇左路强突，和阿斯皮利奎塔相撞倒地                   87'马卡比第87分钟错过机会进球，佩雷茨右路突破传中，诺萨小禁区边缘铲射偏出
87'裁判吹罚了后者的阻挡犯规，阿斯皮利奎塔一脸无奈                   87'马卡比第87分钟错过机会进球，佩雷茨右路突破传中，诺萨小禁区边缘铲射偏出
88'马卡比的机会，近在迟迟，大半个空门，伊吉耶博尔竟然打次啦                   87'马卡比第87分钟错过机会进球，佩雷茨右路突破传中，诺萨小禁区边缘铲射偏出
89'精彩回放：米哈右路拿球，强突后低平球送到后点，贝戈维奇出击没拿到，伊吉耶博尔倒地铲射，球打在小腿踢飞                   87'马卡比第87分钟错过机会进球，佩雷茨右路突破传中，诺萨小禁区边缘铲射偏出
89'非常好的一次机会，可惜马卡比并未抓住                   87'马卡比第87分钟错过机会进球，佩雷茨右路突破传中，诺萨小禁区边缘铲射偏出
90'马卡比前场再攻，米哈的传中，被卡希尔解围出底线                   87'马卡比第87分钟错过机会进球，佩雷茨右路突破传中，诺萨小禁区边缘铲射偏出
90'马卡比获得右侧角球机会，并未形成威胁                   87'马卡比第87分钟错过机会进球，佩雷茨右路突破传中，诺萨小禁区边缘铲射偏出
