2'胡尔城界外球进场，瓦伦西亚上抢，将球破坏                   2'开场2分钟，布拉迪左路斜传，恩多耶头槌落入巴尔德斯怀中
51'霍德斯通低平球直接爆射，打在防守球员身上弹出                   48'下半时开始3分钟，恩多耶传球失误，马塔传给埃雷拉，埃雷拉突入禁区劲射被道森封堵
60'艾莫哈马蒂左路拿球，强突后的传中，第一点被曼联球员解围                   60'第60分钟，马塔回传，埃雷拉突破赫德尔斯通，禁区边缘低射偏出远门柱
60'这球要是过去，后点的耶拉维奇可就没人防守了                   60'第60分钟，马塔回传，埃雷拉突破赫德尔斯通，禁区边缘低射偏出远门柱
60'曼联前场再攻，安德尔的劲射，滑门而过，出底线                   60'第60分钟，马塔回传，埃雷拉突破赫德尔斯通，禁区边缘低射偏出远门柱
61'布雷迪左路起球到前点，斯莫林附身头球解围出底线                   60'第60分钟，马塔回传，埃雷拉突破赫德尔斯通，禁区边缘低射偏出远门柱
61'胡尔城获得左侧角球机会，布雷迪主罚                   60'第60分钟，马塔回传，埃雷拉突破赫德尔斯通，禁区边缘低射偏出远门柱
62'角球开出到禁区线上，道森头球摆渡                   60'第60分钟，马塔回传，埃雷拉突破赫德尔斯通，禁区边缘低射偏出远门柱
62'巴尔德斯出击没能打到，球落在恩多耶脚下，恩多耶再打，没踢上                   60'第60分钟，马塔回传，埃雷拉突破赫德尔斯通，禁区边缘低射偏出远门柱
62'球被曼联球员赶紧出脚，将球解围出底线                   60'第60分钟，马塔回传，埃雷拉突破赫德尔斯通，禁区边缘低射偏出远门柱
63'曼联这次回防解围，和出击的巴尔德斯相撞，受伤倒在自家禁区                   60'第60分钟，马塔回传，埃雷拉突破赫德尔斯通，禁区边缘低射偏出远门柱
63'曼联在队医的陪伴下出场接受处理，比赛继续，胡尔城角球                   60'第60分钟，马塔回传，埃雷拉突破赫德尔斯通，禁区边缘低射偏出远门柱
74'阿鲁克右路拿球，内切后变向横传，穿裆给到耶拉维奇                   74'第74分钟，阿卢科突破埃雷拉低传，耶拉维奇抢点推射被巴尔德斯扑出
74'耶拉维奇的前点打门，再被巴尔德斯封堵出底线                   74'第74分钟，阿卢科突破埃雷拉低传，耶拉维奇抢点推射被巴尔德斯扑出
74'胡尔城角球，布雷迪主罚，道森头球，打在防守球员身上出底线                   74'第74分钟，阿卢科突破埃雷拉低传，耶拉维奇抢点推射被巴尔德斯扑出
74'胡尔城继续角球，这次并未形成威胁，第一点被费莱尼解围                   74'第74分钟，阿卢科突破埃雷拉低传，耶拉维奇抢点推射被巴尔德斯扑出
76'埃尔南德斯之前禁区内抢点，直接给琼斯两记勾拳，两人发生了口角                   74'第74分钟，阿卢科突破埃雷拉低传，耶拉维奇抢点推射被巴尔德斯扑出
76'埃尔南德斯这个动作比较隐蔽，不然直接红牌都不为过                   74'第74分钟，阿卢科突破埃雷拉低传，耶拉维奇抢点推射被巴尔德斯扑出
77'纽卡和西汉姆那边，目前打成了平局，积分榜上纽卡领先胡尔城3分                   74'第74分钟，阿卢科突破埃雷拉低传，耶拉维奇抢点推射被巴尔德斯扑出
77'费莱尼中场争抢，飞铲放倒了霍德斯通                   74'第74分钟，阿卢科突破埃雷拉低传，耶拉维奇抢点推射被巴尔德斯扑出
77'费莱尼被主裁判出示了红牌，直接罚出场外！！！                   74'第74分钟，阿卢科突破埃雷拉低传，耶拉维奇抢点推射被巴尔德斯扑出
