6'胡人天突破被放倒，前场任意球机会                   6'第6分钟，杜震宇禁区外左脚直接射门，刘殿座将球扑住
16'战术任意球发出来，上海申鑫队回传球                   15'第15分钟，天津队右路简练配合后胡人天下底传中，瓦伦西亚侧身凌空打门完全不着边际
16'乔尼有问题啊，回传球没有力量！！巴雷好快，对方只好把球处理出边线                   15'第15分钟，天津队右路简练配合后胡人天下底传中，瓦伦西亚侧身凌空打门完全不着边际
17'送给了天津泰达队前场界外球机会                   15'第15分钟，天津队右路简练配合后胡人天下底传中，瓦伦西亚侧身凌空打门完全不着边际
17'姜嘉俊抢球出界，天津泰达队前场界外球                   15'第15分钟，天津队右路简练配合后胡人天下底传中，瓦伦西亚侧身凌空打门完全不着边际
18'界外球发出来，姜嘉俊拚抢犯规                   15'第15分钟，天津队右路简练配合后胡人天下底传中，瓦伦西亚侧身凌空打门完全不着边际
18'天津泰达队得到胶场左路任意球机会                   15'第15分钟，天津队右路简练配合后胡人天下底传中，瓦伦西亚侧身凌空打门完全不着边际
18'杜震宇发任意球到禁区内，对方顶出来，并不远                   15'第15分钟，天津队右路简练配合后胡人天下底传中，瓦伦西亚侧身凌空打门完全不着边际
18'上海申鑫队右路反击，到中场传球失误                   15'第15分钟，天津队右路简练配合后胡人天下底传中，瓦伦西亚侧身凌空打门完全不着边际
22'瓦伦西亚右路突破横传，刘峻楠把球挡出底线                   22'第22分钟，天津队前场界外球，巴雷停回，杜震宇直接传中，皮球在禁区内落地弹起时被林庾焕手臂带到改变了方向，裁判吹罚了点球
22'天津泰达队的第三个角球                   22'第22分钟，天津队前场界外球，巴雷停回，杜震宇直接传中，皮球在禁区内落地弹起时被林庾焕手臂带到改变了方向，裁判吹罚了点球
22'还是由杜震宇来发角球！                   22'第22分钟，天津队前场界外球，巴雷停回，杜震宇直接传中，皮球在禁区内落地弹起时被林庾焕手臂带到改变了方向，裁判吹罚了点球
22'发得太低了啊，前点被对方破坏出边线                   22'第22分钟，天津队前场界外球，巴雷停回，杜震宇直接传中，皮球在禁区内落地弹起时被林庾焕手臂带到改变了方向，裁判吹罚了点球
23'界外球发出来横传到禁区内，乱军中17号手球犯规！！点球！！！！                   22'第22分钟，天津队前场界外球，巴雷停回，杜震宇直接传中，皮球在禁区内落地弹起时被林庾焕手臂带到改变了方向，裁判吹罚了点球
24'巴雷啊巴雷！！居然把球打高啦！！！！！                   22'第22分钟，天津队前场界外球，巴雷停回，杜震宇直接传中，皮球在禁区内落地弹起时被林庾焕手臂带到改变了方向，裁判吹罚了点球
24'发力太狠啦                   22'第22分钟，天津队前场界外球，巴雷停回，杜震宇直接传中，皮球在禁区内落地弹起时被林庾焕手臂带到改变了方向，裁判吹罚了点球
24'先不要发贺电啦！！                   22'第22分钟，天津队前场界外球，巴雷停回，杜震宇直接传中，皮球在禁区内落地弹起时被林庾焕手臂带到改变了方向，裁判吹罚了点球
25'刚才在禁区内手球犯规的是17号林裕焕                   22'第22分钟，天津队前场界外球，巴雷停回，杜震宇直接传中，皮球在禁区内落地弹起时被林庾焕手臂带到改变了方向，裁判吹罚了点球
25'胡人天右路人球分过，对方卡住了位置！！胡人天抢球犯规                   22'第22分钟，天津队前场界外球，巴雷停回，杜震宇直接传中，皮球在禁区内落地弹起时被林庾焕手臂带到改变了方向，裁判吹罚了点球
25'刘殿座发出后场任意球！乔尼横传右路                   22'第22分钟，天津队前场界外球，巴雷停回，杜震宇直接传中，皮球在禁区内落地弹起时被林庾焕手臂带到改变了方向，裁判吹罚了点球
28'上海申鑫队得到前场左翼任意球机会                   28'第28分钟，周海滨禁区前沿拉拽杨家威犯规，孙凯任意球传到门前但队友都没有抢到落点
28'任意球发到门前，对方解围                   28'第28分钟，周海滨禁区前沿拉拽杨家威犯规，孙凯任意球传到门前但队友都没有抢到落点
29'上海申鑫队右路直传，对方把球破坏出边线                   28'第28分钟，周海滨禁区前沿拉拽杨家威犯规，孙凯任意球传到门前但队友都没有抢到落点
29'杨家威右路横传门前，宗磊没收                   28'第28分钟，周海滨禁区前沿拉拽杨家威犯规，孙凯任意球传到门前但队友都没有抢到落点
29'雅伊尔顿左路挑传禁区，对方破坏出来                   28'第28分钟，周海滨禁区前沿拉拽杨家威犯规，孙凯任意球传到门前但队友都没有抢到落点
30'于涛在前场拿球，分到左路                   28'第28分钟，周海滨禁区前沿拉拽杨家威犯规，孙凯任意球传到门前但队友都没有抢到落点
30'杜震宇争抢犯规，侵犯了于涛                   28'第28分钟，周海滨禁区前沿拉拽杨家威犯规，孙凯任意球传到门前但队友都没有抢到落点
30'于涛发任意球到后场，上海申鑫队重新组织进攻                   28'第28分钟，周海滨禁区前沿拉拽杨家威犯规，孙凯任意球传到门前但队友都没有抢到落点
30'中场上海申鑫队直传禁区，雅伊尔顿已经杀到，对方把球破坏                   28'第28分钟，周海滨禁区前沿拉拽杨家威犯规，孙凯任意球传到门前但队友都没有抢到落点
31'哇！！悬啊！！刘峻楠的必进之球！                   28'第28分钟，周海滨禁区前沿拉拽杨家威犯规，孙凯任意球传到门前但队友都没有抢到落点
31'上海申鑫队右路横传禁区！！刘峻楠打门，宗磊已经无能为力！皮球击中横梁弹在地上！！                   28'第28分钟，周海滨禁区前沿拉拽杨家威犯规，孙凯任意球传到门前但队友都没有抢到落点
31'上海申鑫队的进攻效率还真是不错。                   28'第28分钟，周海滨禁区前沿拉拽杨家威犯规，孙凯任意球传到门前但队友都没有抢到落点
31'哇！！悬啊！！刘峻楠的必进之球！                   31'第31分钟，杨家威右路下底后倒三角传中，刘骏楠无人防守的情况下距门十米左右大力轰门，皮球击中横梁弹下，几乎在球门线上弹地后弹出
31'上海申鑫队右路横传禁区！！刘峻楠打门，宗磊已经无能为力！皮球击中横梁弹在地上！！                   31'第31分钟，杨家威右路下底后倒三角传中，刘骏楠无人防守的情况下距门十米左右大力轰门，皮球击中横梁弹下，几乎在球门线上弹地后弹出
31'上海申鑫队的进攻效率还真是不错。                   31'第31分钟，杨家威右路下底后倒三角传中，刘骏楠无人防守的情况下距门十米左右大力轰门，皮球击中横梁弹下，几乎在球门线上弹地后弹出
32'虽然天津泰达队控球时间占优，但真正有威胁的打门也不多！                   31'第31分钟，杨家威右路下底后倒三角传中，刘骏楠无人防守的情况下距门十米左右大力轰门，皮球击中横梁弹下，几乎在球门线上弹地后弹出
32'用户3854513348：为什么非用巴雷踢点球？看他心非常的虚回复[冤死我啦！！不是我让他罚点球的！！]                   31'第31分钟，杨家威右路下底后倒三角传中，刘骏楠无人防守的情况下距门十米左右大力轰门，皮球击中横梁弹下，几乎在球门线上弹地后弹出
33'天津泰达队攻到中场，对方把球破坏                   31'第31分钟，杨家威右路下底后倒三角传中，刘骏楠无人防守的情况下距门十米左右大力轰门，皮球击中横梁弹下，几乎在球门线上弹地后弹出
33'界外球发出来，巴雷突破造成于涛犯规                   31'第31分钟，杨家威右路下底后倒三角传中，刘骏楠无人防守的情况下距门十米左右大力轰门，皮球击中横梁弹下，几乎在球门线上弹地后弹出
33'天津泰达队得到前场任意球机会                   31'第31分钟，杨家威右路下底后倒三角传中，刘骏楠无人防守的情况下距门十米左右大力轰门，皮球击中横梁弹下，几乎在球门线上弹地后弹出
34'任意球直推，越位                   31'第31分钟，杨家威右路下底后倒三角传中，刘骏楠无人防守的情况下距门十米左右大力轰门，皮球击中横梁弹下，几乎在球门线上弹地后弹出
34'天津泰达队真想一口吃掉对方！不容易啊！                   31'第31分钟，杨家威右路下底后倒三角传中，刘骏楠无人防守的情况下距门十米左右大力轰门，皮球击中横梁弹下，几乎在球门线上弹地后弹出
35'上海申鑫队长传前场，雅伊尔顿到禁区内小角度打门！还真悬，球到另一侧！                   35'第35分钟，雅伊尔顿利用速度甩开李玮峰杀入禁区，但他的小角度射门偏出球门范围
35'乔尼后场拿球大脚长传，对方把球争顶下来                   35'第35分钟，雅伊尔顿利用速度甩开李玮峰杀入禁区，但他的小角度射门偏出球门范围
35'中场上海申鑫队得球吊禁区，宗磊没收                   35'第35分钟，雅伊尔顿利用速度甩开李玮峰杀入禁区，但他的小角度射门偏出球门范围
36'中场上海申鑫队左路快速反击，虽然有天津泰达队一名队员受伤倒在地上，主裁判示意继续比赛！                   35'第35分钟，雅伊尔顿利用速度甩开李玮峰杀入禁区，但他的小角度射门偏出球门范围
36'上海申鑫队攻不进去，主裁判哨响                   35'第35分钟，雅伊尔顿利用速度甩开李玮峰杀入禁区，但他的小角度射门偏出球门范围
37'让受作队员治疗一下！                   35'第35分钟，雅伊尔顿利用速度甩开李玮峰杀入禁区，但他的小角度射门偏出球门范围
37'我名字叫啥主播给看下。，回复[晴天下面有很多人]                   35'第35分钟，雅伊尔顿利用速度甩开李玮峰杀入禁区，但他的小角度射门偏出球门范围
37'后场叶重秋断球，右路直传球被断                   35'第35分钟，雅伊尔顿利用速度甩开李玮峰杀入禁区，但他的小角度射门偏出球门范围
37'天津泰达队中场断球反击，于涛抢球犯规                   35'第35分钟，雅伊尔顿利用速度甩开李玮峰杀入禁区，但他的小角度射门偏出球门范围
38'后场上海申鑫队断球左路反击，到中场失误                   35'第35分钟，雅伊尔顿利用速度甩开李玮峰杀入禁区，但他的小角度射门偏出球门范围
38'天津泰达队左路直传球，杜震宇横传禁区，对方把球抢断                   35'第35分钟，雅伊尔顿利用速度甩开李玮峰杀入禁区，但他的小角度射门偏出球门范围
43'天津泰达队攻到前场，分右路                   43'第43分钟，巴雷反击中连续过人被放倒，裁判示意攻方有利，聊博超右路插上禁区外大力轰门，刘殿座奋力侧扑将球封出
43'聊博超得球突破一脚大力远射，被刘殿座扑出，后卫解时解围                   43'第43分钟，巴雷反击中连续过人被放倒，裁判示意攻方有利，聊博超右路插上禁区外大力轰门，刘殿座奋力侧扑将球封出
44'：于涛去申鑫就是暴殄天物啊回复[申鑫也需要他啊]                   43'第43分钟，巴雷反击中连续过人被放倒，裁判示意攻方有利，聊博超右路插上禁区外大力轰门，刘殿座奋力侧扑将球封出
44'叶重秋左路拿球，被推倒                   43'第43分钟，巴雷反击中连续过人被放倒，裁判示意攻方有利，聊博超右路插上禁区外大力轰门，刘殿座奋力侧扑将球封出
45'主裁判并没有吹，叶重秋站起来把球传给队友                   43'第43分钟，巴雷反击中连续过人被放倒，裁判示意攻方有利，聊博超右路插上禁区外大力轰门，刘殿座奋力侧扑将球封出
45'雅伊尔顿左路突破，利马抢球犯规                   43'第43分钟，巴雷反击中连续过人被放倒，裁判示意攻方有利，聊博超右路插上禁区外大力轰门，刘殿座奋力侧扑将球封出
45'上半场要补时 1 分钟                   43'第43分钟，巴雷反击中连续过人被放倒，裁判示意攻方有利，聊博超右路插上禁区外大力轰门，刘殿座奋力侧扑将球封出
45'于涛来罚任意球                   43'第43分钟，巴雷反击中连续过人被放倒，裁判示意攻方有利，聊博超右路插上禁区外大力轰门，刘殿座奋力侧扑将球封出
45'球发到禁区内，乔尼抢点头球顶门！偏出！！                   43'第43分钟，巴雷反击中连续过人被放倒，裁判示意攻方有利，聊博超右路插上禁区外大力轰门，刘殿座奋力侧扑将球封出
46'天津泰达队把球传到中场                   43'第43分钟，巴雷反击中连续过人被放倒，裁判示意攻方有利，聊博超右路插上禁区外大力轰门，刘殿座奋力侧扑将球封出
46'主裁判哨响                   43'第43分钟，巴雷反击中连续过人被放倒，裁判示意攻方有利，聊博超右路插上禁区外大力轰门，刘殿座奋力侧扑将球封出
46'下半场比赛开始                   43'第43分钟，巴雷反击中连续过人被放倒，裁判示意攻方有利，聊博超右路插上禁区外大力轰门，刘殿座奋力侧扑将球封出
46'李本舰上场换下王新欣                   43'第43分钟，巴雷反击中连续过人被放倒，裁判示意攻方有利，聊博超右路插上禁区外大力轰门，刘殿座奋力侧扑将球封出
46'天津泰达队连换两人，志在必得                   43'第43分钟，巴雷反击中连续过人被放倒，裁判示意攻方有利，聊博超右路插上禁区外大力轰门，刘殿座奋力侧扑将球封出
46'雅伊尔顿右路下底横传，被挡出来                   43'第43分钟，巴雷反击中连续过人被放倒，裁判示意攻方有利，聊博超右路插上禁区外大力轰门，刘殿座奋力侧扑将球封出
47'中场上海申鑫队得球挑传前场，越位啦                   47'第47分钟，烈鸟挑传禁区，但刘殿座及时出击在胡人天之前将球摘下
47'中场上海申鑫队断球，左路直传进攻                   47'第47分钟，烈鸟挑传禁区，但刘殿座及时出击在胡人天之前将球摘下
48'天津泰达队攻到前场，挑到禁区内，刘殿座出击没收                   47'第47分钟，烈鸟挑传禁区，但刘殿座及时出击在胡人天之前将球摘下
48'杜震宇前场斜传禁区，被对方挡出来                   47'第47分钟，烈鸟挑传禁区，但刘殿座及时出击在胡人天之前将球摘下
49'杜震宇横传，周海滨挑传球，力量大啦                   47'第47分钟，烈鸟挑传禁区，但刘殿座及时出击在胡人天之前将球摘下
49'上场比赛的图片                   47'第47分钟，烈鸟挑传禁区，但刘殿座及时出击在胡人天之前将球摘下
49'杜震宇后场拿球，对方上抢犯规                   47'第47分钟，烈鸟挑传禁区，但刘殿座及时出击在胡人天之前将球摘下
50'天津泰达队右路横传门前，刘殿座把球没收                   47'第47分钟，烈鸟挑传禁区，但刘殿座及时出击在胡人天之前将球摘下
52'天津泰达队快速反击，聊博超右路横传门前，巴雷的机会！！头球顶得正了点，被守门员挡出！                   52'第52分钟，天津队一连串漂亮的配合，周海滨直传，聊博超下底传中，巴雷小禁区线上旱地拔葱甩头攻门，但刘殿座做出神奇扑救，飞身单掌将这个必进之球托出
52'这次进攻还真有那么个意思！！                   52'第52分钟，天津队一连串漂亮的配合，周海滨直传，聊博超下底传中，巴雷小禁区线上旱地拔葱甩头攻门，但刘殿座做出神奇扑救，飞身单掌将这个必进之球托出
52'角球发到禁区内，巴雷的头球又偏出                   52'第52分钟，天津队一连串漂亮的配合，周海滨直传，聊博超下底传中，巴雷小禁区线上旱地拔葱甩头攻门，但刘殿座做出神奇扑救，飞身单掌将这个必进之球托出
54'[互动]中场天津泰达队连换两人，志在必得！能如愿吗？                   52'第52分钟，天津队一连串漂亮的配合，周海滨直传，聊博超下底传中，巴雷小禁区线上旱地拔葱甩头攻门，但刘殿座做出神奇扑救，飞身单掌将这个必进之球托出
54'雅伊尔顿中路突破，李本舰防守犯规！！                   52'第52分钟，天津队一连串漂亮的配合，周海滨直传，聊博超下底传中，巴雷小禁区线上旱地拔葱甩头攻门，但刘殿座做出神奇扑救，飞身单掌将这个必进之球托出
54'这一脚也够狠的                   52'第52分钟，天津队一连串漂亮的配合，周海滨直传，聊博超下底传中，巴雷小禁区线上旱地拔葱甩头攻门，但刘殿座做出神奇扑救，飞身单掌将这个必进之球托出
55'任意球发出来，对方把球破坏出禁区                   52'第52分钟，天津队一连串漂亮的配合，周海滨直传，聊博超下底传中，巴雷小禁区线上旱地拔葱甩头攻门，但刘殿座做出神奇扑救，飞身单掌将这个必进之球托出
55'上海申鑫队拿到球，回传后场                   52'第52分钟，天津队一连串漂亮的配合，周海滨直传，聊博超下底传中，巴雷小禁区线上旱地拔葱甩头攻门，但刘殿座做出神奇扑救，飞身单掌将这个必进之球托出
56'感觉下半场上海申鑫队的控球反而更多一些                   56'第56分钟，叶重秋挑传禁区同样造成利马手球
56'上海申鑫队右路配合，分边再给姜嘉俊                   56'第56分钟，叶重秋挑传禁区同样造成利马手球
56'点球！！！                   56'第56分钟，叶重秋挑传禁区同样造成利马手球
57'于涛右睡斜传禁区，刘峻楠顶了一下，利马手球犯规！！！点球！                   56'第56分钟，叶重秋挑传禁区同样造成利马手球
57'雅伊尔顿站在了球前！！看他罚点球如何！                   56'第56分钟，叶重秋挑传禁区同样造成利马手球
58'神！！！雅伊尔顿罚点球！被宗磊扑出！！！                   56'第56分钟，叶重秋挑传禁区同样造成利马手球
58'双方都罚丢了一个点球！！                   56'第56分钟，叶重秋挑传禁区同样造成利马手球
58'也是本赛季罚失的两个点球！都在本场比赛！                   56'第56分钟，叶重秋挑传禁区同样造成利马手球
58'都是巴西人罚丢点球！！                   56'第56分钟，叶重秋挑传禁区同样造成利马手球
59'上海申鑫队换人：王赟上场，换下张煜东                   56'第56分钟，叶重秋挑传禁区同样造成利马手球
59'角球发到禁区内前点，乔尼没能控到球                   56'第56分钟，叶重秋挑传禁区同样造成利马手球
60'CXM203：两队球员实力相当…预测比赛结果是打平回复[这样打下去还真有可能！！双方各罚丢一个点球！！]                   60'第60分钟，杜震宇中场抢球时踹到姜嘉俊吃到黄牌
60'杜震宇在前场抢球犯规！！吃到了黄牌                   60'第60分钟，杜震宇中场抢球时踹到姜嘉俊吃到黄牌
60'这也是本场比赛的第一张黄牌                   60'第60分钟，杜震宇中场抢球时踹到姜嘉俊吃到黄牌
61'他在抢球抢不到时，附加动作，侵犯了姜嘉俊                   60'第60分钟，杜震宇中场抢球时踹到姜嘉俊吃到黄牌
62'天津泰达队攻到前场，孙凯把球破坏                   60'第60分钟，杜震宇中场抢球时踹到姜嘉俊吃到黄牌
62'周海滨把球转移到左路，球出边线                   60'第60分钟，杜震宇中场抢球时踹到姜嘉俊吃到黄牌
62'界外球发出来，巴雷在前场抢球出底线，上海申鑫队门球                   60'第60分钟，杜震宇中场抢球时踹到姜嘉俊吃到黄牌
63'上海申鑫队右路攻到中场，杜震宇抢球又犯规啦                   60'第60分钟，杜震宇中场抢球时踹到姜嘉俊吃到黄牌
63'王赟接球直传，周海滨把球破坏出底线                   60'第60分钟，杜震宇中场抢球时踹到姜嘉俊吃到黄牌
63'上海申鑫队得到角球机会                   60'第60分钟，杜震宇中场抢球时踹到姜嘉俊吃到黄牌
63'孙凯站到球前，发角球到禁区内，宗磊出击把球没收                   60'第60分钟，杜震宇中场抢球时踹到姜嘉俊吃到黄牌
65'雅伊尔顿右路突破下底，对方抢球犯规                   65'第65分钟，聊博超断球时与刘骏楠对脚后受伤
65'犯规的是李玮锋                   65'第65分钟，聊博超断球时与刘骏楠对脚后受伤
65'天津泰达队又要换人：换下杜震宇，换上惠家康！对位换人，杜震宇有黄牌在身                   65'第65分钟，聊博超断球时与刘骏楠对脚后受伤
66'任意球发前点，对方顶出来                   65'第65分钟，聊博超断球时与刘骏楠对脚后受伤
66'天津泰达队快速反击，止在前场断球                   65'第65分钟，聊博超断球时与刘骏楠对脚后受伤
66'刘峻楠前场强突，聊博超阻挡犯规！自己还受伤倒地                   65'第65分钟，聊博超断球时与刘骏楠对脚后受伤
67'聊博超踩在了刘峻楠的脚面上，这下很痛啊                   65'第65分钟，聊博超断球时与刘骏楠对脚后受伤
68'任意球发到禁区内，可惜队友越位                   65'第65分钟，聊博超断球时与刘骏楠对脚后受伤
68'中场雅伊尔顿断球，转移到右路，丢啦                   65'第65分钟，聊博超断球时与刘骏楠对脚后受伤
68'惠家康长传禁区，哎。盲目了些                   65'第65分钟，聊博超断球时与刘骏楠对脚后受伤
73'王赟来主罚这个角球！                   73'第73分钟，叶重秋背后蹬踹惠家康吃到黄牌，惠家康反应过激推搡对方也吃到黄牌
73'角球发到后点，对方把球破坏出来                   73'第73分钟，叶重秋背后蹬踹惠家康吃到黄牌，惠家康反应过激推搡对方也吃到黄牌
73'叶重秋好坏啊！已经没有碰到球的可能，推倒惠家康！还踢了一脚！！                   73'第73分钟，叶重秋背后蹬踹惠家康吃到黄牌，惠家康反应过激推搡对方也吃到黄牌
74'惠家康急啦，上前推了对方一把！！                   73'第73分钟，叶重秋背后蹬踹惠家康吃到黄牌，惠家康反应过激推搡对方也吃到黄牌
74'主裁判出示两张黄牌！各打五十大板！！                   73'第73分钟，叶重秋背后蹬踹惠家康吃到黄牌，惠家康反应过激推搡对方也吃到黄牌
74'胡人天在前场又被放倒！！割草机啊，连人带球一块铲！！                   73'第73分钟，叶重秋背后蹬踹惠家康吃到黄牌，惠家康反应过激推搡对方也吃到黄牌
74'天津泰达队前场任意球机会                   73'第73分钟，叶重秋背后蹬踹惠家康吃到黄牌，惠家康反应过激推搡对方也吃到黄牌
75'任意球发到禁区内！！李玮锋抢到点，头球顶门，可惜高出！                   73'第73分钟，叶重秋背后蹬踹惠家康吃到黄牌，惠家康反应过激推搡对方也吃到黄牌
76'中场上海申鑫队得球挑传，被抢断                   73'第73分钟，叶重秋背后蹬踹惠家康吃到黄牌，惠家康反应过激推搡对方也吃到黄牌
76'中场上海申鑫队得球挑传，被抢断                   76'第76分钟，天津队形成围攻，但烈鸟倒钩未中之后，李玮峰外围传球失误，幸亏他及时用身体挡住雅伊尔顿的冲击将球破坏
77'安德烈齐尼奥左中睡直传球丢啦                   76'第76分钟，天津队形成围攻，但烈鸟倒钩未中之后，李玮峰外围传球失误，幸亏他及时用身体挡住雅伊尔顿的冲击将球破坏
77'上海申鑫队长传球，雅伊尔顿和李玮锋缠在一齐！                   76'第76分钟，天津队形成围攻，但烈鸟倒钩未中之后，李玮峰外围传球失误，幸亏他及时用身体挡住雅伊尔顿的冲击将球破坏
77'李玮锋在前面挡住路线，同时手上有动作！！                   76'第76分钟，天津队形成围攻，但烈鸟倒钩未中之后，李玮峰外围传球失误，幸亏他及时用身体挡住雅伊尔顿的冲击将球破坏
77'雅伊尔顿吃亏啦！                   76'第76分钟，天津队形成围攻，但烈鸟倒钩未中之后，李玮峰外围传球失误，幸亏他及时用身体挡住雅伊尔顿的冲击将球破坏
79'天津泰达队左路攻到前场，又是直传禁区，没有跟上啊                   76'第76分钟，天津队形成围攻，但烈鸟倒钩未中之后，李玮峰外围传球失误，幸亏他及时用身体挡住雅伊尔顿的冲击将球破坏
