10'本赛季多特伤病实在太多了，否则肯定会有更好的发挥。                   10'开场10分钟，马丁内斯对奥巴梅扬战术犯规，被黄牌警告
51'这个快速反击打的很漂亮                   49'第49分钟，里贝里后场丢球，姆希塔良左路高速反击斜传，奥巴梅扬突入禁区右侧回做，罗伊斯在门前11米处铲射入左下角，2比0
51'[qiangda]罗伊斯本赛季已经攻入几个进球了呢？                   49'第49分钟，里贝里后场丢球，姆希塔良左路高速反击斜传，奥巴梅扬突入禁区右侧回做，罗伊斯在门前11米处铲射入左下角，2比0
52'拜仁现在遇到了比较大的麻烦了，0比2落后主力门将下场。                   49'第49分钟，里贝里后场丢球，姆希塔良左路高速反击斜传，奥巴梅扬突入禁区右侧回做，罗伊斯在门前11米处铲射入左下角，2比0
55'穆勒在场边热身了，看看瓜迪奥拉怎么作出调整。                   55'第55分钟，霍夫曼传球，罗伊斯禁区左侧射门被雷德没收
55'FCB_CampNou10 :雯雯解说有的用词有点詹俊的风格！------作为一位英超球迷，我很喜欢詹俊老师！                   55'第55分钟，霍夫曼传球，罗伊斯禁区左侧射门被雷德没收
56'重复一下问题~罗伊斯本赛季打进几个进球了？                   55'第55分钟，霍夫曼传球，罗伊斯禁区左侧射门被雷德没收
56'3比0！！                   55'第55分钟，霍夫曼传球，罗伊斯禁区左侧射门被雷德没收
56'小将霍夫曼单刀！                   55'第55分钟，霍夫曼传球，罗伊斯禁区左侧射门被雷德没收
57'这样看来本场比赛拜仁已经走远了。                   55'第55分钟，霍夫曼传球，罗伊斯禁区左侧射门被雷德没收
58'皇家车队 :雯雯，你的阿仙奴又输了------我并不是阿森纳球迷啊~                   55'第55分钟，霍夫曼传球，罗伊斯禁区左侧射门被雷德没收
58'MG-MAN :詹俊老师解说确实很好啊，太有激情了，雯雯喜欢哪支俱乐部啊？方便说吗？哈哈------曼联                   55'第55分钟，霍夫曼传球，罗伊斯禁区左侧射门被雷德没收
69'多特又来了，姆希塔良右路拿球往中路送，被丹特挡出了。                   69'第69分钟，克罗斯替下罗本，随后弗里德里希替下胡梅尔斯
70'个人对于欧冠的看法，如果拜仁后防线不敲响警钟的话，很有可能被皇马打穿。                   69'第69分钟，克罗斯替下罗本，随后弗里德里希替下胡梅尔斯
71'kaka-不死 :主持人说到曼联了，你觉得曼联应不应该把范大腿卖了------不该                   69'第69分钟，克罗斯替下罗本，随后弗里德里希替下胡梅尔斯
71'曼朱基齐也在梦游？                   69'第69分钟，克罗斯替下罗本，随后弗里德里希替下胡梅尔斯
71'这么好的机会没有打进啊！                   69'第69分钟，克罗斯替下罗本，随后弗里德里希替下胡梅尔斯
46'好的，上半场比赛结束了！                   46'1分钟后，格策左路低传，小猪在门前18米处左脚低射偏出右门柱
48'下半场比赛看上去拜仁有些不好打啊，这个换人似乎是被迫做出的人员调整。                   46'1分钟后，格策左路低传，小猪在门前18米处左脚低射偏出右门柱
49'上半场双方主要是在中场搏斗，真正的机会都不多。                   46'1分钟后，格策左路低传，小猪在门前18米处左脚低射偏出右门柱
49'罗本继续右路盘带，还是没有完成过人。                   46'1分钟后，格策左路低传，小猪在门前18米处左脚低射偏出右门柱
49'罗本角球开出来被后卫定出来，多特快速反击进球！！！                   46'1分钟后，格策左路低传，小猪在门前18米处左脚低射偏出右门柱
80'光辉盖伦是好兄妹 :上墙就像射门，运气好的时候一下就有了，运气不好的时候写三四十条还是上不了墙------我要向你证明努力就会有回报                   80'第80分钟，克罗斯背后勾倒莱万多夫斯基，被黄牌警告
80'比赛已经进行到了80分钟了，拜仁本场比赛希望不大了。                   80'第80分钟，克罗斯背后勾倒莱万多夫斯基，被黄牌警告
82'[qiangda]拜仁上场对曼联的比赛是谁为拜仁扳平比分的。                   80'第80分钟，克罗斯背后勾倒莱万多夫斯基，被黄牌警告
82'多特继续在边路做文章，但是传中质量不高。                   80'第80分钟，克罗斯背后勾倒莱万多夫斯基，被黄牌警告
83'今天多特8脚射门打进3球，效率很高。                   80'第80分钟，克罗斯背后勾倒莱万多夫斯基，被黄牌警告
83'多特的姆希塔良犯规，吃到了黄牌。                   80'第80分钟，克罗斯背后勾倒莱万多夫斯基，被黄牌警告
90'拜仁今天运气也是不好，一个好机会还是没进。                   90'第90分钟，曼朱基奇禁区内得球被弗里德里希铲断，格策右侧距门10米处低射被魏登费勒封出
90'克罗斯拿球打到中路，穆雷的直传给到禁区内，格策的打门被后卫挡出了底线                   90'第90分钟，曼朱基奇禁区内得球被弗里德里希铲断，格策右侧距门10米处低射被魏登费勒封出
91'镜头给到拜仁各位球员，都显得非常失落。                   90'第90分钟，曼朱基奇禁区内得球被弗里德里希铲断，格策右侧距门10米处低射被魏登费勒封出
91'场上出现冲突了！                   90'第90分钟，曼朱基奇禁区内得球被弗里德里希铲断，格策右侧距门10米处低射被魏登费勒封出
92'拉菲尼亚吃到了红牌！                   90'第90分钟，曼朱基奇禁区内得球被弗里德里希铲断，格策右侧距门10米处低射被魏登费勒封出
93'海星影 :瓜秃你入主拜仁就带给球员这些改变？我铁血拜仁不需要这些垃圾言论和态度。------感觉你是一位铁杆球迷，对于主队不拼搏的状态确实很难接受。                   90'第90分钟，曼朱基奇禁区内得球被弗里德里希铲断，格策右侧距门10米处低射被魏登费勒封出
93'这场比赛拜仁输球又输人啊。                   90'第90分钟，曼朱基奇禁区内得球被弗里德里希铲断，格策右侧距门10米处低射被魏登费勒封出
