4'朗格莱头球解围，左侧内少继续攻击                   4'开场仅4分钟，苏亚雷斯传球，梅西25码处射门憾中横梁
19'这球好机会啊                   16'塞维利亚第16分钟险些破门，伊博拉脚后跟妙传，恩宗齐摆脱马斯切拉诺后在小禁区右侧边缘的射门打在特尔施特根腿上偏转出近角
19'塞维利亚右侧角球开出                   16'塞维利亚第16分钟险些破门，伊博拉脚后跟妙传，恩宗齐摆脱马斯切拉诺后在小禁区右侧边缘的射门打在特尔施特根腿上偏转出近角
19'吊向禁区内，乌姆蒂蒂头球解围                   16'塞维利亚第16分钟险些破门，伊博拉脚后跟妙传，恩宗齐摆脱马斯切拉诺后在小禁区右侧边缘的射门打在特尔施特根腿上偏转出近角
19'外围罗贝托右侧拿球，在给梅西，大范围转移到左侧                   16'塞维利亚第16分钟险些破门，伊博拉脚后跟妙传，恩宗齐摆脱马斯切拉诺后在小禁区右侧边缘的射门打在特尔施特根腿上偏转出近角
25'里科大脚开起来                   25'巴萨第25分钟取得领先，梅西摆脱3人突入禁区右侧传中，梅卡多拦截落空，苏亚雷斯近距离倒钩破门
25'中前场的拼抢，小白犯规了                   25'巴萨第25分钟取得领先，梅西摆脱3人突入禁区右侧传中，梅卡多拦截落空，苏亚雷斯近距离倒钩破门
25'塞维利亚前场中路定位球，纳斯里主罚                   25'巴萨第25分钟取得领先，梅西摆脱3人突入禁区右侧传中，梅卡多拦截落空，苏亚雷斯近距离倒钩破门
25'直接吊向小禁区前沿，中路比托洛头球后蹭，高出横梁                   25'巴萨第25分钟取得领先，梅西摆脱3人突入禁区右侧传中，梅卡多拦截落空，苏亚雷斯近距离倒钩破门
25'巴萨门球开出来，左侧找内少                   25'巴萨第25分钟取得领先，梅西摆脱3人突入禁区右侧传中，梅卡多拦截落空，苏亚雷斯近距离倒钩破门
26'内少被包夹，向前直塞给大了，出了底线                   25'巴萨第25分钟取得领先，梅西摆脱3人突入禁区右侧传中，梅卡多拦截落空，苏亚雷斯近距离倒钩破门
26'里科大脚开出门球                   25'巴萨第25分钟取得领先，梅西摆脱3人突入禁区右侧传中，梅卡多拦截落空，苏亚雷斯近距离倒钩破门
26'右侧梅西把球拿下，推进向前，右路形成突破                   25'巴萨第25分钟取得领先，梅西摆脱3人突入禁区右侧传中，梅卡多拦截落空，苏亚雷斯近距离倒钩破门
27'禁区内横敲进来，小禁区前沿苏神精彩的倒钩                   25'巴萨第25分钟取得领先，梅西摆脱3人突入禁区右侧传中，梅卡多拦截落空，苏亚雷斯近距离倒钩破门
27'苏神这球真漂亮啊，停球根本没停好，但是第二下处理的简直是太完美                   25'巴萨第25分钟取得领先，梅西摆脱3人突入禁区右侧传中，梅卡多拦截落空，苏亚雷斯近距离倒钩破门
28'.右侧梅西下底低传，苏神小禁区前点倚住梅尔卡多把球停起来，背身面对球门的苏神顺势倒钩，直接破网                   25'巴萨第25分钟取得领先，梅西摆脱3人突入禁区右侧传中，梅卡多拦截落空，苏亚雷斯近距离倒钩破门
28'纳斯里中路拿球，右侧给比托洛，斜吊禁区                   25'巴萨第25分钟取得领先，梅西摆脱3人突入禁区右侧传中，梅卡多拦截落空，苏亚雷斯近距离倒钩破门
28'皮克头球顶出边线                   25'巴萨第25分钟取得领先，梅西摆脱3人突入禁区右侧传中，梅卡多拦截落空，苏亚雷斯近距离倒钩破门
51'萨拉比亚换下的是纳斯里，桑保利还是想下半场能够冲一下                   51'巴萨6分钟连入2球扩大比分，第28分钟，拉基蒂奇直传，内马尔禁区左侧下底传中滑门而过，苏亚雷斯远点拿球无私回传中路，梅西小禁区前扫射入网
51'低传给到左侧小白，和内少撞墙配合                   51'巴萨6分钟连入2球扩大比分，第28分钟，拉基蒂奇直传，内马尔禁区左侧下底传中滑门而过，苏亚雷斯远点拿球无私回传中路，梅西小禁区前扫射入网
51'杀到禁区左侧，小白在做到禁区中央                   51'巴萨6分钟连入2球扩大比分，第28分钟，拉基蒂奇直传，内马尔禁区左侧下底传中滑门而过，苏亚雷斯远点拿球无私回传中路，梅西小禁区前扫射入网
51'里科出击，横身把球压在身下                   51'巴萨6分钟连入2球扩大比分，第28分钟，拉基蒂奇直传，内马尔禁区左侧下底传中滑门而过，苏亚雷斯远点拿球无私回传中路，梅西小禁区前扫射入网
51'大脚开起来                   51'巴萨6分钟连入2球扩大比分，第28分钟，拉基蒂奇直传，内马尔禁区左侧下底传中滑门而过，苏亚雷斯远点拿球无私回传中路，梅西小禁区前扫射入网
52'中圈内皮克拦截，在给身前内少，停球失误被马里亚诺断了                   51'巴萨6分钟连入2球扩大比分，第28分钟，拉基蒂奇直传，内马尔禁区左侧下底传中滑门而过，苏亚雷斯远点拿球无私回传中路，梅西小禁区前扫射入网
52'右侧在给朗格莱，分给伊波拉， 遭遇逼抢                   51'巴萨6分钟连入2球扩大比分，第28分钟，拉基蒂奇直传，内马尔禁区左侧下底传中滑门而过，苏亚雷斯远点拿球无私回传中路，梅西小禁区前扫射入网
52'布教授上抢成功，右路给到梅西，摆脱防守，从容的交给左侧                   51'巴萨6分钟连入2球扩大比分，第28分钟，拉基蒂奇直传，内马尔禁区左侧下底传中滑门而过，苏亚雷斯远点拿球无私回传中路，梅西小禁区前扫射入网
53'内少插上，横敲门前，梅西小禁区前插上，左脚推射疵了                   51'巴萨6分钟连入2球扩大比分，第28分钟，拉基蒂奇直传，内马尔禁区左侧下底传中滑门而过，苏亚雷斯远点拿球无私回传中路，梅西小禁区前扫射入网
53'巴萨进攻依旧很猛啊，内少前场反抢                   51'巴萨6分钟连入2球扩大比分，第28分钟，拉基蒂奇直传，内马尔禁区左侧下底传中滑门而过，苏亚雷斯远点拿球无私回传中路，梅西小禁区前扫射入网
53'中路在给梅西，禁区内挑射，，力量不大，，被里科没收                   51'巴萨6分钟连入2球扩大比分，第28分钟，拉基蒂奇直传，内马尔禁区左侧下底传中滑门而过，苏亚雷斯远点拿球无私回传中路，梅西小禁区前扫射入网
53'里科大脚开起来                   51'巴萨6分钟连入2球扩大比分，第28分钟，拉基蒂奇直传，内马尔禁区左侧下底传中滑门而过，苏亚雷斯远点拿球无私回传中路，梅西小禁区前扫射入网
54'克拉内维特拼抢犯规了                   51'巴萨6分钟连入2球扩大比分，第28分钟，拉基蒂奇直传，内马尔禁区左侧下底传中滑门而过，苏亚雷斯远点拿球无私回传中路，梅西小禁区前扫射入网
54'巴萨后场倒脚，塞维利亚现在是恩宗齐和克拉内维特组成双后腰，在防线上加固屏障，这很重要啊                   51'巴萨6分钟连入2球扩大比分，第28分钟，拉基蒂奇直传，内马尔禁区左侧下底传中滑门而过，苏亚雷斯远点拿球无私回传中路，梅西小禁区前扫射入网
91'巴萨右侧定位球，向前给到左侧内少                   91'第91分钟，比托洛边路对内马尔犯规累计两张黄牌被罚下
91'比托洛犯规了，，动作不小，注意身上有牌啊                   91'第91分钟，比托洛边路对内马尔犯规累计两张黄牌被罚下
91'巴萨定位球挑传在给内少                   91'第91分钟，比托洛边路对内马尔犯规累计两张黄牌被罚下
92'内少沿着边路走，比托洛背后钩一脚，又是掀翻对手                   91'第91分钟，比托洛边路对内马尔犯规累计两张黄牌被罚下
92'比托洛这是主动找牌啊，，这次裁判也不惯着                   91'第91分钟，比托洛边路对内马尔犯规累计两张黄牌被罚下
92'2黄变1红，，下场了                   91'第91分钟，比托洛边路对内马尔犯规累计两张黄牌被罚下
93'比托洛这是情绪不对啊。。。桑保利也没打理他，径直下去了                   91'第91分钟，比托洛边路对内马尔犯规累计两张黄牌被罚下
93'下半场补时2分钟                   91'第91分钟，比托洛边路对内马尔犯规累计两张黄牌被罚下
93'巴萨左侧定位球，挑传到弧顶                   91'第91分钟，比托洛边路对内马尔犯规累计两张黄牌被罚下
93'内少外围远射，，里科飞身扑出                   91'第91分钟，比托洛边路对内马尔犯规累计两张黄牌被罚下
93'右侧巴萨战术角球                   91'第91分钟，比托洛边路对内马尔犯规累计两张黄牌被罚下
93'禁区前沿梅西拿球，直塞给出了底线                   91'第91分钟，比托洛边路对内马尔犯规累计两张黄牌被罚下
93'里科大脚开起来                   91'第91分钟，比托洛边路对内马尔犯规累计两张黄牌被罚下
93'前场右侧萨拉比亚停球出了边线                   91'第91分钟，比托洛边路对内马尔犯规累计两张黄牌被罚下
