1'上半场比赛开始                   1'第1分钟，山东鲁能气势更盛
51'金敬道发出界外球，王永珀回带，金敬道再传球打在对方身上出边线                   50'第50分钟，辽宁宏运快速反击，杨超声中路得球远射，球再次滑门而过
51'波利后场抢球再出边线                   50'第50分钟，辽宁宏运快速反击，杨超声中路得球远射，球再次滑门而过
52'王永珀右路底线附近接球，被张野踢倒，任意球                   50'第50分钟，辽宁宏运快速反击，杨超声中路得球远射，球再次滑门而过
52'王永珀发任意球到门将，对方顶出来                   50'第50分钟，辽宁宏运快速反击，杨超声中路得球远射，球再次滑门而过
53'鲁能泰山队在前场得球，挑传禁区，对方破坏出底线                   50'第50分钟，辽宁宏运快速反击，杨超声中路得球远射，球再次滑门而过
53'角球发到前点，接应队员顶高啦                   50'第50分钟，辽宁宏运快速反击，杨超声中路得球远射，球再次滑门而过
56'塔尔德利在前场前冲逼抢，对方回传门将，张鹭大脚解围                   56'第56分钟，辽宁宏运快速反击，金泰延凌空抽射稍稍高出横梁
56'辽宁宏运队右路横传禁区，后点的金泰延打门高出                   56'第56分钟，辽宁宏运快速反击，金泰延凌空抽射稍稍高出横梁
56'虽然没有打进，但这脚打门威胁不小                   56'第56分钟，辽宁宏运快速反击，金泰延凌空抽射稍稍高出横梁
57'乌索右咱突破回传金敬道！                   56'第56分钟，辽宁宏运快速反击，金泰延凌空抽射稍稍高出横梁
57'阿洛伊西奥接球，回带没能控好，被断                   56'第56分钟，辽宁宏运快速反击，金泰延凌空抽射稍稍高出横梁
58'中场阿洛伊西奥争抢犯规，辽宁宏运队任意球                   56'第56分钟，辽宁宏运快速反击，金泰延凌空抽射稍稍高出横梁
58'邱卡在前场接球，郑铮背身护球，吹了郑铮的拉人犯规                   56'第56分钟，辽宁宏运快速反击，金泰延凌空抽射稍稍高出横梁
58'辽宁宏运队得到前场任意球                   56'第56分钟，辽宁宏运快速反击，金泰延凌空抽射稍稍高出横梁
59'任意球直接打门，皮球直奔死角！！王大雷扑救太精彩了，盖过了打门！                   56'第56分钟，辽宁宏运快速反击，金泰延凌空抽射稍稍高出横梁
66'哇！！又是王大雷！                   66'第66分钟，辽宁宏运边路送出弧线球传中，邱卡力压赵明剑鱼跃头球冲顶，王大雷再次飞身扑救将球挡出底线
66'辽宁宏运队右路横传禁区，邱卡头球顶门，王大雷侧扑奋力把球挡出底线！！                   66'第66分钟，辽宁宏运边路送出弧线球传中，邱卡力压赵明剑鱼跃头球冲顶，王大雷再次飞身扑救将球挡出底线
66'丁海峰发角球到禁区内前点，对方顶出来                   66'第66分钟，辽宁宏运边路送出弧线球传中，邱卡力压赵明剑鱼跃头球冲顶，王大雷再次飞身扑救将球挡出底线
67'邱卡右路带球突破，对方把球破坏出边线                   66'第66分钟，辽宁宏运边路送出弧线球传中，邱卡力压赵明剑鱼跃头球冲顶，王大雷再次飞身扑救将球挡出底线
67'双方换人                   66'第66分钟，辽宁宏运边路送出弧线球传中，邱卡力压赵明剑鱼跃头球冲顶，王大雷再次飞身扑救将球挡出底线
67'辽宁宏运队换下了金泰延，换上了21号杨运                   66'第66分钟，辽宁宏运边路送出弧线球传中，邱卡力压赵明剑鱼跃头球冲顶，王大雷再次飞身扑救将球挡出底线
68'鲁能泰山队用张文钊换下了王永珀                   66'第66分钟，辽宁宏运边路送出弧线球传中，邱卡力压赵明剑鱼跃头球冲顶，王大雷再次飞身扑救将球挡出底线
68'杨超声右路进攻，郑铮护球被推倒，犯规啦                   66'第66分钟，辽宁宏运边路送出弧线球传中，邱卡力压赵明剑鱼跃头球冲顶，王大雷再次飞身扑救将球挡出底线
69'金敬道直传球，张文钊右路强突内线横传，对方解围                   66'第66分钟，辽宁宏运边路送出弧线球传中，邱卡力压赵明剑鱼跃头球冲顶，王大雷再次飞身扑救将球挡出底线
69'鲁能泰山队左路横传，塔尔德利故意漏球，乌索接球就打门，高啦！                   66'第66分钟，辽宁宏运边路送出弧线球传中，邱卡力压赵明剑鱼跃头球冲顶，王大雷再次飞身扑救将球挡出底线
69'塔尔德利中场断球，分到左路，鲁能泰山队回传球交给王大雷                   66'第66分钟，辽宁宏运边路送出弧线球传中，邱卡力压赵明剑鱼跃头球冲顶，王大雷再次飞身扑救将球挡出底线
70'塔尔德利带球突破，对方将球破坏出边线                   70'第70分钟，阿洛伊西奥传中，塔尔德利故意一漏，无人防守的乌索得球远射偏出
71'蒿俊闵突破到禁区内一脚打门被挡出来，阿洛伊西奥迎球补射，打高啦！                   70'第70分钟，阿洛伊西奥传中，塔尔德利故意一漏，无人防守的乌索得球远射偏出
71'后场鲁能泰山队断球反击，塔尔德利在一边要求，不过队友没有传过来                   70'第70分钟，阿洛伊西奥传中，塔尔德利故意一漏，无人防守的乌索得球远射偏出
72'张文钊中场争顶，抗人犯规                   70'第70分钟，阿洛伊西奥传中，塔尔德利故意一漏，无人防守的乌索得球远射偏出
72'波利中路带球突破，金敬道犯规！吃到黄牌                   70'第70分钟，阿洛伊西奥传中，塔尔德利故意一漏，无人防守的乌索得球远射偏出
72'任意球发到禁区内，后点队员头球顶了一下，直接高出横梁                   70'第70分钟，阿洛伊西奥传中，塔尔德利故意一漏，无人防守的乌索得球远射偏出
73'汪强受伤倒在地上                   70'第70分钟，阿洛伊西奥传中，塔尔德利故意一漏，无人防守的乌索得球远射偏出
73'杨善平在争顶时压到了汪强，双双受伤，但问题不大                   70'第70分钟，阿洛伊西奥传中，塔尔德利故意一漏，无人防守的乌索得球远射偏出
83'鲁能泰山队进球啦！！塔尔德利！2-0                   83'第83分钟，山东鲁能锁定胜局
83'塔尔德利漂亮的挑传身后球，张文钊右路接球突破横传，乱军中对方解围不远，塔尔德利推射破门得分！！                   83'第83分钟，山东鲁能锁定胜局
84'乌索左路抢球犯规！辽宁宏运队前场得到任意球机会                   83'第83分钟，山东鲁能锁定胜局
85'任意球发到禁区，鲁能泰山队集体造越位！王大雷胸部停球，大脚开到中场                   83'第83分钟，山东鲁能锁定胜局
85'辽宁宏运队传禁区，对方破坏出来                   83'第83分钟，山东鲁能锁定胜局
85'鲁能泰山队长传球反击，杨旭越位！                   83'第83分钟，山东鲁能锁定胜局
86'鲁能泰山队挑传禁区，对方顶出来，塔尔德利头球过渡，阿洛伊西奥侧身打门，稍稍高了一点！                   83'第83分钟，山东鲁能锁定胜局
87'汪强与奥格布争顶！奥格布犯规                   87'第87分钟，塔尔德利头球摆渡，阿洛伊西奥侧身凌空打门稍稍偏出
87'现场有两万五千多名观众！                   87'第87分钟，塔尔德利头球摆渡，阿洛伊西奥侧身凌空打门稍稍偏出
87'辽宁宏运队长传球，赵明剑控到球，对方抢球犯规                   87'第87分钟，塔尔德利头球摆渡，阿洛伊西奥侧身凌空打门稍稍偏出
88'鲁能泰山队换人：韩鹏上场换下杨旭                   87'第87分钟，塔尔德利头球摆渡，阿洛伊西奥侧身凌空打门稍稍偏出
88'金敬道中场控到球，张野背后犯规                   87'第87分钟，塔尔德利头球摆渡，阿洛伊西奥侧身凌空打门稍稍偏出
89'张文钊右路突破，又被铲倒！犯规的是胡延强，飞铲啊！                   87'第87分钟，塔尔德利头球摆渡，阿洛伊西奥侧身凌空打门稍稍偏出
89'蒿俊闵和塔尔德利在前场二过二配合，对方挡出边线                   87'第87分钟，塔尔德利头球摆渡，阿洛伊西奥侧身凌空打门稍稍偏出
89'下半场要补时 4 分钟                   87'第87分钟，塔尔德利头球摆渡，阿洛伊西奥侧身凌空打门稍稍偏出
90'乌索右路强突下底，对方四人包夹啊！壮观                   87'第87分钟，塔尔德利头球摆渡，阿洛伊西奥侧身凌空打门稍稍偏出
92'后点奥格布和金裕晋的包抄真心不错                   92'第92分钟，辽宁宏运任意球配合，金裕晋门前包抄用大腿射门偏出
92'今天王大雷的表现更好！至少三次扑出了必进之球！                   92'第92分钟，辽宁宏运任意球配合，金裕晋门前包抄用大腿射门偏出
92'蒿俊闵右路强突，下底，对方三人包夹，球出底线，门球                   92'第92分钟，辽宁宏运任意球配合，金裕晋门前包抄用大腿射门偏出
93'辽宁宏运队左路长传，赵明剑护球，奥格布紧追推人有犯规动作，金敬道不放心，又把球踢到奥格布身上出底线                   92'第92分钟，辽宁宏运任意球配合，金裕晋门前包抄用大腿射门偏出
93'王大雷大脚开球到中场，对方抢球犯规                   92'第92分钟，辽宁宏运任意球配合，金裕晋门前包抄用大腿射门偏出
93'郑铮左路强突，对方绊人啦！                   92'第92分钟，辽宁宏运任意球配合，金裕晋门前包抄用大腿射门偏出
94'王大雷大脚开任意球到对方禁区内，皮球顶了一下出底线                   92'第92分钟，辽宁宏运任意球配合，金裕晋门前包抄用大腿射门偏出
94'鲁能泰山队最后的角球机会                   92'第92分钟，辽宁宏运任意球配合，金裕晋门前包抄用大腿射门偏出
94'战术角球发出来，主裁判哨响！                   92'第92分钟，辽宁宏运任意球配合，金裕晋门前包抄用大腿射门偏出
94'全场比赛结束，最终鲁能泰山队2-0战胜辽宁宏运队！                   92'第92分钟，辽宁宏运任意球配合，金裕晋门前包抄用大腿射门偏出
