1'比赛开始了                   1'双方第1分钟均显得小心谨慎
49'这球差一丢丢就进了，可惜可惜                   49'热刺第49分钟打破僵局，本-戴维斯左路传中，哈里-凯恩小禁区前力压2人头球破门
49'阿森纳会不会进行换人调整呢                   49'热刺第49分钟打破僵局，本-戴维斯左路传中，哈里-凯恩小禁区前力压2人头球破门
50'热刺并没有放在在对方前场的高位逼抢，还是继续给阿森纳压力                   49'热刺第49分钟打破僵局，本-戴维斯左路传中，哈里-凯恩小禁区前力压2人头球破门
50'阿森纳进攻太快了，远端的姆希塔良越位了                   49'热刺第49分钟打破僵局，本-戴维斯左路传中，哈里-凯恩小禁区前力压2人头球破门
51'哇哦！！！凯恩！！中路倒地扫射，世界级的射门！！可惜被切赫挡出了                   49'热刺第49分钟打破僵局，本-戴维斯左路传中，哈里-凯恩小禁区前力压2人头球破门
51'这个球，真是精彩，打得精彩，扑得漂亮！！                   49'热刺第49分钟打破僵局，本-戴维斯左路传中，哈里-凯恩小禁区前力压2人头球破门
51'埃里克森左侧的角球开出了，阿森纳禁区内解围成功                   49'热刺第49分钟打破僵局，本-戴维斯左路传中，哈里-凯恩小禁区前力压2人头球破门
52'阿森纳也算是凯恩的半个老东家                   49'热刺第49分钟打破僵局，本-戴维斯左路传中，哈里-凯恩小禁区前力压2人头球破门
52'凯恩：当年被阿森纳拒绝，是我人生最美妙的时候！                   49'热刺第49分钟打破僵局，本-戴维斯左路传中，哈里-凯恩小禁区前力压2人头球破门
52'凯恩也许今天是带着复仇的情绪来了，毕竟当初是被阿森纳放弃的                   49'热刺第49分钟打破僵局，本-戴维斯左路传中，哈里-凯恩小禁区前力压2人头球破门
52'热刺的进攻继续给予压力                   49'热刺第49分钟打破僵局，本-戴维斯左路传中，哈里-凯恩小禁区前力压2人头球破门
47'热刺角球发出来，到禁区内，球被破坏了！                   47'2分钟后，特里皮尔传中，哈里-凯恩的凌空扫射被切赫扑出
47'热刺中路继续反抢，继续在左路做文章，还是孙兴民                   47'2分钟后，特里皮尔传中，哈里-凯恩的凌空扫射被切赫扑出
47'慢镜头：热刺左路进攻，队友传球到禁区内，凯恩高高跃起压制了对手，把球顶进了球门！！                   47'2分钟后，特里皮尔传中，哈里-凯恩的凌空扫射被切赫扑出
47'热刺暂时以1-0领先                   47'2分钟后，特里皮尔传中，哈里-凯恩的凌空扫射被切赫扑出
48'现在枪手已经落后，他们不得不开始强攻了                   47'2分钟后，特里皮尔传中，哈里-凯恩的凌空扫射被切赫扑出
48'热刺后场直接长传找到了孙兴民，韩国C罗跑过了一点点！！                   47'2分钟后，特里皮尔传中，哈里-凯恩的凌空扫射被切赫扑出
48'热刺又来了                   47'2分钟后，特里皮尔传中，哈里-凯恩的凌空扫射被切赫扑出
49'热刺右路大脚传球到禁区内，这是戴尔的传球，凯恩头球攻门偏出了球门一点点啊！！                   47'2分钟后，特里皮尔传中，哈里-凯恩的凌空扫射被切赫扑出
49'这球差一丢丢就进了，可惜可惜                   47'2分钟后，特里皮尔传中，哈里-凯恩的凌空扫射被切赫扑出
49'阿森纳会不会进行换人调整呢                   47'2分钟后，特里皮尔传中，哈里-凯恩的凌空扫射被切赫扑出
50'热刺并没有放在在对方前场的高位逼抢，还是继续给阿森纳压力                   47'2分钟后，特里皮尔传中，哈里-凯恩的凌空扫射被切赫扑出
50'阿森纳进攻太快了，远端的姆希塔良越位了                   47'2分钟后，特里皮尔传中，哈里-凯恩的凌空扫射被切赫扑出
65'奥巴梅杨到了禁区内，给了威尔希尔，后者一个180度身体旋转，转身抽射到死角！！                   65'阿森纳第65分钟做出调整，拉卡泽特和伊沃比替补出场，姆希塔良和埃尔内尼被换下
65'可惜啊，球稍微高出了一点点                   65'阿森纳第65分钟做出调整，拉卡泽特和伊沃比替补出场，姆希塔良和埃尔内尼被换下
65'从目前的局面来看，阿森纳必须在进攻端有所建树啊                   65'阿森纳第65分钟做出调整，拉卡泽特和伊沃比替补出场，姆希塔良和埃尔内尼被换下
66'阿森纳这场比赛从一开始就打得保守                   65'阿森纳第65分钟做出调整，拉卡泽特和伊沃比替补出场，姆希塔良和埃尔内尼被换下
66'热刺也准备调整了                   65'阿森纳第65分钟做出调整，拉卡泽特和伊沃比替补出场，姆希塔良和埃尔内尼被换下
66'来自阿根廷的边路球员拉梅拉准备上场                   65'阿森纳第65分钟做出调整，拉卡泽特和伊沃比替补出场，姆希塔良和埃尔内尼被换下
67'孙兴民在禁区内正面得到了机会，没有人防守啊！！转身打门高出                   65'阿森纳第65分钟做出调整，拉卡泽特和伊沃比替补出场，姆希塔良和埃尔内尼被换下
67'孙兴民被换下了，拉梅拉上场                   65'阿森纳第65分钟做出调整，拉卡泽特和伊沃比替补出场，姆希塔良和埃尔内尼被换下
67'镜头还给了远道而来的韩国球迷，韩国球迷真幸福！！                   65'阿森纳第65分钟做出调整，拉卡泽特和伊沃比替补出场，姆希塔良和埃尔内尼被换下
68'哇哦！！切赫怎么把球传给了对手啊！！                   65'阿森纳第65分钟做出调整，拉卡泽特和伊沃比替补出场，姆希塔良和埃尔内尼被换下
68'好在切赫反应比较快，再次把球没收                   65'阿森纳第65分钟做出调整，拉卡泽特和伊沃比替补出场，姆希塔良和埃尔内尼被换下
68'阿里！！中路反越位成功，直接面对了切赫，挑射偏出门柱                   65'阿森纳第65分钟做出调整，拉卡泽特和伊沃比替补出场，姆希塔良和埃尔内尼被换下
93'阿森纳继续压制，拉卡泽特又越位了                   93'阿森纳第93分钟险些扳平，伊沃比送出直传，拉卡泽特小禁区右上角外低射擦远角立柱偏出
93'教授在场面掩面狂呼！！                   93'阿森纳第93分钟险些扳平，伊沃比送出直传，拉卡泽特小禁区右上角外低射擦远角立柱偏出
93'比赛已经到了4分钟，没时间了                   93'阿森纳第93分钟险些扳平，伊沃比送出直传，拉卡泽特小禁区右上角外低射擦远角立柱偏出
94'裁判给了任意球！！！戴尔吃到了黄牌，他碰到了维尔贝克！、                   93'阿森纳第93分钟险些扳平，伊沃比送出直传，拉卡泽特小禁区右上角外低射擦远角立柱偏出
94'这是阿森纳最后的机会                   93'阿森纳第93分钟险些扳平，伊沃比送出直传，拉卡泽特小禁区右上角外低射擦远角立柱偏出
94'禁区正面的任意球机会                   93'阿森纳第93分钟险些扳平，伊沃比送出直传，拉卡泽特小禁区右上角外低射擦远角立柱偏出
94'厄齐尔主罚，直接打门，被门墙挡住                   93'阿森纳第93分钟险些扳平，伊沃比送出直传，拉卡泽特小禁区右上角外低射擦远角立柱偏出
