5'恒大淘宝的控球，刘健交给弋腾                   5'开场第5分钟张佳祺前场挑传，郑龙从张贤秀身后杀出近门冲顶偏出
37'姜宁中路的分边，唐淼带球内切倒地，裁判没有吹点球                   35'第35分钟唐淼右路带球杀入禁区，在邹正铲断下摔倒在禁区，但裁判示意比赛继续进行
37'米切尔右路得球交给常飞亚，常飞亚传中打在邹正脚出底线                   35'第35分钟唐淼右路带球杀入禁区，在邹正铲断下摔倒在禁区，但裁判示意比赛继续进行
37'慢镜来看邹正确实踢到了唐淼的脚                   35'第35分钟唐淼右路带球杀入禁区，在邹正铲断下摔倒在禁区，但裁判示意比赛继续进行
38'汪蒿角球直接旋向球门，曾诚将球没收                   35'第35分钟唐淼右路带球杀入禁区，在邹正铲断下摔倒在禁区，但裁判示意比赛继续进行
38'阿隆前场断球，直传，米切尔单刀了，一脚挑射破门                   35'第35分钟唐淼右路带球杀入禁区，在邹正铲断下摔倒在禁区，但裁判示意比赛继续进行
38'米切尔也取得了本赛季第一个进球！                   35'第35分钟唐淼右路带球杀入禁区，在邹正铲断下摔倒在禁区，但裁判示意比赛继续进行
40'郜林要位被米切尔撞倒                   40'第40分钟张佳祺从身后踢倒阿隆吃到黄牌
40'邹正左路的传中太低了                   40'第40分钟张佳祺从身后踢倒阿隆吃到黄牌
41'恒大淘宝左路的配合没有打进去                   40'第40分钟张佳祺从身后踢倒阿隆吃到黄牌
41'阿隆护球后往前，张佳祺背后踢倒了阿隆                   40'第40分钟张佳祺从身后踢倒阿隆吃到黄牌
41'张佳祺被黄牌警告                   40'第40分钟张佳祺从身后踢倒阿隆吃到黄牌
42'汪蒿传中也是高度不够                   40'第40分钟张佳祺从身后踢倒阿隆吃到黄牌
43'王上源中场接应被唐淼绊倒                   40'第40分钟张佳祺从身后踢倒阿隆吃到黄牌
43'张佳祺被断球，米切尔直传，阿隆扣球过人被李学鹏拦截                   40'第40分钟张佳祺从身后踢倒阿隆吃到黄牌
43'朴钟佑转移到左路的常飞亚                   40'第40分钟张佳祺从身后踢倒阿隆吃到黄牌
48'唐淼长传球，李学鹏将球踢出边线                   48'第48分钟赵旭日前场左路离门30米外远射打偏
48'邹正的变向摆脱被常飞亚绊倒                   48'第48分钟赵旭日前场左路离门30米外远射打偏
49'刘健长传上来，张贤秀顶到第一点                   48'第48分钟赵旭日前场左路离门30米外远射打偏
49'郜林左路的传中踢在唐淼身上                   48'第48分钟赵旭日前场左路离门30米外远射打偏
50'邹正上来一脚远射，偏了                   48'第48分钟赵旭日前场左路离门30米外远射打偏
50'阿隆右路带球，内切再斜传，球出底线了                   48'第48分钟赵旭日前场左路离门30米外远射打偏
51'李学鹏左路带球，交给刘健，继续转移到右路                   48'第48分钟赵旭日前场左路离门30米外远射打偏
51'赵旭日背身接应转身时球被破坏                   48'第48分钟赵旭日前场左路离门30米外远射打偏
55'梅方上抢被姜至鹏绊倒                   55'第55分钟姜至鹏单枪匹马从左路杀到中路射门打高
55'王军辉左路拿球，回传给张佳祺                   55'第55分钟姜至鹏单枪匹马从左路杀到中路射门打高
55'张佳祺放长传，张耀坤顶出来                   55'第55分钟姜至鹏单枪匹马从左路杀到中路射门打高
55'唐淼长传上来，弋腾抢在阿隆之前将球端出边线                   55'第55分钟姜至鹏单枪匹马从左路杀到中路射门打高
58'刘健交给右路的梅方                   55'第55分钟姜至鹏单枪匹马从左路杀到中路射门打高
58'郜林出来接应被米切尔绊倒                   55'第55分钟姜至鹏单枪匹马从左路杀到中路射门打高
64'梅方长传，王上源禁区线上来个头球吊射，球高出横梁                   64'下半场恒大的进攻明显好转，第64分钟王军辉右路长传，王上源禁区线上意外头球攻门，站位靠外的刘殿座猝不及防，还好皮球高出门楣
64'汪蒿控球，往左路带，突破，梅方转身也不慢                   64'下半场恒大的进攻明显好转，第64分钟王军辉右路长传，王上源禁区线上意外头球攻门，站位靠外的刘殿座猝不及防，还好皮球高出门楣
65'刘健中场长传到前场左路，球直接飞出边线                   64'下半场恒大的进攻明显好转，第64分钟王军辉右路长传，王上源禁区线上意外头球攻门，站位靠外的刘殿座猝不及防，还好皮球高出门楣
65'卡纳瓦罗的西装都湿透了                   64'下半场恒大的进攻明显好转，第64分钟王军辉右路长传，王上源禁区线上意外头球攻门，站位靠外的刘殿座猝不及防，还好皮球高出门楣
65'赵旭日左路的传中，张耀坤将球开出底线                   64'下半场恒大的进攻明显好转，第64分钟王军辉右路长传，王上源禁区线上意外头球攻门，站位靠外的刘殿座猝不及防，还好皮球高出门楣
66'恒大淘宝前场左路的角球机会                   64'下半场恒大的进攻明显好转，第64分钟王军辉右路长传，王上源禁区线上意外头球攻门，站位靠外的刘殿座猝不及防，还好皮球高出门楣
66'郑龙传中太低了                   64'下半场恒大的进攻明显好转，第64分钟王军辉右路长传，王上源禁区线上意外头球攻门，站位靠外的刘殿座猝不及防，还好皮球高出门楣
66'郑龙左路再来，郜林接球顿一顿转身被解围出边线                   64'下半场恒大的进攻明显好转，第64分钟王军辉右路长传，王上源禁区线上意外头球攻门，站位靠外的刘殿座猝不及防，还好皮球高出门楣
67'王上源角球也是开太低了，                   64'下半场恒大的进攻明显好转，第64分钟王军辉右路长传，王上源禁区线上意外头球攻门，站位靠外的刘殿座猝不及防，还好皮球高出门楣
67'广州富力换人，35号闵俊麟换下21号常飞亚                   64'下半场恒大的进攻明显好转，第64分钟王军辉右路长传，王上源禁区线上意外头球攻门，站位靠外的刘殿座猝不及防，还好皮球高出门楣
69'姜至鹏捂着腰，问题应该不大，只是吃了球饼                   69'第69分钟恒大连换两张王牌，郑智换上抽筋的弋腾，高拉特换下赵旭日
69'郑龙的角球被阿隆顶出来                   69'第69分钟恒大连换两张王牌，郑智换上抽筋的弋腾，高拉特换下赵旭日
70'广州恒大淘宝换人，郑龙与高拉特上场替下赵旭日与弋腾                   69'第69分钟恒大连换两张王牌，郑智换上抽筋的弋腾，高拉特换下赵旭日
70'郜林把队长袖标交给了郑龙                   69'第69分钟恒大连换两张王牌，郑智换上抽筋的弋腾，高拉特换下赵旭日
70'更正，是交给了郑智                   69'第69分钟恒大连换两张王牌，郑智换上抽筋的弋腾，高拉特换下赵旭日
70'换上场的是郑智与高拉特                   69'第69分钟恒大连换两张王牌，郑智换上抽筋的弋腾，高拉特换下赵旭日
70'李学鹏左路传中，张耀坤鱼跃头球解围                   69'第69分钟恒大连换两张王牌，郑智换上抽筋的弋腾，高拉特换下赵旭日
71'郜林拿球，斜塞没有塞过去                   69'第69分钟恒大连换两张王牌，郑智换上抽筋的弋腾，高拉特换下赵旭日
71'姜宁交给拉边的阿隆                   69'第69分钟恒大连换两张王牌，郑智换上抽筋的弋腾，高拉特换下赵旭日
71'阿隆内切回传给姜宁                   69'第69分钟恒大连换两张王牌，郑智换上抽筋的弋腾，高拉特换下赵旭日
71'米切尔接应，交给阿隆                   69'第69分钟恒大连换两张王牌，郑智换上抽筋的弋腾，高拉特换下赵旭日
72'阿隆带球进了禁区倒地，裁判鸣哨吹的是阿隆假摔                   69'第69分钟恒大连换两张王牌，郑智换上抽筋的弋腾，高拉特换下赵旭日
72'阿隆吃到一张黄牌                   69'第69分钟恒大连换两张王牌，郑智换上抽筋的弋腾，高拉特换下赵旭日
72'镜头一转，恒大淘宝获得一个点球                   69'第69分钟恒大连换两张王牌，郑智换上抽筋的弋腾，高拉特换下赵旭日
76'富力前场中路偏左的任意球机会                   76'第76分钟恒大禁区前沿犯规，郑智吃到黄牌，姜宁任意球被曾诚扑出
76'郑智吃到黄牌                   76'第76分钟恒大禁区前沿犯规，郑智吃到黄牌，姜宁任意球被曾诚扑出
76'姜宁远射，打得有点正，曾诚将球扑出                   76'第76分钟恒大禁区前沿犯规，郑智吃到黄牌，姜宁任意球被曾诚扑出
77'汪蒿右路的传中，曾诚将球摘下                   76'第76分钟恒大禁区前沿犯规，郑智吃到黄牌，姜宁任意球被曾诚扑出
77'唐淼长传上来，李学鹏将球顶出边线                   76'第76分钟恒大禁区前沿犯规，郑智吃到黄牌，姜宁任意球被曾诚扑出
78'恒大淘宝的反击，郑龙左路弧线球传中，球落在后反弹起来，跟进的高拉特头球顶弹地球球进！                   76'第76分钟恒大禁区前沿犯规，郑智吃到黄牌，姜宁任意球被曾诚扑出
79'应该是富力米切尔在前场与阿隆做二过一后倒地没有得到点球，李学鹏的解围直接找到了郑龙，郑龙送出助攻给高拉特破门                   76'第76分钟恒大禁区前沿犯规，郑智吃到黄牌，姜宁任意球被曾诚扑出
79'王军辉得球，回传给梅方                   76'第76分钟恒大禁区前沿犯规，郑智吃到黄牌，姜宁任意球被曾诚扑出
79'王军辉再接应又是回传                   76'第76分钟恒大禁区前沿犯规，郑智吃到黄牌，姜宁任意球被曾诚扑出
83'富力换人，23号卢琳替下6号汪蒿                   83'第83分钟卢琳换下汪嵩
85'闵俊麟的传中                   83'第83分钟卢琳换下汪嵩
85'唐淼得球进了禁区右侧，郑龙绊倒了对方                   83'第83分钟卢琳换下汪嵩
85'点球                   83'第83分钟卢琳换下汪嵩
85'米切尔也是晃倒了门将将球打进左下角                   83'第83分钟卢琳换下汪嵩
86'姜至鹏长传上来，球被恒大淘宝拦截                   83'第83分钟卢琳换下汪嵩
