7'何塞-冯特将球处理出底线,利物浦获得角球.                   6'第6分钟，斯图里奇快速反击中突入禁区右侧传中苏亚雷斯，丰特拦截解围
37'射门!!!利物浦球员Luis Suarez大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是斯图里奇.                   34'第34分钟，兰伯特传球，杰伊-罗德里格斯禁区右侧挑射高出横梁
39'南安普敦球员斯内德林大禁区右侧尝试右脚射门,可惜皮球高出球门.给他传球的是拉拉纳.                   39'第39分钟，拉拉纳传球，施奈德林14码处凌空钩射高出
47'南安普敦球员斯内德林小禁区右侧尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是拉拉纳.                   47'第47分钟，拉拉纳传球，杰伊-罗德里格斯禁区左侧的射门被封堵
47'南安普敦球员J-罗德里格斯大禁区左侧右脚射门,被防守球员封堵.给他传球的是拉拉纳.                   47'第47分钟，拉拉纳传球，杰伊-罗德里格斯禁区左侧的射门被封堵
49'利物浦球员杰拉德大禁区外右脚射门,被防守球员封堵.                   47'第47分钟，拉拉纳传球，杰伊-罗德里格斯禁区左侧的射门被封堵
49'射门!!!南安普敦球员拉拉纳大禁区外左脚射门,被对方守门员横身扑出.给他传球的是兰伯特.                   47'第47分钟，拉拉纳传球，杰伊-罗德里格斯禁区左侧的射门被封堵
57'利物浦换人,斯特林换下库蒂尼奥                   57'第57分钟，换下库蒂尼奥的斯特林第50次代表利物浦联赛出场
57'南安普敦球员柯克一脚直塞球给J-罗德里格斯,但是边裁举旗显示后者已经越位.                   57'第57分钟，换下库蒂尼奥的斯特林第50次代表利物浦联赛出场
58'进球啦！！！利物浦球员斯特林大禁区中央右脚射门,球从右下角飞进球门,球进了!助攻的是Luis Suarez. 南安普敦 0-2 利物浦.                   57'第57分钟，换下库蒂尼奥的斯特林第50次代表利物浦联赛出场
69'利物浦球员斯图里奇球门右侧小角度尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是Luis Suarez.                   69'第69分钟，苏亚雷斯传球，斯图里奇晃过博鲁奇后禁区右侧小角度射空门滑门而出
69'利物浦球员亨德森拼抢犯规,对手获得控球权.                   69'第69分钟，苏亚雷斯传球，斯图里奇晃过博鲁奇后禁区右侧小角度射空门滑门而出
69'肖为南安普敦在左路,赢得一个任意球.                   69'第69分钟，苏亚雷斯传球，斯图里奇晃过博鲁奇后禁区右侧小角度射空门滑门而出
70'黄牌！利物浦球员亨德森因为恶意犯规,被主裁判出示黄牌.                   69'第69分钟，苏亚雷斯传球，斯图里奇晃过博鲁奇后禁区右侧小角度射空门滑门而出
72'利物浦球员斯特林拼抢犯规,对手获得控球权.                   69'第69分钟，苏亚雷斯传球，斯图里奇晃过博鲁奇后禁区右侧小角度射空门滑门而出
72'柯克为南安普敦赢得一个任意球.                   69'第69分钟，苏亚雷斯传球，斯图里奇晃过博鲁奇后禁区右侧小角度射空门滑门而出
72'利物浦球员亨德森大禁区中央尝试左脚射门,可惜皮球高出球门.给他传球的是乔-阿伦.                   69'第69分钟，苏亚雷斯传球，斯图里奇晃过博鲁奇后禁区右侧小角度射空门滑门而出
46'南安普敦球员拉米雷斯大禁区外左脚射门,被防守球员封堵.给他传球的是拉拉纳.                   46'1分钟后，斯特林传球，杰拉德远射被博鲁奇扑出
46'斯科特尔将球处理出底线,南安普敦获得角球.                   46'1分钟后，斯特林传球，杰拉德远射被博鲁奇扑出
47'南安普敦球员斯内德林小禁区右侧尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是拉拉纳.                   46'1分钟后，斯特林传球，杰拉德远射被博鲁奇扑出
47'南安普敦球员J-罗德里格斯大禁区左侧右脚射门,被防守球员封堵.给他传球的是拉拉纳.                   46'1分钟后，斯特林传球，杰拉德远射被博鲁奇扑出
49'利物浦球员杰拉德大禁区外右脚射门,被防守球员封堵.                   46'1分钟后，斯特林传球，杰拉德远射被博鲁奇扑出
49'射门!!!南安普敦球员拉拉纳大禁区外左脚射门,被对方守门员横身扑出.给他传球的是兰伯特.                   46'1分钟后，斯特林传球，杰拉德远射被博鲁奇扑出
