2'这球是直接给出了底线                   2'第2分钟拉维持奇右路角球开到中路，任航扛着石柯强行头球攻门稍稍偏出
5'右侧张卫断下，斜传向前出界                   2'第2分钟拉维持奇右路角球开到中路，任航扛着石柯强行头球攻门稍稍偏出
8'直塞再找野牛被贺惯挡出边线                   8'第8分钟奥斯卡禁区外送出妙传，皮球穿透河北防线，从右翼杀出来的王燊超直接拿球直面杨程，但王燊超调整两下后侧身射门中横梁弹出
8'左侧拉维奇拿球，斜传直塞，王燊超挡出                   8'第8分钟奥斯卡禁区外送出妙传，皮球穿透河北防线，从右翼杀出来的王燊超直接拿球直面杨程，但王燊超调整两下后侧身射门中横梁弹出
8'华夏的二次进攻机会，过顶给到禁区中路                   8'第8分钟奥斯卡禁区外送出妙传，皮球穿透河北防线，从右翼杀出来的王燊超直接拿球直面杨程，但王燊超调整两下后侧身射门中横梁弹出
8'石柯头球解围                   8'第8分钟奥斯卡禁区外送出妙传，皮球穿透河北防线，从右翼杀出来的王燊超直接拿球直面杨程，但王燊超调整两下后侧身射门中横梁弹出
8'武磊回防到位，再补一脚解围                   8'第8分钟奥斯卡禁区外送出妙传，皮球穿透河北防线，从右翼杀出来的王燊超直接拿球直面杨程，但王燊超调整两下后侧身射门中横梁弹出
9'拉维奇转移右侧给赵明剑                   8'第8分钟奥斯卡禁区外送出妙传，皮球穿透河北防线，从右翼杀出来的王燊超直接拿球直面杨程，但王燊超调整两下后侧身射门中横梁弹出
9'插上，传中，，直接被颜骏凌没收                   8'第8分钟奥斯卡禁区外送出妙传，皮球穿透河北防线，从右翼杀出来的王燊超直接拿球直面杨程，但王燊超调整两下后侧身射门中横梁弹出
9'手抛球给胡尔克                   8'第8分钟奥斯卡禁区外送出妙传，皮球穿透河北防线，从右翼杀出来的王燊超直接拿球直面杨程，但王燊超调整两下后侧身射门中横梁弹出
10'横敲左侧给到武磊，武磊再分奥斯卡                   8'第8分钟奥斯卡禁区外送出妙传，皮球穿透河北防线，从右翼杀出来的王燊超直接拿球直面杨程，但王燊超调整两下后侧身射门中横梁弹出
10'过顶搓入禁区，准确给到王燊超                   8'第8分钟奥斯卡禁区外送出妙传，皮球穿透河北防线，从右翼杀出来的王燊超直接拿球直面杨程，但王燊超调整两下后侧身射门中横梁弹出
10'王燊超一停，晃开了防守，小禁区前沿单刀了                   8'第8分钟奥斯卡禁区外送出妙传，皮球穿透河北防线，从右翼杀出来的王燊超直接拿球直面杨程，但王燊超调整两下后侧身射门中横梁弹出
10'绝佳机会，面对杨程，左脚爆射击中横梁弹出                   8'第8分钟奥斯卡禁区外送出妙传，皮球穿透河北防线，从右翼杀出来的王燊超直接拿球直面杨程，但王燊超调整两下后侧身射门中横梁弹出
11'这球力量很大，机会也很好啊                   8'第8分钟奥斯卡禁区外送出妙传，皮球穿透河北防线，从右翼杀出来的王燊超直接拿球直面杨程，但王燊超调整两下后侧身射门中横梁弹出
11'禁区外围吕文君还有机会，再射，，打在王燊超身上了                   8'第8分钟奥斯卡禁区外送出妙传，皮球穿透河北防线，从右翼杀出来的王燊超直接拿球直面杨程，但王燊超调整两下后侧身射门中横梁弹出
11'裁判哨响，吹了王燊超越位                   8'第8分钟奥斯卡禁区外送出妙传，皮球穿透河北防线，从右翼杀出来的王燊超直接拿球直面杨程，但王燊超调整两下后侧身射门中横梁弹出
11'杨程大脚开起来                   8'第8分钟奥斯卡禁区外送出妙传，皮球穿透河北防线，从右翼杀出来的王燊超直接拿球直面杨程，但王燊超调整两下后侧身射门中横梁弹出
11'胡尔克中圈附近把球拦截，健步如飞，过人如麻啊                   8'第8分钟奥斯卡禁区外送出妙传，皮球穿透河北防线，从右翼杀出来的王燊超直接拿球直面杨程，但王燊超调整两下后侧身射门中横梁弹出
11'中路斜传，禁区前沿吕文君停下                   8'第8分钟奥斯卡禁区外送出妙传，皮球穿透河北防线，从右翼杀出来的王燊超直接拿球直面杨程，但王燊超调整两下后侧身射门中横梁弹出
15'禁区中央，任航把球挡出                   15'第15分钟蔡慧康换下张华晨
15'外围野牛拼抢，张卫推人犯规                   15'第15分钟蔡慧康换下张华晨
15'华夏定位球右侧给赵明剑，斜传出了边线                   15'第15分钟蔡慧康换下张华晨
15'这球是被对方碰出去的                   15'第15分钟蔡慧康换下张华晨
16'华夏界外球交给高准翼，在给尹鸿博，转身过人，甩到右侧                   15'第15分钟蔡慧康换下张华晨
16'赵明剑上来，交给野牛，回做                   15'第15分钟蔡慧康换下张华晨
16'中路埃尔纳内斯在给拉维奇                   15'第15分钟蔡慧康换下张华晨
16'再交直塞，赵明剑越位了                   15'第15分钟蔡慧康换下张华晨
16'这边换人了，上港的小将，张华晨。。。被蔡慧康替下                   15'第15分钟蔡慧康换下张华晨
16'张华晨每次都只有15分钟左右的表现时间                   15'第15分钟蔡慧康换下张华晨
17'赵宇豪拿球，回敲任航，在给身前左侧                   15'第15分钟蔡慧康换下张华晨
17'长传冲吊往前给，直接被颜骏凌收下                   15'第15分钟蔡慧康换下张华晨
17'手抛球给队长王燊超，推进到前面                   15'第15分钟蔡慧康换下张华晨
17'斜传被董学升回防断下                   15'第15分钟蔡慧康换下张华晨
17'董学升转身被贺惯反抢                   15'第15分钟蔡慧康换下张华晨
17'埃尔纳内斯把球控制下来，在给赵宇豪，挑传                   15'第15分钟蔡慧康换下张华晨
18'武磊把球拦截，往前送长传                   15'第15分钟蔡慧康换下张华晨
18'张呈栋挡了一下，胡尔克得球                   15'第15分钟蔡慧康换下张华晨
18'自己带球往底线杀奔，遭遇围堵                   15'第15分钟蔡慧康换下张华晨
18'张呈栋一脚踢出底线                   15'第15分钟蔡慧康换下张华晨
48'还是交给高准翼，给到身前罗森文                   48'第48分钟贺惯和董学升对撞双双倒地，比赛暂停小会，两人都没有大碍
48'下半场华夏是用罗森文替下了赵宇豪                   48'第48分钟贺惯和董学升对撞双双倒地，比赛暂停小会，两人都没有大碍
48'转移调度，右侧给到野牛                   48'第48分钟贺惯和董学升对撞双双倒地，比赛暂停小会，两人都没有大碍
48'胸部停下，张卫逼抢过来，清理出边线                   48'第48分钟贺惯和董学升对撞双双倒地，比赛暂停小会，两人都没有大碍
49'华夏界外球给到右侧埃尔纳内斯，还是找野牛                   48'第48分钟贺惯和董学升对撞双双倒地，比赛暂停小会，两人都没有大碍
49'回敲身后，赵明剑上来                   48'第48分钟贺惯和董学升对撞双双倒地，比赛暂停小会，两人都没有大碍
49'在给身旁，尹鸿博45度起球                   48'第48分钟贺惯和董学升对撞双双倒地，比赛暂停小会，两人都没有大碍
49'点球点附近被解围                   48'第48分钟贺惯和董学升对撞双双倒地，比赛暂停小会，两人都没有大碍
50'外围埃尔纳内斯在给到右侧                   48'第48分钟贺惯和董学升对撞双双倒地，比赛暂停小会，两人都没有大碍
50'赵明剑下底，再起，，中路还是被对方解围                   48'第48分钟贺惯和董学升对撞双双倒地，比赛暂停小会，两人都没有大碍
50'艾哈迈多夫外围得球，刚要进攻                   48'第48分钟贺惯和董学升对撞双双倒地，比赛暂停小会，两人都没有大碍
50'裁判哨响了，，这边有人受伤                   48'第48分钟贺惯和董学升对撞双双倒地，比赛暂停小会，两人都没有大碍
50'董学升倒地，，贺惯也倒在草坪上                   48'第48分钟贺惯和董学升对撞双双倒地，比赛暂停小会，两人都没有大碍
50'两个人都要简单的接受下治疗                   48'第48分钟贺惯和董学升对撞双双倒地，比赛暂停小会，两人都没有大碍
51'比赛继续，，张呈栋中场附近抬脚过高犯规                   48'第48分钟贺惯和董学升对撞双双倒地，比赛暂停小会，两人都没有大碍
51'上港右侧定位球，奥斯卡主罚                   48'第48分钟贺惯和董学升对撞双双倒地，比赛暂停小会，两人都没有大碍
51'直接吊向禁区，，吕文君蹭了一下，对方疑似手球了                   48'第48分钟贺惯和董学升对撞双双倒地，比赛暂停小会，两人都没有大碍
51'不过裁判哨响，吹了吕文君越位在先                   48'第48分钟贺惯和董学升对撞双双倒地，比赛暂停小会，两人都没有大碍
51'中路华夏给到罗森文，斜传向前被蔡慧康拦截                   48'第48分钟贺惯和董学升对撞双双倒地，比赛暂停小会，两人都没有大碍
57'门前被高准翼抢先解围                   57'第57分钟胡尔克禁区内挑球过人，球打在任航手上，裁判没有判罚
57'奥斯卡外围组织，在给到右侧                   57'第57分钟胡尔克禁区内挑球过人，球打在任航手上，裁判没有判罚
57'王燊超上来，右脚吊起来，给大了                   57'第57分钟胡尔克禁区内挑球过人，球打在任航手上，裁判没有判罚
57'球到了左侧，还有机会，奥斯卡拼抢犯规了                   57'第57分钟胡尔克禁区内挑球过人，球打在任航手上，裁判没有判罚
57'华夏幸福后场定位球                   57'第57分钟胡尔克禁区内挑球过人，球打在任航手上，裁判没有判罚
57'长传出来，前场中圈到了拉维奇脚下                   57'第57分钟胡尔克禁区内挑球过人，球打在任航手上，裁判没有判罚
57'斜传给到罗森文，左侧起球                   57'第57分钟胡尔克禁区内挑球过人，球打在任航手上，裁判没有判罚
58'传中给大了，左侧武磊回撤抢断                   57'第57分钟胡尔克禁区内挑球过人，球打在任航手上，裁判没有判罚
58'赵明剑身后上来，直接推翻了武磊                   57'第57分钟胡尔克禁区内挑球过人，球打在任航手上，裁判没有判罚
58'很忌惮上港的反击啊，忌惮武磊的速度                   57'第57分钟胡尔克禁区内挑球过人，球打在任航手上，裁判没有判罚
58'上港后场定位球，还是来一个长距离                   57'第57分钟胡尔克禁区内挑球过人，球打在任航手上，裁判没有判罚
58'直接给出边线                   57'第57分钟胡尔克禁区内挑球过人，球打在任航手上，裁判没有判罚
58'任航后场拿球，斜传向前，野牛回撤接应                   57'第57分钟胡尔克禁区内挑球过人，球打在任航手上，裁判没有判罚
59'横敲右侧赵明剑，压上助攻                   57'第57分钟胡尔克禁区内挑球过人，球打在任航手上，裁判没有判罚
59'杀到底线，拼抢之后还是华夏的球员碰出底线                   57'第57分钟胡尔克禁区内挑球过人，球打在任航手上，裁判没有判罚
59'颜骏凌大脚开出门球                   57'第57分钟胡尔克禁区内挑球过人，球打在任航手上，裁判没有判罚
59'中前场右侧，蔡慧康拿到，回敲石柯，在给艾哈迈多夫                   57'第57分钟胡尔克禁区内挑球过人，球打在任航手上，裁判没有判罚
59'挑传到边路，队长王燊超                   57'第57分钟胡尔克禁区内挑球过人，球打在任航手上，裁判没有判罚
60'横敲胡尔克，直塞禁区右肋                   57'第57分钟胡尔克禁区内挑球过人，球打在任航手上，裁判没有判罚
60'奥斯卡插上，在交到中路                   57'第57分钟胡尔克禁区内挑球过人，球打在任航手上，裁判没有判罚
60'蔡慧康迎头赶上，一脚怒射。。。被后卫挡下                   57'第57分钟胡尔克禁区内挑球过人，球打在任航手上，裁判没有判罚
60'左侧拉维奇拿球，自己往前走                   57'第57分钟胡尔克禁区内挑球过人，球打在任航手上，裁判没有判罚
60'艾哈迈多夫回防绊倒对手                   57'第57分钟胡尔克禁区内挑球过人，球打在任航手上，裁判没有判罚
60'华夏定位球，长传到前面，直接出了右侧                   57'第57分钟胡尔克禁区内挑球过人，球打在任航手上，裁判没有判罚
59'横敲右侧赵明剑，压上助攻                   59'第59分钟上港右路角球开出，石柯头球轻点，武磊铲射没碰到球
59'杀到底线，拼抢之后还是华夏的球员碰出底线                   59'第59分钟上港右路角球开出，石柯头球轻点，武磊铲射没碰到球
59'颜骏凌大脚开出门球                   59'第59分钟上港右路角球开出，石柯头球轻点，武磊铲射没碰到球
59'中前场右侧，蔡慧康拿到，回敲石柯，在给艾哈迈多夫                   59'第59分钟上港右路角球开出，石柯头球轻点，武磊铲射没碰到球
59'挑传到边路，队长王燊超                   59'第59分钟上港右路角球开出，石柯头球轻点，武磊铲射没碰到球
60'横敲胡尔克，直塞禁区右肋                   59'第59分钟上港右路角球开出，石柯头球轻点，武磊铲射没碰到球
60'奥斯卡插上，在交到中路                   59'第59分钟上港右路角球开出，石柯头球轻点，武磊铲射没碰到球
60'蔡慧康迎头赶上，一脚怒射。。。被后卫挡下                   59'第59分钟上港右路角球开出，石柯头球轻点，武磊铲射没碰到球
60'左侧拉维奇拿球，自己往前走                   59'第59分钟上港右路角球开出，石柯头球轻点，武磊铲射没碰到球
60'艾哈迈多夫回防绊倒对手                   59'第59分钟上港右路角球开出，石柯头球轻点，武磊铲射没碰到球
60'华夏定位球，长传到前面，直接出了右侧                   59'第59分钟上港右路角球开出，石柯头球轻点，武磊铲射没碰到球
61'王燊超右路拿球插上，挑传到禁区内                   59'第59分钟上港右路角球开出，石柯头球轻点，武磊铲射没碰到球
61'奥斯卡禁区内把球拿住                   59'第59分钟上港右路角球开出，石柯头球轻点，武磊铲射没碰到球
61'自己内切往中路带，找到空当，马上起脚                   59'第59分钟上港右路角球开出，石柯头球轻点，武磊铲射没碰到球
62'兜射弧线，，杨程飞身扑出底线，危险啊                   59'第59分钟上港右路角球开出，石柯头球轻点，武磊铲射没碰到球
62'上港右侧角球，，奥斯卡开起来                   59'第59分钟上港右路角球开出，石柯头球轻点，武磊铲射没碰到球
62'禁区中路，争顶，，武磊争到，，顶出底线了                   59'第59分钟上港右路角球开出，石柯头球轻点，武磊铲射没碰到球
62'杨程大脚开起来                   59'第59分钟上港右路角球开出，石柯头球轻点，武磊铲射没碰到球
62'中前场右侧拉维奇拿球，转到左侧                   59'第59分钟上港右路角球开出，石柯头球轻点，武磊铲射没碰到球
62'艾哈迈多夫把球拦截，自己沿着左侧带                   59'第59分钟上港右路角球开出，石柯头球轻点，武磊铲射没碰到球
67'武磊胸部停球，但是被吹越位                   67'第67分钟，朱海威换下埃尔纳内斯
67'杨程把球交给任航，右侧长传                   67'第67分钟，朱海威换下埃尔纳内斯
67'蔡慧康防守顶出边线                   67'第67分钟，朱海威换下埃尔纳内斯
67'中路华夏把球给到尹鸿博，左侧给到压上的张呈栋                   67'第67分钟，朱海威换下埃尔纳内斯
67'横敲赵宇豪，挑传右路给野牛                   67'第67分钟，朱海威换下埃尔纳内斯
68'野牛拿球，转身挑传，禁区内被石柯挡出                   67'第67分钟，朱海威换下埃尔纳内斯
68'外围吕文君得球，在给右侧奥斯卡                   67'第67分钟，朱海威换下埃尔纳内斯
68'直塞给身前胡尔克，拿球疾驰而去，内切突破                   67'第67分钟，朱海威换下埃尔纳内斯
68'禁区右肋兜射，，高了                   67'第67分钟，朱海威换下埃尔纳内斯
68'杨程大脚开起来                   67'第67分钟，朱海威换下埃尔纳内斯
68'中前场的拼抢，张卫把球碰出边线                   67'第67分钟，朱海威换下埃尔纳内斯
69'右侧界外球给出来，蔡慧康一顶，埃尔纳内斯撞倒了奥斯卡                   67'第67分钟，朱海威换下埃尔纳内斯
69'后场定位球，给到胡尔克，右路拿球                   67'第67分钟，朱海威换下埃尔纳内斯
69'交给艾哈迈多夫，低传左侧吕文君                   67'第67分钟，朱海威换下埃尔纳内斯
69'在给身旁武磊，中路回给艾哈迈多夫                   67'第67分钟，朱海威换下埃尔纳内斯
67'点球，，上港又是拿到点球机会                   67'第67分钟，朱海威换下埃尔纳内斯
67'这次胡尔克来踢，还是奥斯卡来踢呢                   67'第67分钟，朱海威换下埃尔纳内斯
67'还是给了奥斯卡，，胡尔克在旁边鼓励                   67'第67分钟，朱海威换下埃尔纳内斯
67'奥斯卡右脚张弓搭箭，一记爆射。。直奔右侧打进                   67'第67分钟，朱海威换下埃尔纳内斯
67'这球杨程判断准确，但是无奈，势大力沉，角度也可以。。没扑到                   67'第67分钟，朱海威换下埃尔纳内斯
68'点球都快成上港心魔了，趁这个时候打破心魔                   67'第67分钟，朱海威换下埃尔纳内斯
68'比赛继续，佩工也是忍无可忍，换下了埃尔纳内斯                   67'第67分钟，朱海威换下埃尔纳内斯
68'实在是隐身啊                   67'第67分钟，朱海威换下埃尔纳内斯
68'朱海威替补上场                   67'第67分钟，朱海威换下埃尔纳内斯
69'华夏右侧给到拉维奇，回敲高准翼，在给左侧任航                   67'第67分钟，朱海威换下埃尔纳内斯
69'身前找到拉维奇，横敲中路，在转移左侧，被张卫挡出边线                   67'第67分钟，朱海威换下埃尔纳内斯
69'华夏界外球给的太深了，直接是出了底线                   67'第67分钟，朱海威换下埃尔纳内斯
69'颜骏凌大脚开起来                   67'第67分钟，朱海威换下埃尔纳内斯
70'前场右侧争顶，张呈栋一挡，到了石柯脚下                   67'第67分钟，朱海威换下埃尔纳内斯
70'石柯也没控制下来，左侧朱海威得球                   67'第67分钟，朱海威换下埃尔纳内斯
70'自己往前强突，撞倒了贺惯，吹了朱海威的撞人                   67'第67分钟，朱海威换下埃尔纳内斯
70'贺惯是提前准确预判卡位                   67'第67分钟，朱海威换下埃尔纳内斯
70'比赛已经到了70分钟，看来华夏今天要吃到赛季第一场败仗了                   67'第67分钟，朱海威换下埃尔纳内斯
77'被挡了一下，外围艾哈迈多夫拿球，内切，，下底                   77'第77分钟拉维奇任意球制造上港禁区内混乱，赵明剑禁区怒射被颜骏凌扑出，任航抢球时把贺惯撞翻吃到黄牌
77'倒三角在给，还是被挡出                   77'第77分钟拉维奇任意球制造上港禁区内混乱，赵明剑禁区怒射被颜骏凌扑出，任航抢球时把贺惯撞翻吃到黄牌
77'野牛回防积极拼抢，被对方撞翻                   77'第77分钟拉维奇任意球制造上港禁区内混乱，赵明剑禁区怒射被颜骏凌扑出，任航抢球时把贺惯撞翻吃到黄牌
77'吕文君的犯规                   77'第77分钟拉维奇任意球制造上港禁区内混乱，赵明剑禁区怒射被颜骏凌扑出，任航抢球时把贺惯撞翻吃到黄牌
77'华夏定位球给到左侧，尹鸿博中路找赵宇豪                   77'第77分钟拉维奇任意球制造上港禁区内混乱，赵明剑禁区怒射被颜骏凌扑出，任航抢球时把贺惯撞翻吃到黄牌
77'横敲右侧高准翼，长传起球                   77'第77分钟拉维奇任意球制造上港禁区内混乱，赵明剑禁区怒射被颜骏凌扑出，任航抢球时把贺惯撞翻吃到黄牌
77'右侧拉维奇得球，往底线压                   77'第77分钟拉维奇任意球制造上港禁区内混乱，赵明剑禁区怒射被颜骏凌扑出，任航抢球时把贺惯撞翻吃到黄牌
78'在搓入禁区，，线路被封堵的死死的                   77'第77分钟拉维奇任意球制造上港禁区内混乱，赵明剑禁区怒射被颜骏凌扑出，任航抢球时把贺惯撞翻吃到黄牌
78'武磊外围得球转身反击                   77'第77分钟拉维奇任意球制造上港禁区内混乱，赵明剑禁区怒射被颜骏凌扑出，任航抢球时把贺惯撞翻吃到黄牌
78'赵宇豪直接一个大飞铲，，武磊腾空而起啊。。赶紧闪                   77'第77分钟拉维奇任意球制造上港禁区内混乱，赵明剑禁区怒射被颜骏凌扑出，任航抢球时把贺惯撞翻吃到黄牌
78'裁判哨响，，赵宇豪犯规，并吃到黄牌                   77'第77分钟拉维奇任意球制造上港禁区内混乱，赵明剑禁区怒射被颜骏凌扑出，任航抢球时把贺惯撞翻吃到黄牌
79'上港定位球交给艾哈迈多夫，推给奥斯卡                   77'第77分钟拉维奇任意球制造上港禁区内混乱，赵明剑禁区怒射被颜骏凌扑出，任航抢球时把贺惯撞翻吃到黄牌
79'斜传右侧胡尔克，插上得球，在给中路                   77'第77分钟拉维奇任意球制造上港禁区内混乱，赵明剑禁区怒射被颜骏凌扑出，任航抢球时把贺惯撞翻吃到黄牌
79'奥斯卡斜传，右路胡尔克连续和奥斯卡的配合                   77'第77分钟拉维奇任意球制造上港禁区内混乱，赵明剑禁区怒射被颜骏凌扑出，任航抢球时把贺惯撞翻吃到黄牌
79'在搓入禁区，，杨程出击没收                   77'第77分钟拉维奇任意球制造上港禁区内混乱，赵明剑禁区怒射被颜骏凌扑出，任航抢球时把贺惯撞翻吃到黄牌
79'大脚开起来                   77'第77分钟拉维奇任意球制造上港禁区内混乱，赵明剑禁区怒射被颜骏凌扑出，任航抢球时把贺惯撞翻吃到黄牌
79'中前场右侧拼抢，野牛碰出边线                   77'第77分钟拉维奇任意球制造上港禁区内混乱，赵明剑禁区怒射被颜骏凌扑出，任航抢球时把贺惯撞翻吃到黄牌
79'上港界外球回敲石柯，在给长传                   77'第77分钟拉维奇任意球制造上港禁区内混乱，赵明剑禁区怒射被颜骏凌扑出，任航抢球时把贺惯撞翻吃到黄牌
80'拉维奇拦截，中路给埃尔纳内斯，在给右侧                   77'第77分钟拉维奇任意球制造上港禁区内混乱，赵明剑禁区怒射被颜骏凌扑出，任航抢球时把贺惯撞翻吃到黄牌
80'野牛和尹鸿博的配合，撞墙过来，还是张卫解围                   77'第77分钟拉维奇任意球制造上港禁区内混乱，赵明剑禁区怒射被颜骏凌扑出，任航抢球时把贺惯撞翻吃到黄牌
80'任航后场回敲杨程，在给中路                   77'第77分钟拉维奇任意球制造上港禁区内混乱，赵明剑禁区怒射被颜骏凌扑出，任航抢球时把贺惯撞翻吃到黄牌
80'赵宇豪回来接应，低传给中场埃尔纳内斯                   77'第77分钟拉维奇任意球制造上港禁区内混乱，赵明剑禁区怒射被颜骏凌扑出，任航抢球时把贺惯撞翻吃到黄牌
80'艾哈迈多夫拦截，右侧横敲被断                   77'第77分钟拉维奇任意球制造上港禁区内混乱，赵明剑禁区怒射被颜骏凌扑出，任航抢球时把贺惯撞翻吃到黄牌
80'赵宇豪吊向前场                   77'第77分钟拉维奇任意球制造上港禁区内混乱，赵明剑禁区怒射被颜骏凌扑出，任航抢球时把贺惯撞翻吃到黄牌
77'一阵高空作业，还是华夏把球拿下来，给到拉维奇                   77'第77分钟拉维奇任意球制造上港禁区内混乱，赵明剑禁区怒射被颜骏凌扑出，任航抢球时把贺惯撞翻吃到黄牌
77'中路回敲，给到右侧赵明剑                   77'第77分钟拉维奇任意球制造上港禁区内混乱，赵明剑禁区怒射被颜骏凌扑出，任航抢球时把贺惯撞翻吃到黄牌
77'低传向前，野牛禁区内插上                   77'第77分钟拉维奇任意球制造上港禁区内混乱，赵明剑禁区怒射被颜骏凌扑出，任航抢球时把贺惯撞翻吃到黄牌
77'右侧面对武磊，强突没过去，被破坏                   77'第77分钟拉维奇任意球制造上港禁区内混乱，赵明剑禁区怒射被颜骏凌扑出，任航抢球时把贺惯撞翻吃到黄牌
77'吕文君把球踢在罗森文身上出界                   77'第77分钟拉维奇任意球制造上港禁区内混乱，赵明剑禁区怒射被颜骏凌扑出，任航抢球时把贺惯撞翻吃到黄牌
78'上港左侧给到奥斯卡，自己往前突破，被赵明剑拦截                   77'第77分钟拉维奇任意球制造上港禁区内混乱，赵明剑禁区怒射被颜骏凌扑出，任航抢球时把贺惯撞翻吃到黄牌
78'奥斯卡反抢犯规                   77'第77分钟拉维奇任意球制造上港禁区内混乱，赵明剑禁区怒射被颜骏凌扑出，任航抢球时把贺惯撞翻吃到黄牌
78'华夏中路给到任航，分边右路给拉维奇                   77'第77分钟拉维奇任意球制造上港禁区内混乱，赵明剑禁区怒射被颜骏凌扑出，任航抢球时把贺惯撞翻吃到黄牌
78'斜传向前，石柯身后踢人犯规了                   77'第77分钟拉维奇任意球制造上港禁区内混乱，赵明剑禁区怒射被颜骏凌扑出，任航抢球时把贺惯撞翻吃到黄牌
78'中路偏右的定位球，拉维奇主罚，挑传到禁区                   77'第77分钟拉维奇任意球制造上港禁区内混乱，赵明剑禁区怒射被颜骏凌扑出，任航抢球时把贺惯撞翻吃到黄牌
79'中路还是红色的球员明显更多啊，华夏只靠董学升一个高点不够                   77'第77分钟拉维奇任意球制造上港禁区内混乱，赵明剑禁区怒射被颜骏凌扑出，任航抢球时把贺惯撞翻吃到黄牌
79'大禁区前沿朱海威得球，右脚张弓搭箭，一记重炮                   77'第77分钟拉维奇任意球制造上港禁区内混乱，赵明剑禁区怒射被颜骏凌扑出，任航抢球时把贺惯撞翻吃到黄牌
79'颜骏凌做出扑救，飞身挡出                   77'第77分钟拉维奇任意球制造上港禁区内混乱，赵明剑禁区怒射被颜骏凌扑出，任航抢球时把贺惯撞翻吃到黄牌
80'禁区内任航试图补射，但是犯规                   77'第77分钟拉维奇任意球制造上港禁区内混乱，赵明剑禁区怒射被颜骏凌扑出，任航抢球时把贺惯撞翻吃到黄牌
80'直接踢在了贺惯身上，没踢到球啊                   77'第77分钟拉维奇任意球制造上港禁区内混乱，赵明剑禁区怒射被颜骏凌扑出，任航抢球时把贺惯撞翻吃到黄牌
80'任航吃到黄牌                   77'第77分钟拉维奇任意球制造上港禁区内混乱，赵明剑禁区怒射被颜骏凌扑出，任航抢球时把贺惯撞翻吃到黄牌
80'贺惯问题不打                   77'第77分钟拉维奇任意球制造上港禁区内混乱，赵明剑禁区怒射被颜骏凌扑出，任航抢球时把贺惯撞翻吃到黄牌
80'华夏中前场拿到一个定位球                   77'第77分钟拉维奇任意球制造上港禁区内混乱，赵明剑禁区怒射被颜骏凌扑出，任航抢球时把贺惯撞翻吃到黄牌
80'右侧拉维奇主罚，砸向禁区                   77'第77分钟拉维奇任意球制造上港禁区内混乱，赵明剑禁区怒射被颜骏凌扑出，任航抢球时把贺惯撞翻吃到黄牌
80'小禁区前沿石柯头球顶出                   77'第77分钟拉维奇任意球制造上港禁区内混乱，赵明剑禁区怒射被颜骏凌扑出，任航抢球时把贺惯撞翻吃到黄牌
