1'上半场比赛开始！                   1'双方第1分钟均显得小心谨慎
31'本泽马出来接应，横传球小了                   31'第31分钟，克罗斯直传，本泽马禁区边缘内低射，皮球打在韦伦罗伊特腿上偏转缓缓滚向球门，但皮球减速后被沙尔克门将回身没收
31'中场依然是皇马的控球                   31'第31分钟，克罗斯直传，本泽马禁区边缘内低射，皮球打在韦伦罗伊特腿上偏转缓缓滚向球门，但皮球减速后被沙尔克门将回身没收
32'克罗斯中路直塞，本泽马反越位成功低射，门将扑了一下，球继续滚向大门，还好球速不快，魏伦罗伊特翻身将球摁住                   31'第31分钟，克罗斯直传，本泽马禁区边缘内低射，皮球打在韦伦罗伊特腿上偏转缓缓滚向球门，但皮球减速后被沙尔克门将回身没收
32'亨特拉尔刚才突破时撞倒了过来拦截的瓦拉内身上倒地                   31'第31分钟，克罗斯直传，本泽马禁区边缘内低射，皮球打在韦伦罗伊特腿上偏转缓缓滚向球门，但皮球减速后被沙尔克门将回身没收
33'亨特拉尔应该是触及了旧伤，不能坚持了！36号普拉特替下了25号受伤的亨特拉尔                   31'第31分钟，克罗斯直传，本泽马禁区边缘内低射，皮球打在韦伦罗伊特腿上偏转缓缓滚向球门，但皮球减速后被沙尔克门将回身没收
34'C罗禁区外的带球，博阿滕背后铲球犯规                   31'第31分钟，克罗斯直传，本泽马禁区边缘内低射，皮球打在韦伦罗伊特腿上偏转缓缓滚向球门，但皮球减速后被沙尔克门将回身没收
34'博阿滕吃到一张黄牌                   31'第31分钟，克罗斯直传，本泽马禁区边缘内低射，皮球打在韦伦罗伊特腿上偏转缓缓滚向球门，但皮球减速后被沙尔克门将回身没收
39'回复：纳柏悠悠  主播虽然辛苦，但刚说均势皇马就进球了，我也是醉了（小播没有看出蕴藏的玄机）                   39'第39分钟，C-罗纳尔多禁区右侧晃过出击的韦伦罗伊特，但最后小角度传中时皮球已偏出底线
39'楚波莫廷挑球过人，没有传好                   39'第39分钟，C-罗纳尔多禁区右侧晃过出击的韦伦罗伊特，但最后小角度传中时皮球已偏出底线
40'伊斯科发动进攻，连续的传球                   39'第39分钟，C-罗纳尔多禁区右侧晃过出击的韦伦罗伊特，但最后小角度传中时皮球已偏出底线
40'贝尔分边有点大                   39'第39分钟，C-罗纳尔多禁区右侧晃过出击的韦伦罗伊特，但最后小角度传中时皮球已偏出底线
40'马塞洛将球拿回来，回传到中场重新组织                   39'第39分钟，C-罗纳尔多禁区右侧晃过出击的韦伦罗伊特，但最后小角度传中时皮球已偏出底线
41'贝尔右路强行突破到底线，用右脚传中，C罗抢点推射打偏                   39'第39分钟，C-罗纳尔多禁区右侧晃过出击的韦伦罗伊特，但最后小角度传中时皮球已偏出底线
72'伊斯科中路发动进攻直传，贝尔背身接球脚后跟一磕，伊斯科跟打门打飞了                   72'皇马第72分钟险些扩大比分，贝尔脚后跟传球，伊斯科禁区边缘内劲射稍稍高出
73'本来是一次美妙的配合，伊斯科浪费了机会                   72'皇马第72分钟险些扩大比分，贝尔脚后跟传球，伊斯科禁区边缘内劲射稍稍高出
73'本泽马禁区前的变向过人被赫韦德斯绊倒                   72'皇马第72分钟险些扩大比分，贝尔脚后跟传球，伊斯科禁区边缘内劲射稍稍高出
74'皇马获得一个任意球机会                   72'皇马第72分钟险些扩大比分，贝尔脚后跟传球，伊斯科禁区边缘内劲射稍稍高出
74'C罗的打门被人墙挡了出来                   72'皇马第72分钟险些扩大比分，贝尔脚后跟传球，伊斯科禁区边缘内劲射稍稍高出
74'沙尔克04突然找到机会                   72'皇马第72分钟险些扩大比分，贝尔脚后跟传球，伊斯科禁区边缘内劲射稍稍高出
75'基尔霍夫长传到禁区，内田笃人插上回做，楚波莫廷大力抽射打在了横梁上！                   72'皇马第72分钟险些扩大比分，贝尔脚后跟传球，伊斯科禁区边缘内劲射稍稍高出
47'裁判果断向诺伊施奈特出示黄牌！                   47'沙尔克2分钟后险些追平，内田笃人回传，普拉特禁区弧内抽射憾中横梁弹回，内田笃人混战中近距离补射打中马塞洛偏转后被卡西利亚斯没收
47'C罗打远射，没有抽起来                   47'沙尔克2分钟后险些追平，内田笃人回传，普拉特禁区弧内抽射憾中横梁弹回，内田笃人混战中近距离补射打中马塞洛偏转后被卡西利亚斯没收
47'上半场比赛结束！                   47'沙尔克2分钟后险些追平，内田笃人回传，普拉特禁区弧内抽射憾中横梁弹回，内田笃人混战中近距离补射打中马塞洛偏转后被卡西利亚斯没收
47'皇马在后防线倒着脚                   47'沙尔克2分钟后险些追平，内田笃人回传，普拉特禁区弧内抽射憾中横梁弹回，内田笃人混战中近距离补射打中马塞洛偏转后被卡西利亚斯没收
47'马塞洛冲上来，交给卢卡斯-席尔瓦                   47'沙尔克2分钟后险些追平，内田笃人回传，普拉特禁区弧内抽射憾中横梁弹回，内田笃人混战中近距离补射打中马塞洛偏转后被卡西利亚斯没收
47'球过渡到右路，卡尔瓦哈尔回传给佩佩                   47'沙尔克2分钟后险些追平，内田笃人回传，普拉特禁区弧内抽射憾中横梁弹回，内田笃人混战中近距离补射打中马塞洛偏转后被卡西利亚斯没收
47'球还转移到左路，伊斯科却大范围转移到卡尔瓦哈尔脚下                   47'沙尔克2分钟后险些追平，内田笃人回传，普拉特禁区弧内抽射憾中横梁弹回，内田笃人混战中近距离补射打中马塞洛偏转后被卡西利亚斯没收
48'贝尔来接应，奥戈上抢犯规了                   47'沙尔克2分钟后险些追平，内田笃人回传，普拉特禁区弧内抽射憾中横梁弹回，内田笃人混战中近距离补射打中马塞洛偏转后被卡西利亚斯没收
48'皇马获得前场右路的任意球机会                   47'沙尔克2分钟后险些追平，内田笃人回传，普拉特禁区弧内抽射憾中横梁弹回，内田笃人混战中近距离补射打中马塞洛偏转后被卡西利亚斯没收
48'贝尔任意球传到禁区边缘，本泽马争顶犯规                   47'沙尔克2分钟后险些追平，内田笃人回传，普拉特禁区弧内抽射憾中横梁弹回，内田笃人混战中近距离补射打中马塞洛偏转后被卡西利亚斯没收
48'中场继续由皇马控制                   47'沙尔克2分钟后险些追平，内田笃人回传，普拉特禁区弧内抽射憾中横梁弹回，内田笃人混战中近距离补射打中马塞洛偏转后被卡西利亚斯没收
49'伊斯科左路拿球，绕一圈交给马塞洛传中                   47'沙尔克2分钟后险些追平，内田笃人回传，普拉特禁区弧内抽射憾中横梁弹回，内田笃人混战中近距离补射打中马塞洛偏转后被卡西利亚斯没收
49'传得不好，又慢又飘，魏伦罗伊特将球摘下                   47'沙尔克2分钟后险些追平，内田笃人回传，普拉特禁区弧内抽射憾中横梁弹回，内田笃人混战中近距离补射打中马塞洛偏转后被卡西利亚斯没收
49'魏伦罗伊特大脚开上来，瓦拉内顶到第一点                   47'沙尔克2分钟后险些追平，内田笃人回传，普拉特禁区弧内抽射憾中横梁弹回，内田笃人混战中近距离补射打中马塞洛偏转后被卡西利亚斯没收
50'贝尔右路得球，晃动后直塞，球被纳斯塔西奇拦截                   47'沙尔克2分钟后险些追平，内田笃人回传，普拉特禁区弧内抽射憾中横梁弹回，内田笃人混战中近距离补射打中马塞洛偏转后被卡西利亚斯没收
50'霍格尔前场拿球分左路                   47'沙尔克2分钟后险些追平，内田笃人回传，普拉特禁区弧内抽射憾中横梁弹回，内田笃人混战中近距离补射打中马塞洛偏转后被卡西利亚斯没收
50'奥戈套上下底传中，球被卡西利亚斯没收                   47'沙尔克2分钟后险些追平，内田笃人回传，普拉特禁区弧内抽射憾中横梁弹回，内田笃人混战中近距离补射打中马塞洛偏转后被卡西利亚斯没收
79'皇马换人，14号小碗豆埃尔南德斯换下了9号本泽马                   79'皇马第79分钟扩大比分，C-罗纳尔多内切传球，马塞洛左路禁区边缘外右脚抽射入右上死角，2-0
79'卢卡斯-席尔瓦后场断球，分左路                   79'皇马第79分钟扩大比分，C-罗纳尔多内切传球，马塞洛左路禁区边缘外右脚抽射入右上死角，2-0
79'C罗内切，交给马塞洛                   79'皇马第79分钟扩大比分，C-罗纳尔多内切传球，马塞洛左路禁区边缘外右脚抽射入右上死角，2-0
79'马塞洛打进世界波！                   79'皇马第79分钟扩大比分，C-罗纳尔多内切传球，马塞洛左路禁区边缘外右脚抽射入右上死角，2-0
81'C罗边线时一对二突然硬突过去内切并横拔一下，马塞洛用右脚大力抽射远角球进！                   79'皇马第79分钟扩大比分，C-罗纳尔多内切传球，马塞洛左路禁区边缘外右脚抽射入右上死角，2-0
81'这球打在一个理论上的死角                   79'皇马第79分钟扩大比分，C-罗纳尔多内切传球，马塞洛左路禁区边缘外右脚抽射入右上死角，2-0
81'沙尔克04换人，7号梅耶尔替下了12号霍格尔                   79'皇马第79分钟扩大比分，C-罗纳尔多内切传球，马塞洛左路禁区边缘外右脚抽射入右上死角，2-0
82'皇马继续换人，17号阿韦洛亚替下15号卡尔瓦哈尔                   79'皇马第79分钟扩大比分，C-罗纳尔多内切传球，马塞洛左路禁区边缘外右脚抽射入右上死角，2-0
