13'恒大淘宝将球分右路，张琳芃推进上来                   13'两队一直僵持到第13分钟才有第一次实质射门，但这记射门就取得意外进球
26'谢鹏飞快发任意球，郑智抢下阿甘的球，阿甘背后推人犯规                   26'第26分钟埃尔克森禁区外转射门稍稍打高，第32分钟高拉特左路带球中射门又打高，天河的草坪质量似乎不太对，皮球在地面上无法平稳滚动
26'郑智中路的直传，郜林背身拿球被布拉比推倒                   26'第26分钟埃尔克森禁区外转射门稍稍打高，第32分钟高拉特左路带球中射门又打高，天河的草坪质量似乎不太对，皮球在地面上无法平稳滚动
26'冯潇霆长传上来过不了曹轩                   26'第26分钟埃尔克森禁区外转射门稍稍打高，第32分钟高拉特左路带球中射门又打高，天河的草坪质量似乎不太对，皮球在地面上无法平稳滚动
26'张琳芃与高拉特做二过一，张琳芃停球有点磕磁                   26'第26分钟埃尔克森禁区外转射门稍稍打高，第32分钟高拉特左路带球中射门又打高，天河的草坪质量似乎不太对，皮球在地面上无法平稳滚动
28'埃尔克森禁区外远射，力量够了但没有压住                   26'第26分钟埃尔克森禁区外转射门稍稍打高，第32分钟高拉特左路带球中射门又打高，天河的草坪质量似乎不太对，皮球在地面上无法平稳滚动
28'张琳芃传到弧顶处                   26'第26分钟埃尔克森禁区外转射门稍稍打高，第32分钟高拉特左路带球中射门又打高，天河的草坪质量似乎不太对，皮球在地面上无法平稳滚动
28'郜林拉边拿球，回传，张琳芃交给郑智                   26'第26分钟埃尔克森禁区外转射门稍稍打高，第32分钟高拉特左路带球中射门又打高，天河的草坪质量似乎不太对，皮球在地面上无法平稳滚动
28'轻轻一挑交给王上源再转移给邹正                   26'第26分钟埃尔克森禁区外转射门稍稍打高，第32分钟高拉特左路带球中射门又打高，天河的草坪质量似乎不太对，皮球在地面上无法平稳滚动
29'邹正内切直传，布拉比将球破坏                   26'第26分钟埃尔克森禁区外转射门稍稍打高，第32分钟高拉特左路带球中射门又打高，天河的草坪质量似乎不太对，皮球在地面上无法平稳滚动
29'郑智反断分右路                   26'第26分钟埃尔克森禁区外转射门稍稍打高，第32分钟高拉特左路带球中射门又打高，天河的草坪质量似乎不太对，皮球在地面上无法平稳滚动
29'郜林内切交给埃尔克森，埃尔克森一漏，前面没人                   26'第26分钟埃尔克森禁区外转射门稍稍打高，第32分钟高拉特左路带球中射门又打高，天河的草坪质量似乎不太对，皮球在地面上无法平稳滚动
29'安塔尔长传交给了阿甘，阿甘带球到左路横传                   26'第26分钟埃尔克森禁区外转射门稍稍打高，第32分钟高拉特左路带球中射门又打高，天河的草坪质量似乎不太对，皮球在地面上无法平稳滚动
29'陈柏良接应分边传得不好被金英权断下                   26'第26分钟埃尔克森禁区外转射门稍稍打高，第32分钟高拉特左路带球中射门又打高，天河的草坪质量似乎不太对，皮球在地面上无法平稳滚动
37'谢鹏飞右路的传球，目的性不强                   37'第37分钟恒大中场妙传，郜林左路反越位成功，但他的单刀怒射被顾超奋力扑出
37'阿甘打单箭头得到的支援很少                   37'第37分钟恒大中场妙传，郜林左路反越位成功，但他的单刀怒射被顾超奋力扑出
38'顾超长传上来，阿甘头球一蹭，没有队友接应                   37'第37分钟恒大中场妙传，郜林左路反越位成功，但他的单刀怒射被顾超奋力扑出
38'郑智挑传，郜林拿得很好，左脚小角度打门被顾超用脚挡出，曹轩将球顶出底线                   37'第37分钟恒大中场妙传，郜林左路反越位成功，但他的单刀怒射被顾超奋力扑出
39'郑智角球旋到门前，高拉特近距离头球攻门，顾超反应神速将不堪扑出底线                   37'第37分钟恒大中场妙传，郜林左路反越位成功，但他的单刀怒射被顾超奋力扑出
39'恒大淘宝前场右路的角球机会                   37'第37分钟恒大中场妙传，郜林左路反越位成功，但他的单刀怒射被顾超奋力扑出
40'短角球战术，郑智推到右肋部，埃尔克森传到禁区右犄角，邹正的传中，球有点高，直接飞出底线                   37'第37分钟恒大中场妙传，郜林左路反越位成功，但他的单刀怒射被顾超奋力扑出
40'王林断球，金英权绊人犯规                   37'第37分钟恒大中场妙传，郜林左路反越位成功，但他的单刀怒射被顾超奋力扑出
40'短角球战术，郑智推到右肋部，埃尔克森传到禁区右犄角，邹正的传中，球有点高，直接飞出底线                   40'恒大继续攻，第40分钟张琳M右路传中，埃尔克森头球顶了个直上直下被顾超接稳，一分钟后埃尔克森接高拉特送球，一脚抽射也打高
40'王林断球，金英权绊人犯规                   40'恒大继续攻，第40分钟张琳M右路传中，埃尔克森头球顶了个直上直下被顾超接稳，一分钟后埃尔克森接高拉特送球，一脚抽射也打高
41'阿甘背身拿球回传失误                   40'恒大继续攻，第40分钟张琳M右路传中，埃尔克森头球顶了个直上直下被顾超接稳，一分钟后埃尔克森接高拉特送球，一脚抽射也打高
41'安塔尔长传，张琳芃断下范晓冬脚下球                   40'恒大继续攻，第40分钟张琳M右路传中，埃尔克森头球顶了个直上直下被顾超接稳，一分钟后埃尔克森接高拉特送球，一脚抽射也打高
41'张琳芃的传中，埃尔克森禁区边缘头球攻门，太远了，力量不足，顾超将球拿到                   40'恒大继续攻，第40分钟张琳M右路传中，埃尔克森头球顶了个直上直下被顾超接稳，一分钟后埃尔克森接高拉特送球，一脚抽射也打高
42'郜林挑传，高拉特停球后回做，埃尔克森远射打高了                   40'恒大继续攻，第40分钟张琳M右路传中，埃尔克森头球顶了个直上直下被顾超接稳，一分钟后埃尔克森接高拉特送球，一脚抽射也打高
43'阿甘背身接应再斜传，谢鹏飞没有冲起来                   40'恒大继续攻，第40分钟张琳M右路传中，埃尔克森头球顶了个直上直下被顾超接稳，一分钟后埃尔克森接高拉特送球，一脚抽射也打高
43'郑智拿球，分给邹正                   40'恒大继续攻，第40分钟张琳M右路传中，埃尔克森头球顶了个直上直下被顾超接稳，一分钟后埃尔克森接高拉特送球，一脚抽射也打高
43'邹正回传给金英权                   40'恒大继续攻，第40分钟张琳M右路传中，埃尔克森头球顶了个直上直下被顾超接稳，一分钟后埃尔克森接高拉特送球，一脚抽射也打高
43'王上源接应交给郜林                   40'恒大继续攻，第40分钟张琳M右路传中，埃尔克森头球顶了个直上直下被顾超接稳，一分钟后埃尔克森接高拉特送球，一脚抽射也打高
43'郜林大范围转移向右路，过不了范晓冬                   40'恒大继续攻，第40分钟张琳M右路传中，埃尔克森头球顶了个直上直下被顾超接稳，一分钟后埃尔克森接高拉特送球，一脚抽射也打高
48'曹轩分边左路，范晓冬的传球出了边线                   48'第48分钟郜林和邹正配合，在绿城多人重围中杀出一条血路，但郜林大好机会的射门却斜飞出界
48'高拉特分出来，邹正与郜林配合                   48'第48分钟郜林和邹正配合，在绿城多人重围中杀出一条血路，但郜林大好机会的射门却斜飞出界
49'强突禁区，球磕磕碰碰，郜林拿到球横拉推射打高了                   48'第48分钟郜林和邹正配合，在绿城多人重围中杀出一条血路，但郜林大好机会的射门却斜飞出界
49'安塔尔中场护球交给范晓冬，罗竞接应挑传，曾诚冲出禁区大脚解围                   48'第48分钟郜林和邹正配合，在绿城多人重围中杀出一条血路，但郜林大好机会的射门却斜飞出界
49'布拉比后场起高球找阿甘，阿甘越位了                   48'第48分钟郜林和邹正配合，在绿城多人重围中杀出一条血路，但郜林大好机会的射门却斜飞出界
50'郑智中路直传被拦截，范晓冬左路往前带                   48'第48分钟郜林和邹正配合，在绿城多人重围中杀出一条血路，但郜林大好机会的射门却斜飞出界
50'范晓冬顾着带球没有传球，与张琳芃对脚后碰球出边线                   48'第48分钟郜林和邹正配合，在绿城多人重围中杀出一条血路，但郜林大好机会的射门却斜飞出界
51'罗竞左路的带球横传，上抢的王上源犯规                   48'第48分钟郜林和邹正配合，在绿城多人重围中杀出一条血路，但郜林大好机会的射门却斜飞出界
51'罗竞斜传上来，赵旭日顶到第一点                   48'第48分钟郜林和邹正配合，在绿城多人重围中杀出一条血路，但郜林大好机会的射门却斜飞出界
51'高拉特前场拿球，横传给郜林                   48'第48分钟郜林和邹正配合，在绿城多人重围中杀出一条血路，但郜林大好机会的射门却斜飞出界
63'继续是恒大淘宝的进攻                   63'第63分钟恒大用梅方换下张琳M
63'张琳芃送直传，球被曹轩解围                   63'第63分钟恒大用梅方换下张琳M
63'赵旭日反抢时拉人犯规                   63'第63分钟恒大用梅方换下张琳M
63'赵旭日吃到了黄牌！                   63'第63分钟恒大用梅方换下张琳M
64'广州恒大淘宝换人，3号梅方换下了5号张琳芃！                   63'第63分钟恒大用梅方换下张琳M
64'赵啸天推进上来交给阿甘                   63'第63分钟恒大用梅方换下张琳M
64'阿甘横传被郑智拦截                   63'第63分钟恒大用梅方换下张琳M
65'高拉特拿球交给梅方                   63'第63分钟恒大用梅方换下张琳M
65'梅方斜传，埃尔克森伸脚卧射被门将没收                   63'第63分钟恒大用梅方换下张琳M
65'又是梅方，交给王上源                   63'第63分钟恒大用梅方换下张琳M
65'郜林接应直传，再一顺，传大了                   63'第63分钟恒大用梅方换下张琳M
65'曹轩卡住身位将球让出底线                   63'第63分钟恒大用梅方换下张琳M
66'郑智分给赵旭日                   63'第63分钟恒大用梅方换下张琳M
66'郑智再接球，转移向右路传深了，曹轩将球踢出边线                   63'第63分钟恒大用梅方换下张琳M
69'阿甘前场得球，加速硬推金英权，冯潇霆过来帮忙                   69'第69分钟邹正左路和埃尔克森打出小配合，邹正下底传中，高拉特在后点侧身扫射被范晓东挡出
69'罗竞上来接应，郑智倒地铲了一下                   69'第69分钟邹正左路和埃尔克森打出小配合，邹正下底传中，高拉特在后点侧身扫射被范晓东挡出
69'球还在罗竞脚下，罗竞右路传中，曾诚将球抱住                   69'第69分钟邹正左路和埃尔克森打出小配合，邹正下底传中，高拉特在后点侧身扫射被范晓东挡出
70'邹正左路传中，高拉特后点左脚劲射打在后卫身上                   69'第69分钟邹正左路和埃尔克森打出小配合，邹正下底传中，高拉特在后点侧身扫射被范晓东挡出
70'布拉比解围踢在高拉特身上出底线                   69'第69分钟邹正左路和埃尔克森打出小配合，邹正下底传中，高拉特在后点侧身扫射被范晓东挡出
72'阿甘右路的推进，球丢了                   69'第69分钟邹正左路和埃尔克森打出小配合，邹正下底传中，高拉特在后点侧身扫射被范晓东挡出
75'郜林右路带球，陈柏良背后将球捅出底线                   75'第75分钟绿城又拿到快速反击机会，梅方放倒拿球的罗竞吃到黄牌，这也是本场第一张黄牌，罗竞的任意球射门高飞出界
75'郑智角球送到点球点，头球顶得不好                   75'第75分钟绿城又拿到快速反击机会，梅方放倒拿球的罗竞吃到黄牌，这也是本场第一张黄牌，罗竞的任意球射门高飞出界
76'阿甘带球上来分给左路的罗竞                   75'第75分钟绿城又拿到快速反击机会，梅方放倒拿球的罗竞吃到黄牌，这也是本场第一张黄牌，罗竞的任意球射门高飞出界
76'罗竞变向过人，梅方伸脚绊倒了罗竞                   75'第75分钟绿城又拿到快速反击机会，梅方放倒拿球的罗竞吃到黄牌，这也是本场第一张黄牌，罗竞的任意球射门高飞出界
76'梅方吃到一张黄牌                   75'第75分钟绿城又拿到快速反击机会，梅方放倒拿球的罗竞吃到黄牌，这也是本场第一张黄牌，罗竞的任意球射门高飞出界
76'绿城获得一个中路偏左距离球门30米左右的任意球机会                   75'第75分钟绿城又拿到快速反击机会，梅方放倒拿球的罗竞吃到黄牌，这也是本场第一张黄牌，罗竞的任意球射门高飞出界
77'罗竞的打门打到天上                   75'第75分钟绿城又拿到快速反击机会，梅方放倒拿球的罗竞吃到黄牌，这也是本场第一张黄牌，罗竞的任意球射门高飞出界
78'范晓冬左路推进上来，交给安塔尔                   75'第75分钟绿城又拿到快速反击机会，梅方放倒拿球的罗竞吃到黄牌，这也是本场第一张黄牌，罗竞的任意球射门高飞出界
78'安塔尔分右路，王林传中                   75'第75分钟绿城又拿到快速反击机会，梅方放倒拿球的罗竞吃到黄牌，这也是本场第一张黄牌，罗竞的任意球射门高飞出界
80'裁判指示高拉特在另一端边线走出场外，但高拉特调头跑向董学升那边                   80'第80分钟梅方右路传中险些吊门成功，顾超后仰把球打出
80'裁判拔黄牌警告高拉特                   80'第80分钟梅方右路传中险些吊门成功，顾超后仰把球打出
80'绿城的球员不断向裁判投诉刚才的判罚                   80'第80分钟梅方右路传中险些吊门成功，顾超后仰把球打出
81'梅方右路上来交给王上源，王上源传中形成一脚吊射，顾超将球托出横梁                   80'第80分钟梅方右路传中险些吊门成功，顾超后仰把球打出
81'郑智发一个短的，邹正穿裆过人没有成功                   80'第80分钟梅方右路传中险些吊门成功，顾超后仰把球打出
82'我们还没有看到刚才罗竞在禁区内倒地的慢镜                   80'第80分钟梅方右路传中险些吊门成功，顾超后仰把球打出
83'埃尔克森漂亮的摆脱，但之后太着急了，直接远射，结果打飞了                   80'第80分钟梅方右路传中险些吊门成功，顾超后仰把球打出
83'郑智挑传被安塔尔顶到中场                   80'第80分钟梅方右路传中险些吊门成功，顾超后仰把球打出
88'更正一下，吴伟并没有上场，布拉比重新上场                   88'第88分钟恒大用刘健换下郑智
88' 恒大淘宝换人，17号刘健换下10号郑智                   88'第88分钟恒大用刘健换下郑智
88'现场观众不断呼喊郑智的名字                   88'第88分钟恒大用刘健换下郑智
88'35岁的老将作用依然突出                   88'第88分钟恒大用刘健换下郑智
90'王上源长传找到了埃尔克森，不过先越位了                   88'第88分钟恒大用刘健换下郑智
90'埃尔克森向裁判投诉自己没有越位                   88'第88分钟恒大用刘健换下郑智
90'下半场补时6分钟                   88'第88分钟恒大用刘健换下郑智
91'布拉比长传到禁区内                   88'第88分钟恒大用刘健换下郑智
91'阿甘背身接球转身打门被曾诚指尖碰了一下击中右立柱出底线                   88'第88分钟恒大用刘健换下郑智
91'绿城前场右路的角球机会                   88'第88分钟恒大用刘健换下郑智
91'罗竞交给王林，王林传中被邹正挡出底线                   88'第88分钟恒大用刘健换下郑智
93'想不到最后时间绿城连续有机会                   93'第93分钟埃尔克森接右路角球，头球顶在外门柱上
93'埃尔克森与郜林做二过一，王林回抢成功，但球最后出底线                   93'第93分钟埃尔克森接右路角球，头球顶在外门柱上
93'王上源准备主罚角球                   93'第93分钟埃尔克森接右路角球，头球顶在外门柱上
94'王上源旋向门前，前点大家都漏了，埃尔克森后点头球攻门击中了右立柱出底线                   93'第93分钟埃尔克森接右路角球，头球顶在外门柱上
94'董学升护好球交给邹正                   93'第93分钟埃尔克森接右路角球，头球顶在外门柱上
94'邹正挑传，布拉比顶出来                   93'第93分钟埃尔克森接右路角球，头球顶在外门柱上
94'赵旭日拿到第二点转移给梅方                   93'第93分钟埃尔克森接右路角球，头球顶在外门柱上
94'王上源跟进上来                   93'第93分钟埃尔克森接右路角球，头球顶在外门柱上
95'梅方直传，埃尔克森拿球                   93'第93分钟埃尔克森接右路角球，头球顶在外门柱上
95'埃尔克森连续三次来回扣球然后大力低射，可惜稍稍偏出左立柱                   93'第93分钟埃尔克森接右路角球，头球顶在外门柱上
95'阿甘前场拿球，邹正先卡住位置                   93'第93分钟埃尔克森接右路角球，头球顶在外门柱上
95'阿甘在后面带了一下                   93'第93分钟埃尔克森接右路角球，头球顶在外门柱上
96'董学升护好球，过不了布拉比                   93'第93分钟埃尔克森接右路角球，头球顶在外门柱上
96'全场比赛结束！                   93'第93分钟埃尔克森接右路角球，头球顶在外门柱上
51'罗竞左路的带球横传，上抢的王上源犯规                   51'补时6分钟后比赛结束，广州恒大主场1比0战胜杭州绿城
51'罗竞斜传上来，赵旭日顶到第一点                   51'补时6分钟后比赛结束，广州恒大主场1比0战胜杭州绿城
51'高拉特前场拿球，横传给郜林                   51'补时6分钟后比赛结束，广州恒大主场1比0战胜杭州绿城
52'郜林扣球过人被安塔尔倒地铲断                   51'补时6分钟后比赛结束，广州恒大主场1比0战胜杭州绿城
52'阿甘左路拿球，回传，范晓冬交给中路                   51'补时6分钟后比赛结束，广州恒大主场1比0战胜杭州绿城
52'郜林前场抢球时绊倒了王林                   51'补时6分钟后比赛结束，广州恒大主场1比0战胜杭州绿城
53'郜林背身接应交给郑智，分左路，邹正传中被布拉比解围出边线                   51'补时6分钟后比赛结束，广州恒大主场1比0战胜杭州绿城
53'金英权带球上来，交给赵旭日                   51'补时6分钟后比赛结束，广州恒大主场1比0战胜杭州绿城
53'赵旭日护好球回传给邹正                   51'补时6分钟后比赛结束，广州恒大主场1比0战胜杭州绿城
53'王上源将球转移到右路                   51'补时6分钟后比赛结束，广州恒大主场1比0战胜杭州绿城
54'张琳芃与郑智撞墙式配合，范晓冬将球勾出边线                   51'补时6分钟后比赛结束，广州恒大主场1比0战胜杭州绿城
54'高拉特挑传，郜林头球做球，范晓冬回追将球勾出底线                   51'补时6分钟后比赛结束，广州恒大主场1比0战胜杭州绿城
54'郑智传前点被曹轩顶出来                   51'补时6分钟后比赛结束，广州恒大主场1比0战胜杭州绿城
54'绿城的反击                   51'补时6分钟后比赛结束，广州恒大主场1比0战胜杭州绿城
