1'上半场比赛开始！！                   1'双方第1分钟显得小心谨慎，曼联积极前场紧逼给切尔西的进攻转换带来麻烦
63'看看切尔西接下来怎么调整                   61'曼联第61分钟打破僵局，博斯维克-杰克逊左路传中，鲁尼回敲，林加德13码处停球后转身抽射右上角入网
63'迭戈-科斯塔禁区前沿拿球被布林德推倒！！                   61'曼联第61分钟打破僵局，博斯维克-杰克逊左路传中，鲁尼回敲，林加德13码处停球后转身抽射右上角入网
63' 布林德得到一张黄牌！！                   61'曼联第61分钟打破僵局，博斯维克-杰克逊左路传中，鲁尼回敲，林加德13码处停球后转身抽射右上角入网
64'威廉任意球送中路                   61'曼联第61分钟打破僵局，博斯维克-杰克逊左路传中，鲁尼回敲，林加德13码处停球后转身抽射右上角入网
64'卡里克头球顶了出去                   61'曼联第61分钟打破僵局，博斯维克-杰克逊左路传中，鲁尼回敲，林加德13码处停球后转身抽射右上角入网
64'切尔西的角球机会                   61'曼联第61分钟打破僵局，博斯维克-杰克逊左路传中，鲁尼回敲，林加德13码处停球后转身抽射右上角入网
64'送到前点被马蒂奇自己挡了下来                   61'曼联第61分钟打破僵局，博斯维克-杰克逊左路传中，鲁尼回敲，林加德13码处停球后转身抽射右上角入网
68'切尔西已经用完了三个换人名额                   68'切尔西第68分钟险些扳平，法布雷加斯传中，伊万诺维奇混战中8码处凌空抽射左上角被德赫亚神勇救出
68'威廉右路拿球给到底线                   68'切尔西第68分钟险些扳平，法布雷加斯传中，伊万诺维奇混战中8码处凌空抽射左上角被德赫亚神勇救出
68'队友下底传中送到后点                   68'切尔西第68分钟险些扳平，法布雷加斯传中，伊万诺维奇混战中8码处凌空抽射左上角被德赫亚神勇救出
68'争顶下来                   68'切尔西第68分钟险些扳平，法布雷加斯传中，伊万诺维奇混战中8码处凌空抽射左上角被德赫亚神勇救出
69'伊万诺维奇抽射近角被德赫亚托出底线！！！                   68'切尔西第68分钟险些扳平，法布雷加斯传中，伊万诺维奇混战中8码处凌空抽射左上角被德赫亚神勇救出
69'切尔西角球开出，威胁不大                   68'切尔西第68分钟险些扳平，法布雷加斯传中，伊万诺维奇混战中8码处凌空抽射左上角被德赫亚神勇救出
69'威廉边路再传禁区                   68'切尔西第68分钟险些扳平，法布雷加斯传中，伊万诺维奇混战中8码处凌空抽射左上角被德赫亚神勇救出
69'德赫亚直接将球没收                   68'切尔西第68分钟险些扳平，法布雷加斯传中，伊万诺维奇混战中8码处凌空抽射左上角被德赫亚神勇救出
70'佩德罗右路传中赢得一个角球                   68'切尔西第68分钟险些扳平，法布雷加斯传中，伊万诺维奇混战中8码处凌空抽射左上角被德赫亚神勇救出
70'角球送前点                   68'切尔西第68分钟险些扳平，法布雷加斯传中，伊万诺维奇混战中8码处凌空抽射左上角被德赫亚神勇救出
71'曼联这边将球碰出底线                   68'切尔西第68分钟险些扳平，法布雷加斯传中，伊万诺维奇混战中8码处凌空抽射左上角被德赫亚神勇救出
71'切尔西角球送后点                   68'切尔西第68分钟险些扳平，法布雷加斯传中，伊万诺维奇混战中8码处凌空抽射左上角被德赫亚神勇救出
71'第一点还是被曼联拿到                   68'切尔西第68分钟险些扳平，法布雷加斯传中，伊万诺维奇混战中8码处凌空抽射左上角被德赫亚神勇救出
90'切尔西这边禁区内攻门又是被挡出                   89'切尔西第89分钟错失良机，威廉右路任意球传中，迭戈-科斯塔近距离头球攻门稍稍高出
90'常规的90分钟时间已经到了                   89'切尔西第89分钟错失良机，威廉右路任意球传中，迭戈-科斯塔近距离头球攻门稍稍高出
91'下半场补时6分钟！！                   89'切尔西第89分钟错失良机，威廉右路任意球传中，迭戈-科斯塔近距离头球攻门稍稍高出
91'阿扎尔前场拿球                   89'切尔西第89分钟错失良机，威廉右路任意球传中，迭戈-科斯塔近距离头球攻门稍稍高出
91'1-1！！！                   89'切尔西第89分钟错失良机，威廉右路任意球传中，迭戈-科斯塔近距离头球攻门稍稍高出
91'迭戈-科斯塔！！                   89'切尔西第89分钟错失良机，威廉右路任意球传中，迭戈-科斯塔近距离头球攻门稍稍高出
92'此时此刻值得来杯嘉士伯                   89'切尔西第89分钟错失良机，威廉右路任意球传中，迭戈-科斯塔近距离头球攻门稍稍高出
92'法布雷加斯前场送直塞给到禁区                   89'切尔西第89分钟错失良机，威廉右路任意球传中，迭戈-科斯塔近距离头球攻门稍稍高出
