3'AC米兰球员阿莱士被主裁判出示了一张黄牌.                   3'AC米兰第3分钟取得领先
26'拉齐奥球员帕罗洛一脚直塞球给坎德雷瓦,但是边裁举旗显示后者已经越位.                   25'第25分钟，克洛泽分球，坎德雷瓦禁区右侧小角度推射被迭戈-洛佩斯单手一托击中近门柱弹出
28'拉齐奥球员帕罗洛大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是克洛泽.                   25'第25分钟，克洛泽分球，坎德雷瓦禁区右侧小角度推射被迭戈-洛佩斯单手一托击中近门柱弹出
51'进球啦！！！拉齐奥球员克洛泽大禁区右侧右脚射门,球从右下角飞进球门,球进了! 拉齐奥 2-1 AC米兰.                   51'第51分钟，蒙托利沃后场回传失误，克洛泽断球突入禁区右侧，在门前8米处推射从迭戈-洛佩斯裆下入近角，2比1，克洛泽终结去年11月以来8场意甲进球荒，个人意甲近10球都在主场打进
52'AC米兰换人,切尔奇换下博纳文图拉                   51'第51分钟，蒙托利沃后场回传失误，克洛泽断球突入禁区右侧，在门前8米处推射从迭戈-洛佩斯裆下入近角，2比1，克洛泽终结去年11月以来8场意甲进球荒，个人意甲近10球都在主场打进
61'AC米兰球员梅内斯拼抢犯规,对手获得控球权.                   61'第61分钟，梅内禁区左侧伸腿勾球，鞋钉碰到门将马尔凯蒂头部，马尔凯蒂受伤接受治疗，头部缠上绷带，梅内上前拥抱表示歉意
61'马尔凯蒂为拉齐奥赢得一个任意球.                   61'第61分钟，梅内禁区左侧伸腿勾球，鞋钉碰到门将马尔凯蒂头部，马尔凯蒂受伤接受治疗，头部缠上绷带，梅内上前拥抱表示歉意
61'拉齐奥马尔凯蒂受伤倒地,比赛暂停                   61'第61分钟，梅内禁区左侧伸腿勾球，鞋钉碰到门将马尔凯蒂头部，马尔凯蒂受伤接受治疗，头部缠上绷带，梅内上前拥抱表示歉意
64'暂停结束,球员们重新开始比赛.                   61'第61分钟，梅内禁区左侧伸腿勾球，鞋钉碰到门将马尔凯蒂头部，马尔凯蒂受伤接受治疗，头部缠上绷带，梅内上前拥抱表示歉意
64'沙拉维为AC米兰赢得一个任意球.                   61'第61分钟，梅内禁区左侧伸腿勾球，鞋钉碰到门将马尔凯蒂头部，马尔凯蒂受伤接受治疗，头部缠上绷带，梅内上前拥抱表示歉意
64'拉齐奥球员巴斯塔拼抢犯规,对手获得控球权.                   61'第61分钟，梅内禁区左侧伸腿勾球，鞋钉碰到门将马尔凯蒂头部，马尔凯蒂受伤接受治疗，头部缠上绷带，梅内上前拥抱表示歉意
81'进球啦！！！拉齐奥球员帕罗洛大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是乔杰维奇. 拉齐奥 3-1 AC米兰.                   81'第81分钟，梅克斯中场漫不经心解围，坎德雷瓦右路得球突入禁区右侧回敲，乔尔杰维奇左脚推射却踩到球上滑倒，帕罗洛在门前10米处左脚推进右下角，3比1，AC米兰是他在意甲进球最多的球队(4球)
81'拉齐奥乔杰维奇受伤倒地,比赛暂停                   81'第81分钟，梅克斯中场漫不经心解围，坎德雷瓦右路得球突入禁区右侧回敲，乔尔杰维奇左脚推射却踩到球上滑倒，帕罗洛在门前10米处左脚推进右下角，3比1，AC米兰是他在意甲进球最多的球队(4球)
83'拉齐奥换人,凯塔上,乔杰维奇因伤下场.                   81'第81分钟，梅克斯中场漫不经心解围，坎德雷瓦右路得球突入禁区右侧回敲，乔尔杰维奇左脚推射却踩到球上滑倒，帕罗洛在门前10米处左脚推进右下角，3比1，AC米兰是他在意甲进球最多的球队(4球)
83'暂停结束,球员们重新开始比赛.                   81'第81分钟，梅克斯中场漫不经心解围，坎德雷瓦右路得球突入禁区右侧回敲，乔尔杰维奇左脚推射却踩到球上滑倒，帕罗洛在门前10米处左脚推进右下角，3比1，AC米兰是他在意甲进球最多的球队(4球)
83'AC米兰换人,蒙塔里换下波利                   81'第81分钟，梅克斯中场漫不经心解围，坎德雷瓦右路得球突入禁区右侧回敲，乔尔杰维奇左脚推射却踩到球上滑倒，帕罗洛在门前10米处左脚推进右下角，3比1，AC米兰是他在意甲进球最多的球队(4球)
83'AC米兰球员梅克斯拼抢犯规,对手获得控球权.                   81'第81分钟，梅克斯中场漫不经心解围，坎德雷瓦右路得球突入禁区右侧回敲，乔尔杰维奇左脚推射却踩到球上滑倒，帕罗洛在门前10米处左脚推进右下角，3比1，AC米兰是他在意甲进球最多的球队(4球)
83'坎德雷瓦为拉齐奥在右路,赢得一个任意球.                   81'第81分钟，梅克斯中场漫不经心解围，坎德雷瓦右路得球突入禁区右侧回敲，乔尔杰维奇左脚推射却踩到球上滑倒，帕罗洛在门前10米处左脚推进右下角，3比1，AC米兰是他在意甲进球最多的球队(4球)
84'拉齐奥球员毛里球门左侧小角度右脚射门,被防守球员封堵.                   81'第81分钟，梅克斯中场漫不经心解围，坎德雷瓦右路得球突入禁区右侧回敲，乔尔杰维奇左脚推射却踩到球上滑倒，帕罗洛在门前10米处左脚推进右下角，3比1，AC米兰是他在意甲进球最多的球队(4球)
84'AC米兰球员阿尔梅罗拼抢犯规,对手获得控球权.                   81'第81分钟，梅克斯中场漫不经心解围，坎德雷瓦右路得球突入禁区右侧回敲，乔尔杰维奇左脚推射却踩到球上滑倒，帕罗洛在门前10米处左脚推进右下角，3比1，AC米兰是他在意甲进球最多的球队(4球)
84'坎德雷瓦为拉齐奥赢得一个任意球.                   81'第81分钟，梅克斯中场漫不经心解围，坎德雷瓦右路得球突入禁区右侧回敲，乔尔杰维奇左脚推射却踩到球上滑倒，帕罗洛在门前10米处左脚推进右下角，3比1，AC米兰是他在意甲进球最多的球队(4球)
47'进球啦！！！拉齐奥球员帕罗洛大禁区中央左脚射门,球从右上角飞进球门,球进了!助攻的是克洛泽. 拉齐奥 1-1 AC米兰.                   46'补时第1分钟，梅克斯背后拉拽毛里却被绊倒，他起身后要报复对方，暂时被劝开
48'Marco Van Ginkel为AC米兰在左路,赢得一个任意球.                   46'补时第1分钟，梅克斯背后拉拽毛里却被绊倒，他起身后要报复对方，暂时被劝开
48'拉齐奥球员卡塔尔迪拼抢犯规,对手获得控球权.                   46'补时第1分钟，梅克斯背后拉拽毛里却被绊倒，他起身后要报复对方，暂时被劝开
48'AC米兰球员蒙托利沃一脚直塞球给阿莱士,但是边裁举旗显示后者已经越位.                   46'补时第1分钟，梅克斯背后拉拽毛里却被绊倒，他起身后要报复对方，暂时被劝开
