1'上半场比赛开始                   1'第1分钟申花利用吕征的右路屡屡突击，和姜至鹏展开直接对话
8'哈默德趟球到禁区，李建滨回防，放铲将球解围                   6'第6分钟卡希尔前场传球失误，哈默德得球杀入禁区，李建滨及时出脚拦截解围
9'富力前场右路传中，第一点被后卫头球解围                   6'第6分钟卡希尔前场传球失误，哈默德得球杀入禁区，李建滨及时出脚拦截解围
9'朴钟佑外围得球，再斜塞禁区打身后                   6'第6分钟卡希尔前场传球失误，哈默德得球杀入禁区，李建滨及时出脚拦截解围
9'李建滨倒地解围没踢远，哈默德得球，一脚斜射，滑门而过，出底线                   6'第6分钟卡希尔前场传球失误，哈默德得球杀入禁区，李建滨及时出脚拦截解围
11'王赟任意球斜传禁区，直接送入了刘殿座的怀中                   11'第11分钟申花获得全场第一脚射门机会，王S右路角球开出，卡希尔倒地卧射偏出
11'刘殿座大脚将球开出到前场，王赟头球回顶给曹赟定                   11'第11分钟申花获得全场第一脚射门机会，王S右路角球开出，卡希尔倒地卧射偏出
12'曹赟定横传苏祖，苏祖面对米歇尔的上抢，大脚将球解围                   11'第11分钟申花获得全场第一脚射门机会，王S右路角球开出，卡希尔倒地卧射偏出
12'申花右路进攻，赢得角球机会                   11'第11分钟申花获得全场第一脚射门机会，王S右路角球开出，卡希尔倒地卧射偏出
12'王赟角球开出到前点，卡希尔侧身右脚的扫射，打偏                   11'第11分钟申花获得全场第一脚射门机会，王S右路角球开出，卡希尔倒地卧射偏出
13'金洋洋后场斜传球到右路找阿隆，柏佳俊上来，头球解围出边线                   11'第11分钟申花获得全场第一脚射门机会，王S右路角球开出，卡希尔倒地卧射偏出
13'富力前场进攻，哈默德左路拿起，强行内切                   11'第11分钟申花获得全场第一脚射门机会，王S右路角球开出，卡希尔倒地卧射偏出
14'趟球有点大，李建滨出来大脚解围，打在上来的哈默德身上弹起                   11'第11分钟申花获得全场第一脚射门机会，王S右路角球开出，卡希尔倒地卧射偏出
14'邱盛炯出击，将高高跃起的皮球收入怀中                   11'第11分钟申花获得全场第一脚射门机会，王S右路角球开出，卡希尔倒地卧射偏出
14'莫雷诺中场拿球，分边给到曹赟定                   11'第11分钟申花获得全场第一脚射门机会，王S右路角球开出，卡希尔倒地卧射偏出
20'米歇尔中场拿球，直塞找前插的卢琳                   20'一直斗到第20分钟姜至鹏和吕征拼抢时受伤倒地比赛暂停，双方队员才稍稍喘口气
20'边裁举旗，吹罚了卢琳的越位在先                   20'一直斗到第20分钟姜至鹏和吕征拼抢时受伤倒地比赛暂停，双方队员才稍稍喘口气
20'上半场比赛20分钟，比分依旧是0-0                   20'一直斗到第20分钟姜至鹏和吕征拼抢时受伤倒地比赛暂停，双方队员才稍稍喘口气
21'莫雷诺中圈拿球，面对米歇尔的上抢，分边给到张璐                   20'一直斗到第20分钟姜至鹏和吕征拼抢时受伤倒地比赛暂停，双方队员才稍稍喘口气
21'张璐直塞给到吕征，吕征拿球内切，朴钟佑回防将球拦截                   20'一直斗到第20分钟姜至鹏和吕征拼抢时受伤倒地比赛暂停，双方队员才稍稍喘口气
22'姜至鹏后场防守吕征时有点受伤了，倒在地上没起来                   20'一直斗到第20分钟姜至鹏和吕征拼抢时受伤倒地比赛暂停，双方队员才稍稍喘口气
22'队医进场紧急查看，孔特拉向第四官员投诉，吕征拉球转身时，有肘击姜至鹏，不过第四官员并未理睬                   20'一直斗到第20分钟姜至鹏和吕征拼抢时受伤倒地比赛暂停，双方队员才稍稍喘口气
29'姜宁右路拿球，转身左脚传中，被后卫解围出边线                   29'第29分钟富力开出角球，双方在禁区内抢成一团，米歇尔抢射没打上力量，皮球滚向左侧，阿隆在邱盛炯出击时抢先摔倒在地，结果被主裁黄烨军毫不客气出黄牌警告
29'姜宁右侧角旗附近拿球，遭遇夹击，转身传中，被上来的柏佳俊挡出底线                   29'第29分钟富力开出角球，双方在禁区内抢成一团，米歇尔抢射没打上力量，皮球滚向左侧，阿隆在邱盛炯出击时抢先摔倒在地，结果被主裁黄烨军毫不客气出黄牌警告
30'富力获得右侧角球机会，朴钟佑主罚                   29'第29分钟富力开出角球，双方在禁区内抢成一团，米歇尔抢射没打上力量，皮球滚向左侧，阿隆在邱盛炯出击时抢先摔倒在地，结果被主裁黄烨军毫不客气出黄牌警告
30'角球开出到前点，姜宁头球后蹭                   29'第29分钟富力开出角球，双方在禁区内抢成一团，米歇尔抢射没打上力量，皮球滚向左侧，阿隆在邱盛炯出击时抢先摔倒在地，结果被主裁黄烨军毫不客气出黄牌警告
30'阿隆胸部停球，横拨给哈默德                   29'第29分钟富力开出角球，双方在禁区内抢成一团，米歇尔抢射没打上力量，皮球滚向左侧，阿隆在邱盛炯出击时抢先摔倒在地，结果被主裁黄烨军毫不客气出黄牌警告
31'哈默德左脚抽射，被邱盛炯挡出                   29'第29分钟富力开出角球，双方在禁区内抢成一团，米歇尔抢射没打上力量，皮球滚向左侧，阿隆在邱盛炯出击时抢先摔倒在地，结果被主裁黄烨军毫不客气出黄牌警告
31'阿隆跟进补射，和出击的邱盛炯相撞倒在禁区                   29'第29分钟富力开出角球，双方在禁区内抢成一团，米歇尔抢射没打上力量，皮球滚向左侧，阿隆在邱盛炯出击时抢先摔倒在地，结果被主裁黄烨军毫不客气出黄牌警告
31'主裁判鸣哨，吹罚了阿隆的假摔，黄牌送上！！！                   29'第29分钟富力开出角球，双方在禁区内抢成一团，米歇尔抢射没打上力量，皮球滚向左侧，阿隆在邱盛炯出击时抢先摔倒在地，结果被主裁黄烨军毫不客气出黄牌警告
31'申花前场进攻，莫雷诺拿球                   29'第29分钟富力开出角球，双方在禁区内抢成一团，米歇尔抢射没打上力量，皮球滚向左侧，阿隆在邱盛炯出击时抢先摔倒在地，结果被主裁黄烨军毫不客气出黄牌警告
31'申花进球啦！！！                   29'第29分钟富力开出角球，双方在禁区内抢成一团，米歇尔抢射没打上力量，皮球滚向左侧，阿隆在邱盛炯出击时抢先摔倒在地，结果被主裁黄烨军毫不客气出黄牌警告
32'恩里克，抢点弹射空门打进！！！                   29'第29分钟富力开出角球，双方在禁区内抢成一团，米歇尔抢射没打上力量，皮球滚向左侧，阿隆在邱盛炯出击时抢先摔倒在地，结果被主裁黄烨军毫不客气出黄牌警告
34'开场场面占优的富力，先失球了，看看接下来如何反扑                   34'富力全力猛攻，第34分钟哈默德、阿隆和米歇尔三位外援相互配合，最后由米歇尔禁区外左脚冷射稍偏出界
34'阿隆禁区弧顶和李建滨争顶，前者被吹手球违例                   34'富力全力猛攻，第34分钟哈默德、阿隆和米歇尔三位外援相互配合，最后由米歇尔禁区外左脚冷射稍偏出界
35'李建滨则是重重摔倒在地，很疼啊，稍事休息后起身继续                   34'富力全力猛攻，第34分钟哈默德、阿隆和米歇尔三位外援相互配合，最后由米歇尔禁区外左脚冷射稍偏出界
36'李建滨手上有伤，这样的争抢受伤的手发生身体碰撞，会很疼哦                   34'富力全力猛攻，第34分钟哈默德、阿隆和米歇尔三位外援相互配合，最后由米歇尔禁区外左脚冷射稍偏出界
36'富力前场进攻，哈默德斜传给到阿隆                   34'富力全力猛攻，第34分钟哈默德、阿隆和米歇尔三位外援相互配合，最后由米歇尔禁区外左脚冷射稍偏出界
36'阿隆背身拿球，回做给上来的米歇尔                   34'富力全力猛攻，第34分钟哈默德、阿隆和米歇尔三位外援相互配合，最后由米歇尔禁区外左脚冷射稍偏出界
36'米歇尔禁区外跟上，迎球一脚斜射，打偏                   34'富力全力猛攻，第34分钟哈默德、阿隆和米歇尔三位外援相互配合，最后由米歇尔禁区外左脚冷射稍偏出界
37'哈默德前场中路拿球，分边左侧给卢琳                   34'富力全力猛攻，第34分钟哈默德、阿隆和米歇尔三位外援相互配合，最后由米歇尔禁区外左脚冷射稍偏出界
37'可惜卢琳前插速度慢了点，球先出了边线                   34'富力全力猛攻，第34分钟哈默德、阿隆和米歇尔三位外援相互配合，最后由米歇尔禁区外左脚冷射稍偏出界
44'曹赟定中场拿起，阿隆身后上抢，绊倒了曹赟定，犯规                   44'第44分钟曹S定对朴钟佑报复犯规吃到黄牌
44'唐淼后场抢断，直塞找阿隆                   44'第44分钟曹S定对朴钟佑报复犯规吃到黄牌
44'李建滨上前一步，抢在阿隆之前出脚将球解围                   44'第44分钟曹S定对朴钟佑报复犯规吃到黄牌
44'姜宁前场拿球，王赟身后上抢，拉人犯规                   44'第44分钟曹S定对朴钟佑报复犯规吃到黄牌
45'富力前场传球失误，曹赟定拿球反击，朴钟佑身后上抢犯规                   44'第44分钟曹S定对朴钟佑报复犯规吃到黄牌
46'恩里克拿球准备进攻，主裁判鸣哨                   44'第44分钟曹S定对朴钟佑报复犯规吃到黄牌
46'曹赟定被朴钟佑放倒后有个报复动作，被主裁判出示了黄牌警告！！！                   44'第44分钟曹S定对朴钟佑报复犯规吃到黄牌
46'这球有点因小失大了，本来恩里克拿球，有利原则，申花反击的好机会，可惜                   44'第44分钟曹S定对朴钟佑报复犯规吃到黄牌
46'上半场比赛补时2分钟                   44'第44分钟曹S定对朴钟佑报复犯规吃到黄牌
47'哈默德中圈拿球，苏祖上抢犯规                   44'第44分钟曹S定对朴钟佑报复犯规吃到黄牌
47'哈默德快发任意球，给到右侧的阿隆                   44'第44分钟曹S定对朴钟佑报复犯规吃到黄牌
47'阿隆拿球趟了两步，挑传想给哈默德，可惜脚法不给力啊                   44'第44分钟曹S定对朴钟佑报复犯规吃到黄牌
46'下半场比赛开始                   44'第44分钟曹S定对朴钟佑报复犯规吃到黄牌
46'白衣白裤的申花开球                   44'第44分钟曹S定对朴钟佑报复犯规吃到黄牌
46'申花做出人员调整：邱盛炯身体不适被换下，换上1号耿晓峰                   44'第44分钟曹S定对朴钟佑报复犯规吃到黄牌
47'下半场刚开始，申花被迫对守门员进行调整                   44'第44分钟曹S定对朴钟佑报复犯规吃到黄牌
47'哈默德中圈拿球，苏祖上抢犯规                   47'第47分钟莫雷诺带球前进时突然向裁判做了手势，而后倒在地上，慢镜显示他在和米歇尔对脚时，被后者踢到小腿上，好在他伤势并不重，很快回到场内
47'哈默德快发任意球，给到右侧的阿隆                   47'第47分钟莫雷诺带球前进时突然向裁判做了手势，而后倒在地上，慢镜显示他在和米歇尔对脚时，被后者踢到小腿上，好在他伤势并不重，很快回到场内
47'阿隆拿球趟了两步，挑传想给哈默德，可惜脚法不给力啊                   47'第47分钟莫雷诺带球前进时突然向裁判做了手势，而后倒在地上，慢镜显示他在和米歇尔对脚时，被后者踢到小腿上，好在他伤势并不重，很快回到场内
48'张璐的后场过顶长传，卡希尔前插接应，被吹越位在先                   47'第47分钟莫雷诺带球前进时突然向裁判做了手势，而后倒在地上，慢镜显示他在和米歇尔对脚时，被后者踢到小腿上，好在他伤势并不重，很快回到场内
47'下半场刚开始，申花被迫对守门员进行调整                   47'第47分钟莫雷诺带球前进时突然向裁判做了手势，而后倒在地上，慢镜显示他在和米歇尔对脚时，被后者踢到小腿上，好在他伤势并不重，很快回到场内
48'阿隆前场右路拿球，斜塞中路找哈默德                   47'第47分钟莫雷诺带球前进时突然向裁判做了手势，而后倒在地上，慢镜显示他在和米歇尔对脚时，被后者踢到小腿上，好在他伤势并不重，很快回到场内
48'张璐将球解围，没踢远，再抢，和上来的哈默德对脚                   47'第47分钟莫雷诺带球前进时突然向裁判做了手势，而后倒在地上，慢镜显示他在和米歇尔对脚时，被后者踢到小腿上，好在他伤势并不重，很快回到场内
48'哈默德受伤倒地，捂着自己的小腿在地上翻滚                   47'第47分钟莫雷诺带球前进时突然向裁判做了手势，而后倒在地上，慢镜显示他在和米歇尔对脚时，被后者踢到小腿上，好在他伤势并不重，很快回到场内
49'慢镜回放显示，张璐这次上抢，有个蹬踏动作，吃牌的动作，不过主裁判并未看到                   47'第47分钟莫雷诺带球前进时突然向裁判做了手势，而后倒在地上，慢镜显示他在和米歇尔对脚时，被后者踢到小腿上，好在他伤势并不重，很快回到场内
49'莫雷诺中场抢断，带球反击，米歇尔身后放铲，带了一下                   47'第47分钟莫雷诺带球前进时突然向裁判做了手势，而后倒在地上，慢镜显示他在和米歇尔对脚时，被后者踢到小腿上，好在他伤势并不重，很快回到场内
50'莫雷诺拿球推进，过了中线，感觉不是，向裁判示意，自己停了下来                   47'第47分钟莫雷诺带球前进时突然向裁判做了手势，而后倒在地上，慢镜显示他在和米歇尔对脚时，被后者踢到小腿上，好在他伤势并不重，很快回到场内
56'吕征带球内切，禁区线上搓传，打在防守球员身上弹出                   56'第56分钟哈默德从侧撞翻莫雷诺吃到黄牌
56'姜宁拿球反击，曹赟定前场原地反抢，身后拉人犯规                   56'第56分钟哈默德从侧撞翻莫雷诺吃到黄牌
56'曹赟定已经有黄牌在身，这样的犯规得注意                   56'第56分钟哈默德从侧撞翻莫雷诺吃到黄牌
57'朴钟佑中场防守卡希尔，回礼了，身后直接放倒了卡希尔                   56'第56分钟哈默德从侧撞翻莫雷诺吃到黄牌
57'富力前场传球失误，莫雷诺拿球反击                   56'第56分钟哈默德从侧撞翻莫雷诺吃到黄牌
57'哈默德身后上抢，出脚绊倒了莫雷诺                   56'第56分钟哈默德从侧撞翻莫雷诺吃到黄牌
58'哈默德被主裁判出示了黄牌警告！！！                   56'第56分钟哈默德从侧撞翻莫雷诺吃到黄牌
58'这球哈默德根本拿不到，出脚上抢，明显心态着急了啊                   56'第56分钟哈默德从侧撞翻莫雷诺吃到黄牌
59'李建滨后场过顶长传球到前场找恩里克                   56'第56分钟哈默德从侧撞翻莫雷诺吃到黄牌
62'曹赟定横传再给王赟，王赟直塞找切入的吕征                   62'第62分钟富力连换两人，常飞亚换下卢琳，汪嵩换下阿隆
62'吕征背身拿球，金洋洋身后上抢，踢翻了吕征，犯规                   62'第62分钟富力连换两人，常飞亚换下卢琳，汪嵩换下阿隆
62'申花获得前场中路的任意球机会                   62'第62分钟富力连换两人，常飞亚换下卢琳，汪嵩换下阿隆
62'这个位置相当不错，莫雷诺、王赟都可以直接打门啦                   62'第62分钟富力连换两人，常飞亚换下卢琳，汪嵩换下阿隆
63'王赟的任意球直接攻门，高射炮！！！                   62'第62分钟富力连换两人，常飞亚换下卢琳，汪嵩换下阿隆
63'富力换人：21号常飞亚上，换下23号卢琳                   62'第62分钟富力连换两人，常飞亚换下卢琳，汪嵩换下阿隆
64'同时用6号汪嵩换下了25号阿隆                   62'第62分钟富力连换两人，常飞亚换下卢琳，汪嵩换下阿隆
64'孔特拉坐不住了，一下换上两人来搏啦                   62'第62分钟富力连换两人，常飞亚换下卢琳，汪嵩换下阿隆
65'姜宁前场拿球，莫雷诺上抢踢倒了姜宁，犯规                   62'第62分钟富力连换两人，常飞亚换下卢琳，汪嵩换下阿隆
65'富力获得前场任意球机会，汪嵩主罚                   62'第62分钟富力连换两人，常飞亚换下卢琳，汪嵩换下阿隆
65'任意球斜传球到后点，卡希尔头球解围出底线                   62'第62分钟富力连换两人，常飞亚换下卢琳，汪嵩换下阿隆
67'吕征右路拿球，米歇尔和姜至鹏围抢                   67'第67分钟王S被姜至鹏铲倒在地，但比赛一直在进行，球碰在王的头上弹出，被姜至鹏再次拿到后射门，耿晓峰稳稳接球
67'吕征球没控好，自己将球碰出了边线                   67'第67分钟王S被姜至鹏铲倒在地，但比赛一直在进行，球碰在王的头上弹出，被姜至鹏再次拿到后射门，耿晓峰稳稳接球
68'姜至鹏左路拿球，横切后被王赟上抢拦截                   67'第67分钟王S被姜至鹏铲倒在地，但比赛一直在进行，球碰在王的头上弹出，被姜至鹏再次拿到后射门，耿晓峰稳稳接球
68'王赟出脚失误，姜至鹏抢断，王赟再抢，倒地                   67'第67分钟王S被姜至鹏铲倒在地，但比赛一直在进行，球碰在王的头上弹出，被姜至鹏再次拿到后射门，耿晓峰稳稳接球
68'裁判示意比赛继续，姜至鹏一扣，禁区外的远射，被耿晓峰拿到                   67'第67分钟王S被姜至鹏铲倒在地，但比赛一直在进行，球碰在王的头上弹出，被姜至鹏再次拿到后射门，耿晓峰稳稳接球
70'汪嵩中场拿球，面对逼抢，分边左侧给姜至鹏                   67'第67分钟王S被姜至鹏铲倒在地，但比赛一直在进行，球碰在王的头上弹出，被姜至鹏再次拿到后射门，耿晓峰稳稳接球
71'姜至鹏直塞再给米歇尔，米歇尔的横传球，被后卫破坏                   71'第71分钟米歇尔远射打高，一直站着指挥的孔特拉显得焦躁不安
71'莫雷诺中场拿球，直塞打身后找前插的恩里克                   71'第71分钟米歇尔远射打高，一直站着指挥的孔特拉显得焦躁不安
72'恩里克接球准备进攻，边裁举旗，越位在先                   71'第71分钟米歇尔远射打高，一直站着指挥的孔特拉显得焦躁不安
72'常飞亚前场右路拿球，过度给到上来的唐淼                   71'第71分钟米歇尔远射打高，一直站着指挥的孔特拉显得焦躁不安
72'唐淼边路拿球，横传球，打在柏佳俊身上弹回                   71'第71分钟米歇尔远射打高，一直站着指挥的孔特拉显得焦躁不安
73'唐淼右侧界外球进场找米歇尔，米歇尔停球没停好，直接出了边线                   71'第71分钟米歇尔远射打高，一直站着指挥的孔特拉显得焦躁不安
74'曹赟定左路拿球，强突被朴钟佑绊倒在地                   71'第71分钟米歇尔远射打高，一直站着指挥的孔特拉显得焦躁不安
74'王赟后场背身拿球，朴钟佑身后上抢，再次犯规                   71'第71分钟米歇尔远射打高，一直站着指挥的孔特拉显得焦躁不安
81'富力前压进攻，朴钟佑在后方防守，压力巨大啊                   81'第81分钟莫雷诺挑传左路，卡希尔在大斜角度草率射门太正，他举手表示歉意
81'王赟中场拿球，斜传球到禁区附近                   81'第81分钟莫雷诺挑传左路，卡希尔在大斜角度草率射门太正，他举手表示歉意
82'卡希尔头球摆渡，没顶好，转身再拿，被张耀坤转身将球解围                   81'第81分钟莫雷诺挑传左路，卡希尔在大斜角度草率射门太正，他举手表示歉意
82'常飞亚右路拿球，横传禁区找哈默德                   81'第81分钟莫雷诺挑传左路，卡希尔在大斜角度草率射门太正，他举手表示歉意
83'哈默德停球强突，面对两人围抢，一扣                   81'第81分钟莫雷诺挑传左路，卡希尔在大斜角度草率射门太正，他举手表示歉意
83'哈默德小禁区右侧准备起脚，腿发软，球被破坏                   81'第81分钟莫雷诺挑传左路，卡希尔在大斜角度草率射门太正，他举手表示歉意
83'常飞亚右路拿球，回传张耀坤                   81'第81分钟莫雷诺挑传左路，卡希尔在大斜角度草率射门太正，他举手表示歉意
83'张耀坤的斜传转移球到左侧给汪嵩                   81'第81分钟莫雷诺挑传左路，卡希尔在大斜角度草率射门太正，他举手表示歉意
84'汪嵩边路传中到禁区，耿晓峰出击将球拿到                   81'第81分钟莫雷诺挑传左路，卡希尔在大斜角度草率射门太正，他举手表示歉意
84'富力换人：29号张烁上，换下7号姜宁                   81'第81分钟莫雷诺挑传左路，卡希尔在大斜角度草率射门太正，他举手表示歉意
84'富力前场进攻，赢得任意球机会                   81'第81分钟莫雷诺挑传左路，卡希尔在大斜角度草率射门太正，他举手表示歉意
84'汪嵩斜传球禁区，金洋洋前插，小角度打门，被出击的耿晓峰挡出底线                   81'第81分钟莫雷诺挑传左路，卡希尔在大斜角度草率射门太正，他举手表示歉意
82'卡希尔头球摆渡，没顶好，转身再拿，被张耀坤转身将球解围                   82'第82分钟张烁换下姜宁
82'常飞亚右路拿球，横传禁区找哈默德                   82'第82分钟张烁换下姜宁
83'哈默德停球强突，面对两人围抢，一扣                   82'第82分钟张烁换下姜宁
83'哈默德小禁区右侧准备起脚，腿发软，球被破坏                   82'第82分钟张烁换下姜宁
83'常飞亚右路拿球，回传张耀坤                   82'第82分钟张烁换下姜宁
83'张耀坤的斜传转移球到左侧给汪嵩                   82'第82分钟张烁换下姜宁
84'汪嵩边路传中到禁区，耿晓峰出击将球拿到                   82'第82分钟张烁换下姜宁
84'富力换人：29号张烁上，换下7号姜宁                   82'第82分钟张烁换下姜宁
84'富力前场进攻，赢得任意球机会                   82'第82分钟张烁换下姜宁
84'汪嵩斜传球禁区，金洋洋前插，小角度打门，被出击的耿晓峰挡出底线                   82'第82分钟张烁换下姜宁
85'富力获得右侧角球机会，不过没能形成威胁                   82'第82分钟张烁换下姜宁
85'哈默德前场拿球，急刹车，张璐身后回追，刹车不及，撞倒了哈默德                   82'第82分钟张烁换下姜宁
86'富力获得前场的任意球机会，位置在大禁区左上角                   86'富力继续攻，第86分钟张烁右路传中，被苏祖卡住位置的哈默德强行头球顶高
86'哈默德任意球攻门，打在了张璐的脸上弹回                   86'富力继续攻，第86分钟张烁右路传中，被苏祖卡住位置的哈默德强行头球顶高
86'张璐受伤倒地，主裁判鸣哨休战                   86'富力继续攻，第86分钟张烁右路传中，被苏祖卡住位置的哈默德强行头球顶高
87'张烁右路拿球，起球到后点找哈默德                   86'富力继续攻，第86分钟张烁右路传中，被苏祖卡住位置的哈默德强行头球顶高
88'苏祖后退中，顶着哈默德不给地方起跳，将球护送给出击的耿晓峰                   86'富力继续攻，第86分钟张烁右路传中，被苏祖卡住位置的哈默德强行头球顶高
88'富力这段时间形成围攻之势，可惜只开花不结果啊                   86'富力继续攻，第86分钟张烁右路传中，被苏祖卡住位置的哈默德强行头球顶高
89'下半场比赛进入尾声，比分0-1，客场作战的申花领先                   86'富力继续攻，第86分钟张烁右路传中，被苏祖卡住位置的哈默德强行头球顶高
91'球弹地后，球落在了张烁脚下，张烁起脚打门，耿晓峰倒地将球没收                   91'第91分钟申花用王寿挺换下卡希尔
91'下半场比赛补时4分钟                   91'第91分钟申花用王寿挺换下卡希尔
91'柏佳俊左路拿球，强突下底横传，被后卫抢先解围                   91'第91分钟申花用王寿挺换下卡希尔
92'张耀坤后场挑传过顶球给到哈默德                   91'第91分钟申花用王寿挺换下卡希尔
92'哈默德停球，转身内切，曹赟定上抢将球权破坏                   91'第91分钟申花用王寿挺换下卡希尔
93'申花换人：5号王寿挺上，换下17号卡希尔                   91'第91分钟申花用王寿挺换下卡希尔
93'富力前场进攻，姜至鹏禁区外的侧身凌空抽射，打偏                   91'第91分钟申花用王寿挺换下卡希尔
93'柏佳俊左路拿球，直塞给到恩里克                   91'第91分钟申花用王寿挺换下卡希尔
94'恩里克停球，控制一下，再直塞还给前插的柏佳俊                   91'第91分钟申花用王寿挺换下卡希尔
94'柏佳俊拿球强突，唐淼身后回追，推倒了柏佳俊，犯规                   91'第91分钟申花用王寿挺换下卡希尔
94'申花再次换人：28号曹赟定下，换上2号熊飞                   91'第91分钟申花用王寿挺换下卡希尔
93'申花换人：5号王寿挺上，换下17号卡希尔                   93'第93分钟申花再次换人，熊飞换下曹S定
93'富力前场进攻，姜至鹏禁区外的侧身凌空抽射，打偏                   93'第93分钟申花再次换人，熊飞换下曹S定
93'柏佳俊左路拿球，直塞给到恩里克                   93'第93分钟申花再次换人，熊飞换下曹S定
94'恩里克停球，控制一下，再直塞还给前插的柏佳俊                   93'第93分钟申花再次换人，熊飞换下曹S定
94'柏佳俊拿球强突，唐淼身后回追，推倒了柏佳俊，犯规                   93'第93分钟申花再次换人，熊飞换下曹S定
94'申花再次换人：28号曹赟定下，换上2号熊飞                   93'第93分钟申花再次换人，熊飞换下曹S定
95'申花获得前场左侧的任意球，开出直接被富力球员抢断                   93'第93分钟申花再次换人，熊飞换下曹S定
95'补时时间已到，主裁判随时可以鸣哨啦                   93'第93分钟申花再次换人，熊飞换下曹S定
95'常飞亚前场带球强突，王赟回防拉人犯规                   93'第93分钟申花再次换人，熊飞换下曹S定
95'富力获得前场中路的任意球机会                   93'第93分钟申花再次换人，熊飞换下曹S定
96'王赟排出一个人墙，离的距离不够，被主裁判出示了黄牌警告！！！                   93'第93分钟申花再次换人，熊飞换下曹S定
96'汪嵩任意球斜传禁区，直接被耿晓峰拿到                   93'第93分钟申花再次换人，熊飞换下曹S定
96'耿晓峰大脚开出，主裁判鸣哨                   93'第93分钟申花再次换人，熊飞换下曹S定
