3'摩西把球交给了马塔~~~                   3'第3分钟，马塔禁区右侧传中，无人防守的登巴-巴小禁区边缘头球攻门高出
20'曼联在后面玩火~                   19'第19分钟，菲尔-琼斯禁区右侧边缘传中，安德森小禁区边缘错过皮球
20'要丢球啊                   19'第19分钟，菲尔-琼斯禁区右侧边缘传中，安德森小禁区边缘错过皮球
20'最后被切尔西逼得了一个角球                   19'第19分钟，菲尔-琼斯禁区右侧边缘传中，安德森小禁区边缘错过皮球
21'传中给后点~登巴巴头球点下来                   19'第19分钟，菲尔-琼斯禁区右侧边缘传中，安德森小禁区边缘错过皮球
21'再吊还门前~拉斐尔头球顶出了底线                   19'第19分钟，菲尔-琼斯禁区右侧边缘传中，安德森小禁区边缘错过皮球
21'切尔西继续发角球                   19'第19分钟，菲尔-琼斯禁区右侧边缘传中，安德森小禁区边缘错过皮球
21'还是打后点，林德加德出击把球击出边线                   19'第19分钟，菲尔-琼斯禁区右侧边缘传中，安德森小禁区边缘错过皮球
21'豪放的Life:柠檬是在看詹俊和张指的解说？---no no no                   19'第19分钟，菲尔-琼斯禁区右侧边缘传中，安德森小禁区边缘错过皮球
22'游客7140: 红魔在保留实力吗？---还保留什么实力啊，什么都没悬念了                   19'第19分钟，菲尔-琼斯禁区右侧边缘传中，安德森小禁区边缘错过皮球
22'切尔西大举压上进攻                   19'第19分钟，菲尔-琼斯禁区右侧边缘传中，安德森小禁区边缘错过皮球
30'奕然欢欢笑:曼联这是在干嘛？？？玩？？？--反正联赛也没什么压力了                   30'第30分钟，摩西传球，登巴-巴禁区左侧20码处弧线球射门偏出远角
30'切尔西的快速反击                   30'第30分钟，摩西传球，登巴-巴禁区左侧20码处弧线球射门偏出远角
30'登巴巴~左边路突然打门！                   30'第30分钟，摩西传球，登巴-巴禁区左侧20码处弧线球射门偏出远角
31'想打个后点，还是偏出了门框                   30'第30分钟，摩西传球，登巴-巴禁区左侧20码处弧线球射门偏出远角
31'射门次数切尔西是5比4领先曼联                   30'第30分钟，摩西传球，登巴-巴禁区左侧20码处弧线球射门偏出远角
32'瘋狂世界-追梦第二人生:不是说欧联杯冠亚军都可以直接踢欧冠吗？求解---那只是什么欧足联新政提出的建议，还远没有实现                   30'第30分钟，摩西传球，登巴-巴禁区左侧20码处弧线球射门偏出远角
33'超级亚克星人李大虹:柠檬，为什么车子没列队欢迎红魔呢，亲手不太懂---这个没注意看到，一出来就已经是列完队比赛要开始了                   30'第30分钟，摩西传球，登巴-巴禁区左侧20码处弧线球射门偏出远角
33'范佩西~又打了一脚！被阿兹皮里库塔给挡了出去                   30'第30分钟，摩西传球，登巴-巴禁区左侧20码处弧线球射门偏出远角
46'传中~切尔西唯独漏了范佩西，不过他的头球顶得太正                   46'1分钟后，吉格斯左路传中被切赫扑出，克莱维利20码处射门高出
46'下半场开始了                   46'1分钟后，吉格斯左路传中被切赫扑出，克莱维利20码处射门高出
47'看起来切尔西要换上T9啊                   46'1分钟后，吉格斯左路传中被切赫扑出，克莱维利20码处射门高出
47'贝尼特斯对于登巴巴的状态有些不满意                   46'1分钟后，吉格斯左路传中被切赫扑出，克莱维利20码处射门高出
47'上半场他连续浪费了2个好机会                   46'1分钟后，吉格斯左路传中被切赫扑出，克莱维利20码处射门高出
47'安德森大范围的长传转移~直接给到了切赫的怀中                   46'1分钟后，吉格斯左路传中被切赫扑出，克莱维利20码处射门高出
48'切尔西放慢比赛节奏                   46'1分钟后，吉格斯左路传中被切赫扑出，克莱维利20码处射门高出
48'打起了阵地战                   46'1分钟后，吉格斯左路传中被切赫扑出，克莱维利20码处射门高出
48'曼联的防守挺严密的                   46'1分钟后，吉格斯左路传中被切赫扑出，克莱维利20码处射门高出
48'马塔横传~科尔停球出现了失误                   46'1分钟后，吉格斯左路传中被切赫扑出，克莱维利20码处射门高出
48'瓦伦西亚套边~传中！                   46'1分钟后，吉格斯左路传中被切赫扑出，克莱维利20码处射门高出
49'范佩西又是处在了越位位置                   46'1分钟后，吉格斯左路传中被切赫扑出，克莱维利20码处射门高出
42'度丶李国邦:其实有时候觉得做主播真的很难---呵呵，习惯就好                   42'第42分钟，摩西回传，路易斯30码外远射偏出
42'范佩西~~~                   42'第42分钟，摩西回传，路易斯30码外远射偏出
43'吉格斯的直塞，范佩西插上~~好像是膝盖顶的一下，球擦着立柱飞出底线                   42'第42分钟，摩西回传，路易斯30码外远射偏出
43'打得很随意不过还是偏了                   42'第42分钟，摩西回传，路易斯30码外远射偏出
43'奥斯卡~回击来得挺快！                   42'第42分钟，摩西回传，路易斯30码外远射偏出
44'禁区外摆腿远射~~球从吉格斯的裆下穿过，擦着立柱而出                   42'第42分钟，摩西回传，路易斯30码外远射偏出
45'                    42'第42分钟，摩西回传，路易斯30码外远射偏出
45'范佩西头球~~~                   42'第42分钟，摩西回传，路易斯30码外远射偏出
45'这回居然是维迪奇助攻到了底线                   42'第42分钟，摩西回传，路易斯30码外远射偏出
43'吉格斯的直塞，范佩西插上~~好像是膝盖顶的一下，球擦着立柱飞出底线                   43'第43分钟，拉米雷斯传球，奥斯卡右路禁区边缘外劲射远角偏出
43'打得很随意不过还是偏了                   43'第43分钟，拉米雷斯传球，奥斯卡右路禁区边缘外劲射远角偏出
43'奥斯卡~回击来得挺快！                   43'第43分钟，拉米雷斯传球，奥斯卡右路禁区边缘外劲射远角偏出
44'禁区外摆腿远射~~球从吉格斯的裆下穿过，擦着立柱而出                   43'第43分钟，拉米雷斯传球，奥斯卡右路禁区边缘外劲射远角偏出
45'                    43'第43分钟，拉米雷斯传球，奥斯卡右路禁区边缘外劲射远角偏出
45'范佩西头球~~~                   43'第43分钟，拉米雷斯传球，奥斯卡右路禁区边缘外劲射远角偏出
45'这回居然是维迪奇助攻到了底线                   43'第43分钟，拉米雷斯传球，奥斯卡右路禁区边缘外劲射远角偏出
46'传中~切尔西唯独漏了范佩西，不过他的头球顶得太正                   43'第43分钟，拉米雷斯传球，奥斯卡右路禁区边缘外劲射远角偏出
46'下半场开始了                   43'第43分钟，拉米雷斯传球，奥斯卡右路禁区边缘外劲射远角偏出
45'                    45'第45分钟，维迪奇禁区左侧传中，范佩西前点12码处强力头球攻门，但皮球却直接送入切赫下怀
45'范佩西头球~~~                   45'第45分钟，维迪奇禁区左侧传中，范佩西前点12码处强力头球攻门，但皮球却直接送入切赫下怀
45'这回居然是维迪奇助攻到了底线                   45'第45分钟，维迪奇禁区左侧传中，范佩西前点12码处强力头球攻门，但皮球却直接送入切赫下怀
46'传中~切尔西唯独漏了范佩西，不过他的头球顶得太正                   45'第45分钟，维迪奇禁区左侧传中，范佩西前点12码处强力头球攻门，但皮球却直接送入切赫下怀
46'下半场开始了                   45'第45分钟，维迪奇禁区左侧传中，范佩西前点12码处强力头球攻门，但皮球却直接送入切赫下怀
47'看起来切尔西要换上T9啊                   45'第45分钟，维迪奇禁区左侧传中，范佩西前点12码处强力头球攻门，但皮球却直接送入切赫下怀
47'贝尼特斯对于登巴巴的状态有些不满意                   45'第45分钟，维迪奇禁区左侧传中，范佩西前点12码处强力头球攻门，但皮球却直接送入切赫下怀
47'上半场他连续浪费了2个好机会                   45'第45分钟，维迪奇禁区左侧传中，范佩西前点12码处强力头球攻门，但皮球却直接送入切赫下怀
47'安德森大范围的长传转移~直接给到了切赫的怀中                   45'第45分钟，维迪奇禁区左侧传中，范佩西前点12码处强力头球攻门，但皮球却直接送入切赫下怀
48'切尔西放慢比赛节奏                   45'第45分钟，维迪奇禁区左侧传中，范佩西前点12码处强力头球攻门，但皮球却直接送入切赫下怀
48'打起了阵地战                   45'第45分钟，维迪奇禁区左侧传中，范佩西前点12码处强力头球攻门，但皮球却直接送入切赫下怀
48'曼联的防守挺严密的                   45'第45分钟，维迪奇禁区左侧传中，范佩西前点12码处强力头球攻门，但皮球却直接送入切赫下怀
48'马塔横传~科尔停球出现了失误                   45'第45分钟，维迪奇禁区左侧传中，范佩西前点12码处强力头球攻门，但皮球却直接送入切赫下怀
48'瓦伦西亚套边~传中！                   45'第45分钟，维迪奇禁区左侧传中，范佩西前点12码处强力头球攻门，但皮球却直接送入切赫下怀
52'但是他选择了传中~结果直接出了底线                   52'第52分钟，维迪奇对登巴-巴犯规被罚黄牌
52'韦伯能够被下放到英冠联赛吹比赛                   52'第52分钟，维迪奇对登巴-巴犯规被罚黄牌
53'这说明了什么？》                   52'第52分钟，维迪奇对登巴-巴犯规被罚黄牌
53'绝对是水平有问题                   52'第52分钟，维迪奇对登巴-巴犯规被罚黄牌
53'切尔西获得了一个远距离定位球~                   52'第52分钟，维迪奇对登巴-巴犯规被罚黄牌
53'奥斯卡给科尔的直传，力量大了！直接出底线                   52'第52分钟，维迪奇对登巴-巴犯规被罚黄牌
54'曼联在中场控球                   52'第52分钟，维迪奇对登巴-巴犯规被罚黄牌
55'瓦伦西亚变向突破了奥斯卡~~~传中球没能找到队友                   52'第52分钟，维迪奇对登巴-巴犯规被罚黄牌
55'球还是在曼联控制之下                   52'第52分钟，维迪奇对登巴-巴犯规被罚黄牌
55'左路的进攻被拉米雷斯给终结了                   52'第52分钟，维迪奇对登巴-巴犯规被罚黄牌
55'切尔西反击~中间没有人包抄啊                   52'第52分钟，维迪奇对登巴-巴犯规被罚黄牌
55'阿兹皮里库塔的传中有些操之过急                   52'第52分钟，维迪奇对登巴-巴犯规被罚黄牌
67'今天两队的定位球并不多，这种机会是第一次出线                   67'第67分钟，埃弗拉禁区前对马塔犯规，马塔20码处任意球射门被人墙挡出
67'马塔跟路易斯都站在球的前面                   67'第67分钟，埃弗拉禁区前对马塔犯规，马塔20码处任意球射门被人墙挡出
67'马塔~打在了琼斯的胸口上                   67'第67分钟，埃弗拉禁区前对马塔犯规，马塔20码处任意球射门被人墙挡出
67'马塔拉到边路，传中被后卫解围了                   67'第67分钟，埃弗拉禁区前对马塔犯规，马塔20码处任意球射门被人墙挡出
68'                     67'第67分钟，埃弗拉禁区前对马塔犯规，马塔20码处任意球射门被人墙挡出
68'曼联换上了鲁小胖                   67'第67分钟，埃弗拉禁区前对马塔犯规，马塔20码处任意球射门被人墙挡出
68'还有布特纳                   67'第67分钟，埃弗拉禁区前对马塔犯规，马塔20码处任意球射门被人墙挡出
68'换下了克莱维利跟安德森                   67'第67分钟，埃弗拉禁区前对马塔犯规，马塔20码处任意球射门被人墙挡出
70'看起来曼联还是想复仇啊                   67'第67分钟，埃弗拉禁区前对马塔犯规，马塔20码处任意球射门被人墙挡出
70'布特纳一个跟斗摔倒了，原来是被阿兹皮里库塔身后绊了一跤                   67'第67分钟，埃弗拉禁区前对马塔犯规，马塔20码处任意球射门被人墙挡出
73'瓦伦西亚~~下底再传！鲁尼头球攻门给顶高了                   73'第73分钟，瓦伦西亚右路传中，鲁尼远点8码处头球攻门高出
75'阿兹皮里库塔跟布特纳又一次交锋~                   73'第73分钟，瓦伦西亚右路传中，鲁尼远点8码处头球攻门高出
75'阿兹被布特纳的手肘给击中了鼻梁，够呛                   73'第73分钟，瓦伦西亚右路传中，鲁尼远点8码处头球攻门高出
75'场边T9在整理球袜，准备出场了                   73'第73分钟，瓦伦西亚右路传中，鲁尼远点8码处头球攻门高出
76'带上面罩，托雷斯换下了摩西                   73'第73分钟，瓦伦西亚右路传中，鲁尼远点8码处头球攻门高出
76'切尔西这下场上两名中锋~                   73'第73分钟，瓦伦西亚右路传中，鲁尼远点8码处头球攻门高出
77'兰帕德~~~~传中落点不错！                   77'第77分钟，兰帕德右路传中，无人防守的马塔小禁区前冲顶错过皮球
77'马塔是不是幸福来得太突然了啊                   77'第77分钟，兰帕德右路传中，无人防守的马塔小禁区前冲顶错过皮球
77'居然没顶上！                   77'第77分钟，兰帕德右路传中，无人防守的马塔小禁区前冲顶错过皮球
77'都是面对门将的机会了，大半个空门对他敞开                   77'第77分钟，兰帕德右路传中，无人防守的马塔小禁区前冲顶错过皮球
77'切尔西这是本场比赛最好的机会了吧                   77'第77分钟，兰帕德右路传中，无人防守的马塔小禁区前冲顶错过皮球
78'角球~                   77'第77分钟，兰帕德右路传中，无人防守的马塔小禁区前冲顶错过皮球
78'马塔传中被门将打出底线，还是角球                   77'第77分钟，兰帕德右路传中，无人防守的马塔小禁区前冲顶错过皮球
78'马塔连续两次传中都挺有威胁                   77'第77分钟，兰帕德右路传中，无人防守的马塔小禁区前冲顶错过皮球
78'不过韦伯响哨了，吹了进攻方球员犯规                   77'第77分钟，兰帕德右路传中，无人防守的马塔小禁区前冲顶错过皮球
78'丶Messi丶:柠檬，你不解说巴萨了？跟球心换位？---嗯，临时有事                   77'第77分钟，兰帕德右路传中，无人防守的马塔小禁区前冲顶错过皮球
79'立10鲁尼换上来是打哪个位置？顶替安德森吗？---胖子本来就可以打中场                   77'第77分钟，兰帕德右路传中，无人防守的马塔小禁区前冲顶错过皮球
80'差点乌龙~~~                   77'第77分钟，兰帕德右路传中，无人防守的马塔小禁区前冲顶错过皮球
80'拉斐尔杀入禁区，传中打在了伊万的脚后跟                   77'第77分钟，兰帕德右路传中，无人防守的马塔小禁区前冲顶错过皮球
80'球贴着立柱划出底线                   77'第77分钟，兰帕德右路传中，无人防守的马塔小禁区前冲顶错过皮球
80'曼联的角球                   77'第77分钟，兰帕德右路传中，无人防守的马塔小禁区前冲顶错过皮球
80'吉格斯开前点，被后卫顶出                   77'第77分钟，兰帕德右路传中，无人防守的马塔小禁区前冲顶错过皮球
80'拉米雷斯~~~被琼斯凶狠的撞倒                   77'第77分钟，兰帕德右路传中，无人防守的马塔小禁区前冲顶错过皮球
83'路易斯来打~~~直接一脚踢飞ule                   83'第83分钟，埃弗拉禁区弧顶推倒马塔，路易斯任意球直接射门偏出左上角
83'activeandbrave: 柠檬在期待进球，难道也下注了？---从来不买球                   83'第83分钟，埃弗拉禁区弧顶推倒马塔，路易斯任意球直接射门偏出左上角
84'范佩西又一次被美女边裁吹了越位                   83'第83分钟，埃弗拉禁区弧顶推倒马塔，路易斯任意球直接射门偏出左上角
85'路易斯喋喋不休，韦伯果断掏出了黄牌                   83'第83分钟，埃弗拉禁区弧顶推倒马塔，路易斯任意球直接射门偏出左上角
85'这下贝尼特斯不满了                   83'第83分钟，埃弗拉禁区弧顶推倒马塔，路易斯任意球直接射门偏出左上角
86'马塔~~~                   83'第83分钟，埃弗拉禁区弧顶推倒马塔，路易斯任意球直接射门偏出左上角
86'Goooooooooooooooal~~~~                   83'第83分钟，埃弗拉禁区弧顶推倒马塔，路易斯任意球直接射门偏出左上角
87'曼联的一次进攻被断球，反击机会~~~拉米雷斯一踩，奥斯卡跟上横敲~马塔~~~禁区线上打了一个死角！球击中了立柱之后弹入网窝                   87'切尔西第87分钟打破僵局，拉米雷斯抢断鲁尼，奥斯卡传球，马塔禁区左侧16码处劲射，皮球打中菲尔-琼斯偏转后又打中远角立柱内侧入网
88'路易斯被拉斐尔放倒了                   87'切尔西第87分钟打破僵局，拉米雷斯抢断鲁尼，奥斯卡传球，马塔禁区左侧16码处劲射，皮球打中菲尔-琼斯偏转后又打中远角立柱内侧入网
88'火药味来了                   87'切尔西第87分钟打破僵局，拉米雷斯抢断鲁尼，奥斯卡传球，马塔禁区左侧16码处劲射，皮球打中菲尔-琼斯偏转后又打中远角立柱内侧入网
88'吉格斯对着切尔西的球员怒吼                   87'切尔西第87分钟打破僵局，拉米雷斯抢断鲁尼，奥斯卡传球，马塔禁区左侧16码处劲射，皮球打中菲尔-琼斯偏转后又打中远角立柱内侧入网
88'大家都围了上来                   87'切尔西第87分钟打破僵局，拉米雷斯抢断鲁尼，奥斯卡传球，马塔禁区左侧16码处劲射，皮球打中菲尔-琼斯偏转后又打中远角立柱内侧入网
89'韦伯给红牌！                   87'切尔西第87分钟打破僵局，拉米雷斯抢断鲁尼，奥斯卡传球，马塔禁区左侧16码处劲射，皮球打中菲尔-琼斯偏转后又打中远角立柱内侧入网
89'拉斐尔被罚下了                   87'切尔西第87分钟打破僵局，拉米雷斯抢断鲁尼，奥斯卡传球，马塔禁区左侧16码处劲射，皮球打中菲尔-琼斯偏转后又打中远角立柱内侧入网
89'曼联雪上加霜                   87'切尔西第87分钟打破僵局，拉米雷斯抢断鲁尼，奥斯卡传球，马塔禁区左侧16码处劲射，皮球打中菲尔-琼斯偏转后又打中远角立柱内侧入网
89'拉斐尔是报复性的踢了路易斯                   87'切尔西第87分钟打破僵局，拉米雷斯抢断鲁尼，奥斯卡传球，马塔禁区左侧16码处劲射，皮球打中菲尔-琼斯偏转后又打中远角立柱内侧入网
89'不过路易斯倒地之后面露微笑                   87'切尔西第87分钟打破僵局，拉米雷斯抢断鲁尼，奥斯卡传球，马塔禁区左侧16码处劲射，皮球打中菲尔-琼斯偏转后又打中远角立柱内侧入网
89'被摄像机拍个正着                   87'切尔西第87分钟打破僵局，拉米雷斯抢断鲁尼，奥斯卡传球，马塔禁区左侧16码处劲射，皮球打中菲尔-琼斯偏转后又打中远角立柱内侧入网
90'路易斯成功激怒了拉斐尔...                   87'切尔西第87分钟打破僵局，拉米雷斯抢断鲁尼，奥斯卡传球，马塔禁区左侧16码处劲射，皮球打中菲尔-琼斯偏转后又打中远角立柱内侧入网
90'曼联换上了小豌豆                   87'切尔西第87分钟打破僵局，拉米雷斯抢断鲁尼，奥斯卡传球，马塔禁区左侧16码处劲射，皮球打中菲尔-琼斯偏转后又打中远角立柱内侧入网
90'切尔西则是用阿克换下了马塔                   87'切尔西第87分钟打破僵局，拉米雷斯抢断鲁尼，奥斯卡传球，马塔禁区左侧16码处劲射，皮球打中菲尔-琼斯偏转后又打中远角立柱内侧入网
89'韦伯给红牌！                   89'曼联第89分钟再遭打击，拉斐尔前场角旗附近故意踢倒路易斯引发双方冲突，曼联后卫被红牌罚下，这是曼联本赛季首张红牌
89'拉斐尔被罚下了                   89'曼联第89分钟再遭打击，拉斐尔前场角旗附近故意踢倒路易斯引发双方冲突，曼联后卫被红牌罚下，这是曼联本赛季首张红牌
