1'上半场比赛开始                   1'双方第1分钟对抗激烈
23'约维奇得球分给科斯蒂奇                   23'法兰克福第23分钟取得领先，科斯蒂奇左路传中，约维奇14码处俯身甩头顶出反弹球入右下角
23'传中                   23'法兰克福第23分钟取得领先，科斯蒂奇左路传中，约维奇14码处俯身甩头顶出反弹球入右下角
23'约维奇鱼跃头球攻门，球进了！！！                   23'法兰克福第23分钟取得领先，科斯蒂奇左路传中，约维奇14码处俯身甩头顶出反弹球入右下角
24'这球蹭得相当漂亮，球击中了右侧立柱的内侧入网                   23'法兰克福第23分钟取得领先，科斯蒂奇左路传中，约维奇14码处俯身甩头顶出反弹球入右下角
24'非常漂亮的约维奇                   23'法兰克福第23分钟取得领先，科斯蒂奇左路传中，约维奇14码处俯身甩头顶出反弹球入右下角
24'克里斯滕森迭球交给坎特                   23'法兰克福第23分钟取得领先，科斯蒂奇左路传中，约维奇14码处俯身甩头顶出反弹球入右下角
24'回给了路易斯                   23'法兰克福第23分钟取得领先，科斯蒂奇左路传中，约维奇14码处俯身甩头顶出反弹球入右下角
25'交给了若日尼奥                   23'法兰克福第23分钟取得领先，科斯蒂奇左路传中，约维奇14码处俯身甩头顶出反弹球入右下角
25'交给路易斯                   23'法兰克福第23分钟取得领先，科斯蒂奇左路传中，约维奇14码处俯身甩头顶出反弹球入右下角
25'奇克接应回给路易斯                   23'法兰克福第23分钟取得领先，科斯蒂奇左路传中，约维奇14码处俯身甩头顶出反弹球入右下角
25'直传，威廉停漏了                   23'法兰克福第23分钟取得领先，科斯蒂奇左路传中，约维奇14码处俯身甩头顶出反弹球入右下角
25'科斯蒂奇左侧的突进，阿斯皮利奎塔破坏活动一下                   23'法兰克福第23分钟取得领先，科斯蒂奇左路传中，约维奇14码处俯身甩头顶出反弹球入右下角
25'佩德罗接应回给若日尼奥                   23'法兰克福第23分钟取得领先，科斯蒂奇左路传中，约维奇14码处俯身甩头顶出反弹球入右下角
26'转移给埃默森                   23'法兰克福第23分钟取得领先，科斯蒂奇左路传中，约维奇14码处俯身甩头顶出反弹球入右下角
26'直传给威廉                   23'法兰克福第23分钟取得领先，科斯蒂奇左路传中，约维奇14码处俯身甩头顶出反弹球入右下角
26'直传给吉鲁，传中                   23'法兰克福第23分钟取得领先，科斯蒂奇左路传中，约维奇14码处俯身甩头顶出反弹球入右下角
26'特拉普将球没收                   23'法兰克福第23分钟取得领先，科斯蒂奇左路传中，约维奇14码处俯身甩头顶出反弹球入右下角
26'特拉普长传上来，埃默森上抢踢了达科斯塔一下                   23'法兰克福第23分钟取得领先，科斯蒂奇左路传中，约维奇14码处俯身甩头顶出反弹球入右下角
45'传中被法莱特解围出底线                   45'切尔西第45分钟扳平比分，奇克角球混战中回敲，佩德罗15码处左脚劲射入右下角
45'威廉发角球，法莱特头球解围                   45'切尔西第45分钟扳平比分，奇克角球混战中回敲，佩德罗15码处左脚劲射入右下角
45'奇克得球交给佩德罗                   45'切尔西第45分钟扳平比分，奇克角球混战中回敲，佩德罗15码处左脚劲射入右下角
45'佩德罗禁区内左脚抽射，球进了！                   45'切尔西第45分钟扳平比分，奇克角球混战中回敲，佩德罗15码处左脚劲射入右下角
46'威廉传中，法莱特顶一下                   45'切尔西第45分钟扳平比分，奇克角球混战中回敲，佩德罗15码处左脚劲射入右下角
46'奇克护好球回做                   45'切尔西第45分钟扳平比分，奇克角球混战中回敲，佩德罗15码处左脚劲射入右下角
46'佩德罗一停一射打进                   45'切尔西第45分钟扳平比分，奇克角球混战中回敲，佩德罗15码处左脚劲射入右下角
46'上半场补时1分钟                   45'切尔西第45分钟扳平比分，奇克角球混战中回敲，佩德罗15码处左脚劲射入右下角
46'路易斯控球                   45'切尔西第45分钟扳平比分，奇克角球混战中回敲，佩德罗15码处左脚劲射入右下角
46'交给威廉，转移给了阿斯皮利奎塔                   45'切尔西第45分钟扳平比分，奇克角球混战中回敲，佩德罗15码处左脚劲射入右下角
46'交给坎特                   45'切尔西第45分钟扳平比分，奇克角球混战中回敲，佩德罗15码处左脚劲射入右下角
46'横敲球出边线                   45'切尔西第45分钟扳平比分，奇克角球混战中回敲，佩德罗15码处左脚劲射入右下角
47'法莱特控球                   45'切尔西第45分钟扳平比分，奇克角球混战中回敲，佩德罗15码处左脚劲射入右下角
47'长传上来                   45'切尔西第45分钟扳平比分，奇克角球混战中回敲，佩德罗15码处左脚劲射入右下角
47'上半场比赛结束！                   45'切尔西第45分钟扳平比分，奇克角球混战中回敲，佩德罗15码处左脚劲射入右下角
46'下半场比赛开始                   45'切尔西第45分钟扳平比分，奇克角球混战中回敲，佩德罗15码处左脚劲射入右下角
46'下半场由法兰克福中圈开球                   45'切尔西第45分钟扳平比分，奇克角球混战中回敲，佩德罗15码处左脚劲射入右下角
46'辛特艾格尔交给长谷部诚，直传被若日尼奥断下                   45'切尔西第45分钟扳平比分，奇克角球混战中回敲，佩德罗15码处左脚劲射入右下角
46'回传给克里斯滕森                   45'切尔西第45分钟扳平比分，奇克角球混战中回敲，佩德罗15码处左脚劲射入右下角
46'回传给凯帕                   45'切尔西第45分钟扳平比分，奇克角球混战中回敲，佩德罗15码处左脚劲射入右下角
46'分左侧的埃默森                   45'切尔西第45分钟扳平比分，奇克角球混战中回敲，佩德罗15码处左脚劲射入右下角
46'直传，威廉接应横传给若日尼奥                   45'切尔西第45分钟扳平比分，奇克角球混战中回敲，佩德罗15码处左脚劲射入右下角
47'长传左侧的埃默森                   45'切尔西第45分钟扳平比分，奇克角球混战中回敲，佩德罗15码处左脚劲射入右下角
47'送到肋部                   45'切尔西第45分钟扳平比分，奇克角球混战中回敲，佩德罗15码处左脚劲射入右下角
47'奇克，回给埃默森                   45'切尔西第45分钟扳平比分，奇克角球混战中回敲，佩德罗15码处左脚劲射入右下角
47'传中被亚伯拉罕解围                   45'切尔西第45分钟扳平比分，奇克角球混战中回敲，佩德罗15码处左脚劲射入右下角
47'坎特拿球分左侧的威廉                   45'切尔西第45分钟扳平比分，奇克角球混战中回敲，佩德罗15码处左脚劲射入右下角
47'挑给坎特                   45'切尔西第45分钟扳平比分，奇克角球混战中回敲，佩德罗15码处左脚劲射入右下角
47'法莱特扛着阿斯皮利奎塔                   45'切尔西第45分钟扳平比分，奇克角球混战中回敲，佩德罗15码处左脚劲射入右下角
48'最后还是阿斯皮利奎塔将球捅走田赛线                   45'切尔西第45分钟扳平比分，奇克角球混战中回敲，佩德罗15码处左脚劲射入右下角
48'法莱特长传上来                   45'切尔西第45分钟扳平比分，奇克角球混战中回敲，佩德罗15码处左脚劲射入右下角
48'打在了佩德罗身上出边线                   45'切尔西第45分钟扳平比分，奇克角球混战中回敲，佩德罗15码处左脚劲射入右下角
48'法莱特掷界外球                   45'切尔西第45分钟扳平比分，奇克角球混战中回敲，佩德罗15码处左脚劲射入右下角
48'路易斯控球                   45'切尔西第45分钟扳平比分，奇克角球混战中回敲，佩德罗15码处左脚劲射入右下角
48'吉鲁接应回传给克里斯滕森                   45'切尔西第45分钟扳平比分，奇克角球混战中回敲，佩德罗15码处左脚劲射入右下角
48'分右侧的坎特                   45'切尔西第45分钟扳平比分，奇克角球混战中回敲，佩德罗15码处左脚劲射入右下角
48'阿斯皮利奎塔接应回传给克里斯滕森                   45'切尔西第45分钟扳平比分，奇克角球混战中回敲，佩德罗15码处左脚劲射入右下角
