1'上半场比赛开始                   1'第1分钟两队很快便展开对攻
26'人和右路传中，朱宝杰后点右脚打门，打在吉翔身上出了边线                   26'第26分钟，人和右路传中，朱宝杰后点右脚打门，打在吉翔身上出了边线
26'尤里右路传球被顶出边线                   26'第26分钟，人和右路传中，朱宝杰后点右脚打门，打在吉翔身上出了边线
27'萨利霍维奇左路给到禁区后点，出了底线                   26'第26分钟，人和右路传中，朱宝杰后点右脚打门，打在吉翔身上出了边线
28'人和中场抢断，萨利霍维奇禁区直接打门，偏了                   26'第26分钟，人和右路传中，朱宝杰后点右脚打门，打在吉翔身上出了边线
28'舜天大脚给到禁区，被顶出                   26'第26分钟，人和右路传中，朱宝杰后点右脚打门，打在吉翔身上出了边线
29'杨笑天左路拿球传中被挡出                   26'第26分钟，人和右路传中，朱宝杰后点右脚打门，打在吉翔身上出了边线
29'尤里右路拿球传中，李昂停球失误了，赶紧第二下踢出                   26'第26分钟，人和右路传中，朱宝杰后点右脚打门，打在吉翔身上出了边线
30'米西莫为求前场拿球被断了                   30'第30分钟，朱宝杰禁区左侧传中，米西莫维奇头球攻门顶高
30'卡尔坦森右路传中被顶出                   30'第30分钟，朱宝杰禁区左侧传中，米西莫维奇头球攻门顶高
31'舜天左路直塞禁区被挡出                   30'第30分钟，朱宝杰禁区左侧传中，米西莫维奇头球攻门顶高
31'朱宝杰禁区左侧传中，米西莫维奇头球攻门，高了                   30'第30分钟，朱宝杰禁区左侧传中，米西莫维奇头球攻门顶高
32'萨米尔前场拿球被断了                   30'第30分钟，朱宝杰禁区左侧传中，米西莫维奇头球攻门顶高
32'朱宝杰左路传中传到了无人区                   30'第30分钟，朱宝杰禁区左侧传中，米西莫维奇头球攻门顶高
38'进球了                   38'江苏舜天在第38分钟打破僵局——萨米尔禁区前沿送出鬼魅直塞，卡尔坦森突入禁区面对出击的张烈冷静推射远角，皮球穿裆滚入死角，1-0
39'萨米尔传球，吴曦漏过，萨米尔拿球再传，卡尔坦森禁区右侧打门，球进                   38'江苏舜天在第38分钟打破僵局——萨米尔禁区前沿送出鬼魅直塞，卡尔坦森突入禁区面对出击的张烈冷静推射远角，皮球穿裆滚入死角，1-0
39'舜天率先取得进球                   38'江苏舜天在第38分钟打破僵局——萨米尔禁区前沿送出鬼魅直塞，卡尔坦森突入禁区面对出击的张烈冷静推射远角，皮球穿裆滚入死角，1-0
40'朴柱成痛苦倒在地上                   38'江苏舜天在第38分钟打破僵局——萨米尔禁区前沿送出鬼魅直塞，卡尔坦森突入禁区面对出击的张烈冷静推射远角，皮球穿裆滚入死角，1-0
41'杨笑天给到禁区右侧                   38'江苏舜天在第38分钟打破僵局——萨米尔禁区前沿送出鬼魅直塞，卡尔坦森突入禁区面对出击的张烈冷静推射远角，皮球穿裆滚入死角，1-0
41'萨米尔右路拿球回传                   38'江苏舜天在第38分钟打破僵局——萨米尔禁区前沿送出鬼魅直塞，卡尔坦森突入禁区面对出击的张烈冷静推射远角，皮球穿裆滚入死角，1-0
45'饶伟辉斜传禁区被踢出                   45'第45分钟，萨利霍维奇直接大力打门被张思鹏击出
45'李昂上抢犯规                   45'第45分钟，萨利霍维奇直接大力打门被张思鹏击出
45'上半场补时2分钟                   45'第45分钟，萨利霍维奇直接大力打门被张思鹏击出
46'萨利霍维奇直接大力打门，被张思鹏击出                   45'第45分钟，萨利霍维奇直接大力打门被张思鹏击出
47'朱宝杰大脚给到前场被舜天拿到                   45'第45分钟，萨利霍维奇直接大力打门被张思鹏击出
47'埃斯库德罗右路传中被挡出底线                   45'第45分钟，萨利霍维奇直接大力打门被张思鹏击出
48'杨笑天角球给到禁区，被张烈挡出边线                   45'第45分钟，萨利霍维奇直接大力打门被张思鹏击出
48'于睿受伤倒地了                   45'第45分钟，萨利霍维奇直接大力打门被张思鹏击出
46'下半场比赛开始                   45'第45分钟，萨利霍维奇直接大力打门被张思鹏击出
46'双方易边再战                   45'第45分钟，萨利霍维奇直接大力打门被张思鹏击出
46'舜天给到禁区，埃斯库德罗禁区内拿球，倒地的左脚传球，被人和解围                   45'第45分钟，萨利霍维奇直接大力打门被张思鹏击出
47'萨利霍维奇直塞，人和越位了                   45'第45分钟，萨利霍维奇直接大力打门被张思鹏击出
47'张思鹏大脚直接开出边线                   45'第45分钟，萨利霍维奇直接大力打门被张思鹏击出
48'米西莫维奇给到左路，传中，被顶出                   45'第45分钟，萨利霍维奇直接大力打门被张思鹏击出
48'人和下半场用王刚替下史亮                   45'第45分钟，萨利霍维奇直接大力打门被张思鹏击出
52'朱宝杰左路传球，被奥特森挡出底线                   52'第52分钟，朱宝杰接球抹入禁区，他的大力抽射被奥特森挡出底线，朱宝杰投诉奥特森手球向裁判要点球
52'米西莫维奇角球开到禁区，张思鹏出击扑空了，还好人和球员顶偏了                   52'第52分钟，朱宝杰接球抹入禁区，他的大力抽射被奥特森挡出底线，朱宝杰投诉奥特森手球向裁判要点球
53'于睿传球直接出了边线                   52'第52分钟，朱宝杰接球抹入禁区，他的大力抽射被奥特森挡出底线，朱宝杰投诉奥特森手球向裁判要点球
53'杨笑天左路突破被踢倒了                   52'第52分钟，朱宝杰接球抹入禁区，他的大力抽射被奥特森挡出底线，朱宝杰投诉奥特森手球向裁判要点球
54'陈昌源吃到一张黄牌                   52'第52分钟，朱宝杰接球抹入禁区，他的大力抽射被奥特森挡出底线，朱宝杰投诉奥特森手球向裁判要点球
54'埃斯库德罗任意球给到禁区，奥特森头球攻门，偏了                   52'第52分钟，朱宝杰接球抹入禁区，他的大力抽射被奥特森挡出底线，朱宝杰投诉奥特森手球向裁判要点球
55'这个球顶正就有了，张烈出击很失误啊                   52'第52分钟，朱宝杰接球抹入禁区，他的大力抽射被奥特森挡出底线，朱宝杰投诉奥特森手球向裁判要点球
55'王刚右路传中，被张思鹏拿到                   52'第52分钟，朱宝杰接球抹入禁区，他的大力抽射被奥特森挡出底线，朱宝杰投诉奥特森手球向裁判要点球
59'萨利霍维奇禁区外打门，被张思鹏抱住                   59'第59分钟，萨利霍维奇禁区外打门被张思鹏扑出
60'米西莫维奇禁区打门，太高了                   59'第59分钟，萨利霍维奇禁区外打门被张思鹏扑出
60'错过了好机会                   59'第59分钟，萨利霍维奇禁区外打门被张思鹏扑出
61'下半场开始后，人和占据了一定优势                   59'第59分钟，萨利霍维奇禁区外打门被张思鹏扑出
62'埃斯库德罗右路突破被铲出边线                   59'第59分钟，萨利霍维奇禁区外打门被张思鹏扑出
62'舜天右路传中，被碰出边线                   59'第59分钟，萨利霍维奇禁区外打门被张思鹏扑出
62'吴曦禁区外打门，偏了                   59'第59分钟，萨利霍维奇禁区外打门被张思鹏扑出
62'埃斯库德罗右路突破被铲出边线                   62'第62分钟，米西莫维奇禁区外围打门，球打在防守球员腿上改变方向后被张思鹏拿到
62'舜天右路传中，被碰出边线                   62'第62分钟，米西莫维奇禁区外围打门，球打在防守球员腿上改变方向后被张思鹏拿到
62'吴曦禁区外打门，偏了                   62'第62分钟，米西莫维奇禁区外围打门，球打在防守球员腿上改变方向后被张思鹏拿到
63'人和前传直接出了底线                   62'第62分钟，米西莫维奇禁区外围打门，球打在防守球员腿上改变方向后被张思鹏拿到
64'陈昌源后场大脚开到杨笑天身上出了边线                   62'第62分钟，米西莫维奇禁区外围打门，球打在防守球员腿上改变方向后被张思鹏拿到
64'尤里前场推倒杨笑天犯规                   62'第62分钟，米西莫维奇禁区外围打门，球打在防守球员腿上改变方向后被张思鹏拿到
68'角球给到后点，任航拿球被断了                   68'第68分钟，人和角球第一点被顶出，禁区外跟进远射被张思鹏扑出
68'朱宝杰拿球直接打身后，被张思鹏拿到                   68'第68分钟，人和角球第一点被顶出，禁区外跟进远射被张思鹏扑出
69'朱宝杰禁区打门，被挡出底线                   68'第68分钟，人和角球第一点被顶出，禁区外跟进远射被张思鹏扑出
69'朱宝杰投诉有手球                   68'第68分钟，人和角球第一点被顶出，禁区外跟进远射被张思鹏扑出
69'角球开出，被顶出                   68'第68分钟，人和角球第一点被顶出，禁区外跟进远射被张思鹏扑出
69'人和禁区外又是一脚打门，被张思鹏扑出                   68'第68分钟，人和角球第一点被顶出，禁区外跟进远射被张思鹏扑出
70'李昂对王刚犯规                   68'第68分钟，人和角球第一点被顶出，禁区外跟进远射被张思鹏扑出
71'萨利霍维奇开出，脚底打滑了，直接出了边线，不知是射门还是传球                   68'第68分钟，人和角球第一点被顶出，禁区外跟进远射被张思鹏扑出
71'杨笑天左路传中，直接出了右侧边线                   68'第68分钟，人和角球第一点被顶出，禁区外跟进远射被张思鹏扑出
75'于睿的头球攻门                   75'第75分钟米西莫维奇左路传中，中后卫于睿力压防守甩头攻门被张思鹏倒地扑住
75'米西莫维奇左路再次传中，张思鹏抱住                   75'第75分钟米西莫维奇左路传中，中后卫于睿力压防守甩头攻门被张思鹏倒地扑住
75'萨利霍维奇禁区右侧直接打门，张思鹏飞身扑住皮球                   75'第75分钟米西莫维奇左路传中，中后卫于睿力压防守甩头攻门被张思鹏倒地扑住
76'米西莫维奇禁区左侧连续晃动后打门，偏了                   75'第75分钟米西莫维奇左路传中，中后卫于睿力压防守甩头攻门被张思鹏倒地扑住
77'人和换人，桑托斯上场换下尤里                   75'第75分钟米西莫维奇左路传中，中后卫于睿力压防守甩头攻门被张思鹏倒地扑住
77'萨利霍维奇后场拉人犯规                   75'第75分钟米西莫维奇左路传中，中后卫于睿力压防守甩头攻门被张思鹏倒地扑住
78'人和传球，力量大了                   75'第75分钟米西莫维奇左路传中，中后卫于睿力压防守甩头攻门被张思鹏倒地扑住
85'萨利霍维奇门前抢点打门，被张思鹏扑出                   85'第85分钟萨利霍维奇门前抢点打门，被张思鹏扑出
85'卡尔坦森禁区左侧打门，皮球擦着右侧立柱出了底线                   85'第85分钟萨利霍维奇门前抢点打门，被张思鹏扑出
86'舜天换人，卡尔坦森被换下，张晓彬上                   85'第85分钟萨利霍维奇门前抢点打门，被张思鹏扑出
87'人和右路传中，桑托斯给到中路，被解围                   85'第85分钟萨利霍维奇门前抢点打门，被张思鹏扑出
87'王刚禁区内打门，偏了                   85'第85分钟萨利霍维奇门前抢点打门，被张思鹏扑出
90'舜天反击，张烈出击解围                   90'90分钟战罢，贵州人和主场0-1不敌江苏舜天
90'下半场补时4分钟                   90'90分钟战罢，贵州人和主场0-1不敌江苏舜天
91'舜天反击，被于睿铲出边线                   90'90分钟战罢，贵州人和主场0-1不敌江苏舜天
91'萨米尔左路突破被铲出边线                   90'90分钟战罢，贵州人和主场0-1不敌江苏舜天
92'舜天拿球并不急于进攻                   90'90分钟战罢，贵州人和主场0-1不敌江苏舜天
92'继续控球耗时间                   90'90分钟战罢，贵州人和主场0-1不敌江苏舜天
93'张晓彬单刀射门，打飞了                   90'90分钟战罢，贵州人和主场0-1不敌江苏舜天
93'这个球完全没人了                   90'90分钟战罢，贵州人和主场0-1不敌江苏舜天
93'陈昌源右路传中被挡出                   90'90分钟战罢，贵州人和主场0-1不敌江苏舜天
93'萨利霍维奇打门被挡出                   90'90分钟战罢，贵州人和主场0-1不敌江苏舜天
