3'可是裁判并没有表示，赫塔菲的反击                   3'第3分钟，阿隆索传球，C-罗纳尔多禁区前劲射偏出
18'厄齐尔这球打的有点悲催，不进比进都难                   16'皇马第16分钟错失良机，厄齐尔直传禁区左侧，获得射门角度的C-罗纳尔多无私传回，但德国国脚在小禁区边缘推射大半个空门却打中横梁
18'同时这也是皇马开场18分钟来最好的一次得分机会                   16'皇马第16分钟错失良机，厄齐尔直传禁区左侧，获得射门角度的C-罗纳尔多无私传回，但德国国脚在小禁区边缘推射大半个空门却打中横梁
19'马塞洛左路拿球强突不成，只能回敲给到迪马利亚                   16'皇马第16分钟错失良机，厄齐尔直传禁区左侧，获得射门角度的C-罗纳尔多无私传回，但德国国脚在小禁区边缘推射大半个空门却打中横梁
19'迪马利亚过顶找禁区内的伊瓜因                   16'皇马第16分钟错失良机，厄齐尔直传禁区左侧，获得射门角度的C-罗纳尔多无私传回，但德国国脚在小禁区边缘推射大半个空门却打中横梁
19'伊瓜因禁区内的停球被吹罚抬脚过高                   16'皇马第16分钟错失良机，厄齐尔直传禁区左侧，获得射门角度的C-罗纳尔多无私传回，但德国国脚在小禁区边缘推射大半个空门却打中横梁
27'C罗前插拿球，人球分过，可惜在对方后卫干扰下，球直接分出了底线                   27'皇马第27分钟取得领先，迪马利亚传球，伊瓜因强突禁区左侧晃过莫亚后小角度射入空门
27'迪马利亚中场过顶找伊瓜因                   27'皇马第27分钟取得领先，迪马利亚传球，伊瓜因强突禁区左侧晃过莫亚后小角度射入空门
27'亚伯拉罕在禁区线上力压伊瓜因将球解围                   27'皇马第27分钟取得领先，迪马利亚传球，伊瓜因强突禁区左侧晃过莫亚后小角度射入空门
27'进球了，伊瓜因                   27'皇马第27分钟取得领先，迪马利亚传球，伊瓜因强突禁区左侧晃过莫亚后小角度射入空门
29'迪马利亚禁区外的直塞球打后卫身后，伊瓜因转身拿球进入禁区，面对出击的莫亚直接趟过，小角度打空门得手                   27'皇马第27分钟取得领先，迪马利亚传球，伊瓜因强突禁区左侧晃过莫亚后小角度射入空门
29'比赛来到了29分钟，皇马依靠伊瓜因的进球，1-0领先主队赫塔菲                   27'皇马第27分钟取得领先，迪马利亚传球，伊瓜因强突禁区左侧晃过莫亚后小角度射入空门
29'迪马利亚前场右路斜传球找C罗                   27'皇马第27分钟取得领先，迪马利亚传球，伊瓜因强突禁区左侧晃过莫亚后小角度射入空门
30'可惜没能穿透赫塔菲的防线，阿莱克西斯将球拦截                   27'皇马第27分钟取得领先，迪马利亚传球，伊瓜因强突禁区左侧晃过莫亚后小角度射入空门
30'C罗左路拿球突破为皇马赢得角球机会                   27'皇马第27分钟取得领先，迪马利亚传球，伊瓜因强突禁区左侧晃过莫亚后小角度射入空门
30'角球开出，第一点被赫塔菲球员解围                   27'皇马第27分钟取得领先，迪马利亚传球，伊瓜因强突禁区左侧晃过莫亚后小角度射入空门
39'阿尔比奥尔后场长传球找C罗，可惜力量过大，直接出边线                   39'第39分钟，厄齐尔送出直传，但伊瓜因禁区边缘错过皮球
39'赫塔菲失球后，进攻火力慢慢起来啦                   39'第39分钟，厄齐尔送出直传，但伊瓜因禁区边缘错过皮球
40'皇马后场抢断，迪马利亚右路拿球单骑闯关                   39'第39分钟，厄齐尔送出直传，但伊瓜因禁区边缘错过皮球
40'迪马利亚边路横传球找伊瓜因，莫亚出击在伊瓜因之前将球没收                   39'第39分钟，厄齐尔送出直传，但伊瓜因禁区边缘错过皮球
41'赫塔菲右路进攻，拉菲塔拿球强突拉莫斯                   39'第39分钟，厄齐尔送出直传，但伊瓜因禁区边缘错过皮球
41'拉莫斯利用卡位，将球成功护送出边线                   39'第39分钟，厄齐尔送出直传，但伊瓜因禁区边缘错过皮球
41'上半场比赛已经接近尾声了，比分1-0，皇马领先                   39'第39分钟，厄齐尔送出直传，但伊瓜因禁区边缘错过皮球
42'米库前场拿球转身突破，阿尔比奥尔身后将米库踢倒                   39'第39分钟，厄齐尔送出直传，但伊瓜因禁区边缘错过皮球
42'赫塔菲获得前场的任意球机会                   39'第39分钟，厄齐尔送出直传，但伊瓜因禁区边缘错过皮球
42'任意球开出到禁区，巴达拉的后点包抄打门踢偏                   39'第39分钟，厄齐尔送出直传，但伊瓜因禁区边缘错过皮球
47'迪马利亚不停球直接垫传过顶给到伊瓜因                   47'2分钟后，巴雷拉无球跑动时对C-罗纳尔多犯规被黄牌警告
47'伊瓜因拿球底线附近，在莫亚出击时将球横扫中路                   47'2分钟后，巴雷拉无球跑动时对C-罗纳尔多犯规被黄牌警告
47'可惜C罗的包抄慢了半拍，球滑门而过                   47'2分钟后，巴雷拉无球跑动时对C-罗纳尔多犯规被黄牌警告
47'阿隆索中场上抢斜传球时自己脚下一拐，有点伤啦                   47'2分钟后，巴雷拉无球跑动时对C-罗纳尔多犯规被黄牌警告
47'阿隆索坐在地上，右脚上了，鞋子脱掉，队医将其搀扶下场                   47'2分钟后，巴雷拉无球跑动时对C-罗纳尔多犯规被黄牌警告
48'看来阿隆索不能坚持了，赫迪拉也是开始在场边热身                   47'2分钟后，巴雷拉无球跑动时对C-罗纳尔多犯规被黄牌警告
48'赫塔菲左路进攻，米库拿球强突，可惜面对拉莫斯的防守还是失败啦                   47'2分钟后，巴雷拉无球跑动时对C-罗纳尔多犯规被黄牌警告
48'赫塔菲前场进攻，赢得任意球机会                   47'2分钟后，巴雷拉无球跑动时对C-罗纳尔多犯规被黄牌警告
49'阿隆索经过治疗后，又回到了场上，强悍之人啊                   47'2分钟后，巴雷拉无球跑动时对C-罗纳尔多犯规被黄牌警告
49'赫塔菲任意球开到禁区，球弹地后到了后点                   47'2分钟后，巴雷拉无球跑动时对C-罗纳尔多犯规被黄牌警告
50'拉莫斯力压拉菲塔将球顶出边线                   47'2分钟后，巴雷拉无球跑动时对C-罗纳尔多犯规被黄牌警告
50'迪亚拉前场的逼抢，身后撞倒了巴拉达，犯规                   47'2分钟后，巴雷拉无球跑动时对C-罗纳尔多犯规被黄牌警告
50'赫塔菲再次赢的前场任意球机会                   47'2分钟后，巴雷拉无球跑动时对C-罗纳尔多犯规被黄牌警告
53'拉莫斯的防守再次送给赫塔菲前场任意球机会                   53'赫塔菲第53分钟扳平比分，巴拉达右路任意球传中，巴雷拉15码处头球顶入左下角
53'进球啦                   53'赫塔菲第53分钟扳平比分，巴拉达右路任意球传中，巴雷拉15码处头球顶入左下角
54'赫塔菲右边路任意球开到禁区，瓦勒拉头球攻门，球弹地后攻破了卡西的十指关                   53'赫塔菲第53分钟扳平比分，巴拉达右路任意球传中，巴雷拉15码处头球顶入左下角
54'下半场开场10分钟不到，赫塔菲就扳平了比分                   53'赫塔菲第53分钟扳平比分，巴拉达右路任意球传中，巴雷拉15码处头球顶入左下角
55'伊瓜因争顶被对方两名球员压倒在地                   53'赫塔菲第53分钟扳平比分，巴拉达右路任意球传中，巴雷拉15码处头球顶入左下角
55'皇马快发任意球给到C罗                   53'赫塔菲第53分钟扳平比分，巴拉达右路任意球传中，巴雷拉15码处头球顶入左下角
56'C罗拿球突破，米歇尔的放铲铲倒了C罗                   53'赫塔菲第53分钟扳平比分，巴拉达右路任意球传中，巴雷拉15码处头球顶入左下角
56'米歇尔被裁判出示黄牌警告                   53'赫塔菲第53分钟扳平比分，巴拉达右路任意球传中，巴雷拉15码处头球顶入左下角
56'皇马获得禁区弧顶的任意球机会                   53'赫塔菲第53分钟扳平比分，巴拉达右路任意球传中，巴雷拉15码处头球顶入左下角
56'C罗的任意球攻门，打在人墙上弹出                   53'赫塔菲第53分钟扳平比分，巴拉达右路任意球传中，巴雷拉15码处头球顶入左下角
57'之前赫塔菲用洛波换下的是16号亚伯拉罕                   57'第57分钟，巴拉达右路传中，米库12码处头球攻门稍稍错过皮球
57'卡斯特罗前场右路拿球，皇马无人逼抢                   57'第57分钟，巴拉达右路传中，米库12码处头球攻门稍稍错过皮球
57'卡斯特罗拿球慢慢进入禁区，右上角的过顶挑传                   57'第57分钟，巴拉达右路传中，米库12码处头球攻门稍稍错过皮球
58'米库后点力压阿韦罗亚争顶，可惜没能顶到                   57'第57分钟，巴拉达右路传中，米库12码处头球攻门稍稍错过皮球
58'本泽马站在了场边，皇马要加强进攻了？？？                   57'第57分钟，巴拉达右路传中，米库12码处头球攻门稍稍错过皮球
59'迪马利亚左路拿球横传禁区弧顶                   57'第57分钟，巴拉达右路传中，米库12码处头球攻门稍稍错过皮球
59'C罗前点一漏，后点包抄的队友跟上打门踢偏啦                   57'第57分钟，巴拉达右路传中，米库12码处头球攻门稍稍错过皮球
60'厄齐尔左路传中到禁区，伊瓜因包抄推射被后卫挡出                   57'第57分钟，巴拉达右路传中，米库12码处头球攻门稍稍错过皮球
60'皇马换人：本泽马换下迪亚拉                   57'第57分钟，巴拉达右路传中，米库12码处头球攻门稍稍错过皮球
60'皇马角球开出，没能形成威胁                   57'第57分钟，巴拉达右路传中，米库12码处头球攻门稍稍错过皮球
60'皇马右边路传球到禁区弧顶                   57'第57分钟，巴拉达右路传中，米库12码处头球攻门稍稍错过皮球
60'厄齐尔左路传中到禁区，伊瓜因包抄推射被后卫挡出                   60'第60分钟，阿韦罗亚传球，刚刚换下拉斯-迪亚拉的本泽马12码处转身射门被巴雷拉奋不顾身挡出底线
60'皇马换人：本泽马换下迪亚拉                   60'第60分钟，阿韦罗亚传球，刚刚换下拉斯-迪亚拉的本泽马12码处转身射门被巴雷拉奋不顾身挡出底线
60'皇马角球开出，没能形成威胁                   60'第60分钟，阿韦罗亚传球，刚刚换下拉斯-迪亚拉的本泽马12码处转身射门被巴雷拉奋不顾身挡出底线
60'皇马右边路传球到禁区弧顶                   60'第60分钟，阿韦罗亚传球，刚刚换下拉斯-迪亚拉的本泽马12码处转身射门被巴雷拉奋不顾身挡出底线
61'伊瓜因拿球短传给到本泽马                   60'第60分钟，阿韦罗亚传球，刚刚换下拉斯-迪亚拉的本泽马12码处转身射门被巴雷拉奋不顾身挡出底线
61'本泽马拿球转身一脚打门，洛波倒地将球挡出底线                   60'第60分钟，阿韦罗亚传球，刚刚换下拉斯-迪亚拉的本泽马12码处转身射门被巴雷拉奋不顾身挡出底线
61'皇马获得右侧角球机会，还是没有威胁                   60'第60分钟，阿韦罗亚传球，刚刚换下拉斯-迪亚拉的本泽马12码处转身射门被巴雷拉奋不顾身挡出底线
62'赫塔菲后场传球失误，C罗拿球左路进攻                   60'第60分钟，阿韦罗亚传球，刚刚换下拉斯-迪亚拉的本泽马12码处转身射门被巴雷拉奋不顾身挡出底线
62'阿莱克西斯上抢，在C罗面前将球解围出边线                   60'第60分钟，阿韦罗亚传球，刚刚换下拉斯-迪亚拉的本泽马12码处转身射门被巴雷拉奋不顾身挡出底线
62'皇马左边路传中到禁区中路，莫亚出击直接将球没收                   60'第60分钟，阿韦罗亚传球，刚刚换下拉斯-迪亚拉的本泽马12码处转身射门被巴雷拉奋不顾身挡出底线
63'赫塔菲前场进攻，禁区右上角斜传给到米库                   60'第60分钟，阿韦罗亚传球，刚刚换下拉斯-迪亚拉的本泽马12码处转身射门被巴雷拉奋不顾身挡出底线
63'米库禁区弧内拿球面对皇马三名防守球员，摔倒了                   60'第60分钟，阿韦罗亚传球，刚刚换下拉斯-迪亚拉的本泽马12码处转身射门被巴雷拉奋不顾身挡出底线
63'裁判没有表示，拉莫斯将球解围                   60'第60分钟，阿韦罗亚传球，刚刚换下拉斯-迪亚拉的本泽马12码处转身射门被巴雷拉奋不顾身挡出底线
69'C罗禁区左侧拿球，连续假动作闪开空挡将球横传中路                   69'第69分钟，本泽马传球，C-罗纳尔多20码处劲射被莫亚没收
69'瓦勒拉伸腿将球挡出了边线                   69'第69分钟，本泽马传球，C-罗纳尔多20码处劲射被莫亚没收
69'下半场也已经进行到了25分钟，比分1-1                   69'第69分钟，本泽马传球，C-罗纳尔多20码处劲射被莫亚没收
70'C罗禁区线上的一脚抽射，莫亚倒地将球没收                   69'第69分钟，本泽马传球，C-罗纳尔多20码处劲射被莫亚没收
70'迪马利亚中场抢断，单骑闯关，禁区外的突施冷箭打了高射炮                   69'第69分钟，本泽马传球，C-罗纳尔多20码处劲射被莫亚没收
71'赫塔菲再次换人：11号科伦加上，换下7号米库                   69'第69分钟，本泽马传球，C-罗纳尔多20码处劲射被莫亚没收
71'皇马边路起球到禁区，洛波头球解围出底线                   69'第69分钟，本泽马传球，C-罗纳尔多20码处劲射被莫亚没收
72'皇马获得右侧角球机会                   69'第69分钟，本泽马传球，C-罗纳尔多20码处劲射被莫亚没收
72'角球开出，拉莫斯争顶时推倒了哈维-托雷斯，犯规                   69'第69分钟，本泽马传球，C-罗纳尔多20码处劲射被莫亚没收
75'阿莱克西斯在本泽马的逼迫下将球解围出边线                   75'赫塔菲第75分钟反超比分，替补出场的克伦加左路摆脱阿尔比奥尔后突破横传，巴拉达14码处左脚劲射破门，2-1
75'皇马换人：卡列洪上，换下马塞洛                   75'赫塔菲第75分钟反超比分，替补出场的克伦加左路摆脱阿尔比奥尔后突破横传，巴拉达14码处左脚劲射破门，2-1
75'皇马前场传球失误，赫塔菲的反击                   75'赫塔菲第75分钟反超比分，替补出场的克伦加左路摆脱阿尔比奥尔后突破横传，巴拉达14码处左脚劲射破门，2-1
75'球进啦                   75'赫塔菲第75分钟反超比分，替补出场的克伦加左路摆脱阿尔比奥尔后突破横传，巴拉达14码处左脚劲射破门，2-1
76'赫塔菲后场长传球到前场给到科伦加，科伦加拿球禁区前沿横拨给到跟进的巴拉达，后者直接一脚推射得手                   75'赫塔菲第75分钟反超比分，替补出场的克伦加左路摆脱阿尔比奥尔后突破横传，巴拉达14码处左脚劲射破门，2-1
77'比赛来到了31分钟，赫塔菲后来居上，反超了比分，皇马亚历山大啦                   75'赫塔菲第75分钟反超比分，替补出场的克伦加左路摆脱阿尔比奥尔后突破横传，巴拉达14码处左脚劲射破门，2-1
77'赫塔菲又是前场进攻，科伦加禁区外拿球横拨给到哈维-托雷斯                   75'赫塔菲第75分钟反超比分，替补出场的克伦加左路摆脱阿尔比奥尔后突破横传，巴拉达14码处左脚劲射破门，2-1
78'哈维-托雷斯得球直接的凌空抽射打偏啦                   75'赫塔菲第75分钟反超比分，替补出场的克伦加左路摆脱阿尔比奥尔后突破横传，巴拉达14码处左脚劲射破门，2-1
78'慢镜头回放：在赫塔菲打进第二个球之前，科伦加的停球有手球嫌疑哦                   75'赫塔菲第75分钟反超比分，替补出场的克伦加左路摆脱阿尔比奥尔后突破横传，巴拉达14码处左脚劲射破门，2-1
77'比赛来到了31分钟，赫塔菲后来居上，反超了比分，皇马亚历山大啦                   77'第77分钟，迭戈-卡斯特罗前场拦截后突破传球，哈维-托雷斯25码处劲射被卡西利亚斯扑出
77'赫塔菲又是前场进攻，科伦加禁区外拿球横拨给到哈维-托雷斯                   77'第77分钟，迭戈-卡斯特罗前场拦截后突破传球，哈维-托雷斯25码处劲射被卡西利亚斯扑出
78'哈维-托雷斯得球直接的凌空抽射打偏啦                   77'第77分钟，迭戈-卡斯特罗前场拦截后突破传球，哈维-托雷斯25码处劲射被卡西利亚斯扑出
78'慢镜头回放：在赫塔菲打进第二个球之前，科伦加的停球有手球嫌疑哦                   77'第77分钟，迭戈-卡斯特罗前场拦截后突破传球，哈维-托雷斯25码处劲射被卡西利亚斯扑出
79'经过连续回放，确定的说科伦加的停球是手球了，球打在左手上，改变了球的路线                   77'第77分钟，迭戈-卡斯特罗前场拦截后突破传球，哈维-托雷斯25码处劲射被卡西利亚斯扑出
80'皇马现在防线已经压过了中线                   77'第77分钟，迭戈-卡斯特罗前场拦截后突破传球，哈维-托雷斯25码处劲射被卡西利亚斯扑出
80'拉莫斯前场拿球过顶斜传找C罗，可惜被赫塔菲球员拦截                   77'第77分钟，迭戈-卡斯特罗前场拦截后突破传球，哈维-托雷斯25码处劲射被卡西利亚斯扑出
81'比赛已经来到了80分钟，比分2-1赫塔菲领先                   81'第81分钟，厄齐尔传球，莫拉塔20码处劲射高出
82'再这之前皇马进行了第三次人员调整，莫卡塔登场                   81'第81分钟，厄齐尔传球，莫拉塔20码处劲射高出
82'皇马现在是全力进攻了                   81'第81分钟，厄齐尔传球，莫拉塔20码处劲射高出
83'迪马利亚右边路的传中被赫塔菲球员解围                   81'第81分钟，厄齐尔传球，莫拉塔20码处劲射高出
83'赫塔菲反击，拉莫斯中场的战术犯规，将巴拉达拉倒在地                   81'第81分钟，厄齐尔传球，莫拉塔20码处劲射高出
86'赫塔菲再次换人：5号拉岑换下19号巴拉达                   86'第86分钟，拉莫斯头球解围失误，拉菲塔突入禁区右侧，但阿隆索及时回防铲断
86'莫卡塔之前换下的是迪马利亚                   86'第86分钟，拉莫斯头球解围失误，拉菲塔突入禁区右侧，但阿隆索及时回防铲断
86'赫塔菲过顶到前场，拉莫斯上抢失误                   86'第86分钟，拉莫斯头球解围失误，拉菲塔突入禁区右侧，但阿隆索及时回防铲断
87'科伦加拿球进入禁区，面对补防球员横传中路                   86'第86分钟，拉莫斯头球解围失误，拉菲塔突入禁区右侧，但阿隆索及时回防铲断
87'拉莫斯回防将球挡出了底线                   86'第86分钟，拉莫斯头球解围失误，拉菲塔突入禁区右侧，但阿隆索及时回防铲断
88'这个球也是让替补席的魔力鸟和助教很失望                   86'第86分钟，拉莫斯头球解围失误，拉菲塔突入禁区右侧，但阿隆索及时回防铲断
88'赫塔菲获得右侧角球机会                   86'第86分钟，拉莫斯头球解围失误，拉菲塔突入禁区右侧，但阿隆索及时回防铲断
88'角球开出，洛波头球攻门顶偏                   86'第86分钟，拉莫斯头球解围失误，拉菲塔突入禁区右侧，但阿隆索及时回防铲断
88'下半场比赛也已经接近尾声了，皇马目前还是1-2落后赫塔菲                   86'第86分钟，拉莫斯头球解围失误，拉菲塔突入禁区右侧，但阿隆索及时回防铲断
89'皇马右边路起球到禁区，拉莫斯力压瓦勒拉高高跃起的争顶被吹罚压人犯规                   86'第86分钟，拉莫斯头球解围失误，拉菲塔突入禁区右侧，但阿隆索及时回防铲断
91'下半场补时4分钟                   91'第91分钟，本泽马传球，厄齐尔突入禁区左侧又被哈维-托雷斯铲断
91'厄齐尔禁区外直传给到本泽马                   91'第91分钟，本泽马传球，厄齐尔突入禁区左侧又被哈维-托雷斯铲断
91'本泽马拿球面对对手的拦截一脚打门，踢偏啦                   91'第91分钟，本泽马传球，厄齐尔突入禁区左侧又被哈维-托雷斯铲断
92'厄齐尔左路的回追防守，身后撞倒了科伦加                   91'第91分钟，本泽马传球，厄齐尔突入禁区左侧又被哈维-托雷斯铲断
93'皇马替补席对这个判罚不满，科恩特朗被直接出示红牌罚出场                   91'第91分钟，本泽马传球，厄齐尔突入禁区左侧又被哈维-托雷斯铲断
93'科恩特朗这。。。不上场都要拿红牌啊                   91'第91分钟，本泽马传球，厄齐尔突入禁区左侧又被哈维-托雷斯铲断
93'赫塔菲后场传球失误，阿隆索抢断                   91'第91分钟，本泽马传球，厄齐尔突入禁区左侧又被哈维-托雷斯铲断
94'阿隆索拿球进攻，赫塔菲球员从身后拉着阿隆索的短裤不放，犯规                   91'第91分钟，本泽马传球，厄齐尔突入禁区左侧又被哈维-托雷斯铲断
94'皇马前场任意球机会                   91'第91分钟，本泽马传球，厄齐尔突入禁区左侧又被哈维-托雷斯铲断
94'任意球开到禁区，莫亚出击直接将球没收                   91'第91分钟，本泽马传球，厄齐尔突入禁区左侧又被哈维-托雷斯铲断
