1'上半场比赛开始                   1'第1分钟，主场作战的都灵与尤文对攻
54'博努奇中场拼抢犯规                   54'布冯终结9场都灵德比不失球，也是他686分钟正式比赛首粒失球，上次失球是3月25日对阵罗马(4月11日0比1负帕尔马是斯托拉里守门)
55'达米安禁区内抢球犯规了                   54'布冯终结9场都灵德比不失球，也是他686分钟正式比赛首粒失球，上次失球是3月25日对阵罗马(4月11日0比1负帕尔马是斯托拉里守门)
55'尤文后场定位球                   54'布冯终结9场都灵德比不失球，也是他686分钟正式比赛首粒失球，上次失球是3月25日对阵罗马(4月11日0比1负帕尔马是斯托拉里守门)
56'皮尔洛给到左路，奥邦纳回传                   54'布冯终结9场都灵德比不失球，也是他686分钟正式比赛首粒失球，上次失球是3月25日对阵罗马(4月11日0比1负帕尔马是斯托拉里守门)
56'尤文右路拿球，传球被断了                   54'布冯终结9场都灵德比不失球，也是他686分钟正式比赛首粒失球，上次失球是3月25日对阵罗马(4月11日0比1负帕尔马是斯托拉里守门)
56'都灵大脚开到前场，尤文继续控球                   54'布冯终结9场都灵德比不失球，也是他686分钟正式比赛首粒失球，上次失球是3月25日对阵罗马(4月11日0比1负帕尔马是斯托拉里守门)
57'反超了                   54'布冯终结9场都灵德比不失球，也是他686分钟正式比赛首粒失球，上次失球是3月25日对阵罗马(4月11日0比1负帕尔马是斯托拉里守门)
57'反超了                   57'第57分钟，卡杜里突入禁区左侧塞球，达米安传中，夸利亚雷拉抢在奥邦纳身前，距门5米处推入近角，2比1
58'卡杜里突破分球，达米安左路给到门前，夸利亚雷拉跟进打门，布冯扑救不及，球进                   57'第57分钟，卡杜里突入禁区左侧塞球，达米安传中，夸利亚雷拉抢在奥邦纳身前，距门5米处推入近角，2比1
58'在进球之后，夸利亚雷拉似乎受伤了                   57'第57分钟，卡杜里突入禁区左侧塞球，达米安传中，夸利亚雷拉抢在奥邦纳身前，距门5米处推入近角，2比1
58'看看还能不能坚持比赛                   57'第57分钟，卡杜里突入禁区左侧塞球，达米安传中，夸利亚雷拉抢在奥邦纳身前，距门5米处推入近角，2比1
59'佩雷拉挑传被解围了                   57'第57分钟，卡杜里突入禁区左侧塞球，达米安传中，夸利亚雷拉抢在奥邦纳身前，距门5米处推入近角，2比1
60'加齐铲倒了斯图若多得到一张黄牌                   57'第57分钟，卡杜里突入禁区左侧塞球，达米安传中，夸利亚雷拉抢在奥邦纳身前，距门5米处推入近角，2比1
60'皮尔洛任意球打到禁区，被门将拿到了                   57'第57分钟，卡杜里突入禁区左侧塞球，达米安传中，夸利亚雷拉抢在奥邦纳身前，距门5米处推入近角，2比1
60'都灵反击，佩雷斯传球被挡出边线                   57'第57分钟，卡杜里突入禁区左侧塞球，达米安传中，夸利亚雷拉抢在奥邦纳身前，距门5米处推入近角，2比1
70'佩雷拉外脚背传球，比达尔禁区内头球攻门，偏了                   70'第70分钟，佩雷拉右路斜传，比达尔在门前8米处甩头顶门稍偏出右门角，他遗憾地趴在草皮上
70'裁判给莫雷蒂补了一张黄牌                   70'第70分钟，佩雷拉右路斜传，比达尔在门前8米处甩头顶门稍偏出右门角，他遗憾地趴在草皮上
71'都灵换人，维维斯上场换下贝纳希                   70'第70分钟，佩雷拉右路斜传，比达尔在门前8米处甩头顶门稍偏出右门角，他遗憾地趴在草皮上
73'斯图若多犯规                   70'第70分钟，佩雷拉右路斜传，比达尔在门前8米处甩头顶门稍偏出右门角，他遗憾地趴在草皮上
73'都灵获得前场定位球                   70'第70分钟，佩雷拉右路斜传，比达尔在门前8米处甩头顶门稍偏出右门角，他遗憾地趴在草皮上
73'佩雷斯开到禁区，队友头球顶回中路，第二点被解围了                   70'第70分钟，佩雷拉右路斜传，比达尔在门前8米处甩头顶门稍偏出右门角，他遗憾地趴在草皮上
80'都灵的进球被吹了越位了                   80'第80分钟，卡杜里禁区左侧挑传，夸利亚雷拉后点凌空勾射，马丁内斯左门柱边顶进空门，但被判越位
81'尤文这边，斯图若多的传球打在立柱上                   80'第80分钟，卡杜里禁区左侧挑传，夸利亚雷拉后点凌空勾射，马丁内斯左门柱边顶进空门，但被判越位
81'佩佩禁区跟进射门，冲撞了门将                   80'第80分钟，卡杜里禁区左侧挑传，夸利亚雷拉后点凌空勾射，马丁内斯左门柱边顶进空门，但被判越位
82'都灵换人，莫利纳罗上场替下达米安                   80'第80分钟，卡杜里禁区左侧挑传，夸利亚雷拉后点凌空勾射，马丁内斯左门柱边顶进空门，但被判越位
82'皮尔洛传球，后点跟进的队友头球攻门，被挡出了                   80'第80分钟，卡杜里禁区左侧挑传，夸利亚雷拉后点凌空勾射，马丁内斯左门柱边顶进空门，但被判越位
83'比达尔的头球攻门                   80'第80分钟，卡杜里禁区左侧挑传，夸利亚雷拉后点凌空勾射，马丁内斯左门柱边顶进空门，但被判越位
83'皮尔洛外围的直接打门，偏出左侧立柱                   80'第80分钟，卡杜里禁区左侧挑传，夸利亚雷拉后点凌空勾射，马丁内斯左门柱边顶进空门，但被判越位
83'莫雷蒂痛苦的倒在了场地上                   80'第80分钟，卡杜里禁区左侧挑传，夸利亚雷拉后点凌空勾射，马丁内斯左门柱边顶进空门，但被判越位
82'都灵换人，莫利纳罗上场替下达米安                   82'第82分钟，皮尔洛送出妙传，斯图拉罗小角度左侧头球被帕代利封出近角
82'皮尔洛传球，后点跟进的队友头球攻门，被挡出了                   82'第82分钟，皮尔洛送出妙传，斯图拉罗小角度左侧头球被帕代利封出近角
83'比达尔的头球攻门                   82'第82分钟，皮尔洛送出妙传，斯图拉罗小角度左侧头球被帕代利封出近角
83'皮尔洛外围的直接打门，偏出左侧立柱                   82'第82分钟，皮尔洛送出妙传，斯图拉罗小角度左侧头球被帕代利封出近角
83'莫雷蒂痛苦的倒在了场地上                   82'第82分钟，皮尔洛送出妙传，斯图拉罗小角度左侧头球被帕代利封出近角
84'到场边接受治疗                   82'第82分钟，皮尔洛送出妙传，斯图拉罗小角度左侧头球被帕代利封出近角
85'帕德利大脚开到前场，奥邦纳顶到了马丁内斯的头上                   82'第82分钟，皮尔洛送出妙传，斯图拉罗小角度左侧头球被帕代利封出近角
85'尤文换人，略伦特上场替下帕多因                   82'第82分钟，皮尔洛送出妙传，斯图拉罗小角度左侧头球被帕代利封出近角
