1'上半场比赛开始！！                   1'曼城第1分钟积极施压，费尔南迪尼奥远射偏出
43'这球角度已经很小了                   42'曼城第42分钟打破僵局，席尔瓦分球，斯特林禁区右侧传中，阿圭罗前点近距离推射入网
43'这球估计只有阿圭罗能做到                   42'曼城第42分钟打破僵局，席尔瓦分球，斯特林禁区右侧传中，阿圭罗前点近距离推射入网
44'席尔瓦边路拿球被侵犯                   42'曼城第42分钟打破僵局，席尔瓦分球，斯特林禁区右侧传中，阿圭罗前点近距离推射入网
44'裁判并没有吹犯规                   42'曼城第42分钟打破僵局，席尔瓦分球，斯特林禁区右侧传中，阿圭罗前点近距离推射入网
45'桑德兰斜传球到身后                   42'曼城第42分钟打破僵局，席尔瓦分球，斯特林禁区右侧传中，阿圭罗前点近距离推射入网
45'萨内利用身体将对方撞开                   42'曼城第42分钟打破僵局，席尔瓦分球，斯特林禁区右侧传中，阿圭罗前点近距离推射入网
45'桑德兰边路也是没有拿到球                   42'曼城第42分钟打破僵局，席尔瓦分球，斯特林禁区右侧传中，阿圭罗前点近距离推射入网
45'阿圭罗左路拿球内切                   42'曼城第42分钟打破僵局，席尔瓦分球，斯特林禁区右侧传中，阿圭罗前点近距离推射入网
59'萨内！！                   59'曼城第59分钟扩大比分，席尔瓦送出直传，萨内禁区左侧甩开比利-琼斯低射远角入网，2-0
59'席尔瓦前场拿球送直塞到禁区，萨内前插跟进后小禁区附近推射远角，球击中立柱内侧入网！！                   59'曼城第59分钟扩大比分，席尔瓦送出直传，萨内禁区左侧甩开比利-琼斯低射远角入网，2-0
60'桑德兰这边获得角球机会                   59'曼城第59分钟扩大比分，席尔瓦送出直传，萨内禁区左侧甩开比利-琼斯低射远角入网，2-0
60'角球送中路                   59'曼城第59分钟扩大比分，席尔瓦送出直传，萨内禁区左侧甩开比利-琼斯低射远角入网，2-0
60'头球攻门蹭了一下                   59'曼城第59分钟扩大比分，席尔瓦送出直传，萨内禁区左侧甩开比利-琼斯低射远角入网，2-0
61'球经过反弹后被卡巴列罗得到                   59'曼城第59分钟扩大比分，席尔瓦送出直传，萨内禁区左侧甩开比利-琼斯低射远角入网，2-0
62'亚亚-图雷前场送直塞                   59'曼城第59分钟扩大比分，席尔瓦送出直传，萨内禁区左侧甩开比利-琼斯低射远角入网，2-0
62'阿圭罗这边没有跑                   59'曼城第59分钟扩大比分，席尔瓦送出直传，萨内禁区左侧甩开比利-琼斯低射远角入网，2-0
83'桑德兰这边有角球机会                   83'第83分钟，科内角球混战中头球摆渡，迪福头球接力破门因越位在先被判无效
83'角球送前点                   83'第83分钟，科内角球混战中头球摆渡，迪福头球接力破门因越位在先被判无效
83'这次威胁并不大                   83'第83分钟，科内角球混战中头球摆渡，迪福头球接力破门因越位在先被判无效
84'桑德兰这边继续角球机会                   83'第83分钟，科内角球混战中头球摆渡，迪福头球接力破门因越位在先被判无效
84'角球送中路                   83'第83分钟，科内角球混战中头球摆渡，迪福头球接力破门因越位在先被判无效
84'队友头球摆渡下来                   83'第83分钟，科内角球混战中头球摆渡，迪福头球接力破门因越位在先被判无效
84'迪福头球接力将球打进                   83'第83分钟，科内角球混战中头球摆渡，迪福头球接力破门因越位在先被判无效
84'但是先越位了                   83'第83分钟，科内角球混战中头球摆渡，迪福头球接力破门因越位在先被判无效
84'曼城这边反击的机会                   83'第83分钟，科内角球混战中头球摆渡，迪福头球接力破门因越位在先被判无效
84'前场送直塞                   83'第83分钟，科内角球混战中头球摆渡，迪福头球接力破门因越位在先被判无效
84'阿圭罗跟进后不做调整                   83'第83分钟，科内角球混战中头球摆渡，迪福头球接力破门因越位在先被判无效
84'直接打近角                   83'第83分钟，科内角球混战中头球摆渡，迪福头球接力破门因越位在先被判无效
85'皮克福德稳稳的将球压在身下                   83'第83分钟，科内角球混战中头球摆渡，迪福头球接力破门因越位在先被判无效
86'德布劳内禁区外围也来一脚                   83'第83分钟，科内角球混战中头球摆渡，迪福头球接力破门因越位在先被判无效
86'稍稍打高                   83'第83分钟，科内角球混战中头球摆渡，迪福头球接力破门因越位在先被判无效
