1'上半场比赛开始！                   1'开场仅1分钟，贵州人和组织进攻，汉克直接远射偏出
27'米西莫维奇任意球直接打门，这球被颜骏凌压在身下                   27'第27分钟，贵州人和获得任意球，米西莫维奇未听哨快速发出，被主裁判黄牌警告
27'上港右路获得任意球机会                   27'第27分钟，贵州人和获得任意球，米西莫维奇未听哨快速发出，被主裁判黄牌警告
27'任意球送禁区内，人和球员最后将球碰出了底线                   27'第27分钟，贵州人和获得任意球，米西莫维奇未听哨快速发出，被主裁判黄牌警告
28'上港角球机会                   27'第27分钟，贵州人和获得任意球，米西莫维奇未听哨快速发出，被主裁判黄牌警告
28'角球送前点，汉克头球解围                   27'第27分钟，贵州人和获得任意球，米西莫维奇未听哨快速发出，被主裁判黄牌警告
28'禁区外围，李春郁争抢头球的时候犯规                   27'第27分钟，贵州人和获得任意球，米西莫维奇未听哨快速发出，被主裁判黄牌警告
29'海森任意球直接打门                   27'第27分钟，贵州人和获得任意球，米西莫维奇未听哨快速发出，被主裁判黄牌警告
30'盛鹏飞身将球扑出底线                   27'第27分钟，贵州人和获得任意球，米西莫维奇未听哨快速发出，被主裁判黄牌警告
29'海森任意球直接打门                   29'第29分钟，上海上港获得任意球，海森弧线球射近角，盛鹏飞身将球挡出底线
30'盛鹏飞身将球扑出底线                   29'第29分钟，上海上港获得任意球，海森弧线球射近角，盛鹏飞身将球挡出底线
31'上港角球送后点，盛鹏将球击了一下                   29'第29分钟，上海上港获得任意球，海森弧线球射近角，盛鹏飞身将球挡出底线
32'上港中场断球直接发动反击                   29'第29分钟，上海上港获得任意球，海森弧线球射近角，盛鹏飞身将球挡出底线
32'左边路传球送禁区内                   29'第29分钟，上海上港获得任意球，海森弧线球射近角，盛鹏飞身将球挡出底线
32'结果人和的补防没有踢上                   29'第29分钟，上海上港获得任意球，海森弧线球射近角，盛鹏飞身将球挡出底线
32'这也间接的晃了一下后点包抄的上港球员                   29'第29分钟，上海上港获得任意球，海森弧线球射近角，盛鹏飞身将球挡出底线
37'经过队医的检查似乎不能在继续了                   37'比赛进行到第37分钟，上海上港小将林创益受伤无法坚持比赛，朱峥嵘替补登场
37'上港换人，林创益下，朱峥嵘上！                   37'比赛进行到第37分钟，上海上港小将林创益受伤无法坚持比赛，朱峥嵘替补登场
38'上港右路起球被挡                   37'比赛进行到第37分钟，上海上港小将林创益受伤无法坚持比赛，朱峥嵘替补登场
39'人和中场拿球往前推进                   37'比赛进行到第37分钟，上海上港小将林创益受伤无法坚持比赛，朱峥嵘替补登场
39'分球给到边路                   37'比赛进行到第37分钟，上海上港小将林创益受伤无法坚持比赛，朱峥嵘替补登场
39'再传回来这球被解围了                   37'比赛进行到第37分钟，上海上港小将林创益受伤无法坚持比赛，朱峥嵘替补登场
39'上港这边中场控球转到边路                   37'比赛进行到第37分钟，上海上港小将林创益受伤无法坚持比赛，朱峥嵘替补登场
40'朱炯之前被停赛几场？[qiangda]                   37'比赛进行到第37分钟，上海上港小将林创益受伤无法坚持比赛，朱峥嵘替补登场
40'上港这边机会啊，拼速度                   37'比赛进行到第37分钟，上海上港小将林创益受伤无法坚持比赛，朱峥嵘替补登场
40'禁区内底线传球最后裁判给了人和门球                   37'比赛进行到第37分钟，上海上港小将林创益受伤无法坚持比赛，朱峥嵘替补登场
47'米西莫维奇角球开出                   47'第47分钟，上海上港角球传入禁区，王龀头球高出横梁
47'伊班前点头球解围出来                   47'第47分钟，上海上港角球传入禁区，王龀头球高出横梁
47'角球开出，落点不好                   47'第47分钟，上海上港角球传入禁区，王龀头球高出横梁
47'上港左路起球                   47'第47分钟，上海上港角球传入禁区，王龀头球高出横梁
47'这球自己没有掌控好                   47'第47分钟，上海上港角球传入禁区，王龀头球高出横梁
47'直接出了底线                   47'第47分钟，上海上港角球传入禁区，王龀头球高出横梁
48'人和前场送直塞没有过去                   47'第47分钟，上海上港角球传入禁区，王龀头球高出横梁
50'上港中场断球                   47'第47分钟，上海上港角球传入禁区，王龀头球高出横梁
50'横向的转移被人和队解围                   47'第47分钟，上海上港角球传入禁区，王龀头球高出横梁
50'上港重新拿回球权                   47'第47分钟，上海上港角球传入禁区，王龀头球高出横梁
50'左路的传球给到中路                   47'第47分钟，上海上港角球传入禁区，王龀头球高出横梁
50'挑传送禁区内                   47'第47分钟，上海上港角球传入禁区，王龀头球高出横梁
50'这球没有进去                   47'第47分钟，上海上港角球传入禁区，王龀头球高出横梁
50'禁区线上，武磊远射将球打高                   47'第47分钟，上海上港角球传入禁区，王龀头球高出横梁
58'于海挑传送禁区内                   58'第58分钟，汉克禁区前做球，于海插上横扫门前，吴禹寅头球解围差点乌龙
58'汉克胸部停球下来给到右路                   58'第58分钟，汉克禁区前做球，于海插上横扫门前，吴禹寅头球解围差点乌龙
58'边路的起球被吴禹寅头球解围出底线                   58'第58分钟，汉克禁区前做球，于海插上横扫门前，吴禹寅头球解围差点乌龙
58'人和角球开出送禁区边缘                   58'第58分钟，汉克禁区前做球，于海插上横扫门前，吴禹寅头球解围差点乌龙
58'队友直接侧身凌空打门将球打高                   58'第58分钟，汉克禁区前做球，于海插上横扫门前，吴禹寅头球解围差点乌龙
60'人和后场断球直接长传                   58'第58分钟，汉克禁区前做球，于海插上横扫门前，吴禹寅头球解围差点乌龙
61'汉克拿球没有拿好，球又回到了上港这边                   58'第58分钟，汉克禁区前做球，于海插上横扫门前，吴禹寅头球解围差点乌龙
61'上港这边获得角球机会                   58'第58分钟，汉克禁区前做球，于海插上横扫门前，吴禹寅头球解围差点乌龙
70'这脚任意球还是很有威胁的                   70'第70分钟，贵州人和获得位置不错任意球，米西莫维奇直接弧线球打门，球擦着立柱偏出
70'质量很高                   70'第70分钟，贵州人和获得位置不错任意球，米西莫维奇直接弧线球打门，球擦着立柱偏出
70'海森传球给到武磊                   70'第70分钟，贵州人和获得位置不错任意球，米西莫维奇直接弧线球打门，球擦着立柱偏出
70'武磊这下停球有些大                   70'第70分钟，贵州人和获得位置不错任意球，米西莫维奇直接弧线球打门，球擦着立柱偏出
71'上港还能扳平比分吗？[qiangda]                   70'第70分钟，贵州人和获得位置不错任意球，米西莫维奇直接弧线球打门，球擦着立柱偏出
72'马辛斯基边路接球的时候越位了                   70'第70分钟，贵州人和获得位置不错任意球，米西莫维奇直接弧线球打门，球擦着立柱偏出
79'现场的雨也是越下越大                   79'第79分钟，上海上港扳平比分
79'上港这边进球了！！                   79'第79分钟，上海上港扳平比分
80'海森！！                   79'第79分钟，上海上港扳平比分
80'上港传球到禁区内，武磊禁区内推射被门将扑了一下，海森跟进补射将球打进！                   79'第79分钟，上海上港扳平比分
82'现在两队都有可能上演绝杀                   79'第79分钟，上海上港扳平比分
82'上港吊射被门将得到                   79'第79分钟，上海上港扳平比分
