2'利物浦获得前场中路的任意球机会                   2'米尔纳开场仅2分钟就对杰罗姆犯规被罚黄牌
63'诺维奇角球开出到禁区，米尼奥莱出击单拳一打，没打远，弹在马丁头上，马丁接着再凌空一脚挑射，打进空门！！！                   61'诺维奇第61分钟扳平，米尼奥莱防守角球时出击勉强扑出皮球，拉塞尔-马丁11码处外脚背凌空弹射吊过米尼奥莱入网，1-1
63'这也是双方目前为止全场唯一一次角球，诺维奇就破门了，不过这球诺维奇得感谢米尼奥莱                   61'诺维奇第61分钟扳平，米尼奥莱防守角球时出击勉强扑出皮球，拉塞尔-马丁11码处外脚背凌空弹射吊过米尼奥莱入网，1-1
64'失球后利物浦做出换人：20号拉拉纳上，换下15号斯图里奇                   61'诺维奇第61分钟扳平，米尼奥莱防守角球时出击勉强扑出皮球，拉塞尔-马丁11码处外脚背凌空弹射吊过米尼奥莱入网，1-1
65'诺维奇的反击，多朗斯禁区内的推射，被米尼奥莱倒地封堵                   65'诺维奇第65分钟险些反超，雷蒙德右路低传，斯科特尔拦截落空，贾维斯小禁区边缘推射被米尼奥莱神勇救下
65'这球米尼奥莱立功了，多朗斯基本是个单刀球                   65'诺维奇第65分钟险些反超，雷蒙德右路低传，斯科特尔拦截落空，贾维斯小禁区边缘推射被米尼奥莱神勇救下
65'利物浦前场进攻，赢得左侧角球机会                   65'诺维奇第65分钟险些反超，雷蒙德右路低传，斯科特尔拦截落空，贾维斯小禁区边缘推射被米尼奥莱神勇救下
66'这是利物浦本场比赛的第一次角球机会                   65'诺维奇第65分钟险些反超，雷蒙德右路低传，斯科特尔拦截落空，贾维斯小禁区边缘推射被米尼奥莱神勇救下
66'角球开出到前点，马丁头球解围出底线，继续角球                   65'诺维奇第65分钟险些反超，雷蒙德右路低传，斯科特尔拦截落空，贾维斯小禁区边缘推射被米尼奥莱神勇救下
66'作为后卫，马丁目前是诺维奇的头号射门，打进了3球！！！                   65'诺维奇第65分钟险些反超，雷蒙德右路低传，斯科特尔拦截落空，贾维斯小禁区边缘推射被米尼奥莱神勇救下
67'利物浦左侧角球再次开出，这次没能形成威胁                   65'诺维奇第65分钟险些反超，雷蒙德右路低传，斯科特尔拦截落空，贾维斯小禁区边缘推射被米尼奥莱神勇救下
68'英斯前场背身拿球，可惜没能控制好，脚下打滑，摔倒了                   65'诺维奇第65分钟险些反超，雷蒙德右路低传，斯科特尔拦截落空，贾维斯小禁区边缘推射被米尼奥莱神勇救下
68'诺维奇的反击，贾维斯前场左路拿球，想利用速度强吃埃姆雷-詹                   65'诺维奇第65分钟险些反超，雷蒙德右路低传，斯科特尔拦截落空，贾维斯小禁区边缘推射被米尼奥莱神勇救下
79'利物浦前场再攻，库蒂尼奥禁区外的远射，打在防守球员身上出界                   79'利物浦第79分钟错失良机，米尔纳反击中直传，库蒂尼奥10码处单刀射门又被鲁迪扑出
79'利物浦右侧角球，开出到禁区，直接被拉迪没收                   79'利物浦第79分钟错失良机，米尔纳反击中直传，库蒂尼奥10码处单刀射门又被鲁迪扑出
80'拉拉纳左路拿球，强突到禁区                   79'利物浦第79分钟错失良机，米尔纳反击中直传，库蒂尼奥10码处单刀射门又被鲁迪扑出
80'遭遇三人夹击，球被后卫出脚碰了一下                   79'利物浦第79分钟错失良机，米尔纳反击中直传，库蒂尼奥10码处单刀射门又被鲁迪扑出
80'球到了英斯脚下，英斯面对拉迪，自己一趟，可惜趟大了，出底线                   79'利物浦第79分钟错失良机，米尔纳反击中直传，库蒂尼奥10码处单刀射门又被鲁迪扑出
