3'张伯伦掷界外球                   3'开场仅3分钟，弗莱彻传球，赫塞闪过穆斯塔菲防守后禁区左侧的射门被切赫救出
67'这球维尔贝克打门脚尖没有捅到球，是用鞋底打门的                   67'阿森纳第67分钟险些扳平，吉鲁直传，维尔贝克甩开2名后卫单刀低射被巴特兰德神勇救出
68'扎卡发出角球被肖克罗斯头球解围                   67'阿森纳第67分钟险些扳平，吉鲁直传，维尔贝克甩开2名后卫单刀低射被巴特兰德神勇救出
68'贝莱林长传禁区，吉鲁挑球后打门打在祖玛身上                   67'阿森纳第67分钟险些扳平，吉鲁直传，维尔贝克甩开2名后卫单刀低射被巴特兰德神勇救出
69'镜头给到了温格                   67'阿森纳第67分钟险些扳平，吉鲁直传，维尔贝克甩开2名后卫单刀低射被巴特兰德神勇救出
69'卡梅隆掷左侧的界外球                   67'阿森纳第67分钟险些扳平，吉鲁直传，维尔贝克甩开2名后卫单刀低射被巴特兰德神勇救出
69'厄齐尔接应，转移给了蒙雷亚尔                   67'阿森纳第67分钟险些扳平，吉鲁直传，维尔贝克甩开2名后卫单刀低射被巴特兰德神勇救出
70'再交给贝莱林，交给厄齐尔                   67'阿森纳第67分钟险些扳平，吉鲁直传，维尔贝克甩开2名后卫单刀低射被巴特兰德神勇救出
70'直传，张伯伦下底传中，拉卡泽特停球打门被封出                   67'阿森纳第67分钟险些扳平，吉鲁直传，维尔贝克甩开2名后卫单刀低射被巴特兰德神勇救出
70'外围厄齐尔远射打偏                   67'阿森纳第67分钟险些扳平，吉鲁直传，维尔贝克甩开2名后卫单刀低射被巴特兰德神勇救出
72'厄齐尔带球，挑传，维尔贝克拿球                   72'第72分钟，吉鲁直传，拉卡泽特进球因越位在先被判无效
72'没有转身机会                   72'第72分钟，吉鲁直传，拉卡泽特进球因越位在先被判无效
73'维尔贝克直传禁区，拉卡泽特左脚抽射挂网，但被判越位                   72'第72分钟，吉鲁直传，拉卡泽特进球因越位在先被判无效
73'不过慢镜来看极有可能是一个误判                   72'第72分钟，吉鲁直传，拉卡泽特进球因越位在先被判无效
73'扎卡直传，维尔贝克回给厄齐尔                   72'第72分钟，吉鲁直传，拉卡泽特进球因越位在先被判无效
73'拉姆塞中路接应，拉卡泽特回做一下                   72'第72分钟，吉鲁直传，拉卡泽特进球因越位在先被判无效
74'拉姆塞再来了，护球，被贝拉希诺踢倒                   72'第72分钟，吉鲁直传，拉卡泽特进球因越位在先被判无效
75'拉卡泽特右路下底传中，球击中了皮特尔斯的脸部出底线                   72'第72分钟，吉鲁直传，拉卡泽特进球因越位在先被判无效
