4'富力获得前场中路的任意球机会                   4'今天主队上来攻势凶猛，第4分钟卢琳禁区右路怒射，皮球打在金周荣腿上弹出界外
7'这是富力开场获得的第三个角球机会                   7'第7分钟博基拉右路传中，张远和金周荣争顶时头球顶偏，张远争顶的时候鼻子撞到金周荣脑袋上，结果他的鼻梁流血不止，短暂治疗后，张远鼻孔堵着棉球坚持作战
7'汪嵩角球开出到后点，王燊超头球解围出边线                   7'第7分钟博基拉右路传中，张远和金周荣争顶时头球顶偏，张远争顶的时候鼻子撞到金周荣脑袋上，结果他的鼻梁流血不止，短暂治疗后，张远鼻孔堵着棉球坚持作战
8'张耀坤后场拿球，直塞给到张远                   7'第7分钟博基拉右路传中，张远和金周荣争顶时头球顶偏，张远争顶的时候鼻子撞到金周荣脑袋上，结果他的鼻梁流血不止，短暂治疗后，张远鼻孔堵着棉球坚持作战
8'张远背身拿球，转身分边给到右侧的唐淼                   7'第7分钟博基拉右路传中，张远和金周荣争顶时头球顶偏，张远争顶的时候鼻子撞到金周荣脑袋上，结果他的鼻梁流血不止，短暂治疗后，张远鼻孔堵着棉球坚持作战
9'唐淼再分博基拉，博基拉停球一扣，内切起脚到禁区                   7'第7分钟博基拉右路传中，张远和金周荣争顶时头球顶偏，张远争顶的时候鼻子撞到金周荣脑袋上，结果他的鼻梁流血不止，短暂治疗后，张远鼻孔堵着棉球坚持作战
9'张远插上头球攻门，顶偏                   7'第7分钟博基拉右路传中，张远和金周荣争顶时头球顶偏，张远争顶的时候鼻子撞到金周荣脑袋上，结果他的鼻梁流血不止，短暂治疗后，张远鼻孔堵着棉球坚持作战
10'张远争顶时鼻梁碰在了回防的达维后脑上，鼻子出血啦                   7'第7分钟博基拉右路传中，张远和金周荣争顶时头球顶偏，张远争顶的时候鼻子撞到金周荣脑袋上，结果他的鼻梁流血不止，短暂治疗后，张远鼻孔堵着棉球坚持作战
10'张远出场接受治疗，上港的门球                   7'第7分钟博基拉右路传中，张远和金周荣争顶时头球顶偏，张远争顶的时候鼻子撞到金周荣脑袋上，结果他的鼻梁流血不止，短暂治疗后，张远鼻孔堵着棉球坚持作战
10'孔卡中场拿球，斜传给到于海                   7'第7分钟博基拉右路传中，张远和金周荣争顶时头球顶偏，张远争顶的时候鼻子撞到金周荣脑袋上，结果他的鼻梁流血不止，短暂治疗后，张远鼻孔堵着棉球坚持作战
12'上港后场直塞给到孔卡，孔卡停球一扣，摆脱上抢的汪嵩，禁区外直接起脚远射，球在刘殿座前弹地滚进球门！！！                   12'第12分钟埃弗拉左路带球杀入禁区，富力金洋洋虽然有控球权，但他的回身解围太轻，身型灵活的埃弗拉重新抢下球后传中，于海头球打在唐淼身上弹出，姜至鹏最后大脚解围
13'张耀坤后场拿球，过顶长传找张贤秀                   12'第12分钟埃弗拉左路带球杀入禁区，富力金洋洋虽然有控球权，但他的回身解围太轻，身型灵活的埃弗拉重新抢下球后传中，于海头球打在唐淼身上弹出，姜至鹏最后大脚解围
13'可惜没能越过王燊超的头顶，被拦截啦                   12'第12分钟埃弗拉左路带球杀入禁区，富力金洋洋虽然有控球权，但他的回身解围太轻，身型灵活的埃弗拉重新抢下球后传中，于海头球打在唐淼身上弹出，姜至鹏最后大脚解围
13'上港的反击，埃弗拉左路拿球，强突禁区                   12'第12分钟埃弗拉左路带球杀入禁区，富力金洋洋虽然有控球权，但他的回身解围太轻，身型灵活的埃弗拉重新抢下球后传中，于海头球打在唐淼身上弹出，姜至鹏最后大脚解围
14'埃弗拉摆脱防守，起脚打门，被金洋洋挡出                   12'第12分钟埃弗拉左路带球杀入禁区，富力金洋洋虽然有控球权，但他的回身解围太轻，身型灵活的埃弗拉重新抢下球后传中，于海头球打在唐淼身上弹出，姜至鹏最后大脚解围
14'上港中场抢断，过顶球给到左前场的埃弗拉                   12'第12分钟埃弗拉左路带球杀入禁区，富力金洋洋虽然有控球权，但他的回身解围太轻，身型灵活的埃弗拉重新抢下球后传中，于海头球打在唐淼身上弹出，姜至鹏最后大脚解围
15'埃弗拉拿球下底，横传门前，金洋洋回防解围出底线                   12'第12分钟埃弗拉左路带球杀入禁区，富力金洋洋虽然有控球权，但他的回身解围太轻，身型灵活的埃弗拉重新抢下球后传中，于海头球打在唐淼身上弹出，姜至鹏最后大脚解围
15'上港获得左侧角球机会，孔卡主罚                   12'第12分钟埃弗拉左路带球杀入禁区，富力金洋洋虽然有控球权，但他的回身解围太轻，身型灵活的埃弗拉重新抢下球后传中，于海头球打在唐淼身上弹出，姜至鹏最后大脚解围
15'孔卡角球开出到后点，姜宁头球解围                   12'第12分钟埃弗拉左路带球杀入禁区，富力金洋洋虽然有控球权，但他的回身解围太轻，身型灵活的埃弗拉重新抢下球后传中，于海头球打在唐淼身上弹出，姜至鹏最后大脚解围
15'富力的反击，汪嵩拿球过顶长传找博基拉                   12'第12分钟埃弗拉左路带球杀入禁区，富力金洋洋虽然有控球权，但他的回身解围太轻，身型灵活的埃弗拉重新抢下球后传中，于海头球打在唐淼身上弹出，姜至鹏最后大脚解围
23'张远右路拿球强突，孙祥回防，放铲将球解围出边线                   23'第23分钟张远主动走到场外，表示自己无法再坚持，阿隆紧急把张远换下
24'博基拉前场背身拿球，转身强突摔倒在地，裁判李俊并未理会                   23'第23分钟张远主动走到场外，表示自己无法再坚持，阿隆紧急把张远换下
24'球被上港球员控制，孙祥拿球，直塞给到武磊                   23'第23分钟张远主动走到场外，表示自己无法再坚持，阿隆紧急把张远换下
24'武磊想和孔卡做个踢墙配合，可惜孔卡的传球没能过了富力的防线                   23'第23分钟张远主动走到场外，表示自己无法再坚持，阿隆紧急把张远换下
25'富力换人：18号张远受伤无法坚持，被25号阿隆换下                   23'第23分钟张远主动走到场外，表示自己无法再坚持，阿隆紧急把张远换下
25'上半场比赛25分钟，比分0-1，客队上港领先                   23'第23分钟张远主动走到场外，表示自己无法再坚持，阿隆紧急把张远换下
26'姜至鹏左路拿球，45度斜传球到禁区                   23'第23分钟张远主动走到场外，表示自己无法再坚持，阿隆紧急把张远换下
28'富力后场控球，慢慢压过了中线                   28'第28分钟博基拉右路底线内切到中路射门，颜骏凌做出精彩扑救
28'金洋洋的过顶球给到前场左路的卢琳                   28'第28分钟博基拉右路底线内切到中路射门，颜骏凌做出精彩扑救
28'卢琳的起球到禁区，王燊超抢在阿隆之前头球解围出底线                   28'第28分钟博基拉右路底线内切到中路射门，颜骏凌做出精彩扑救
28'富力再次获得左侧角球机会                   28'第28分钟博基拉右路底线内切到中路射门，颜骏凌做出精彩扑救
29'汪嵩主罚，战术角球开出给姜至鹏，姜至鹏起球到禁区，没什么威胁                   28'第28分钟博基拉右路底线内切到中路射门，颜骏凌做出精彩扑救
29'富力中场抢断，博基拉拿球反击                   28'第28分钟博基拉右路底线内切到中路射门，颜骏凌做出精彩扑救
30'博基拉右路内切，摆脱防守，左脚低射，被颜骏凌倒地封堵                   28'第28分钟博基拉右路底线内切到中路射门，颜骏凌做出精彩扑救
30'埃弗拉前场中路拿球，横传交给孔卡                   28'第28分钟博基拉右路底线内切到中路射门，颜骏凌做出精彩扑救
31'孔卡再给右路的于海，于海单挑姜至鹏，可惜没能成功                   28'第28分钟博基拉右路底线内切到中路射门，颜骏凌做出精彩扑救
38'张贤秀被主裁判出示了黄牌警告！！1                   38'第38分钟卢琳撞倒埃弗拉吃到黄牌
38'上港获得前场左路的任意球机会                   38'第38分钟卢琳撞倒埃弗拉吃到黄牌
38'孔卡任意球斜传禁区，第一点被富力球员解围                   38'第38分钟卢琳撞倒埃弗拉吃到黄牌
38'富力的反击，阿隆左路拿球，强突王燊超                   38'第38分钟卢琳撞倒埃弗拉吃到黄牌
39'阿隆内切后起球到后点，没有队友跟上                   38'第38分钟卢琳撞倒埃弗拉吃到黄牌
39'球被远端上来的卢琳拿到，再传禁区，太靠近门将，被颜骏凌拿到                   38'第38分钟卢琳撞倒埃弗拉吃到黄牌
39'埃弗拉左路拿球，卢琳上抢掀翻了埃弗拉，犯规                   38'第38分钟卢琳撞倒埃弗拉吃到黄牌
40'卢琳被主裁判出示了黄牌警告！！！                   38'第38分钟卢琳撞倒埃弗拉吃到黄牌
40'现场球迷嘘声四起，大喊黑哨，孔特拉也是站起来，向第四官员表达不满！！！                   38'第38分钟卢琳撞倒埃弗拉吃到黄牌
41'孔卡前场右路拿球，斜传禁区找于海                   38'第38分钟卢琳撞倒埃弗拉吃到黄牌
41'边裁举旗，吹罚了于海的越位在先                   38'第38分钟卢琳撞倒埃弗拉吃到黄牌
41'姜宁前场中路拿球，达维上抢，身后连拉带拽，放倒了姜宁                   38'第38分钟卢琳撞倒埃弗拉吃到黄牌
42'达维被主裁判出示了黄牌警告！！！                   42'第42分钟上港多脚传递后，球突然转到左路，埃弗拉带开角度就射，刘殿座飞身把球打出
42'富力获得前场中路的任意球，可惜还是没能形成威胁                   42'第42分钟上港多脚传递后，球突然转到左路，埃弗拉带开角度就射，刘殿座飞身把球打出
42'蔡慧康前场中路拿球，分边给到孙祥                   42'第42分钟上港多脚传递后，球突然转到左路，埃弗拉带开角度就射，刘殿座飞身把球打出
43'孙祥在横传交给达维，达维斜传转移交给右路的武磊                   42'第42分钟上港多脚传递后，球突然转到左路，埃弗拉带开角度就射，刘殿座飞身把球打出
43'武磊带球强突，内切到禁区角上起脚打门，被张耀坤挡出                   42'第42分钟上港多脚传递后，球突然转到左路，埃弗拉带开角度就射，刘殿座飞身把球打出
44'上港前场再攻，埃弗拉禁区左侧倒勾打门，被刘殿座奋力扑出                   42'第42分钟上港多脚传递后，球突然转到左路，埃弗拉带开角度就射，刘殿座飞身把球打出
44'博基拉前场左路拿球，遭遇夹击，回带摆脱摔倒在地                   42'第42分钟上港多脚传递后，球突然转到左路，埃弗拉带开角度就射，刘殿座飞身把球打出
45'球出边线，裁判将球权给到了上港这边                   42'第42分钟上港多脚传递后，球突然转到左路，埃弗拉带开角度就射，刘殿座飞身把球打出
45'上港中场失误，富力的反击                   42'第42分钟上港多脚传递后，球突然转到左路，埃弗拉带开角度就射，刘殿座飞身把球打出
45'姜宁右路拿球，内切到禁区，摆脱孙祥的上抢，拔脚怒射                   42'第42分钟上港多脚传递后，球突然转到左路，埃弗拉带开角度就射，刘殿座飞身把球打出
45'球越过颜骏凌，擦着远端的立柱出了底线，非常可惜                   42'第42分钟上港多脚传递后，球突然转到左路，埃弗拉带开角度就射，刘殿座飞身把球打出
51'埃弗拉面对夹击，一个变向，下底，横传，可惜没能过去                   51'第51分钟阿隆禁区外转身传球到禁区，博基拉把球顶下，汪嵩再把皮球往外拨，姜宁禁区内起脚怒射，颜骏凌神奇把球挡出界外
51'孙祥左路的直塞球找埃弗拉，可惜传达了，直接出了边线                   51'第51分钟阿隆禁区外转身传球到禁区，博基拉把球顶下，汪嵩再把皮球往外拨，姜宁禁区内起脚怒射，颜骏凌神奇把球挡出界外
52'哎呀，姜宁的劲射，被颜骏凌封堵                   51'第51分钟阿隆禁区外转身传球到禁区，博基拉把球顶下，汪嵩再把皮球往外拨，姜宁禁区内起脚怒射，颜骏凌神奇把球挡出界外
53'阿隆左路拿球，转身横切后起球到门前，博基拉头球回做，汪嵩不停球横拨给右侧空位的姜宁，姜宁无人防守下的拔脚怒射，被颜骏凌奋力扑出                   51'第51分钟阿隆禁区外转身传球到禁区，博基拉把球顶下，汪嵩再把皮球往外拨，姜宁禁区内起脚怒射，颜骏凌神奇把球挡出界外
53'富力获得左侧角球机会，开出到后点，博基拉的头球攻门，顶高                   51'第51分钟阿隆禁区外转身传球到禁区，博基拉把球顶下，汪嵩再把皮球往外拨，姜宁禁区内起脚怒射，颜骏凌神奇把球挡出界外
54'这个球博基拉身前的孙祥虚晃了一下，打乱了博基拉的节奏                   51'第51分钟阿隆禁区外转身传球到禁区，博基拉把球顶下，汪嵩再把皮球往外拨，姜宁禁区内起脚怒射，颜骏凌神奇把球挡出界外
54'达维中圈拿球，直塞给到孔卡                   51'第51分钟阿隆禁区外转身传球到禁区，博基拉把球顶下，汪嵩再把皮球往外拨，姜宁禁区内起脚怒射，颜骏凌神奇把球挡出界外
55'孔卡再横传交给武磊，武磊面对逼抢，回传王燊超                   55'第55分钟卢琳禁区外远射打高，和上半场开场时类似，富力进攻势头凶猛
55'王燊超横传达维，达维送出过顶找埃弗拉，被唐淼破坏出底线                   55'第55分钟卢琳禁区外远射打高，和上半场开场时类似，富力进攻势头凶猛
55'上港获得左侧角球机会，孙祥主罚                   55'第55分钟卢琳禁区外远射打高，和上半场开场时类似，富力进攻势头凶猛
56'角球开出到前点，被汪嵩解围                   55'第55分钟卢琳禁区外远射打高，和上半场开场时类似，富力进攻势头凶猛
56'可惜解围没踢远，孔卡得球，轻推禁区给于海                   55'第55分钟卢琳禁区外远射打高，和上半场开场时类似，富力进攻势头凶猛
56'于海停球一趟，再想横传给门前位置更好的队友，可惜没能过去                   55'第55分钟卢琳禁区外远射打高，和上半场开场时类似，富力进攻势头凶猛
57'上港前场进攻，武磊禁区内的抽射，被刘殿座倒地没收                   55'第55分钟卢琳禁区外远射打高，和上半场开场时类似，富力进攻势头凶猛
57'汪嵩禁区左侧拿球，起球到中路被阿隆                   55'第55分钟卢琳禁区外远射打高，和上半场开场时类似，富力进攻势头凶猛
58'阿隆胸部停球，背身拿球，面对夹击，跌跌撞撞的转身，起脚打门，被颜骏凌倒地没收                   55'第55分钟卢琳禁区外远射打高，和上半场开场时类似，富力进攻势头凶猛
58'富力前场抢断，阿隆左路拿球                   55'第55分钟卢琳禁区外远射打高，和上半场开场时类似，富力进攻势头凶猛
57'上港前场进攻，武磊禁区内的抽射，被刘殿座倒地没收                   57'第57分钟颜骏凌又扑出了阿隆的左脚射门
57'汪嵩禁区左侧拿球，起球到中路被阿隆                   57'第57分钟颜骏凌又扑出了阿隆的左脚射门
58'阿隆胸部停球，背身拿球，面对夹击，跌跌撞撞的转身，起脚打门，被颜骏凌倒地没收                   57'第57分钟颜骏凌又扑出了阿隆的左脚射门
58'富力前场抢断，阿隆左路拿球                   57'第57分钟颜骏凌又扑出了阿隆的左脚射门
59'阿隆眼前一片开阔地，带球进入禁区，左脚劲射打近角，被颜骏凌倒地封堵                   57'第57分钟颜骏凌又扑出了阿隆的左脚射门
60'王燊超右路拿球，边路传中打在防守球员身上弹回                   57'第57分钟颜骏凌又扑出了阿隆的左脚射门
60'达维禁区线上拿球，横传给到左侧武磊                   57'第57分钟颜骏凌又扑出了阿隆的左脚射门
63'达维左路起球，第一点再被富力球员解围                   63'第63分钟卢琳开出左路角球，姜宁前点头球攻门，武磊在门线上把球挡出
63'上港换人调整：11号吕文君上，换下8号达维                   63'第63分钟卢琳开出左路角球，姜宁前点头球攻门，武磊在门线上把球挡出
63'富力前场进攻，赢得任意球机会                   63'第63分钟卢琳开出左路角球，姜宁前点头球攻门，武磊在门线上把球挡出
63'姜宁的任意球攻门，打在人墙上弹出了底线，角球                   63'第63分钟卢琳开出左路角球，姜宁前点头球攻门，武磊在门线上把球挡出
64'卢琳角球开出到前点，张贤秀的甩头攻门顶近角，被颜骏凌封堵                   63'第63分钟卢琳开出左路角球，姜宁前点头球攻门，武磊在门线上把球挡出
65'姜至鹏左路拿球，面对逼抢，回传力量轻了点                   63'第63分钟卢琳开出左路角球，姜宁前点头球攻门，武磊在门线上把球挡出
65'好在唐淼的补防，一个滑铲，抢在孔卡之前将球铲出边线                   63'第63分钟卢琳开出左路角球，姜宁前点头球攻门，武磊在门线上把球挡出
66'卢琳左路拿球，横传给到上来的张耀坤                   63'第63分钟卢琳开出左路角球，姜宁前点头球攻门，武磊在门线上把球挡出
70'富力连换两人：常飞亚和米歇尔上，换下卢琳和汪嵩                   70'第70分钟埃弗拉右路横传，武磊射门射得有些正，刘殿座第一下扑救脱手，但他随即做出补救
70'富力左侧角球开出，直接被颜骏凌出来拿到                   70'第70分钟埃弗拉右路横传，武磊射门射得有些正，刘殿座第一下扑救脱手，但他随即做出补救
71'孔卡中场拿球，斜塞给到中路武磊                   70'第70分钟埃弗拉右路横传，武磊射门射得有些正，刘殿座第一下扑救脱手，但他随即做出补救
71'武磊拿球，再分给左侧的埃弗拉                   70'第70分钟埃弗拉右路横传，武磊射门射得有些正，刘殿座第一下扑救脱手，但他随即做出补救
71'埃弗拉停球，靠着防守队员，横趟                   70'第70分钟埃弗拉右路横传，武磊射门射得有些正，刘殿座第一下扑救脱手，但他随即做出补救
72'埃弗拉回传中间给跟进的于海，于海不停球直接打门，太正，被刘殿座封堵                   70'第70分钟埃弗拉右路横传，武磊射门射得有些正，刘殿座第一下扑救脱手，但他随即做出补救
72'刘殿座又是一个脱手，好在第二反应不错，起身将球拿到                   70'第70分钟埃弗拉右路横传，武磊射门射得有些正，刘殿座第一下扑救脱手，但他随即做出补救
72'上港换人：21号于海被换下，换上5号汪佳捷                   70'第70分钟埃弗拉右路横传，武磊射门射得有些正，刘殿座第一下扑救脱手，但他随即做出补救
73'富力中场过顶球到右路找常飞亚                   70'第70分钟埃弗拉右路横传，武磊射门射得有些正，刘殿座第一下扑救脱手，但他随即做出补救
73'石柯补防，抢先将球解围出边线                   70'第70分钟埃弗拉右路横传，武磊射门射得有些正，刘殿座第一下扑救脱手，但他随即做出补救
73'富力中场过顶球到右路找常飞亚                   73'第73分钟始终在努力的富力终于破门，张贤秀中路突破汪佳捷后往前直塞，博基拉背身拿球倚住防守队员，接着后脚跟一磕，张贤秀禁区内接球到位，避开蔡慧康防守后打门，这次颜骏凌无能为力，皮球飞入大门，1比1，广州富力扳平比分
73'石柯补防，抢先将球解围出边线                   73'第73分钟始终在努力的富力终于破门，张贤秀中路突破汪佳捷后往前直塞，博基拉背身拿球倚住防守队员，接着后脚跟一磕，张贤秀禁区内接球到位，避开蔡慧康防守后打门，这次颜骏凌无能为力，皮球飞入大门，1比1，广州富力扳平比分
74'张贤秀中路拿球，直塞给到博基拉                   73'第73分钟始终在努力的富力终于破门，张贤秀中路突破汪佳捷后往前直塞，博基拉背身拿球倚住防守队员，接着后脚跟一磕，张贤秀禁区内接球到位，避开蔡慧康防守后打门，这次颜骏凌无能为力，皮球飞入大门，1比1，广州富力扳平比分
74'富力进球啦！！！                   73'第73分钟始终在努力的富力终于破门，张贤秀中路突破汪佳捷后往前直塞，博基拉背身拿球倚住防守队员，接着后脚跟一磕，张贤秀禁区内接球到位，避开蔡慧康防守后打门，这次颜骏凌无能为力，皮球飞入大门，1比1，广州富力扳平比分
74'张贤秀推射破门！！！                   73'第73分钟始终在努力的富力终于破门，张贤秀中路突破汪佳捷后往前直塞，博基拉背身拿球倚住防守队员，接着后脚跟一磕，张贤秀禁区内接球到位，避开蔡慧康防守后打门，这次颜骏凌无能为力，皮球飞入大门，1比1，广州富力扳平比分
75'张贤秀前场中路拿球，直塞博基拉，博基拉靠着防守脚后跟塞给切入的张贤秀，张贤秀摆脱蔡慧康的上抢，面对出击的颜骏凌，推射打进球门右下角！！！                   73'第73分钟始终在努力的富力终于破门，张贤秀中路突破汪佳捷后往前直塞，博基拉背身拿球倚住防守队员，接着后脚跟一磕，张贤秀禁区内接球到位，避开蔡慧康防守后打门，这次颜骏凌无能为力，皮球飞入大门，1比1，广州富力扳平比分
76'上港中场过顶球，找前场的埃弗拉，边裁举旗，埃弗拉越位在先                   73'第73分钟始终在努力的富力终于破门，张贤秀中路突破汪佳捷后往前直塞，博基拉背身拿球倚住防守队员，接着后脚跟一磕，张贤秀禁区内接球到位，避开蔡慧康防守后打门，这次颜骏凌无能为力，皮球飞入大门，1比1，广州富力扳平比分
76'富力反超啦！！！                   73'第73分钟始终在努力的富力终于破门，张贤秀中路突破汪佳捷后往前直塞，博基拉背身拿球倚住防守队员，接着后脚跟一磕，张贤秀禁区内接球到位，避开蔡慧康防守后打门，这次颜骏凌无能为力，皮球飞入大门，1比1，广州富力扳平比分
76'博基拉的进球！！！                   73'第73分钟始终在努力的富力终于破门，张贤秀中路突破汪佳捷后往前直塞，博基拉背身拿球倚住防守队员，接着后脚跟一磕，张贤秀禁区内接球到位，避开蔡慧康防守后打门，这次颜骏凌无能为力，皮球飞入大门，1比1，广州富力扳平比分
78'富力前场中路拿球，斜塞右路给前插的常飞亚，常飞亚低平球送到门前，博基拉后点跟进，抢点推射打进！！！                   78'第78分钟孙祥拦截常飞亚犯规吃到黄牌
78'富力中场抢断，常飞亚右路拿球反击                   78'第78分钟孙祥拦截常飞亚犯规吃到黄牌
79'利用速度强突，孙祥回防，没有办法，只能拉人犯规                   78'第78分钟孙祥拦截常飞亚犯规吃到黄牌
79'孙祥被主裁判出示了黄牌警告！！！                   78'第78分钟孙祥拦截常飞亚犯规吃到黄牌
79'富力获得前场右路的任意球，不过并未形成威胁                   78'第78分钟孙祥拦截常飞亚犯规吃到黄牌
80'三分钟时间不到，富力实现了反超，看看接下来上港如何应对                   78'第78分钟孙祥拦截常飞亚犯规吃到黄牌
80'王燊超右路拿球，横传给到汪佳捷                   78'第78分钟孙祥拦截常飞亚犯规吃到黄牌
80'汪佳捷带球强突，下底传中到禁区                   78'第78分钟孙祥拦截常飞亚犯规吃到黄牌
81'埃弗拉的抢点攻门，可惜顶偏啦                   78'第78分钟孙祥拦截常飞亚犯规吃到黄牌
81'姜至鹏左路抢断，拿球反击，内切后起球往禁区送                   78'第78分钟孙祥拦截常飞亚犯规吃到黄牌
81'石柯回防，抢先将球破坏出禁区                   78'第78分钟孙祥拦截常飞亚犯规吃到黄牌
85'武磊拿球单挑姜至鹏，一个变向，人球分过                   85'第85分钟姜宁和博基拉前场打出配合，颜骏凌抢在博基拉之前飞身出击把球抱住
85'可惜球过人不过，强行摆脱撞翻了姜至鹏，被吹推人犯规                   85'第85分钟姜宁和博基拉前场打出配合，颜骏凌抢在博基拉之前飞身出击把球抱住
86'米歇尔中场拿球，分边右路给到唐淼                   85'第85分钟姜宁和博基拉前场打出配合，颜骏凌抢在博基拉之前飞身出击把球抱住
87'唐淼分球张贤秀，张贤秀的直塞被断                   85'第85分钟姜宁和博基拉前场打出配合，颜骏凌抢在博基拉之前飞身出击把球抱住
87'汪佳捷拿球反击，中圈强突，被反断                   85'第85分钟姜宁和博基拉前场打出配合，颜骏凌抢在博基拉之前飞身出击把球抱住
87'富力的反击，张贤秀禁区外的远射，打飞                   85'第85分钟姜宁和博基拉前场打出配合，颜骏凌抢在博基拉之前飞身出击把球抱住
87'上港进球啦！！！                   85'第85分钟姜宁和博基拉前场打出配合，颜骏凌抢在博基拉之前飞身出击把球抱住
87'孔卡的劲射，梅开二度！！！                   85'第85分钟姜宁和博基拉前场打出配合，颜骏凌抢在博基拉之前飞身出击把球抱住
87'唐淼分球张贤秀，张贤秀的直塞被断                   87'第87分钟，孔卡先和武磊配合传球，到禁区内孔卡传到中路的埃弗拉，由于被贴身防守，无法转身的埃弗拉拿球再回给孔卡
87'汪佳捷拿球反击，中圈强突，被反断                   87'第87分钟，孔卡先和武磊配合传球，到禁区内孔卡传到中路的埃弗拉，由于被贴身防守，无法转身的埃弗拉拿球再回给孔卡
87'富力的反击，张贤秀禁区外的远射，打飞                   87'第87分钟，孔卡先和武磊配合传球，到禁区内孔卡传到中路的埃弗拉，由于被贴身防守，无法转身的埃弗拉拿球再回给孔卡
87'上港进球啦！！！                   87'第87分钟，孔卡先和武磊配合传球，到禁区内孔卡传到中路的埃弗拉，由于被贴身防守，无法转身的埃弗拉拿球再回给孔卡
87'孔卡的劲射，梅开二度！！！                   87'第87分钟，孔卡先和武磊配合传球，到禁区内孔卡传到中路的埃弗拉，由于被贴身防守，无法转身的埃弗拉拿球再回给孔卡
89'孔卡禁区外拿球，分球武磊，武磊再给切入的孔卡，孔卡横传埃弗拉，埃弗拉在防守球员的干扰下没能拿好，球刚好到了孔卡脚下，孔卡直接起脚劲射打近角，进网！！                   87'第87分钟，孔卡先和武磊配合传球，到禁区内孔卡传到中路的埃弗拉，由于被贴身防守，无法转身的埃弗拉拿球再回给孔卡
89'下半场比赛进入尾声，双方打成了平局                   87'第87分钟，孔卡先和武磊配合传球，到禁区内孔卡传到中路的埃弗拉，由于被贴身防守，无法转身的埃弗拉拿球再回给孔卡
89'孔卡前场中路拿球，斜塞找前插的武磊                   87'第87分钟，孔卡先和武磊配合传球，到禁区内孔卡传到中路的埃弗拉，由于被贴身防守，无法转身的埃弗拉拿球再回给孔卡
90'金洋洋回防绊倒了武磊，上港获得禁区弧左侧的任意球机会                   87'第87分钟，孔卡先和武磊配合传球，到禁区内孔卡传到中路的埃弗拉，由于被贴身防守，无法转身的埃弗拉拿球再回给孔卡
90'位置相当不错，看看上港能否抓住这次机会                   87'第87分钟，孔卡先和武磊配合传球，到禁区内孔卡传到中路的埃弗拉，由于被贴身防守，无法转身的埃弗拉拿球再回给孔卡
90'上港进球啦！！！                   87'第87分钟，孔卡先和武磊配合传球，到禁区内孔卡传到中路的埃弗拉，由于被贴身防守，无法转身的埃弗拉拿球再回给孔卡
90'一场跌宕起伏的比赛啊                   87'第87分钟，孔卡先和武磊配合传球，到禁区内孔卡传到中路的埃弗拉，由于被贴身防守，无法转身的埃弗拉拿球再回给孔卡
90'金洋洋回防绊倒了武磊，上港获得禁区弧左侧的任意球机会                   90'第90分钟武磊在禁区外一点博得任意球机会，孔卡射门，球打在人堆里滚出，汪佳捷抢先杀出，近门推射得分，3比2，上港最后时刻逆转广州富力
