1'上半场比赛开始！                   1'曼城第1分钟控制局面
73'现场下起了磅砣大雨                   70'第70分钟，乔-哈特接任意球脱手，加吉尔卡捅射入网，裁判判罚奈史密斯冲撞门将犯规在先，进球无效
73'费尔南多进球了！！！                   70'第70分钟，乔-哈特接任意球脱手，加吉尔卡捅射入网，裁判判罚奈史密斯冲撞门将犯规在先，进球无效
78'这个进球拜恩斯任意球的质量太高了，刚刚送到一个乔哈特触及不了的位置                   78'埃弗顿第78分钟扳平比分，拜恩斯左路任意球传中，奈史密斯小禁区边缘头球破门，1-1
79'埃弗顿还有机会，奈史密斯传到中路，卢卡库跑过了                   78'埃弗顿第78分钟扳平比分，拜恩斯左路任意球传中，奈史密斯小禁区边缘头球破门，1-1
79'萨巴莱塔事上前场，纳斯里接应回给萨巴莱塔                   78'埃弗顿第78分钟扳平比分，拜恩斯左路任意球传中，奈史密斯小禁区边缘头球破门，1-1
79'纳瓦斯右路来了，传中球打在后卫身上飞出底线                   78'埃弗顿第78分钟扳平比分，拜恩斯左路任意球传中，奈史密斯小禁区边缘头球破门，1-1
79'曼城前场右路的机会                   78'埃弗顿第78分钟扳平比分，拜恩斯左路任意球传中，奈史密斯小禁区边缘头球破门，1-1
80'纳瓦斯角球送到禁区，奈史密斯头球解围                   78'埃弗顿第78分钟扳平比分，拜恩斯左路任意球传中，奈史密斯小禁区边缘头球破门，1-1
80'巴克利分给右路的科尔曼，科尔曼直传，卢卡库有点着急了，越位                   78'埃弗顿第78分钟扳平比分，拜恩斯左路任意球传中，奈史密斯小禁区边缘头球破门，1-1
85'埃弗顿又有机会，米拉拉斯左路变向过了曼城打直接小角度打门，乔哈特倒地将球扑住                   85'第85分钟，阿圭罗禁区内射偏
86'米拉拉斯来到右路，左右晃动，但克里希不为所动将球拦截 出边线                   85'第85分钟，阿圭罗禁区内射偏
86'米拉拉斯右路传中，曼城球员将球碰出底线                   85'第85分钟，阿圭罗禁区内射偏
86'埃弗顿前场右路的角球机会                   85'第85分钟，阿圭罗禁区内射偏
86'拜恩斯发后点，这里没人啊，可能是大雨的影响到                   85'第85分钟，阿圭罗禁区内射偏
87'萨巴莱塔长传前场，阿圭罗得球                   85'第85分钟，阿圭罗禁区内射偏
87'阿圭罗一打二，连续横向调整，球被斯通斯大脚破坏                   85'第85分钟，阿圭罗禁区内射偏
88'兰帕德中路横向转移，席尔瓦得球又交到左路的纳斯里                   85'第85分钟，阿圭罗禁区内射偏
88'纳斯里与兰帕德二过一没有突进过去                   85'第85分钟，阿圭罗禁区内射偏
