11'伊斯梅洛夫交给李光                   11'第11分钟，亚泰通过连续传递形成攻势，裴帅左路内切攻门打偏
23'吴亚轲将球踢上来，伊哈洛横传                   22'第22分钟，郑智右路前插送出快速传中，亚泰门将吴亚轲抢在前插包抄的阿兰前将球压在身下
24'郑智断球，胡斯蒂反断                   22'第22分钟，郑智右路前插送出快速传中，亚泰门将吴亚轲抢在前插包抄的阿兰前将球压在身下
24'还是恒大的进攻                   22'第22分钟，郑智右路前插送出快速传中，亚泰门将吴亚轲抢在前插包抄的阿兰前将球压在身下
24'阿兰的挑传，高拉特冲上来一挑，球被吴亚轲拿到                   22'第22分钟，郑智右路前插送出快速传中，亚泰门将吴亚轲抢在前插包抄的阿兰前将球压在身下
25'亚泰又拿到一下保利尼奥的任意球                   22'第22分钟，郑智右路前插送出快速传中，亚泰门将吴亚轲抢在前插包抄的阿兰前将球压在身下
25'现在又开始下小雨                   22'第22分钟，郑智右路前插送出快速传中，亚泰门将吴亚轲抢在前插包抄的阿兰前将球压在身下
25'谭龙可能下底传中，球被冯潇霆顶出底线                   22'第22分钟，郑智右路前插送出快速传中，亚泰门将吴亚轲抢在前插包抄的阿兰前将球压在身下
25'亚泰是不断拿到前场定位球                   22'第22分钟，郑智右路前插送出快速传中，亚泰门将吴亚轲抢在前插包抄的阿兰前将球压在身下
25'镜头给到了亚泰的代理主帅陈金刚                   22'第22分钟，郑智右路前插送出快速传中，亚泰门将吴亚轲抢在前插包抄的阿兰前将球压在身下
25'胡斯蒂发前点，谭龙头球后蹭                   22'第22分钟，郑智右路前插送出快速传中，亚泰门将吴亚轲抢在前插包抄的阿兰前将球压在身下
25'球出了底线                   22'第22分钟，郑智右路前插送出快速传中，亚泰门将吴亚轲抢在前插包抄的阿兰前将球压在身下
26'张琳芃还球上来，交给黄博文                   26'第26分钟，张琳芃右路传中，阿兰头球攻门被孙捷挡出底线；角球攻势中高拉特前点头球后蹭，后点面对空门冲顶的阿兰未能顶到皮球
26'回传，被裴帅断下交给胡斯蒂                   26'第26分钟，张琳芃右路传中，阿兰头球攻门被孙捷挡出底线；角球攻势中高拉特前点头球后蹭，后点面对空门冲顶的阿兰未能顶到皮球
26'传丢了                   26'第26分钟，张琳芃右路传中，阿兰头球攻门被孙捷挡出底线；角球攻势中高拉特前点头球后蹭，后点面对空门冲顶的阿兰未能顶到皮球
26'郑智交给冯潇霆                   26'第26分钟，张琳芃右路传中，阿兰头球攻门被孙捷挡出底线；角球攻势中高拉特前点头球后蹭，后点面对空门冲顶的阿兰未能顶到皮球
26'黄博文交给阿兰                   26'第26分钟，张琳芃右路传中，阿兰头球攻门被孙捷挡出底线；角球攻势中高拉特前点头球后蹭，后点面对空门冲顶的阿兰未能顶到皮球
26'交给高拉特，顺给于汉超                   26'第26分钟，张琳芃右路传中，阿兰头球攻门被孙捷挡出底线；角球攻势中高拉特前点头球后蹭，后点面对空门冲顶的阿兰未能顶到皮球
26'于汉超急停回传出来外围                   26'第26分钟，张琳芃右路传中，阿兰头球攻门被孙捷挡出底线；角球攻势中高拉特前点头球后蹭，后点面对空门冲顶的阿兰未能顶到皮球
26'张琳芃的传中被伊斯梅洛夫头球解围                   26'第26分钟，张琳芃右路传中，阿兰头球攻门被孙捷挡出底线；角球攻势中高拉特前点头球后蹭，后点面对空门冲顶的阿兰未能顶到皮球
27'于汉超左路来了，回传给李学鹏                   26'第26分钟，张琳芃右路传中，阿兰头球攻门被孙捷挡出底线；角球攻势中高拉特前点头球后蹭，后点面对空门冲顶的阿兰未能顶到皮球
27'不断的横传                   26'第26分钟，张琳芃右路传中，阿兰头球攻门被孙捷挡出底线；角球攻势中高拉特前点头球后蹭，后点面对空门冲顶的阿兰未能顶到皮球
27'张琳芃再传中，阿兰点球点附近头球攻门顶高了                   26'第26分钟，张琳芃右路传中，阿兰头球攻门被孙捷挡出底线；角球攻势中高拉特前点头球后蹭，后点面对空门冲顶的阿兰未能顶到皮球
27'中途是碰到了孙捷的头，角球                   26'第26分钟，张琳芃右路传中，阿兰头球攻门被孙捷挡出底线；角球攻势中高拉特前点头球后蹭，后点面对空门冲顶的阿兰未能顶到皮球
27'恒大右路的角球机会                   26'第26分钟，张琳芃右路传中，阿兰头球攻门被孙捷挡出底线；角球攻势中高拉特前点头球后蹭，后点面对空门冲顶的阿兰未能顶到皮球
28'李学鹏角球发前点，高拉特甩头攻门                   26'第26分钟，张琳芃右路传中，阿兰头球攻门被孙捷挡出底线；角球攻势中高拉特前点头球后蹭，后点面对空门冲顶的阿兰未能顶到皮球
28'球偏了一点，后点阿兰飞身冲顶，没有碰到球                   26'第26分钟，张琳芃右路传中，阿兰头球攻门被孙捷挡出底线；角球攻势中高拉特前点头球后蹭，后点面对空门冲顶的阿兰未能顶到皮球
28'不过就算顶进也是越位在先                   26'第26分钟，张琳芃右路传中，阿兰头球攻门被孙捷挡出底线；角球攻势中高拉特前点头球后蹭，后点面对空门冲顶的阿兰未能顶到皮球
30'张琳芃的直传，被张笑飞断下                   30'比赛30分钟后亚泰的场面重新提振，胡斯蒂连续策动快攻，李光远射被曾诚没收，伊哈洛禁区左侧小角度攻门打偏
30'交给裴帅，张琳芃推人犯规                   30'比赛30分钟后亚泰的场面重新提振，胡斯蒂连续策动快攻，李光远射被曾诚没收，伊哈洛禁区左侧小角度攻门打偏
31'胡斯蒂的吊禁区，李学鹏将球护出边线                   30'比赛30分钟后亚泰的场面重新提振，胡斯蒂连续策动快攻，李光远射被曾诚没收，伊哈洛禁区左侧小角度攻门打偏
31'孙捷有一个踢人的动作                   30'比赛30分钟后亚泰的场面重新提振，胡斯蒂连续策动快攻，李光远射被曾诚没收，伊哈洛禁区左侧小角度攻门打偏
32'曾诚长传上来，前面没有恒大的球员                   30'比赛30分钟后亚泰的场面重新提振，胡斯蒂连续策动快攻，李光远射被曾诚没收，伊哈洛禁区左侧小角度攻门打偏
32'裴帅交给胡斯蒂，推进分给李光                   30'比赛30分钟后亚泰的场面重新提振，胡斯蒂连续策动快攻，李光远射被曾诚没收，伊哈洛禁区左侧小角度攻门打偏
32'远射，打得太正，曾诚将球没收                   30'比赛30分钟后亚泰的场面重新提振，胡斯蒂连续策动快攻，李光远射被曾诚没收，伊哈洛禁区左侧小角度攻门打偏
32'雨势越来越大                   30'比赛30分钟后亚泰的场面重新提振，胡斯蒂连续策动快攻，李光远射被曾诚没收，伊哈洛禁区左侧小角度攻门打偏
32'张琳芃带球，交给了阿兰                   30'比赛30分钟后亚泰的场面重新提振，胡斯蒂连续策动快攻，李光远射被曾诚没收，伊哈洛禁区左侧小角度攻门打偏
32'脚后跟传球被断                   30'比赛30分钟后亚泰的场面重新提振，胡斯蒂连续策动快攻，李光远射被曾诚没收，伊哈洛禁区左侧小角度攻门打偏
33'胡斯蒂交给裴帅，球被阿兰拦截出边线                   30'比赛30分钟后亚泰的场面重新提振，胡斯蒂连续策动快攻，李光远射被曾诚没收，伊哈洛禁区左侧小角度攻门打偏
33'黄博文交给阿兰，回传给郑智                   30'比赛30分钟后亚泰的场面重新提振，胡斯蒂连续策动快攻，李光远射被曾诚没收，伊哈洛禁区左侧小角度攻门打偏
33'再交给阿兰，转身推进，李光绊倒了阿兰                   30'比赛30分钟后亚泰的场面重新提振，胡斯蒂连续策动快攻，李光远射被曾诚没收，伊哈洛禁区左侧小角度攻门打偏
33'裴帅左路带球上来，直传，黄博文抢断                   30'比赛30分钟后亚泰的场面重新提振，胡斯蒂连续策动快攻，李光远射被曾诚没收，伊哈洛禁区左侧小角度攻门打偏
33'直传，高拉特回一下                   30'比赛30分钟后亚泰的场面重新提振，胡斯蒂连续策动快攻，李光远射被曾诚没收，伊哈洛禁区左侧小角度攻门打偏
44'高拉特右路小角度打门，球划门而过                   44'第44分钟，恒大后场断球后形成流畅快攻，高拉特右翼远射制造一定威胁，皮球偏出远门柱
44'吴亚轲发出门球                   44'第44分钟，恒大后场断球后形成流畅快攻，高拉特右翼远射制造一定威胁，皮球偏出远门柱
44'黄博文顶给了于汉超                   44'第44分钟，恒大后场断球后形成流畅快攻，高拉特右翼远射制造一定威胁，皮球偏出远门柱
44'对方三人包夹将球踢出边线                   44'第44分钟，恒大后场断球后形成流畅快攻，高拉特右翼远射制造一定威胁，皮球偏出远门柱
44'雨势好像小了一点                   44'第44分钟，恒大后场断球后形成流畅快攻，高拉特右翼远射制造一定威胁，皮球偏出远门柱
45'李学鹏带球交给了郑智                   44'第44分钟，恒大后场断球后形成流畅快攻，高拉特右翼远射制造一定威胁，皮球偏出远门柱
45'直传保利尼奥远射打在孙捷身上                   44'第44分钟，恒大后场断球后形成流畅快攻，高拉特右翼远射制造一定威胁，皮球偏出远门柱
45'再送到的，高拉特传中，被孙捷挡一下                   44'第44分钟，恒大后场断球后形成流畅快攻，高拉特右翼远射制造一定威胁，皮球偏出远门柱
45'张笑飞将球踢出边线                   44'第44分钟，恒大后场断球后形成流畅快攻，高拉特右翼远射制造一定威胁，皮球偏出远门柱
46'上半场补时1分钟                   44'第44分钟，恒大后场断球后形成流畅快攻，高拉特右翼远射制造一定威胁，皮球偏出远门柱
46'吴亚轲长传上来                   44'第44分钟，恒大后场断球后形成流畅快攻，高拉特右翼远射制造一定威胁，皮球偏出远门柱
46'谭龙右路得球交给伊哈洛                   44'第44分钟，恒大后场断球后形成流畅快攻，高拉特右翼远射制造一定威胁，皮球偏出远门柱
46'交给裴帅，直传                   44'第44分钟，恒大后场断球后形成流畅快攻，高拉特右翼远射制造一定威胁，皮球偏出远门柱
46'胡斯蒂斜插停球转身打门没有打上力量，曾诚将球扑住                   44'第44分钟，恒大后场断球后形成流畅快攻，高拉特右翼远射制造一定威胁，皮球偏出远门柱
46'长传上来，蒋哲头球顶一下                   44'第44分钟，恒大后场断球后形成流畅快攻，高拉特右翼远射制造一定威胁，皮球偏出远门柱
46'孙捷将球顶给吴亚轲                   44'第44分钟，恒大后场断球后形成流畅快攻，高拉特右翼远射制造一定威胁，皮球偏出远门柱
47'上半场比赛结束！                   44'第44分钟，恒大后场断球后形成流畅快攻，高拉特右翼远射制造一定威胁，皮球偏出远门柱
46'下半场比赛开始！                   44'第44分钟，恒大后场断球后形成流畅快攻，高拉特右翼远射制造一定威胁，皮球偏出远门柱
46'下半场由恒大中圈开球                   44'第44分钟，恒大后场断球后形成流畅快攻，高拉特右翼远射制造一定威胁，皮球偏出远门柱
46'郑智的分边左路，球直接出边线                   44'第44分钟，恒大后场断球后形成流畅快攻，高拉特右翼远射制造一定威胁，皮球偏出远门柱
46'伊哈洛接应直传，谭龙越位                   44'第44分钟，恒大后场断球后形成流畅快攻，高拉特右翼远射制造一定威胁，皮球偏出远门柱
47'伊哈洛的带球，过了刘健，冯潇霆大脚解围                   44'第44分钟，恒大后场断球后形成流畅快攻，高拉特右翼远射制造一定威胁，皮球偏出远门柱
47'这一头吴亚轲也大脚踢出边线                   44'第44分钟，恒大后场断球后形成流畅快攻，高拉特右翼远射制造一定威胁，皮球偏出远门柱
47'保利尼奥带球，回传给冯潇霆                   44'第44分钟，恒大后场断球后形成流畅快攻，高拉特右翼远射制造一定威胁，皮球偏出远门柱
47'交给保利尼奥                   44'第44分钟，恒大后场断球后形成流畅快攻，高拉特右翼远射制造一定威胁，皮球偏出远门柱
47'节奏还是打得比较慢                   44'第44分钟，恒大后场断球后形成流畅快攻，高拉特右翼远射制造一定威胁，皮球偏出远门柱
47'保利尼奥护球，谭龙上抢有犯规动作                   44'第44分钟，恒大后场断球后形成流畅快攻，高拉特右翼远射制造一定威胁，皮球偏出远门柱
49'伊哈洛接应分边给了谭龙，再直传，刘健速度很快将球断下                   49'第49分钟，张琳芃禁区前上抢失误，他放倒裴帅领到黄牌，亚泰获得禁区前左侧任意球，胡斯蒂攻门皮球快速绕过人墙，曾诚将球挡出
49'直传，球偏转出了边线                   49'第49分钟，张琳芃禁区前上抢失误，他放倒裴帅领到黄牌，亚泰获得禁区前左侧任意球，胡斯蒂攻门皮球快速绕过人墙，曾诚将球挡出
49'李光分左侧，裴帅停球过了张琳芃                   49'第49分钟，张琳芃禁区前上抢失误，他放倒裴帅领到黄牌，亚泰获得禁区前左侧任意球，胡斯蒂攻门皮球快速绕过人墙，曾诚将球挡出
49'张琳芃拉住裴帅的手                   49'第49分钟，张琳芃禁区前上抢失误，他放倒裴帅领到黄牌，亚泰获得禁区前左侧任意球，胡斯蒂攻门皮球快速绕过人墙，曾诚将球挡出
49'张琳芃吃到黄牌                   49'第49分钟，张琳芃禁区前上抢失误，他放倒裴帅领到黄牌，亚泰获得禁区前左侧任意球，胡斯蒂攻门皮球快速绕过人墙，曾诚将球挡出
49'亚泰左路的任意球机会                   49'第49分钟，张琳芃禁区前上抢失误，他放倒裴帅领到黄牌，亚泰获得禁区前左侧任意球，胡斯蒂攻门皮球快速绕过人墙，曾诚将球挡出
50'偏中路，可以直接射门                   49'第49分钟，张琳芃禁区前上抢失误，他放倒裴帅领到黄牌，亚泰获得禁区前左侧任意球，胡斯蒂攻门皮球快速绕过人墙，曾诚将球挡出
50'胡斯蒂任意球直接打门，被曾诚扑出                   49'第49分钟，张琳芃禁区前上抢失误，他放倒裴帅领到黄牌，亚泰获得禁区前左侧任意球，胡斯蒂攻门皮球快速绕过人墙，曾诚将球挡出
51'恒大后场控球                   49'第49分钟，张琳芃禁区前上抢失误，他放倒裴帅领到黄牌，亚泰获得禁区前左侧任意球，胡斯蒂攻门皮球快速绕过人墙，曾诚将球挡出
51'曾诚长传上来                   49'第49分钟，张琳芃禁区前上抢失误，他放倒裴帅领到黄牌，亚泰获得禁区前左侧任意球，胡斯蒂攻门皮球快速绕过人墙，曾诚将球挡出
51'高拉特直传，伊斯梅洛夫铲球破坏                   49'第49分钟，张琳芃禁区前上抢失误，他放倒裴帅领到黄牌，亚泰获得禁区前左侧任意球，胡斯蒂攻门皮球快速绕过人墙，曾诚将球挡出
52'回复：用户5095296496 16:07 举报回复 恒大这状态打亚冠，堪忧！（确实，鹿岛实力很强）                   49'第49分钟，张琳芃禁区前上抢失误，他放倒裴帅领到黄牌，亚泰获得禁区前左侧任意球，胡斯蒂攻门皮球快速绕过人墙，曾诚将球挡出
52'李学鹏左路的短传，孙捷解围出边线                   49'第49分钟，张琳芃禁区前上抢失误，他放倒裴帅领到黄牌，亚泰获得禁区前左侧任意球，胡斯蒂攻门皮球快速绕过人墙，曾诚将球挡出
52'黄博文转移向右侧                   49'第49分钟，张琳芃禁区前上抢失误，他放倒裴帅领到黄牌，亚泰获得禁区前左侧任意球，胡斯蒂攻门皮球快速绕过人墙，曾诚将球挡出
52'张琳芃的传中太低了                   49'第49分钟，张琳芃禁区前上抢失误，他放倒裴帅领到黄牌，亚泰获得禁区前左侧任意球，胡斯蒂攻门皮球快速绕过人墙，曾诚将球挡出
52'被伊斯梅洛夫踢出边线                   49'第49分钟，张琳芃禁区前上抢失误，他放倒裴帅领到黄牌，亚泰获得禁区前左侧任意球，胡斯蒂攻门皮球快速绕过人墙，曾诚将球挡出
55'高拉特分边右侧的阿兰，传到禁区内，过了高拉特                   55'第55分钟，于汉超右路送出准确传中，阿兰头球攻门瞬间门将已是失位，但他的头球稍稍高出
55'李学鹏得球传中太低了                   55'第55分钟，于汉超右路送出准确传中，阿兰头球攻门瞬间门将已是失位，但他的头球稍稍高出
55'冯潇霆压上来交给保利尼奥，没有停好                   55'第55分钟，于汉超右路送出准确传中，阿兰头球攻门瞬间门将已是失位，但他的头球稍稍高出
55'高拉特抢到第二点，交给郑智，直传被伊斯梅洛夫解围                   55'第55分钟，于汉超右路送出准确传中，阿兰头球攻门瞬间门将已是失位，但他的头球稍稍高出
55'于汉超右路推进斜传找到保利尼奥                   55'第55分钟，于汉超右路送出准确传中，阿兰头球攻门瞬间门将已是失位，但他的头球稍稍高出
55'内切没有起脚空间，分给右路的于汉超                   55'第55分钟，于汉超右路送出准确传中，阿兰头球攻门瞬间门将已是失位，但他的头球稍稍高出
56'传中，阿兰头球顶到球的底部高出横梁                   55'第55分钟，于汉超右路送出准确传中，阿兰头球攻门瞬间门将已是失位，但他的头球稍稍高出
56'于汉超右路带球急停过了张笑飞，传中，吴亚轲将球抱住                   55'第55分钟，于汉超右路送出准确传中，阿兰头球攻门瞬间门将已是失位，但他的头球稍稍高出
56'李光的传球被李学鹏拦截                   55'第55分钟，于汉超右路送出准确传中，阿兰头球攻门瞬间门将已是失位，但他的头球稍稍高出
56'交给高拉特                   55'第55分钟，于汉超右路送出准确传中，阿兰头球攻门瞬间门将已是失位，但他的头球稍稍高出
56'保利尼奥过渡一下                   55'第55分钟，于汉超右路送出准确传中，阿兰头球攻门瞬间门将已是失位，但他的头球稍稍高出
56'高拉特回传给保利尼奥                   55'第55分钟，于汉超右路送出准确传中，阿兰头球攻门瞬间门将已是失位，但他的头球稍稍高出
57'郑智接应回传给高拉特，回传给刘健                   55'第55分钟，于汉超右路送出准确传中，阿兰头球攻门瞬间门将已是失位，但他的头球稍稍高出
57'刘健突一下，胡斯蒂犯规                   55'第55分钟，于汉超右路送出准确传中，阿兰头球攻门瞬间门将已是失位，但他的头球稍稍高出
57'郑智接应分给冯潇霆                   55'第55分钟，于汉超右路送出准确传中，阿兰头球攻门瞬间门将已是失位，但他的头球稍稍高出
57'回给郑智，直传，阿兰回做                   55'第55分钟，于汉超右路送出准确传中，阿兰头球攻门瞬间门将已是失位，但他的头球稍稍高出
57'保利尼奥再突被拦截                   55'第55分钟，于汉超右路送出准确传中，阿兰头球攻门瞬间门将已是失位，但他的头球稍稍高出
57'中场又是恒大反断                   55'第55分钟，于汉超右路送出准确传中，阿兰头球攻门瞬间门将已是失位，但他的头球稍稍高出
58'保利尼奥分边被蒋哲破坏                   55'第55分钟，于汉超右路送出准确传中，阿兰头球攻门瞬间门将已是失位，但他的头球稍稍高出
58'保利尼奥左路拿球交给阿兰，伊斯梅洛夫抢先解围                   55'第55分钟，于汉超右路送出准确传中，阿兰头球攻门瞬间门将已是失位，但他的头球稍稍高出
46'上半场补时1分钟                   46'1分钟后亚泰回敬威胁攻势，伊哈洛将球塞入禁区右侧，谭龙在与李学鹏的激烈对抗中小角度攻门打偏
46'吴亚轲长传上来                   46'1分钟后亚泰回敬威胁攻势，伊哈洛将球塞入禁区右侧，谭龙在与李学鹏的激烈对抗中小角度攻门打偏
46'谭龙右路得球交给伊哈洛                   46'1分钟后亚泰回敬威胁攻势，伊哈洛将球塞入禁区右侧，谭龙在与李学鹏的激烈对抗中小角度攻门打偏
46'交给裴帅，直传                   46'1分钟后亚泰回敬威胁攻势，伊哈洛将球塞入禁区右侧，谭龙在与李学鹏的激烈对抗中小角度攻门打偏
46'胡斯蒂斜插停球转身打门没有打上力量，曾诚将球扑住                   46'1分钟后亚泰回敬威胁攻势，伊哈洛将球塞入禁区右侧，谭龙在与李学鹏的激烈对抗中小角度攻门打偏
46'长传上来，蒋哲头球顶一下                   46'1分钟后亚泰回敬威胁攻势，伊哈洛将球塞入禁区右侧，谭龙在与李学鹏的激烈对抗中小角度攻门打偏
46'孙捷将球顶给吴亚轲                   46'1分钟后亚泰回敬威胁攻势，伊哈洛将球塞入禁区右侧，谭龙在与李学鹏的激烈对抗中小角度攻门打偏
47'上半场比赛结束！                   46'1分钟后亚泰回敬威胁攻势，伊哈洛将球塞入禁区右侧，谭龙在与李学鹏的激烈对抗中小角度攻门打偏
46'下半场比赛开始！                   46'1分钟后亚泰回敬威胁攻势，伊哈洛将球塞入禁区右侧，谭龙在与李学鹏的激烈对抗中小角度攻门打偏
46'下半场由恒大中圈开球                   46'1分钟后亚泰回敬威胁攻势，伊哈洛将球塞入禁区右侧，谭龙在与李学鹏的激烈对抗中小角度攻门打偏
46'郑智的分边左路，球直接出边线                   46'1分钟后亚泰回敬威胁攻势，伊哈洛将球塞入禁区右侧，谭龙在与李学鹏的激烈对抗中小角度攻门打偏
46'伊哈洛接应直传，谭龙越位                   46'1分钟后亚泰回敬威胁攻势，伊哈洛将球塞入禁区右侧，谭龙在与李学鹏的激烈对抗中小角度攻门打偏
47'伊哈洛的带球，过了刘健，冯潇霆大脚解围                   46'1分钟后亚泰回敬威胁攻势，伊哈洛将球塞入禁区右侧，谭龙在与李学鹏的激烈对抗中小角度攻门打偏
47'这一头吴亚轲也大脚踢出边线                   46'1分钟后亚泰回敬威胁攻势，伊哈洛将球塞入禁区右侧，谭龙在与李学鹏的激烈对抗中小角度攻门打偏
47'保利尼奥带球，回传给冯潇霆                   46'1分钟后亚泰回敬威胁攻势，伊哈洛将球塞入禁区右侧，谭龙在与李学鹏的激烈对抗中小角度攻门打偏
47'交给保利尼奥                   46'1分钟后亚泰回敬威胁攻势，伊哈洛将球塞入禁区右侧，谭龙在与李学鹏的激烈对抗中小角度攻门打偏
47'节奏还是打得比较慢                   46'1分钟后亚泰回敬威胁攻势，伊哈洛将球塞入禁区右侧，谭龙在与李学鹏的激烈对抗中小角度攻门打偏
47'保利尼奥护球，谭龙上抢有犯规动作                   46'1分钟后亚泰回敬威胁攻势，伊哈洛将球塞入禁区右侧，谭龙在与李学鹏的激烈对抗中小角度攻门打偏
48'冯潇霆的直传，被李光拦截                   46'1分钟后亚泰回敬威胁攻势，伊哈洛将球塞入禁区右侧，谭龙在与李学鹏的激烈对抗中小角度攻门打偏
48'长传上来，被李学鹏端一下，裴帅再踢一脚，球出边线                   46'1分钟后亚泰回敬威胁攻势，伊哈洛将球塞入禁区右侧，谭龙在与李学鹏的激烈对抗中小角度攻门打偏
48'伊哈洛接应，回传被拦截                   46'1分钟后亚泰回敬威胁攻势，伊哈洛将球塞入禁区右侧，谭龙在与李学鹏的激烈对抗中小角度攻门打偏
48'保利尼奥交给郑智，趟大了                   46'1分钟后亚泰回敬威胁攻势，伊哈洛将球塞入禁区右侧，谭龙在与李学鹏的激烈对抗中小角度攻门打偏
49'伊哈洛接应分边给了谭龙，再直传，刘健速度很快将球断下                   46'1分钟后亚泰回敬威胁攻势，伊哈洛将球塞入禁区右侧，谭龙在与李学鹏的激烈对抗中小角度攻门打偏
49'直传，球偏转出了边线                   46'1分钟后亚泰回敬威胁攻势，伊哈洛将球塞入禁区右侧，谭龙在与李学鹏的激烈对抗中小角度攻门打偏
49'李光分左侧，裴帅停球过了张琳芃                   46'1分钟后亚泰回敬威胁攻势，伊哈洛将球塞入禁区右侧，谭龙在与李学鹏的激烈对抗中小角度攻门打偏
49'张琳芃拉住裴帅的手                   46'1分钟后亚泰回敬威胁攻势，伊哈洛将球塞入禁区右侧，谭龙在与李学鹏的激烈对抗中小角度攻门打偏
49'张琳芃吃到黄牌                   46'1分钟后亚泰回敬威胁攻势，伊哈洛将球塞入禁区右侧，谭龙在与李学鹏的激烈对抗中小角度攻门打偏
49'亚泰左路的任意球机会                   46'1分钟后亚泰回敬威胁攻势，伊哈洛将球塞入禁区右侧，谭龙在与李学鹏的激烈对抗中小角度攻门打偏
70'胡斯蒂传到禁区，落点极佳，不过抢点的裴帅与孙捷都没有碰到球                   70'第70分钟，亚泰右路任意球制造威胁，胡斯蒂的传球快速传至后点，谭龙与孙捷两人近距离包抄均错过了皮球落点
70'冯潇霆交给黄博文                   70'第70分钟，亚泰右路任意球制造威胁，胡斯蒂的传球快速传至后点，谭龙与孙捷两人近距离包抄均错过了皮球落点
70'再交给高拉特，交给保利尼奥，转移到右侧的于汉超                   70'第70分钟，亚泰右路任意球制造威胁，胡斯蒂的传球快速传至后点，谭龙与孙捷两人近距离包抄均错过了皮球落点
70'回传给张琳芃                   70'第70分钟，亚泰右路任意球制造威胁，胡斯蒂的传球快速传至后点，谭龙与孙捷两人近距离包抄均错过了皮球落点
70'于汉超接应交给保利尼奥，一记                   70'第70分钟，亚泰右路任意球制造威胁，胡斯蒂的传球快速传至后点，谭龙与孙捷两人近距离包抄均错过了皮球落点
70'阿兰横传给于汉超，冲进了人堆里                   70'第70分钟，亚泰右路任意球制造威胁，胡斯蒂的传球快速传至后点，谭龙与孙捷两人近距离包抄均错过了皮球落点
70'张笑飞开大脚被于汉超拦截出边线                   70'第70分钟，亚泰右路任意球制造威胁，胡斯蒂的传球快速传至后点，谭龙与孙捷两人近距离包抄均错过了皮球落点
71'保利尼奥中场拉人犯规，拉了蒋哲一把                   70'第70分钟，亚泰右路任意球制造威胁，胡斯蒂的传球快速传至后点，谭龙与孙捷两人近距离包抄均错过了皮球落点
71'胡斯蒂左路直传，于汉超将张笑飞挡在身后                   70'第70分钟，亚泰右路任意球制造威胁，胡斯蒂的传球快速传至后点，谭龙与孙捷两人近距离包抄均错过了皮球落点
