1'主裁判吹响了上半场比赛开始的哨音~                   1'巴萨第1分钟就展开围攻之势
76'蒂耶维~过掉了马斯切拉诺                   75'巴萨第75分钟锁定胜局，哈维开出角球，巴尔特拉小禁区前冲顶入网，3-0
76'小马哥因为有牌在身不敢动作过大                   75'巴萨第75分钟锁定胜局，哈维开出角球，巴尔特拉小禁区前冲顶入网，3-0
77'蒂耶维到了底线传中~球被布拉沃拦截                   75'巴萨第75分钟锁定胜局，哈维开出角球，巴尔特拉小禁区前冲顶入网，3-0
78'哈维长传想找佩德罗~~~                   75'巴萨第75分钟锁定胜局，哈维开出角球，巴尔特拉小禁区前冲顶入网，3-0
78'力量稍微用大了点                   75'巴萨第75分钟锁定胜局，哈维开出角球，巴尔特拉小禁区前冲顶入网，3-0
78'梅西~后场带球被断                   75'巴萨第75分钟锁定胜局，哈维开出角球，巴尔特拉小禁区前冲顶入网，3-0
93'待会来看下慢动作究竟有没有越位                   93'第93分钟，梅西策动快攻，佩德罗禁区左侧无私传球，苏亚雷斯轻松打入空门，4-0
93'佩德罗好机会~                   93'第93分钟，梅西策动快攻，佩德罗禁区左侧无私传球，苏亚雷斯轻松打入空门，4-0
93'苏亚雷斯~~~                   93'第93分钟，梅西策动快攻，佩德罗禁区左侧无私传球，苏亚雷斯轻松打入空门，4-0
93'Gooooooooooooooooal~~~                   93'第93分钟，梅西策动快攻，佩德罗禁区左侧无私传球，苏亚雷斯轻松打入空门，4-0
94'佩刀接到了梅西的挑传，面对门将无私的选择了传中，后点包抄的苏亚雷斯将球推入了空门                   93'第93分钟，梅西策动快攻，佩德罗禁区左侧无私传球，苏亚雷斯轻松打入空门，4-0
