5'中场的争夺                   5'第5分钟，白岳峰右路传中，皮球直接出了底线
29'惠家康交给了郭皓                   26'第26分钟，李星灿开出左侧角球，杨启鹏击球不远，帕托在对方禁区内右侧起脚射门，皮球高出横梁
29'交给赵宏略，长传上来，权敬源抢在伊德耶之前将球撩起来                   26'第26分钟，李星灿开出左侧角球，杨启鹏击球不远，帕托在对方禁区内右侧起脚射门，皮球高出横梁
29'潘喜明交给黄锡镐                   29'第29分钟，糜昊伦做出危险动作，古德利痛苦倒地
29'黄锡镐交给白岳峰，回给黄锡镐                   29'第29分钟，糜昊伦做出危险动作，古德利痛苦倒地
29'转移给了赵宏略                   29'第29分钟，糜昊伦做出危险动作，古德利痛苦倒地
29'惠家康交给了郭皓                   29'第29分钟，糜昊伦做出危险动作，古德利痛苦倒地
29'交给赵宏略，长传上来，权敬源抢在伊德耶之前将球撩起来                   29'第29分钟，糜昊伦做出危险动作，古德利痛苦倒地
30'潘喜明转移给了黄锡镐                   29'第29分钟，糜昊伦做出危险动作，古德利痛苦倒地
30'长传前场右路，糜昊伦将球让出边线                   29'第29分钟，糜昊伦做出危险动作，古德利痛苦倒地
31'赵宏略交给惠家康，惠家康没有拿住球                   29'第29分钟，糜昊伦做出危险动作，古德利痛苦倒地
31'赵宏略左路与古德利做二过一                   29'第29分钟，糜昊伦做出危险动作，古德利痛苦倒地
31'前插不坚决，被张诚解围                   29'第29分钟，糜昊伦做出危险动作，古德利痛苦倒地
32'买提江中场接应被李星灿扫倒                   29'第29分钟，糜昊伦做出危险动作，古德利痛苦倒地
32'李星灿吃到黄牌                   29'第29分钟，糜昊伦做出危险动作，古德利痛苦倒地
32'这是一记双脚离地的飞铲，慢镜看非常恶劣                   29'第29分钟，糜昊伦做出危险动作，古德利痛苦倒地
32'买提江中场接应被李星灿扫倒                   32'第32分钟，李星灿踢倒买提江，领到一张黄牌
32'李星灿吃到黄牌                   32'第32分钟，李星灿踢倒买提江，领到一张黄牌
32'这是一记双脚离地的飞铲，慢镜看非常恶劣                   32'第32分钟，李星灿踢倒买提江，领到一张黄牌
33'天津亿利左路的任意球机会                   32'第32分钟，李星灿踢倒买提江，领到一张黄牌
33'买提江送到门前，给太深了，球弹地后出底线                   32'第32分钟，李星灿踢倒买提江，领到一张黄牌
34'张诚掷界外球，刘奕鸣推倒了李星灿                   32'第32分钟，李星灿踢倒买提江，领到一张黄牌
34'刘奕鸣长传上来，李星灿护球分给张诚                   32'第32分钟，李星灿踢倒买提江，领到一张黄牌
34'挑传，黄锡镐将球破坏出底线                   32'第32分钟，李星灿踢倒买提江，领到一张黄牌
34'权健右路的角球机会                   32'第32分钟，李星灿踢倒买提江，领到一张黄牌
34'对不起，是一个界外球                   32'第32分钟，李星灿踢倒买提江，领到一张黄牌
35'权敬源过来掷，很远噢，黄锡镐头球顶出                   32'第32分钟，李星灿踢倒买提江，领到一张黄牌
35'张诚长传左侧的维特塞尔                   32'第32分钟，李星灿踢倒买提江，领到一张黄牌
35'送到禁区，黄锡镐解围                   32'第32分钟，李星灿踢倒买提江，领到一张黄牌
35'争高球时维特塞尔摁倒了买提江                   32'第32分钟，李星灿踢倒买提江，领到一张黄牌
38'郑达伦应该是右脚停下一扣再左脚低射打入球网右下角！                   38'第38分钟，糜昊伦犯规，被主裁判出示一张黄牌
38'天津权健先开纪录                   38'第38分钟，糜昊伦犯规，被主裁判出示一张黄牌
38'糜昊伦中场拦截犯规                   38'第38分钟，糜昊伦犯规，被主裁判出示一张黄牌
38'糜昊伦吃到黄牌                   38'第38分钟，糜昊伦犯规，被主裁判出示一张黄牌
38'古德利分边左路的赵宏略                   38'第38分钟，糜昊伦犯规，被主裁判出示一张黄牌
39'直传，张诚断球解围，被惠家康拦截出边线                   38'第38分钟，糜昊伦犯规，被主裁判出示一张黄牌
39'惠家康左路交给赵宏略，下底传中                   38'第38分钟，糜昊伦犯规，被主裁判出示一张黄牌
40'古德利拿球没能转身                   38'第38分钟，糜昊伦犯规，被主裁判出示一张黄牌
40'白岳峰外围得球斜传，被刘奕鸣顶一下                   38'第38分钟，糜昊伦犯规，被主裁判出示一张黄牌
41'权健右路的配合，王永珀变向，潘喜明铲球犯规                   38'第38分钟，糜昊伦犯规，被主裁判出示一张黄牌
41'潘喜明的动作也是相当凶狠                   38'第38分钟，糜昊伦犯规，被主裁判出示一张黄牌
41'权健右路的任意球                   38'第38分钟，糜昊伦犯规，被主裁判出示一张黄牌
48'再交给右路的白岳峰                   48'第48分钟，天津泰达亿利左路传球到对方禁区内左侧，伊德耶在对方禁区内转身大力射门，皮球打在边网上
48'回传给黄锡镐                   48'第48分钟，天津泰达亿利左路传球到对方禁区内左侧，伊德耶在对方禁区内转身大力射门，皮球打在边网上
48'古德利拿一拿球                   48'第48分钟，天津泰达亿利左路传球到对方禁区内左侧，伊德耶在对方禁区内转身大力射门，皮球打在边网上
48'潘喜明长传打到禁区内，伊德耶待皮球落地，转身小角度抽射，打在边网上                   48'第48分钟，天津泰达亿利左路传球到对方禁区内左侧，伊德耶在对方禁区内转身大力射门，皮球打在边网上
49'张鹭发门球                   48'第48分钟，天津泰达亿利左路传球到对方禁区内左侧，伊德耶在对方禁区内转身大力射门，皮球打在边网上
49'被破坏                   48'第48分钟，天津泰达亿利左路传球到对方禁区内左侧，伊德耶在对方禁区内转身大力射门，皮球打在边网上
49'胡人天接应回传给郭皓                   48'第48分钟，天津泰达亿利左路传球到对方禁区内左侧，伊德耶在对方禁区内转身大力射门，皮球打在边网上
49'古德利接应分左侧的惠家康                   48'第48分钟，天津泰达亿利左路传球到对方禁区内左侧，伊德耶在对方禁区内转身大力射门，皮球打在边网上
49'再回传给古德利，大力远射，打偏了                   48'第48分钟，天津泰达亿利左路传球到对方禁区内左侧，伊德耶在对方禁区内转身大力射门，皮球打在边网上
50'张鹭发门球上前                   48'第48分钟，天津泰达亿利左路传球到对方禁区内左侧，伊德耶在对方禁区内转身大力射门，皮球打在边网上
50'伊德耶回接一下                   48'第48分钟，天津泰达亿利左路传球到对方禁区内左侧，伊德耶在对方禁区内转身大力射门，皮球打在边网上
50'郭皓分右路的胡人天                   48'第48分钟，天津泰达亿利左路传球到对方禁区内左侧，伊德耶在对方禁区内转身大力射门，皮球打在边网上
50'球被糜昊伦破坏出边线                   48'第48分钟，天津泰达亿利左路传球到对方禁区内左侧，伊德耶在对方禁区内转身大力射门，皮球打在边网上
51'刘奕鸣长传上来，潘喜明拦截下来                   48'第48分钟，天津泰达亿利左路传球到对方禁区内左侧，伊德耶在对方禁区内转身大力射门，皮球打在边网上
51'交给左侧的赵宏略                   48'第48分钟，天津泰达亿利左路传球到对方禁区内左侧，伊德耶在对方禁区内转身大力射门，皮球打在边网上
51'长传上来，伊德耶越位                   48'第48分钟，天津泰达亿利左路传球到对方禁区内左侧，伊德耶在对方禁区内转身大力射门，皮球打在边网上
50'张鹭发门球上前                   50'第50分钟，伊德耶被判越位，但慢镜头显示他没有越位
50'伊德耶回接一下                   50'第50分钟，伊德耶被判越位，但慢镜头显示他没有越位
50'郭皓分右路的胡人天                   50'第50分钟，伊德耶被判越位，但慢镜头显示他没有越位
50'球被糜昊伦破坏出边线                   50'第50分钟，伊德耶被判越位，但慢镜头显示他没有越位
51'刘奕鸣长传上来，潘喜明拦截下来                   50'第50分钟，伊德耶被判越位，但慢镜头显示他没有越位
51'交给左侧的赵宏略                   50'第50分钟，伊德耶被判越位，但慢镜头显示他没有越位
51'长传上来，伊德耶越位                   50'第50分钟，伊德耶被判越位，但慢镜头显示他没有越位
52'赵旭日中场推进，直传，郑达伦单刀了！                   50'第50分钟，伊德耶被判越位，但慢镜头显示他没有越位
52'郑达伦扛住后卫，面对杨启鹏轻轻一挑，球进了！                   50'第50分钟，伊德耶被判越位，但慢镜头显示他没有越位
53'郑达伦这轻轻一搓真是冷静！                   50'第50分钟，伊德耶被判越位，但慢镜头显示他没有越位
53'惠家康左路下底传中，被权敬源解围                   50'第50分钟，伊德耶被判越位，但慢镜头显示他没有越位
53'郑达伦这轻轻一搓真是冷静！                   53'第53分钟，古德利在对方禁区外起脚射门，皮球打在防守球员身上
53'惠家康左路下底传中，被权敬源解围                   53'第53分钟，古德利在对方禁区外起脚射门，皮球打在防守球员身上
54'又是惠家康，传中，伊德耶头球攻门，张鹭将球扑出！                   53'第53分钟，古德利在对方禁区外起脚射门，皮球打在防守球员身上
54'张鹭作出一记世界级的扑救                   53'第53分钟，古德利在对方禁区外起脚射门，皮球打在防守球员身上
55'古德利远射，被张鹭将球抱住                   53'第53分钟，古德利在对方禁区外起脚射门，皮球打在防守球员身上
55'王永珀前场护球                   53'第53分钟，古德利在对方禁区外起脚射门，皮球打在防守球员身上
56'与糜昊伦做配合                   53'第53分钟，古德利在对方禁区外起脚射门，皮球打在防守球员身上
56'白岳峰将球铲出边线                   53'第53分钟，古德利在对方禁区外起脚射门，皮球打在防守球员身上
56'郑达伦左路的转身突破，被白岳峰推倒                   53'第53分钟，古德利在对方禁区外起脚射门，皮球打在防守球员身上
56'权健左路的任意球机会                   53'第53分钟，古德利在对方禁区外起脚射门，皮球打在防守球员身上
64'买提江发角球被破坏                   64'第64分钟，天津权健快速反击，赵旭日送出妙传，帕托带球到对方禁区内中路射门，皮球穿裆入围，把场上比分改写为3-0
64'赵旭日带球上来，直传                   64'第64分钟，天津权健快速反击，赵旭日送出妙传，帕托带球到对方禁区内中路射门，皮球穿裆入围，把场上比分改写为3-0
65'帕托后排插上，面对门将，左脚低射，穿裆球进！！！                   64'第64分钟，天津权健快速反击，赵旭日送出妙传，帕托带球到对方禁区内中路射门，皮球穿裆入围，把场上比分改写为3-0
65'这球帕托打得非常漂亮                   64'第64分钟，天津权健快速反击，赵旭日送出妙传，帕托带球到对方禁区内中路射门，皮球穿裆入围，把场上比分改写为3-0
65'惠家康左路下底传中，没有威胁                   64'第64分钟，天津权健快速反击，赵旭日送出妙传，帕托带球到对方禁区内中路射门，皮球穿裆入围，把场上比分改写为3-0
66'王永珀带球反击被放倒                   64'第64分钟，天津权健快速反击，赵旭日送出妙传，帕托带球到对方禁区内中路射门，皮球穿裆入围，把场上比分改写为3-0
66'帕切科也是非常失望                   64'第64分钟，天津权健快速反击，赵旭日送出妙传，帕托带球到对方禁区内中路射门，皮球穿裆入围，把场上比分改写为3-0
67'古德利带球，分左路                   64'第64分钟，天津权健快速反击，赵旭日送出妙传，帕托带球到对方禁区内中路射门，皮球穿裆入围，把场上比分改写为3-0
67'再回到中路，郭皓起球送到禁区，伊德耶头球一顶                   64'第64分钟，天津权健快速反击，赵旭日送出妙传，帕托带球到对方禁区内中路射门，皮球穿裆入围，把场上比分改写为3-0
46'帕托的远射，打高了                   46'1分钟之后，帕托主罚任意球，直接射门，皮球被杨启鹏扑住
47'权敬源左路掷界外球，潘喜明的解围                   46'1分钟之后，帕托主罚任意球，直接射门，皮球被杨启鹏扑住
47'上半场比赛结束！                   46'1分钟之后，帕托主罚任意球，直接射门，皮球被杨启鹏扑住
46'下半场由天津亿利中圈开球                   46'1分钟之后，帕托主罚任意球，直接射门，皮球被杨启鹏扑住
46'左路糜昊伦的长传，球直接飞出底线                   46'1分钟之后，帕托主罚任意球，直接射门，皮球被杨启鹏扑住
46'古德利左路下底传中，被刘奕鸣顶出禁区                   46'1分钟之后，帕托主罚任意球，直接射门，皮球被杨启鹏扑住
46'古德利再得球，送禁区，被赵旭日踢出边线                   46'1分钟之后，帕托主罚任意球，直接射门，皮球被杨启鹏扑住
47'白岳峰掷界外球，郭皓接应一下                   46'1分钟之后，帕托主罚任意球，直接射门，皮球被杨启鹏扑住
47'还是白岳峰，胡人天出来要球                   46'1分钟之后，帕托主罚任意球，直接射门，皮球被杨启鹏扑住
47'送过顶长传，球出底线                   46'1分钟之后，帕托主罚任意球，直接射门，皮球被杨启鹏扑住
47'郭皓带球                   46'1分钟之后，帕托主罚任意球，直接射门，皮球被杨启鹏扑住
47'分给左路的糜昊伦                   46'1分钟之后，帕托主罚任意球，直接射门，皮球被杨启鹏扑住
48'再交给右路的白岳峰                   46'1分钟之后，帕托主罚任意球，直接射门，皮球被杨启鹏扑住
48'回传给黄锡镐                   46'1分钟之后，帕托主罚任意球，直接射门，皮球被杨启鹏扑住
48'古德利拿一拿球                   46'1分钟之后，帕托主罚任意球，直接射门，皮球被杨启鹏扑住
48'潘喜明长传打到禁区内，伊德耶待皮球落地，转身小角度抽射，打在边网上                   46'1分钟之后，帕托主罚任意球，直接射门，皮球被杨启鹏扑住
49'张鹭发门球                   46'1分钟之后，帕托主罚任意球，直接射门，皮球被杨启鹏扑住
49'被破坏                   46'1分钟之后，帕托主罚任意球，直接射门，皮球被杨启鹏扑住
49'胡人天接应回传给郭皓                   46'1分钟之后，帕托主罚任意球，直接射门，皮球被杨启鹏扑住
49'古德利接应分左侧的惠家康                   46'1分钟之后，帕托主罚任意球，直接射门，皮球被杨启鹏扑住
49'再回传给古德利，大力远射，打偏了                   46'1分钟之后，帕托主罚任意球，直接射门，皮球被杨启鹏扑住
50'张鹭发门球上前                   50'5分钟之后，古德利开出左侧任意球，皮球被张鹭拿到
50'伊德耶回接一下                   50'5分钟之后，古德利开出左侧任意球，皮球被张鹭拿到
50'郭皓分右路的胡人天                   50'5分钟之后，古德利开出左侧任意球，皮球被张鹭拿到
50'球被糜昊伦破坏出边线                   50'5分钟之后，古德利开出左侧任意球，皮球被张鹭拿到
51'刘奕鸣长传上来，潘喜明拦截下来                   50'5分钟之后，古德利开出左侧任意球，皮球被张鹭拿到
51'交给左侧的赵宏略                   50'5分钟之后，古德利开出左侧任意球，皮球被张鹭拿到
51'长传上来，伊德耶越位                   50'5分钟之后，古德利开出左侧任意球，皮球被张鹭拿到
52'赵旭日中场推进，直传，郑达伦单刀了！                   50'5分钟之后，古德利开出左侧任意球，皮球被张鹭拿到
52'郑达伦扛住后卫，面对杨启鹏轻轻一挑，球进了！                   50'5分钟之后，古德利开出左侧任意球，皮球被张鹭拿到
53'郑达伦这轻轻一搓真是冷静！                   50'5分钟之后，古德利开出左侧任意球，皮球被张鹭拿到
53'惠家康左路下底传中，被权敬源解围                   50'5分钟之后，古德利开出左侧任意球，皮球被张鹭拿到
46'帕托的远射，打高了                   46'1分钟之后，古德利大力远射，皮球击中横梁
47'权敬源左路掷界外球，潘喜明的解围                   46'1分钟之后，古德利大力远射，皮球击中横梁
47'上半场比赛结束！                   46'1分钟之后，古德利大力远射，皮球击中横梁
46'下半场由天津亿利中圈开球                   46'1分钟之后，古德利大力远射，皮球击中横梁
46'左路糜昊伦的长传，球直接飞出底线                   46'1分钟之后，古德利大力远射，皮球击中横梁
46'古德利左路下底传中，被刘奕鸣顶出禁区                   46'1分钟之后，古德利大力远射，皮球击中横梁
46'古德利再得球，送禁区，被赵旭日踢出边线                   46'1分钟之后，古德利大力远射，皮球击中横梁
47'白岳峰掷界外球，郭皓接应一下                   46'1分钟之后，古德利大力远射，皮球击中横梁
47'还是白岳峰，胡人天出来要球                   46'1分钟之后，古德利大力远射，皮球击中横梁
47'送过顶长传，球出底线                   46'1分钟之后，古德利大力远射，皮球击中横梁
47'郭皓带球                   46'1分钟之后，古德利大力远射，皮球击中横梁
47'分给左路的糜昊伦                   46'1分钟之后，古德利大力远射，皮球击中横梁
48'再交给右路的白岳峰                   46'1分钟之后，古德利大力远射，皮球击中横梁
48'回传给黄锡镐                   46'1分钟之后，古德利大力远射，皮球击中横梁
48'古德利拿一拿球                   46'1分钟之后，古德利大力远射，皮球击中横梁
48'潘喜明长传打到禁区内，伊德耶待皮球落地，转身小角度抽射，打在边网上                   46'1分钟之后，古德利大力远射，皮球击中横梁
49'张鹭发门球                   46'1分钟之后，古德利大力远射，皮球击中横梁
49'被破坏                   46'1分钟之后，古德利大力远射，皮球击中横梁
49'胡人天接应回传给郭皓                   46'1分钟之后，古德利大力远射，皮球击中横梁
49'古德利接应分左侧的惠家康                   46'1分钟之后，古德利大力远射，皮球击中横梁
49'再回传给古德利，大力远射，打偏了                   46'1分钟之后，古德利大力远射，皮球击中横梁
