1'上半场比赛开始                   1'皇马第1分钟控制比赛
49'瓦拉内被主裁判出示了黄牌警告！！！                   47'第47分钟，卡瓦哈尔禁区右侧传中，C-罗纳尔多12码处凌空扫射又被卡梅尼扑出
49'马拉加获得了前场中路的任意球机会                   47'第47分钟，卡瓦哈尔禁区右侧传中，C-罗纳尔多12码处凌空扫射又被卡梅尼扑出
49'任意球直接攻门，死角啊，被纳瓦斯一个鱼跃扑出                   47'第47分钟，卡瓦哈尔禁区右侧传中，C-罗纳尔多12码处凌空扫射又被卡梅尼扑出
50'雷西奥禁区外围得球，拔脚怒射，打偏了一点点                   47'第47分钟，卡瓦哈尔禁区右侧传中，C-罗纳尔多12码处凌空扫射又被卡梅尼扑出
50'精彩回放：卡瓦哈尔右路拿球，强突下底后倒三角回传中路，C罗侧身凌空抽射，被卡梅尼用身体挡出                   47'第47分钟，卡瓦哈尔禁区右侧传中，C-罗纳尔多12码处凌空扫射又被卡梅尼扑出
76'在球出底线前，纳瓦斯将球拍回，纳乔将球控制                   76'第76分钟，本泽马禁区边缘内劲射被扑出，伊斯科禁区左侧铲射被卡梅尼扑挡后滚向球门，维利格顿门线上解围
76'这球有点意思，篮球场上争抢篮板的动作啊                   76'第76分钟，本泽马禁区边缘内劲射被扑出，伊斯科禁区左侧铲射被卡梅尼扑挡后滚向球门，维利格顿门线上解围
77'皇马前场进攻，本泽马的抽射被门将扑出，脱手啦                   76'第76分钟，本泽马禁区边缘内劲射被扑出，伊斯科禁区左侧铲射被卡梅尼扑挡后滚向球门，维利格顿门线上解围
77'C罗左侧跟进，补射，被防守球员从门里踢了出来啊                   76'第76分钟，本泽马禁区边缘内劲射被扑出，伊斯科禁区左侧铲射被卡梅尼扑挡后滚向球门，维利格顿门线上解围
78'这球好像越过了门线，又成冤案啊                   76'第76分钟，本泽马禁区边缘内劲射被扑出，伊斯科禁区左侧铲射被卡梅尼扑挡后滚向球门，维利格顿门线上解围
78'阿姆拉巴特中圈和马塞洛争抢，阿姆拉巴特直接上肘从身后撞翻了马塞洛                   76'第76分钟，本泽马禁区边缘内劲射被扑出，伊斯科禁区左侧铲射被卡梅尼扑挡后滚向球门，维利格顿门线上解围
79'阿姆拉巴特被主裁判直接出示红牌罚出场外！！！                   76'第76分钟，本泽马禁区边缘内劲射被扑出，伊斯科禁区左侧铲射被卡梅尼扑挡后滚向球门，维利格顿门线上解围
79'不好意思，刚刚制造门前冤案不是C罗                   76'第76分钟，本泽马禁区边缘内劲射被扑出，伊斯科禁区左侧铲射被卡梅尼扑挡后滚向球门，维利格顿门线上解围
90'卡瓦哈尔被主裁判出示了黄牌警告！！！                   90'第90分钟，摩德里奇禁区右侧横传伊斯科扫射破门，但因越位在先被判无效
90'常规时间已经进入读秒阶段，看看皇马能否上演绝杀呢？                   90'第90分钟，摩德里奇禁区右侧横传伊斯科扫射破门，但因越位在先被判无效
91'马塞洛禁区左上角的斜传球到远端，莫德里奇前插被吹越位在先                   90'第90分钟，摩德里奇禁区右侧横传伊斯科扫射破门，但因越位在先被判无效
91'下半场比赛补时4分钟                   90'第90分钟，摩德里奇禁区右侧横传伊斯科扫射破门，但因越位在先被判无效
91'马拉加的反击，卷皮左路内切，打门，打在边网上                   90'第90分钟，摩德里奇禁区右侧横传伊斯科扫射破门，但因越位在先被判无效
92'马拉加现在是全员收缩到自己的禁区附近防守                   90'第90分钟，摩德里奇禁区右侧横传伊斯科扫射破门，但因越位在先被判无效
93'马塞洛左路拿球，强突下底传中到后点                   90'第90分钟，摩德里奇禁区右侧横传伊斯科扫射破门，但因越位在先被判无效
93'C罗近在咫尺的包抄攻门，再次打飞！！！                   90'第90分钟，摩德里奇禁区右侧横传伊斯科扫射破门，但因越位在先被判无效
93'C罗坐在地上，一脸无奈啊！！！                   90'第90分钟，摩德里奇禁区右侧横传伊斯科扫射破门，但因越位在先被判无效
46'马拉加后场起球到前场，阿姆拉巴特拿球，转身被破坏                   46'1分钟后，C-罗纳尔多头球再次蹭偏，他懊恼脚踹立柱发泄不满
46'下半场比赛开始                   46'1分钟后，C-罗纳尔多头球再次蹭偏，他懊恼脚踹立柱发泄不满
46'白衣白裤的皇马开球，从画面的右侧向左进攻                   46'1分钟后，C-罗纳尔多头球再次蹭偏，他懊恼脚踹立柱发泄不满
46'双方在下半场并没有人员上的调整                   46'1分钟后，C-罗纳尔多头球再次蹭偏，他懊恼脚踹立柱发泄不满
47'卡瓦哈尔右路拿球，斜传到后点，没人顶到，被罗萨拉斯控制                   46'1分钟后，C-罗纳尔多头球再次蹭偏，他懊恼脚踹立柱发泄不满
47'克罗斯中场拿球，蒂索内上抢，直接踩在了克罗斯的右脚上                   46'1分钟后，C-罗纳尔多头球再次蹭偏，他懊恼脚踹立柱发泄不满
48'蒂加多伊尼前场中路拿球，瓦拉内上抢，放铲带倒了对方，犯规                   46'1分钟后，C-罗纳尔多头球再次蹭偏，他懊恼脚踹立柱发泄不满
49'瓦拉内被主裁判出示了黄牌警告！！！                   46'1分钟后，C-罗纳尔多头球再次蹭偏，他懊恼脚踹立柱发泄不满
49'马拉加获得了前场中路的任意球机会                   46'1分钟后，C-罗纳尔多头球再次蹭偏，他懊恼脚踹立柱发泄不满
49'任意球直接攻门，死角啊，被纳瓦斯一个鱼跃扑出                   46'1分钟后，C-罗纳尔多头球再次蹭偏，他懊恼脚踹立柱发泄不满
