1'埃瓦尔中圈开球，上半场比赛开始了                   1'开场不到1分钟，佩尼亚右路传中，安赫尔12码处头球攻门高出
18'.拉米斯头球攻门！被特尔施特根抱住没收了！                   16'巴萨第16分钟取得领先，梅西直传，苏亚雷斯禁区右侧晃过迪米特洛维奇后小角度射入空门
18'梅西前场分球右侧插上的苏亚雷斯！                   16'巴萨第16分钟取得领先，梅西直传，苏亚雷斯禁区右侧晃过迪米特洛维奇后小角度射入空门
18'苏亚雷斯带球突破到了禁区内！                   16'巴萨第16分钟取得领先，梅西直传，苏亚雷斯禁区右侧晃过迪米特洛维奇后小角度射入空门
18'假动作晃开门将！！                   16'巴萨第16分钟取得领先，梅西直传，苏亚雷斯禁区右侧晃过迪米特洛维奇后小角度射入空门
19'苏亚雷斯！！推射破门！！！                   16'巴萨第16分钟取得领先，梅西直传，苏亚雷斯禁区右侧晃过迪米特洛维奇后小角度射入空门
19'GOOOOOOOOOOOOOOOOAL！！！                   16'巴萨第16分钟取得领先，梅西直传，苏亚雷斯禁区右侧晃过迪米特洛维奇后小角度射入空门
19'巴塞罗那1-0领先埃瓦尔！                   16'巴萨第16分钟取得领先，梅西直传，苏亚雷斯禁区右侧晃过迪米特洛维奇后小角度射入空门
19'继续比赛！                   16'巴萨第16分钟取得领先，梅西直传，苏亚雷斯禁区右侧晃过迪米特洛维奇后小角度射入空门
19'奥雷利亚纳右路带球进攻！                   16'巴萨第16分钟取得领先，梅西直传，苏亚雷斯禁区右侧晃过迪米特洛维奇后小角度射入空门
19'禁区前沿右侧直接起脚远射打门！                   16'巴萨第16分钟取得领先，梅西直传，苏亚雷斯禁区右侧晃过迪米特洛维奇后小角度射入空门
19'这球击中了门柱！弹出底线！                   16'巴萨第16分钟取得领先，梅西直传，苏亚雷斯禁区右侧晃过迪米特洛维奇后小角度射入空门
19'巴塞罗那的球门球！                   16'巴萨第16分钟取得领先，梅西直传，苏亚雷斯禁区右侧晃过迪米特洛维奇后小角度射入空门
66'巴萨快发定位球给前场中路梅西！                   66'第66分钟，迪奥普犯规被罚黄牌，奥雷利亚纳击开皮球得到第2张黄牌被罚下
66'梅西横敲分球被霍尔丹拦截！                   66'第66分钟，迪奥普犯规被罚黄牌，奥雷利亚纳击开皮球得到第2张黄牌被罚下
66'霍尔丹给后场左侧佩尼亚！                   66'第66分钟，迪奥普犯规被罚黄牌，奥雷利亚纳击开皮球得到第2张黄牌被罚下
66'佩尼亚长传再给前场右侧奥雷利亚纳！                   66'第66分钟，迪奥普犯规被罚黄牌，奥雷利亚纳击开皮球得到第2张黄牌被罚下
67'奥雷利亚纳塞球给禁区前沿的霍尔丹！                   66'第66分钟，迪奥普犯规被罚黄牌，奥雷利亚纳击开皮球得到第2张黄牌被罚下
67'霍尔丹再给前场左侧乾贵士！                   66'第66分钟，迪奥普犯规被罚黄牌，奥雷利亚纳击开皮球得到第2张黄牌被罚下
67'乾贵士停球失误出了边线！                   66'第66分钟，迪奥普犯规被罚黄牌，奥雷利亚纳击开皮球得到第2张黄牌被罚下
67'巴塞罗那换人， 库蒂尼奥换下伊涅斯塔！                   66'第66分钟，迪奥普犯规被罚黄牌，奥雷利亚纳击开皮球得到第2张黄牌被罚下
68'安赫尔低平球斜传中路乾贵士！                   66'第66分钟，迪奥普犯规被罚黄牌，奥雷利亚纳击开皮球得到第2张黄牌被罚下
68'乾贵士低平球推传给右路奥雷利亚纳！                   66'第66分钟，迪奥普犯规被罚黄牌，奥雷利亚纳击开皮球得到第2张黄牌被罚下
68'奥雷利亚纳带球来到禁区前沿！                   66'第66分钟，迪奥普犯规被罚黄牌，奥雷利亚纳击开皮球得到第2张黄牌被罚下
68'推传给跟进的迪奥普！                   66'第66分钟，迪奥普犯规被罚黄牌，奥雷利亚纳击开皮球得到第2张黄牌被罚下
68'迪奥普这下争抢对布斯克茨犯规了！                   66'第66分钟，迪奥普犯规被罚黄牌，奥雷利亚纳击开皮球得到第2张黄牌被罚下
69'迪奥普被黄牌警告！                   66'第66分钟，迪奥普犯规被罚黄牌，奥雷利亚纳击开皮球得到第2张黄牌被罚下
69'奥雷利亚纳这边不给巴萨皮球来发球，也被罚了黄牌！                   66'第66分钟，迪奥普犯规被罚黄牌，奥雷利亚纳击开皮球得到第2张黄牌被罚下
85'比达尔往前场一脚直塞！                   85'第85分钟，梅西直传，比达尔禁区边缘的单刀射门被迪米特洛维奇扑出
85'德米特洛维奇出击大脚破坏出来！                   85'第85分钟，梅西直传，比达尔禁区边缘的单刀射门被迪米特洛维奇扑出
85'中圈 查尔斯抢断皮球！                   85'第85分钟，梅西直传，比达尔禁区边缘的单刀射门被迪米特洛维奇扑出
85' 查尔斯直传球给前场左侧乾贵士！                   85'第85分钟，梅西直传，比达尔禁区边缘的单刀射门被迪米特洛维奇扑出
85'乾贵士的球被拉基蒂奇解围出来！                   85'第85分钟，梅西直传，比达尔禁区边缘的单刀射门被迪米特洛维奇扑出
85'皮球出了边线！                   85'第85分钟，梅西直传，比达尔禁区边缘的单刀射门被迪米特洛维奇扑出
85'埃瓦尔前场左路边线发球给中路查尔斯！                   85'第85分钟，梅西直传，比达尔禁区边缘的单刀射门被迪米特洛维奇扑出
86'查尔斯出球被乌姆蒂蒂大脚破坏出去！                   85'第85分钟，梅西直传，比达尔禁区边缘的单刀射门被迪米特洛维奇扑出
86'梅西中路插上得球！                   85'第85分钟，梅西直传，比达尔禁区边缘的单刀射门被迪米特洛维奇扑出
86'梅西斜线分球给禁区前沿的比达尔！                   85'第85分钟，梅西直传，比达尔禁区边缘的单刀射门被迪米特洛维奇扑出
86'比达尔的单刀机会！爆射轰门！                   85'第85分钟，梅西直传，比达尔禁区边缘的单刀射门被迪米特洛维奇扑出
86'皮球被门将德米特洛维奇挡出去！                   85'第85分钟，梅西直传，比达尔禁区边缘的单刀射门被迪米特洛维奇扑出
87'罗贝托后场把球控制！带球过来！                   85'第85分钟，梅西直传，比达尔禁区边缘的单刀射门被迪米特洛维奇扑出
87'低平球向前给左路阿尔巴！                   85'第85分钟，梅西直传，比达尔禁区边缘的单刀射门被迪米特洛维奇扑出
87'阿尔巴分球前场中路拉基蒂奇！                   85'第85分钟，梅西直传，比达尔禁区边缘的单刀射门被迪米特洛维奇扑出
87'拉基蒂奇再给前场右侧罗贝托！                   85'第85分钟，梅西直传，比达尔禁区边缘的单刀射门被迪米特洛维奇扑出
88'回传给后场乌姆蒂蒂！                   85'第85分钟，梅西直传，比达尔禁区边缘的单刀射门被迪米特洛维奇扑出
88'乌姆蒂蒂再给前场左侧阿尔巴！                   85'第85分钟，梅西直传，比达尔禁区边缘的单刀射门被迪米特洛维奇扑出
88'分球前场中路布斯克茨！                   85'第85分钟，梅西直传，比达尔禁区边缘的单刀射门被迪米特洛维奇扑出
88'再给到禁区右侧的梅西！                   85'第85分钟，梅西直传，比达尔禁区边缘的单刀射门被迪米特洛维奇扑出
88'梅西带球切入禁区内！对抗中摔倒了！裁判没有表示                   85'第85分钟，梅西直传，比达尔禁区边缘的单刀射门被迪米特洛维奇扑出
