3'杨阔边路拿球，转移到左侧给毕津浩                   3'比赛开场仅3分钟，客场作战的河南建业差点破门
23'建业边路直塞，徐洋左路快速跟进，但还是出了底线                   21'处于劣势的石家庄永昌只能依靠定位球制造威胁，第21分钟，石家庄永昌角球传入禁区，古德约翰森头球后蹭，门前包抄的穆伦加和隆东先后抢点射门，但均未能碰到皮球
24'永昌后场的倒脚过渡传大了，越过冯绍顺头顶出了边线                   21'处于劣势的石家庄永昌只能依靠定位球制造威胁，第21分钟，石家庄永昌角球传入禁区，古德约翰森头球后蹭，门前包抄的穆伦加和隆东先后抢点射门，但均未能碰到皮球
24'永昌感觉整体今天都不在状态啊，显得不够兴奋                   21'处于劣势的石家庄永昌只能依靠定位球制造威胁，第21分钟，石家庄永昌角球传入禁区，古德约翰森头球后蹭，门前包抄的穆伦加和隆东先后抢点射门，但均未能碰到皮球
24'李超想交给左边的赵容亨，但建业高位逼抢很紧，选择回敲关震                   21'处于劣势的石家庄永昌只能依靠定位球制造威胁，第21分钟，石家庄永昌角球传入禁区，古德约翰森头球后蹭，门前包抄的穆伦加和隆东先后抢点射门，但均未能碰到皮球
36'伊沃直接送到小禁区中央，郑仁焕冲顶和出击的关震相撞                   36'第36分钟，河南建业再次错失机会，争顶到后点，郑仁焕起脚抢射，球稍稍高出横梁
36'裁判哨响，吹了冲撞门将犯规                   36'第36分钟，河南建业再次错失机会，争顶到后点，郑仁焕起脚抢射，球稍稍高出横梁
38'中超间歇期回来，双方好像都把射门靴忘在了家里，进攻乏善可陈啊                   36'第36分钟，河南建业再次错失机会，争顶到后点，郑仁焕起脚抢射，球稍稍高出横梁
38'永昌中路的配合来自3名外援，古德约翰森一漏，后面的隆东出了机会                   36'第36分钟，河南建业再次错失机会，争顶到后点，郑仁焕起脚抢射，球稍稍高出横梁
39'隆东射门心切，没能看见右路位置更好的冯绍顺，而是选择自己起脚了                   36'第36分钟，河南建业再次错失机会，争顶到后点，郑仁焕起脚抢射，球稍稍高出横梁
39'隆东的射门偏出左门柱                   36'第36分钟，河南建业再次错失机会，争顶到后点，郑仁焕起脚抢射，球稍稍高出横梁
39'永昌的进攻，吊入禁区，戈麦斯的解围给了对手角球机会                   36'第36分钟，河南建业再次错失机会，争顶到后点，郑仁焕起脚抢射，球稍稍高出横梁
57'伊沃右侧的突破，直奔禁区，白鹤无奈从侧后方飞铲，吃到黄牌                   57'下半场易边再战，第57分钟，白鹤犯规被黄牌警告，河南建业获得任意球，伊沃弧线球传入禁区，肖智摆脱防守轻松头球破门，河南建业1-0领先
57'这是本场第一张黄牌                   57'下半场易边再战，第57分钟，白鹤犯规被黄牌警告，河南建业获得任意球，伊沃弧线球传入禁区，肖智摆脱防守轻松头球破门，河南建业1-0领先
57'建业进球了                   57'下半场易边再战，第57分钟，白鹤犯规被黄牌警告，河南建业获得任意球，伊沃弧线球传入禁区，肖智摆脱防守轻松头球破门，河南建业1-0领先
57'是下半场替补上来的肖智                   57'下半场易边再战，第57分钟，白鹤犯规被黄牌警告，河南建业获得任意球，伊沃弧线球传入禁区，肖智摆脱防守轻松头球破门，河南建业1-0领先
58'伊沃定位球送入小禁区，永昌防守漏人，肖智插上反越位，门前头球一蹭，轻松破门                   57'下半场易边再战，第57分钟，白鹤犯规被黄牌警告，河南建业获得任意球，伊沃弧线球传入禁区，肖智摆脱防守轻松头球破门，河南建业1-0领先
58'失球后的永昌立即做出调整                   57'下半场易边再战，第57分钟，白鹤犯规被黄牌警告，河南建业获得任意球，伊沃弧线球传入禁区，肖智摆脱防守轻松头球破门，河南建业1-0领先
58'李春郁上来，替下了白鹤                   57'下半场易边再战，第57分钟，白鹤犯规被黄牌警告，河南建业获得任意球，伊沃弧线球传入禁区，肖智摆脱防守轻松头球破门，河南建业1-0领先
59'这回比赛会好看了，客场一向比较低迷的建业破门了，在家门口作战的永昌肯定不甘失利                   57'下半场易边再战，第57分钟，白鹤犯规被黄牌警告，河南建业获得任意球，伊沃弧线球传入禁区，肖智摆脱防守轻松头球破门，河南建业1-0领先
60'隆东右路想和同伴打一个配合，但传跑没有想到一块                   57'下半场易边再战，第57分钟，白鹤犯规被黄牌警告，河南建业获得任意球，伊沃弧线球传入禁区，肖智摆脱防守轻松头球破门，河南建业1-0领先
60'左路胡伟上来，斜吊禁区                   57'下半场易边再战，第57分钟，白鹤犯规被黄牌警告，河南建业获得任意球，伊沃弧线球传入禁区，肖智摆脱防守轻松头球破门，河南建业1-0领先
60'后点穆伦加抢了一下，但球权还是被对方拿到                   57'下半场易边再战，第57分钟，白鹤犯规被黄牌警告，河南建业获得任意球，伊沃弧线球传入禁区，肖智摆脱防守轻松头球破门，河南建业1-0领先
75'永昌反击，斜传左路，郑仁焕不敢大意，把球踢出边线                   75'第75分钟，石家庄永昌做出最后一搏，用王鹏换下冯绍顺
75'永昌做出最后一个调整，王鹏替下了冯绍顺                   75'第75分钟，石家庄永昌做出最后一搏，用王鹏换下冯绍顺
76'比赛已经来到了75分钟，留给永昌的时间已不是很多                   75'第75分钟，石家庄永昌做出最后一搏，用王鹏换下冯绍顺
76'永昌前场左路的定位球                   75'第75分钟，石家庄永昌做出最后一搏，用王鹏换下冯绍顺
76'直接吊向禁区内，戈麦斯头球解围                   75'第75分钟，石家庄永昌做出最后一搏，用王鹏换下冯绍顺
76'外围永昌把球拿球，孙昊晟在重新送进去                   75'第75分钟，石家庄永昌做出最后一搏，用王鹏换下冯绍顺
77'穆伦加和戈麦斯争抢落点，穆伦加手球犯规了                   75'第75分钟，石家庄永昌做出最后一搏，用王鹏换下冯绍顺
77'两个黑又硬的大个子，身体都是棒棒滴呀                   75'第75分钟，石家庄永昌做出最后一搏，用王鹏换下冯绍顺
78'永昌右路过渡到孙昊晟脚下                   75'第75分钟，石家庄永昌做出最后一搏，用王鹏换下冯绍顺
92'永昌在禁区外右侧犯规了                   92'第92分钟，哈维尔破门，但被吹罚越位在先，进球无效
92'哈维尔没有选择传中，也没有打门，而是一转身，回给了后面的队友                   92'第92分钟，哈维尔破门，但被吹罚越位在先，进球无效
93'建业中路的传递渗透，哈维尔得到机会，一脚打门                   92'第92分钟，哈维尔破门，但被吹罚越位在先，进球无效
93'哈维尔的打门碰到同伴之后变线入网，但进球无效                   92'第92分钟，哈维尔破门，但被吹罚越位在先，进球无效
93'边裁举旗，示意建业的球员越位在先了                   92'第92分钟，哈维尔破门，但被吹罚越位在先，进球无效
94'永昌最后时刻节省时间，只能选择大力的往对方禁区内吊球                   92'第92分钟，哈维尔破门，但被吹罚越位在先，进球无效
94'赵容亨吊进去，多名队员包抄，但没能争到点                   92'第92分钟，哈维尔破门，但被吹罚越位在先，进球无效
95'外围永昌重新在控制下来，传递到左路                   92'第92分钟，哈维尔破门，但被吹罚越位在先，进球无效
95'左路45度斜吊，这是他们最后的一次机会了                   92'第92分钟，哈维尔破门，但被吹罚越位在先，进球无效
95'禁区内穆伦加和孙昊晟抢到了一起，最后还是穆伦加头球轰炸                   92'第92分钟，哈维尔破门，但被吹罚越位在先，进球无效
95'穆伦加在对手和队友的双重干扰下没能顶好，见高不见远                   92'第92分钟，哈维尔破门，但被吹罚越位在先，进球无效
95'韩锋出击稳稳把球摘下                   92'第92分钟，哈维尔破门，但被吹罚越位在先，进球无效
95'韩锋把球开出，黄烨军哨响，全场比赛结束了                   92'第92分钟，哈维尔破门，但被吹罚越位在先，进球无效
