1'裁判哨响！上半场比赛开始！                   1'第1分钟，马尔基西奥外围左脚射门被科尔达兹得到
71'球打高了！！                   71'尤文第71分钟杀死比赛，皮亚尼奇右侧开战术角球，道格拉斯-科斯塔得球直塞，皮亚尼奇禁区右侧传中，马图伊迪漏过，贝纳蒂亚后点左脚推过门线，3比0
72'桑德罗左侧挑传科斯塔！回传给马尔基西奥！                   71'尤文第71分钟杀死比赛，皮亚尼奇右侧开战术角球，道格拉斯-科斯塔得球直塞，皮亚尼奇禁区右侧传中，马图伊迪漏过，贝纳蒂亚后点左脚推过门线，3比0
72'转移右侧巴尔扎利！给中路马图伊迪！                   71'尤文第71分钟杀死比赛，皮亚尼奇右侧开战术角球，道格拉斯-科斯塔得球直塞，皮亚尼奇禁区右侧传中，马图伊迪漏过，贝纳蒂亚后点左脚推过门线，3比0
72'分左侧桑德罗！回传马尔基西奥！                   71'尤文第71分钟杀死比赛，皮亚尼奇右侧开战术角球，道格拉斯-科斯塔得球直塞，皮亚尼奇禁区右侧传中，马图伊迪漏过，贝纳蒂亚后点左脚推过门线，3比0
72'交给右侧德西利奥！                   71'尤文第71分钟杀死比赛，皮亚尼奇右侧开战术角球，道格拉斯-科斯塔得球直塞，皮亚尼奇禁区右侧传中，马图伊迪漏过，贝纳蒂亚后点左脚推过门线，3比0
72'回传巴尔扎利！短传马尔基西奥！                   71'尤文第71分钟杀死比赛，皮亚尼奇右侧开战术角球，道格拉斯-科斯塔得球直塞，皮亚尼奇禁区右侧传中，马图伊迪漏过，贝纳蒂亚后点左脚推过门线，3比0
73'交给巴尔扎利！短传皮亚尼奇！分中路马尔基西奥！                   71'尤文第71分钟杀死比赛，皮亚尼奇右侧开战术角球，道格拉斯-科斯塔得球直塞，皮亚尼奇禁区右侧传中，马图伊迪漏过，贝纳蒂亚后点左脚推过门线，3比0
73'给右侧德西利奥！横传马尔基西奥！                   71'尤文第71分钟杀死比赛，皮亚尼奇右侧开战术角球，道格拉斯-科斯塔得球直塞，皮亚尼奇禁区右侧传中，马图伊迪漏过，贝纳蒂亚后点左脚推过门线，3比0
73'直塞球被解围到中场！                   71'尤文第71分钟杀死比赛，皮亚尼奇右侧开战术角球，道格拉斯-科斯塔得球直塞，皮亚尼奇禁区右侧传中，马图伊迪漏过，贝纳蒂亚后点左脚推过门线，3比0
73'桑德罗得球！短传马尔基西奥！中路直传科斯塔！                   71'尤文第71分钟杀死比赛，皮亚尼奇右侧开战术角球，道格拉斯-科斯塔得球直塞，皮亚尼奇禁区右侧传中，马图伊迪漏过，贝纳蒂亚后点左脚推过门线，3比0
73'分右侧德西利奥！传中打中防守球员出了底线！                   71'尤文第71分钟杀死比赛，皮亚尼奇右侧开战术角球，道格拉斯-科斯塔得球直塞，皮亚尼奇禁区右侧传中，马图伊迪漏过，贝纳蒂亚后点左脚推过门线，3比0
74'尤文右侧角球！战术角球给出来！                   71'尤文第71分钟杀死比赛，皮亚尼奇右侧开战术角球，道格拉斯-科斯塔得球直塞，皮亚尼奇禁区右侧传中，马图伊迪漏过，贝纳蒂亚后点左脚推过门线，3比0
74'皮亚尼奇传中到门前！                   71'尤文第71分钟杀死比赛，皮亚尼奇右侧开战术角球，道格拉斯-科斯塔得球直塞，皮亚尼奇禁区右侧传中，马图伊迪漏过，贝纳蒂亚后点左脚推过门线，3比0
74'贝纳蒂亚得球！无人盯防！推射空门！                   71'尤文第71分钟杀死比赛，皮亚尼奇右侧开战术角球，道格拉斯-科斯塔得球直塞，皮亚尼奇禁区右侧传中，马图伊迪漏过，贝纳蒂亚后点左脚推过门线，3比0
74'GOOOOOOOOOOOOOOOAL！！                   71'尤文第71分钟杀死比赛，皮亚尼奇右侧开战术角球，道格拉斯-科斯塔得球直塞，皮亚尼奇禁区右侧传中，马图伊迪漏过，贝纳蒂亚后点左脚推过门线，3比0
74'皮亚尼奇右侧挑传禁区！                   71'尤文第71分钟杀死比赛，皮亚尼奇右侧开战术角球，道格拉斯-科斯塔得球直塞，皮亚尼奇禁区右侧传中，马图伊迪漏过，贝纳蒂亚后点左脚推过门线，3比0
74'曼朱基奇头球攻门！                   71'尤文第71分钟杀死比赛，皮亚尼奇右侧开战术角球，道格拉斯-科斯塔得球直塞，皮亚尼奇禁区右侧传中，马图伊迪漏过，贝纳蒂亚后点左脚推过门线，3比0
74'打的太正！被科尔达兹没收！                   71'尤文第71分钟杀死比赛，皮亚尼奇右侧开战术角球，道格拉斯-科斯塔得球直塞，皮亚尼奇禁区右侧传中，马图伊迪漏过，贝纳蒂亚后点左脚推过门线，3比0
