1'上半场比赛开始                   1'比赛开场仅1分钟，天津泰达边路传入禁区，周海滨凌空抽射，球被王大雷没收
21'塔尔德利带球突破第一时间没有打门，横带后由蒿俊闵打门被门将没收                   21'第21分钟，山东鲁能打出快速反击，塔尔德利禁区前横带甩开两名防守队员，蒿俊闵禁区前迎球远射，球被门将抱住
22'巴尔克斯在前场得球一脚远射，打偏啦                   21'第21分钟，山东鲁能打出快速反击，塔尔德利禁区前横带甩开两名防守队员，蒿俊闵禁区前迎球远射，球被门将抱住
24'后场鲁能泰山队得球，转移到右路进攻                   21'第21分钟，山东鲁能打出快速反击，塔尔德利禁区前横带甩开两名防守队员，蒿俊闵禁区前迎球远射，球被门将抱住
27'鲁能泰山队后场丢球，普拉利甘吉打门被王大雷没收                   27'第27分钟，巴尔克斯前场拿球送出斜塞，周海滨快速插上形成单刀，在射门之际，蒿俊闵回追将球破坏
27'巴尔克斯左路斜传禁区，周海滨插上抢点打门，被蒿俊闵回防把球破坏出底线                   27'第27分钟，巴尔克斯前场拿球送出斜塞，周海滨快速插上形成单刀，在射门之际，蒿俊闵回追将球破坏
27'天津泰达队进球啦，巴尔克斯，1-1                   27'第27分钟，巴尔克斯前场拿球送出斜塞，周海滨快速插上形成单刀，在射门之际，蒿俊闵回追将球破坏
28'角球发到禁区内后点，巴尔克斯头球顶门，皮球弹地后从后点进入网内！                   27'第27分钟，巴尔克斯前场拿球送出斜塞，周海滨快速插上形成单刀，在射门之际，蒿俊闵回追将球破坏
28'双方又回到同一起跑线上                   27'第27分钟，巴尔克斯前场拿球送出斜塞，周海滨快速插上形成单刀，在射门之际，蒿俊闵回追将球破坏
29'天津泰达队的这次角球打战术配合，非常漂亮，巴尔克斯头球顶门也漂亮                   27'第27分钟，巴尔克斯前场拿球送出斜塞，周海滨快速插上形成单刀，在射门之际，蒿俊闵回追将球破坏
29'后场天津泰达队得球长传，球出边线啦                   27'第27分钟，巴尔克斯前场拿球送出斜塞，周海滨快速插上形成单刀，在射门之际，蒿俊闵回追将球破坏
30'天津泰达队扳回一球，双方到了同一起跑线，同时也会让比赛更加激烈                   27'第27分钟，巴尔克斯前场拿球送出斜塞，周海滨快速插上形成单刀，在射门之际，蒿俊闵回追将球破坏
30'鲁能泰山队攻到胶场，得到任意球机会                   27'第27分钟，巴尔克斯前场拿球送出斜塞，周海滨快速插上形成单刀，在射门之际，蒿俊闵回追将球破坏
30'战术任意球发出来，王永珀直传禁区，塔尔德利禁区内接球横传，被巴尔克斯破坏！                   27'第27分钟，巴尔克斯前场拿球送出斜塞，周海滨快速插上形成单刀，在射门之际，蒿俊闵回追将球破坏
34'巴尔克斯左路传球到禁区内，周海滨的绝佳机会！一对一，王大雷出击，周海滨左脚劲射打高啦！                   34'第34分钟，天津泰达错失机会，王彤传球失误，巴尔克斯送出挑传，周海滨快速插上直面王大雷，但是他的凌空抽射竟然打飞
35'后场天津泰达队断球，大脚长传前场左路，找巴尔克斯                   34'第34分钟，天津泰达错失机会，王彤传球失误，巴尔克斯送出挑传，周海滨快速插上直面王大雷，但是他的凌空抽射竟然打飞
36'手机用户1809182227：拿下鲁能起死回生！！[回复]天津泰达队要为保级而战，能不能起死回生不好说，但他们会全力争三分！                   34'第34分钟，天津泰达错失机会，王彤传球失误，巴尔克斯送出挑传，周海滨快速插上直面王大雷，但是他的凌空抽射竟然打飞
46'王永珀中场大脚长传，阿洛伊西奥快速插上，宗磊出击没能扑到人也没能扑到球，阿洛伊西奥打空门球进！                   46'上半场补时第1分钟，蒿俊闵中场送出大范围转移，阿洛伊西奥快速插上停球晃过出击的宗磊射空门得手
46'阿洛伊西奥接球后轻松过掉了门将，确实漂亮                   46'上半场补时第1分钟，蒿俊闵中场送出大范围转移，阿洛伊西奥快速插上停球晃过出击的宗磊射空门得手
47'上半场比赛结束，鲁能泰山队2-1领先天津泰达队                   46'上半场补时第1分钟，蒿俊闵中场送出大范围转移，阿洛伊西奥快速插上停球晃过出击的宗磊射空门得手
46'下半场比赛开始                   46'上半场补时第1分钟，蒿俊闵中场送出大范围转移，阿洛伊西奥快速插上停球晃过出击的宗磊射空门得手
46'鲁能泰山队长传球，阿洛伊西奥右路接球横传禁区，直接从后点出底线                   46'上半场补时第1分钟，蒿俊闵中场送出大范围转移，阿洛伊西奥快速插上停球晃过出击的宗磊射空门得手
47'鲁能泰山队进行了人员调整：金敬道换下了王彤                   46'上半场补时第1分钟，蒿俊闵中场送出大范围转移，阿洛伊西奥快速插上停球晃过出击的宗磊射空门得手
47'天津泰达队传禁区，尤西雷把球破坏出底线                   46'上半场补时第1分钟，蒿俊闵中场送出大范围转移，阿洛伊西奥快速插上停球晃过出击的宗磊射空门得手
48'角球发出来，鲁能泰山队反击，斜传前场左路，塔尔德利追不上了                   46'上半场补时第1分钟，蒿俊闵中场送出大范围转移，阿洛伊西奥快速插上停球晃过出击的宗磊射空门得手
48'后场鲁能泰山队断球，交给塔尔德利                   46'上半场补时第1分钟，蒿俊闵中场送出大范围转移，阿洛伊西奥快速插上停球晃过出击的宗磊射空门得手
48'鲁能泰山队攻到胶场，直传禁区，王永珀独了点啊！小角度打门被宗磊没收                   46'上半场补时第1分钟，蒿俊闵中场送出大范围转移，阿洛伊西奥快速插上停球晃过出击的宗磊射空门得手
49'巴尔克斯左路接球，尤西雷防守，巴尔克斯突破，戴琳把球破坏出底线                   46'上半场补时第1分钟，蒿俊闵中场送出大范围转移，阿洛伊西奥快速插上停球晃过出击的宗磊射空门得手
49'天津泰达队得到角球机会                   46'上半场补时第1分钟，蒿俊闵中场送出大范围转移，阿洛伊西奥快速插上停球晃过出击的宗磊射空门得手
49'角球发到前点，对方挡出来                   46'上半场补时第1分钟，蒿俊闵中场送出大范围转移，阿洛伊西奥快速插上停球晃过出击的宗磊射空门得手
48'角球发出来，鲁能泰山队反击，斜传前场左路，塔尔德利追不上了                   48'第48分钟，山东鲁能打出快速反击，中路送出直塞，王永珀快速插上小角度射门被宗磊扑下
48'后场鲁能泰山队断球，交给塔尔德利                   48'第48分钟，山东鲁能打出快速反击，中路送出直塞，王永珀快速插上小角度射门被宗磊扑下
48'鲁能泰山队攻到胶场，直传禁区，王永珀独了点啊！小角度打门被宗磊没收                   48'第48分钟，山东鲁能打出快速反击，中路送出直塞，王永珀快速插上小角度射门被宗磊扑下
49'巴尔克斯左路接球，尤西雷防守，巴尔克斯突破，戴琳把球破坏出底线                   48'第48分钟，山东鲁能打出快速反击，中路送出直塞，王永珀快速插上小角度射门被宗磊扑下
49'天津泰达队得到角球机会                   48'第48分钟，山东鲁能打出快速反击，中路送出直塞，王永珀快速插上小角度射门被宗磊扑下
49'角球发到前点，对方挡出来                   48'第48分钟，山东鲁能打出快速反击，中路送出直塞，王永珀快速插上小角度射门被宗磊扑下
50'塔纳塞左路传球，对方将球破坏                   48'第48分钟，山东鲁能打出快速反击，中路送出直塞，王永珀快速插上小角度射门被宗磊扑下
51'后场天津泰达队断球，左路长传球，郑铮回防比较及时                   48'第48分钟，山东鲁能打出快速反击，中路送出直塞，王永珀快速插上小角度射门被宗磊扑下
51'蒿俊闵右路带球进攻，直传球被破坏出边线                   48'第48分钟，山东鲁能打出快速反击，中路送出直塞，王永珀快速插上小角度射门被宗磊扑下
51'郑铮受伤坐在了地上                   48'第48分钟，山东鲁能打出快速反击，中路送出直塞，王永珀快速插上小角度射门被宗磊扑下
60'中场天津泰达队断球，传到右路再传禁区，阿洛伊西奥大脚解围                   60'第60分钟，塔纳塞脚后跟传球，巴尔克斯得球转身远射将球打高
60'巴尔克斯在前场得球转身远射，打飞啦！                   60'第60分钟，塔纳塞脚后跟传球，巴尔克斯得球转身远射将球打高
61'阿洛伊西奥前场接球，对方推人犯规啦，主裁判没有吹                   60'第60分钟，塔纳塞脚后跟传球，巴尔克斯得球转身远射将球打高
61'天津泰达队右路反击，胡人天强突，在吴兴涵的防守下球出底线                   60'第60分钟，塔纳塞脚后跟传球，巴尔克斯得球转身远射将球打高
62'王大雷大脚开球过中场，塔尔德利接球又丢啦                   60'第60分钟，塔纳塞脚后跟传球，巴尔克斯得球转身远射将球打高
62'巴尔克斯中路突破分到左路，塔纳塞接球突破一脚远射，王大雷奋力扑出！                   60'第60分钟，塔纳塞脚后跟传球，巴尔克斯得球转身远射将球打高
63'角球发到禁区内前点，巴尔克斯头球顶门，皮球擦着后门柱偏出！                   60'第60分钟，塔纳塞脚后跟传球，巴尔克斯得球转身远射将球打高
68'主裁判吹了点球！！！                   68'第68分钟，天津泰达边路传中，杨旭防守巴尔克斯时手球犯规，主裁判果断判罚点球，巴尔克斯操刀主罚试图射球门左侧，但是王大雷判断对方向直接一个侧扑将球没收
68'杨旭在禁区风争抢时手球犯规！伸得手太高啦！没办法，送给了天津泰达队点球机会！                   68'第68分钟，天津泰达边路传中，杨旭防守巴尔克斯时手球犯规，主裁判果断判罚点球，巴尔克斯操刀主罚试图射球门左侧，但是王大雷判断对方向直接一个侧扑将球没收
69'巴尔克斯主罚点球！！被王大雷按在了身下！！绝吧？！                   68'第68分钟，天津泰达边路传中，杨旭防守巴尔克斯时手球犯规，主裁判果断判罚点球，巴尔克斯操刀主罚试图射球门左侧，但是王大雷判断对方向直接一个侧扑将球没收
69'祝福王大雷吧！急飞到天津！今天表现不错                   68'第68分钟，天津泰达边路传中，杨旭防守巴尔克斯时手球犯规，主裁判果断判罚点球，巴尔克斯操刀主罚试图射球门左侧，但是王大雷判断对方向直接一个侧扑将球没收
70'鲁能泰山队长传球，力量大啦，被宗磊没收                   68'第68分钟，天津泰达边路传中，杨旭防守巴尔克斯时手球犯规，主裁判果断判罚点球，巴尔克斯操刀主罚试图射球门左侧，但是王大雷判断对方向直接一个侧扑将球没收
70'鲁能泰山队要进行人员调整                   68'第68分钟，天津泰达边路传中，杨旭防守巴尔克斯时手球犯规，主裁判果断判罚点球，巴尔克斯操刀主罚试图射球门左侧，但是王大雷判断对方向直接一个侧扑将球没收
71'杨旭又受伤啦，被抬出场外                   68'第68分钟，天津泰达边路传中，杨旭防守巴尔克斯时手球犯规，主裁判果断判罚点球，巴尔克斯操刀主罚试图射球门左侧，但是王大雷判断对方向直接一个侧扑将球没收
71'鲁能泰山队换上刘彬彬，换下了受伤的杨旭！                   68'第68分钟，天津泰达边路传中，杨旭防守巴尔克斯时手球犯规，主裁判果断判罚点球，巴尔克斯操刀主罚试图射球门左侧，但是王大雷判断对方向直接一个侧扑将球没收
71'刘彬彬有技术有速度！                   68'第68分钟，天津泰达边路传中，杨旭防守巴尔克斯时手球犯规，主裁判果断判罚点球，巴尔克斯操刀主罚试图射球门左侧，但是王大雷判断对方向直接一个侧扑将球没收
74'刘彬彬前场得球，回传一下                   74'第74分钟，金敬道送出传中，阿洛伊西奥摆脱防守后小角度攻门，球被宗磊扑在怀中
74'乌索再把球横传到右路                   74'第74分钟，金敬道送出传中，阿洛伊西奥摆脱防守后小角度攻门，球被宗磊扑在怀中
75'鲁能泰山队右路直传球，刘彬彬被绊倒，主裁判没有吹                   74'第74分钟，金敬道送出传中，阿洛伊西奥摆脱防守后小角度攻门，球被宗磊扑在怀中
75'[互动话题]目前场上共进三球鲁能泰山队2-1领先！本场比赛还能有进球吗？A、能 B、不能[qiangda]                   74'第74分钟，金敬道送出传中，阿洛伊西奥摆脱防守后小角度攻门，球被宗磊扑在怀中
76'后场天津泰达队得球，转移到右路进攻                   74'第74分钟，金敬道送出传中，阿洛伊西奥摆脱防守后小角度攻门，球被宗磊扑在怀中
76'天津泰达队长传前场左路，巴尔克斯接球直传，苑维玮快速插上，对方把球破坏出边线                   74'第74分钟，金敬道送出传中，阿洛伊西奥摆脱防守后小角度攻门，球被宗磊扑在怀中
76'天津泰达队换人：毛彪上场换下胡人天                   74'第74分钟，金敬道送出传中，阿洛伊西奥摆脱防守后小角度攻门，球被宗磊扑在怀中
77'阿洛伊西奥后场得球，右睡反击，塔纳塞犯规                   74'第74分钟，金敬道送出传中，阿洛伊西奥摆脱防守后小角度攻门，球被宗磊扑在怀中
77'任意球发到前场，对方争顶下来                   74'第74分钟，金敬道送出传中，阿洛伊西奥摆脱防守后小角度攻门，球被宗磊扑在怀中
80'鲁能泰山队进球啦！！阿洛伊西奥！3-1                   80'第80分钟，山东鲁能再次扩大比分
81'鲁能泰山队长传球，王永珀头球回顶，阿洛伊西奥接球突破到禁区内晃过两名后卫和门将宗磊！轻松打门球进！                   80'第80分钟，山东鲁能再次扩大比分
81'天津泰达队长传球到前场，戴琳头球顶出底线                   80'第80分钟，山东鲁能再次扩大比分
81'角球机会                   80'第80分钟，山东鲁能再次扩大比分
81'角球发到禁区内，巴尔克斯头球顶门偏出                   80'第80分钟，山东鲁能再次扩大比分
82'王大雷大脚开球到中场，对方断球反击                   80'第80分钟，山东鲁能再次扩大比分
82'巴尔克斯带球突破，被尤西雷断下来                   80'第80分钟，山东鲁能再次扩大比分
82'尤西雷长传球，阿洛伊西奥越位                   80'第80分钟，山东鲁能再次扩大比分
82'两个人的位置跑得有点重                   80'第80分钟，山东鲁能再次扩大比分
83'塔尔德利后场防守犯规                   80'第80分钟，山东鲁能再次扩大比分
83'天津泰达队换人：王新欣上场换下周海滨                   80'第80分钟，山东鲁能再次扩大比分
85'天津泰达队挑传球，巴尔克斯接球转身打门，王大雷没收                   85'第85分钟，巴尔克斯禁区前挑球凌空抽射，王大雷反应迅速将球没收
86'蒿俊闵右路解围，对方碰到球后弹在蒿俊闵身上出边线                   85'第85分钟，巴尔克斯禁区前挑球凌空抽射，王大雷反应迅速将球没收
86'阿洛伊西奥前场得球，塔尔德利和乌索在等着要球，阿洛伊西奥还是自己突，丢啦                   85'第85分钟，巴尔克斯禁区前挑球凌空抽射，王大雷反应迅速将球没收
87'王永珀在前场接球，人球分过到禁区内，小角度打门偏出！                   85'第85分钟，巴尔克斯禁区前挑球凌空抽射，王大雷反应迅速将球没收
87'中场鲁能泰山队断球，回传交给尤西雷                   85'第85分钟，巴尔克斯禁区前挑球凌空抽射，王大雷反应迅速将球没收
88'吴兴涵左路带球突破，直传球，塔尔德利越位                   85'第85分钟，巴尔克斯禁区前挑球凌空抽射，王大雷反应迅速将球没收
88'巴尔克斯右路人球分过，吴兴涵大脚破坏                   85'第85分钟，巴尔克斯禁区前挑球凌空抽射，王大雷反应迅速将球没收
88'鲁能泰山队左路长传球，阿洛伊西奥越位！金敬道传得有点斜                   85'第85分钟，巴尔克斯禁区前挑球凌空抽射，王大雷反应迅速将球没收
49'巴尔克斯左路接球，尤西雷防守，巴尔克斯突破，戴琳把球破坏出底线                   49'补时第4分钟，塔尔德利送出妙传，刘彬彬弧线球远射稍稍偏出远端立柱
49'天津泰达队得到角球机会                   49'补时第4分钟，塔尔德利送出妙传，刘彬彬弧线球远射稍稍偏出远端立柱
49'角球发到前点，对方挡出来                   49'补时第4分钟，塔尔德利送出妙传，刘彬彬弧线球远射稍稍偏出远端立柱
50'塔纳塞左路传球，对方将球破坏                   49'补时第4分钟，塔尔德利送出妙传，刘彬彬弧线球远射稍稍偏出远端立柱
51'后场天津泰达队断球，左路长传球，郑铮回防比较及时                   49'补时第4分钟，塔尔德利送出妙传，刘彬彬弧线球远射稍稍偏出远端立柱
51'蒿俊闵右路带球进攻，直传球被破坏出边线                   49'补时第4分钟，塔尔德利送出妙传，刘彬彬弧线球远射稍稍偏出远端立柱
51'郑铮受伤坐在了地上                   49'补时第4分钟，塔尔德利送出妙传，刘彬彬弧线球远射稍稍偏出远端立柱
52'连续征战，郑铮有些疲劳。看来这次伤得不轻，担架进场                   49'补时第4分钟，塔尔德利送出妙传，刘彬彬弧线球远射稍稍偏出远端立柱
52'郑铮被抬出场外                   49'补时第4分钟，塔尔德利送出妙传，刘彬彬弧线球远射稍稍偏出远端立柱
52'鲁能泰山队换人：吴兴涵上场，换下了受伤的郑铮                   49'补时第4分钟，塔尔德利送出妙传，刘彬彬弧线球远射稍稍偏出远端立柱
