5'李微发角球到禁区内前点，安塔尔把球开出边线                   5'比赛在大雨中开始，武汉卓尔队开场5分钟连续获得4次角球，但是均未能形成威胁
8'中场鲁能泰山队直传，吕征带球高速突破到禁区内，大力斜射破门得分！                   7'第7分钟，山东鲁能就打破僵局，吕征中场断球一路杀到禁区，面对邱添一的防守并没有犹豫，突入禁区右侧后直接打门，球从近角飞进了球门，1-0
9'鲁能泰山队后场得球，传禁区被破坏出来                   7'第7分钟，山东鲁能就打破僵局，吕征中场断球一路杀到禁区，面对邱添一的防守并没有犹豫，突入禁区右侧后直接打门，球从近角飞进了球门，1-0
9'鲁能泰山队再把球分到右路，吕征这么快还是没能追上！确实传大了！                   7'第7分钟，山东鲁能就打破僵局，吕征中场断球一路杀到禁区，面对邱添一的防守并没有犹豫，突入禁区右侧后直接打门，球从近角飞进了球门，1-0
9'鲁能泰山队左路长传球！韩鹏争抢，示意对方犯规！                   7'第7分钟，山东鲁能就打破僵局，吕征中场断球一路杀到禁区，面对邱添一的防守并没有犹豫，突入禁区右侧后直接打门，球从近角飞进了球门，1-0
10'确实是手球犯规，鲁能泰山队前场左路任意球机会                   7'第7分钟，山东鲁能就打破僵局，吕征中场断球一路杀到禁区，面对邱添一的防守并没有犹豫，突入禁区右侧后直接打门，球从近角飞进了球门，1-0
10'王永珀发任意球到禁区内后点，吕征垫射被挡出底线                   7'第7分钟，山东鲁能就打破僵局，吕征中场断球一路杀到禁区，面对邱添一的防守并没有犹豫，突入禁区右侧后直接打门，球从近角飞进了球门，1-0
13'郑铮后场左路控球！在对方两人抢下大脚把球打在对方身上出边线                   13'第13分钟，山东鲁能再次制造威胁，杨旭突破到禁区内劲射，球打偏了
13'鲁能泰山队在前场漂亮的配合啊！可惜被断                   13'第13分钟，山东鲁能再次制造威胁，杨旭突破到禁区内劲射，球打偏了
14'后场鲁能泰山队断球！转移到左路                   13'第13分钟，山东鲁能再次制造威胁，杨旭突破到禁区内劲射，球打偏了
14'杨旭左路突破到禁区内，小角度打门！！！！！偏出！                   13'第13分钟，山东鲁能再次制造威胁，杨旭突破到禁区内劲射，球打偏了
14'武汉卓尔队长传前场右路，罗毅没能接到                   13'第13分钟，山东鲁能再次制造威胁，杨旭突破到禁区内劲射，球打偏了
15'球出边线                   13'第13分钟，山东鲁能再次制造威胁，杨旭突破到禁区内劲射，球打偏了
15'鲁能泰山队左路直传前场，对方把球回传门将！                   13'第13分钟，山东鲁能再次制造威胁，杨旭突破到禁区内劲射，球打偏了
15'杨旭快速前插拼抢，吴龑把球开出边线                   13'第13分钟，山东鲁能再次制造威胁，杨旭突破到禁区内劲射，球打偏了
16'界外球发出来传到禁区，对方破坏                   13'第13分钟，山东鲁能再次制造威胁，杨旭突破到禁区内劲射，球打偏了
16'后场鲁能泰山队长传，韩鹏回做！！郑铮传球出边！                   13'第13分钟，山东鲁能再次制造威胁，杨旭突破到禁区内劲射，球打偏了
16'郑铮在前场抢球犯规，放倒了罗毅                   13'第13分钟，山东鲁能再次制造威胁，杨旭突破到禁区内劲射，球打偏了
21'桑托斯在前场得球一脚远射！打偏                   21'第21分钟，桑托斯在禁区外拿球后横带几步突然起脚远射，球稍稍偏出
22'李微斜传球！李微没能接到！                   21'第21分钟，桑托斯在禁区外拿球后横带几步突然起脚远射，球稍稍偏出
23'周海滨突破传球！！漂亮啊！可吕征犹豫了啊，被断！                   21'第21分钟，桑托斯在禁区外拿球后横带几步突然起脚远射，球稍稍偏出
24'王彤接球出现失误                   21'第21分钟，桑托斯在禁区外拿球后横带几步突然起脚远射，球稍稍偏出
24'武汉卓尔队长传球！！罗毅插到禁区啦，耿晓锋出击扑球，罗毅打门碰到耿晓锋腿后偏出底线！！                   21'第21分钟，桑托斯在禁区外拿球后横带几步突然起脚远射，球稍稍偏出
24'太悬了！                   21'第21分钟，桑托斯在禁区外拿球后横带几步突然起脚远射，球稍稍偏出
27'武汉卓尔队左路直传，传大了！这天气，这草坪！很容易传丢                   27'第27分钟，山东鲁能反击制造威胁，王永珀禁区内停球扣球一气呵成，可惜准备打门时被回防队员解围
27'桑托斯前场得球回传，右路横传在队员身后了                   27'第27分钟，山东鲁能反击制造威胁，王永珀禁区内停球扣球一气呵成，可惜准备打门时被回防队员解围
28'鲁能泰山队快速进攻！韩鹏传禁区，王永珀接球回扣，被对方破坏出底线！                   27'第27分钟，山东鲁能反击制造威胁，王永珀禁区内停球扣球一气呵成，可惜准备打门时被回防队员解围
28'王永珀一发角球                   27'第27分钟，山东鲁能反击制造威胁，王永珀禁区内停球扣球一气呵成，可惜准备打门时被回防队员解围
28'角球发到前点！韩鹏头球顶了一下，球出底线                   27'第27分钟，山东鲁能反击制造威胁，王永珀禁区内停球扣球一气呵成，可惜准备打门时被回防队员解围
29'武汉卓尔队后场传球失误！！吕征断球！                   27'第27分钟，山东鲁能反击制造威胁，王永珀禁区内停球扣球一气呵成，可惜准备打门时被回防队员解围
30'吕征右路突破横传！！韩鹏抢点打门！打得太正，到了吴龑怀里                   27'第27分钟，山东鲁能反击制造威胁，王永珀禁区内停球扣球一气呵成，可惜准备打门时被回防队员解围
30'吕征前场得球直传禁区，韩鹏越位啦！                   27'第27分钟，山东鲁能反击制造威胁，王永珀禁区内停球扣球一气呵成，可惜准备打门时被回防队员解围
30'刘金东后场得球直传中场，送到了马丁诺维奇脚下                   27'第27分钟，山东鲁能反击制造威胁，王永珀禁区内停球扣球一气呵成，可惜准备打门时被回防队员解围
29'武汉卓尔队后场传球失误！！吕征断球！                   29'第29分钟，山东鲁能卷土重来，吕征边路传球到禁区前，韩鹏停球杀入禁区直接一脚低射，球被门将挡出
30'吕征右路突破横传！！韩鹏抢点打门！打得太正，到了吴龑怀里                   29'第29分钟，山东鲁能卷土重来，吕征边路传球到禁区前，韩鹏停球杀入禁区直接一脚低射，球被门将挡出
30'吕征前场得球直传禁区，韩鹏越位啦！                   29'第29分钟，山东鲁能卷土重来，吕征边路传球到禁区前，韩鹏停球杀入禁区直接一脚低射，球被门将挡出
30'刘金东后场得球直传中场，送到了马丁诺维奇脚下                   29'第29分钟，山东鲁能卷土重来，吕征边路传球到禁区前，韩鹏停球杀入禁区直接一脚低射，球被门将挡出
31'后场安塔尔断球，大脚传前场右路！！吕征啊速度好快，突破到禁区内横传想给韩鹏，邱添一赶在韩鹏之前把球挡出底线！                   29'第29分钟，山东鲁能卷土重来，吕征边路传球到禁区前，韩鹏停球杀入禁区直接一脚低射，球被门将挡出
31'守门员已经跑出，没办法了！邱添一的解围太及时了！                   29'第29分钟，山东鲁能卷土重来，吕征边路传球到禁区前，韩鹏停球杀入禁区直接一脚低射，球被门将挡出
32'吕征发角球到禁区内前点，韩鹏脚后磕门！打在边网上！                   29'第29分钟，山东鲁能卷土重来，吕征边路传球到禁区前，韩鹏停球杀入禁区直接一脚低射，球被门将挡出
32'朱挺左路中场接球，王彤拼抢犯规                   29'第29分钟，山东鲁能卷土重来，吕征边路传球到禁区前，韩鹏停球杀入禁区直接一脚低射，球被门将挡出
33'武汉卓尔队左路横传，朱挺在大禁区线上倒勾打门！高出                   33'第33分钟，武汉卓尔边路弧线球传中，朱挺在包夹中停球倒钩射门，球打高了
33'这个动作做得一般啊                   33'第33分钟，武汉卓尔边路弧线球传中，朱挺在包夹中停球倒钩射门，球打高了
34'武汉卓尔队进球啦！朱挺！1-1                   33'第33分钟，武汉卓尔边路弧线球传中，朱挺在包夹中停球倒钩射门，球打高了
35'中场武汉卓尔队长传！朱挺右路争入禁区，突破两名后卫把球送入网内！                   33'第33分钟，武汉卓尔边路弧线球传中，朱挺在包夹中停球倒钩射门，球打高了
36'安塔尔左路直传球！出边线                   33'第33分钟，武汉卓尔边路弧线球传中，朱挺在包夹中停球倒钩射门，球打高了
39'吴龑大脚开球到前场，桑托斯接球回传                   39'第39分钟，王永珀禁区外一脚撩射，门将吴将球没收
40'后场鲁能泰山队得球，长传前场                   39'第39分钟，王永珀禁区外一脚撩射，门将吴将球没收
40'送到了对方脚来                   39'第39分钟，王永珀禁区外一脚撩射，门将吴将球没收
40'送到了对方脚下                   39'第39分钟，王永珀禁区外一脚撩射，门将吴将球没收
40'武汉卓尔队右路长传，被断！                   39'第39分钟，王永珀禁区外一脚撩射，门将吴将球没收
40'周海滨得球反击，对方在前场就犯规                   39'第39分钟，王永珀禁区外一脚撩射，门将吴将球没收
40'周海滨快速发出任意球，转移到右路                   39'第39分钟，王永珀禁区外一脚撩射，门将吴将球没收
41'郑铮左路长传！郑铮横传禁区，对方大脚解围                   39'第39分钟，王永珀禁区外一脚撩射，门将吴将球没收
41'麦克格文后场得球，横传边路                   39'第39分钟，王永珀禁区外一脚撩射，门将吴将球没收
41'吕征右路带球快速突破，对方断球！                   39'第39分钟，王永珀禁区外一脚撩射，门将吴将球没收
42'王彤右路直传球，吕征追上啊！但被对方挡在身后                   39'第39分钟，王永珀禁区外一脚撩射，门将吴将球没收
42'王彤在前场断球，再交给吕征！还是被对方抢断                   39'第39分钟，王永珀禁区外一脚撩射，门将吴将球没收
48'崔鹏在前场左路抢球犯规，放倒了罗毅！吃黄牌啦                   48'第48分钟，杨旭拿球快速反击，邱添一拉人犯规吃到黄牌，山东鲁能获得任意球机会，王永珀直接弧线球打门，球稍稍高出横梁
48'崔鹏带球大了，铲抢犯规                   48'第48分钟，杨旭拿球快速反击，邱添一拉人犯规吃到黄牌，山东鲁能获得任意球机会，王永珀直接弧线球打门，球稍稍高出横梁
48'中场休息时崔鹏上场，换下了周海滨                   48'第48分钟，杨旭拿球快速反击，邱添一拉人犯规吃到黄牌，山东鲁能获得任意球机会，王永珀直接弧线球打门，球稍稍高出横梁
48'崔鹏被称为“拚命三郎”，应该注意一下自己的动作                   48'第48分钟，杨旭拿球快速反击，邱添一拉人犯规吃到黄牌，山东鲁能获得任意球机会，王永珀直接弧线球打门，球稍稍高出横梁
49'杨旭接球左路带球突破！邱添一无耐之下拉人犯规！！                   48'第48分钟，杨旭拿球快速反击，邱添一拉人犯规吃到黄牌，山东鲁能获得任意球机会，王永珀直接弧线球打门，球稍稍高出横梁
49'主裁判给邱添一出示了黄牌！！杨旭已经摆脱了，马上要单刀了                   48'第48分钟，杨旭拿球快速反击，邱添一拉人犯规吃到黄牌，山东鲁能获得任意球机会，王永珀直接弧线球打门，球稍稍高出横梁
49'王永珀发任意球直接打门！微微高了一点                   48'第48分钟，杨旭拿球快速反击，邱添一拉人犯规吃到黄牌，山东鲁能获得任意球机会，王永珀直接弧线球打门，球稍稍高出横梁
50'武汉卓尔队右路长传，进攻队员拉人犯规                   48'第48分钟，杨旭拿球快速反击，邱添一拉人犯规吃到黄牌，山东鲁能获得任意球机会，王永珀直接弧线球打门，球稍稍高出横梁
51'韩鹏在前场左路抢球犯规！传球不到位丢球，韩鹏反抢犯规                   48'第48分钟，杨旭拿球快速反击，邱添一拉人犯规吃到黄牌，山东鲁能获得任意球机会，王永珀直接弧线球打门，球稍稍高出横梁
51'武汉卓尔队长传，朱挺越位                   48'第48分钟，杨旭拿球快速反击，邱添一拉人犯规吃到黄牌，山东鲁能获得任意球机会，王永珀直接弧线球打门，球稍稍高出横梁
51'麦克格文传球，崔鹏被放倒在地                   48'第48分钟，杨旭拿球快速反击，邱添一拉人犯规吃到黄牌，山东鲁能获得任意球机会，王永珀直接弧线球打门，球稍稍高出横梁
51'现场还在下着雨！桑托斯铲抢犯规                   48'第48分钟，杨旭拿球快速反击，邱添一拉人犯规吃到黄牌，山东鲁能获得任意球机会，王永珀直接弧线球打门，球稍稍高出横梁
54'王永珀后场拿球，回传给了麦克格文                   54'第54分钟，山东鲁能再次反超比分，安塔尔中场长传，王永珀快速插上直接凌空射门，球被挡出，韩鹏快速跟进轻松推射将球打入空门，2-1
54'麦克格文大脚长传，对方把球抢断                   54'第54分钟，山东鲁能再次反超比分，安塔尔中场长传，王永珀快速插上直接凌空射门，球被挡出，韩鹏快速跟进轻松推射将球打入空门，2-1
54'鲁能泰山队进球！韩鹏，2-1                   54'第54分钟，山东鲁能再次反超比分，安塔尔中场长传，王永珀快速插上直接凌空射门，球被挡出，韩鹏快速跟进轻松推射将球打入空门，2-1
55'安塔尔中场长传！王永珀凌空打门被挡出，韩鹏抢点劲射破门得分！！                   54'第54分钟，山东鲁能再次反超比分，安塔尔中场长传，王永珀快速插上直接凌空射门，球被挡出，韩鹏快速跟进轻松推射将球打入空门，2-1
56'吕征右路突破到禁区内，被对方断走                   54'第54分钟，山东鲁能再次反超比分，安塔尔中场长传，王永珀快速插上直接凌空射门，球被挡出，韩鹏快速跟进轻松推射将球打入空门，2-1
56'武汉卓尔队左路长传反击                   54'第54分钟，山东鲁能再次反超比分，安塔尔中场长传，王永珀快速插上直接凌空射门，球被挡出，韩鹏快速跟进轻松推射将球打入空门，2-1
56'朱挺左路突破横传中路，被郑铮破坏                   54'第54分钟，山东鲁能再次反超比分，安塔尔中场长传，王永珀快速插上直接凌空射门，球被挡出，韩鹏快速跟进轻松推射将球打入空门，2-1
61'鲁能泰山队右路得角球机会                   60'第60分钟，山东鲁能扩大比分为3-1
61'鲁能泰山队进球了，韩鹏，3-1                   60'第60分钟，山东鲁能扩大比分为3-1
61'吕征发角球到禁区内！韩鹏头球顶门被吴龑挡出，韩鹏抢点再打门球进！                   60'第60分钟，山东鲁能扩大比分为3-1
62'吕征中路突破推到右路，可惜王彤没能追上！                   60'第60分钟，山东鲁能扩大比分为3-1
63'山东球迷真是不满足啊！刚喊3-1，就由韩鹏进球打成3-1！现在又在喊4-1了！谁进球呢？                   60'第60分钟，山东鲁能扩大比分为3-1
63'吕征右路突破传禁区！！王永珀快速插上抢点打门，可惜的是越位在先！                   60'第60分钟，山东鲁能扩大比分为3-1
66'现场观看比赛的球迷有16456人！                   65'第65分钟，武汉卓尔队中场赵源在禁区外突然远射，球打偏了
66'赵源熙一脚远射，皮球偏出                   65'第65分钟，武汉卓尔队中场赵源在禁区外突然远射，球打偏了
68'武汉卓尔队挑传球到禁区内！桑托斯越位                   65'第65分钟，武汉卓尔队中场赵源在禁区外突然远射，球打偏了
75'郑铮左路横传禁区，皮球到后点！！皮库啊打门被挡出，麦克格文再直传禁区，几名球员越位了！                   75'第75分钟，山东鲁能快速反击制造威胁，麦克格文传中，边路球员形成突破后横扫门前，后点的皮斯库利奇停球换到左脚射门，球被防守队员挡出
77'本特利禁区内得球回传，桑托斯打门偏出！                   75'第75分钟，山东鲁能快速反击制造威胁，麦克格文传中，边路球员形成突破后横扫门前，后点的皮斯库利奇停球换到左脚射门，球被防守队员挡出
77'杨旭在中场抢球犯规                   75'第75分钟，山东鲁能快速反击制造威胁，麦克格文传中，边路球员形成突破后横扫门前，后点的皮斯库利奇停球换到左脚射门，球被防守队员挡出
78'武汉卓尔队后场得球中路进攻，麦克格文大脚开球到中场                   75'第75分钟，山东鲁能快速反击制造威胁，麦克格文传中，边路球员形成突破后横扫门前，后点的皮斯库利奇停球换到左脚射门，球被防守队员挡出
81'皮斯库里奇第一下没停好，调整一下横向突破！打门偏出                   81'第81分钟，山东鲁能再次觅得良机，皮斯库利奇拿球晃过防守队员后劲射，球打在自己队友身上出了底线
81'鲁能泰山队再换人：王刚上场换下吕征！                   81'第81分钟，山东鲁能再次觅得良机，皮斯库利奇拿球晃过防守队员后劲射，球打在自己队友身上出了底线
81'大局已定！                   81'第81分钟，山东鲁能再次觅得良机，皮斯库利奇拿球晃过防守队员后劲射，球打在自己队友身上出了底线
82'鲁能泰山队右路直传，想给皮库啊！传得大了些                   81'第81分钟，山东鲁能再次觅得良机，皮斯库利奇拿球晃过防守队员后劲射，球打在自己队友身上出了底线
82'来看一下韩鹏的精彩进球                   81'第81分钟，山东鲁能再次觅得良机，皮斯库利奇拿球晃过防守队员后劲射，球打在自己队友身上出了底线
83'崔鹏在前场得球，被赵源熙铲倒，任意球！                   81'第81分钟，山东鲁能再次觅得良机，皮斯库利奇拿球晃过防守队员后劲射，球打在自己队友身上出了底线
83'崔鹏拼得好凶啊！也应该有进球表现啊～                   81'第81分钟，山东鲁能再次觅得良机，皮斯库利奇拿球晃过防守队员后劲射，球打在自己队友身上出了底线
83'王永珀罚任意球！能进吗？                   81'第81分钟，山东鲁能再次觅得良机，皮斯库利奇拿球晃过防守队员后劲射，球打在自己队友身上出了底线
83'直接打门，还是打高了！                   81'第81分钟，山东鲁能再次觅得良机，皮斯库利奇拿球晃过防守队员后劲射，球打在自己队友身上出了底线
86'中场武汉卓尔队得球反击                   86'第86分钟，山东鲁能后卫传中失误，李微拿球内切后远射，耿晓峰扑球脱手，麦克格文抢先将球解围
86'本特利左路突破，被王彤解围                   86'第86分钟，山东鲁能后卫传中失误，李微拿球内切后远射，耿晓峰扑球脱手，麦克格文抢先将球解围
86'李微远射！被耿晓锋挡出来！麦克格文大脚解围！                   86'第86分钟，山东鲁能后卫传中失误，李微拿球内切后远射，耿晓峰扑球脱手，麦克格文抢先将球解围
87'李微是鲁能旧将！射完门后有些抽筋！！！崔鹏在为他处理，娘家人真好啊！！！                   86'第86分钟，山东鲁能后卫传中失误，李微拿球内切后远射，耿晓峰扑球脱手，麦克格文抢先将球解围
88'李微被抬出场外                   86'第86分钟，山东鲁能后卫传中失误，李微拿球内切后远射，耿晓峰扑球脱手，麦克格文抢先将球解围
88'现场的球迷为李微送上了掌声                   86'第86分钟，山东鲁能后卫传中失误，李微拿球内切后远射，耿晓峰扑球脱手，麦克格文抢先将球解围
88'角球发到禁区内，耿晓锋把球摘下来！                   86'第86分钟，山东鲁能后卫传中失误，李微拿球内切后远射，耿晓峰扑球脱手，麦克格文抢先将球解围
88'安塔尔中路突破分右路！！                   86'第86分钟，山东鲁能后卫传中失误，李微拿球内切后远射，耿晓峰扑球脱手，麦克格文抢先将球解围
89'王刚！！右路突破横传，传到边网上！                   86'第86分钟，山东鲁能后卫传中失误，李微拿球内切后远射，耿晓峰扑球脱手，麦克格文抢先将球解围
