1'上半场比赛开始！！                   1'曼城第1分钟围攻伯恩利
26'科克上抢犯规了啊！                   23'第23分钟，沃克尔打滑摔倒，科克直传，克里斯-伍德停球稍大错过单刀，埃德森及时出击抢先没收皮球
63'比赛继续！！！                   63'曼城第63分钟打破僵局，贝尔纳多斜传，阿圭罗小禁区前射门被封堵后再射被洛顿在门线内挡出
63'亨德里克前场右侧得球，挑传球到禁区                   63'曼城第63分钟打破僵局，贝尔纳多斜传，阿圭罗小禁区前射门被封堵后再射被洛顿在门线内挡出
63'直接被埃德森没收了                   63'曼城第63分钟打破僵局，贝尔纳多斜传，阿圭罗小禁区前射门被封堵后再射被洛顿在门线内挡出
63'大卫席尔瓦前场得球，分右侧贝尔纳多席尔瓦                   63'曼城第63分钟打破僵局，贝尔纳多斜传，阿圭罗小禁区前射门被封堵后再射被洛顿在门线内挡出
63'挑传球到禁区，继续被本杰明米解围                   63'曼城第63分钟打破僵局，贝尔纳多斜传，阿圭罗小禁区前射门被封堵后再射被洛顿在门线内挡出
65'京多安外围得球，再次传中                   63'曼城第63分钟打破僵局，贝尔纳多斜传，阿圭罗小禁区前射门被封堵后再射被洛顿在门线内挡出
65'球被挡出去！！外围阿圭罗得球                   63'曼城第63分钟打破僵局，贝尔纳多斜传，阿圭罗小禁区前射门被封堵后再射被洛顿在门线内挡出
65'乱战中一脚捅射！！！                   63'曼城第63分钟打破僵局，贝尔纳多斜传，阿圭罗小禁区前射门被封堵后再射被洛顿在门线内挡出
65'这球！！！！！！！                   63'曼城第63分钟打破僵局，贝尔纳多斜传，阿圭罗小禁区前射门被封堵后再射被洛顿在门线内挡出
65'进了！！！！                   63'曼城第63分钟打破僵局，贝尔纳多斜传，阿圭罗小禁区前射门被封堵后再射被洛顿在门线内挡出
65'全场比赛第63分钟！！！曼城取得领先                   63'曼城第63分钟打破僵局，贝尔纳多斜传，阿圭罗小禁区前射门被封堵后再射被洛顿在门线内挡出
66'贝尔纳多席尔瓦左脚一挑到小禁区前沿，阿圭罗在乱中左脚一射，虽然皮球被洛顿门线解围出来，但球已越过门线。裁判示意，进球有效！                   63'曼城第63分钟打破僵局，贝尔纳多斜传，阿圭罗小禁区前射门被封堵后再射被洛顿在门线内挡出
66'看回比赛吧！！                   63'曼城第63分钟打破僵局，贝尔纳多斜传，阿圭罗小禁区前射门被封堵后再射被洛顿在门线内挡出
66'伯恩利中圈得球，挑传球到禁区                   63'曼城第63分钟打破僵局，贝尔纳多斜传，阿圭罗小禁区前射门被封堵后再射被洛顿在门线内挡出
66'拉波尔特头球解围！                   63'曼城第63分钟打破僵局，贝尔纳多斜传，阿圭罗小禁区前射门被封堵后再射被洛顿在门线内挡出
47'伯恩利前场界外球扔出来，伍德右侧得球                   47'2分钟后，沃克尔斜传，热苏斯禁区左侧内切晃过门将后射门，本-米门线前封铲堵出皮球
47'分禁区里亨德里克                   47'2分钟后，沃克尔斜传，热苏斯禁区左侧内切晃过门将后射门，本-米门线前封铲堵出皮球
48'转移球是出了底线，球门球                   47'2分钟后，沃克尔斜传，热苏斯禁区左侧内切晃过门将后射门，本-米门线前封铲堵出皮球
48'埃德森大脚开出去！！                   47'2分钟后，沃克尔斜传，热苏斯禁区左侧内切晃过门将后射门，本-米门线前封铲堵出皮球
48'BI~BI~BI~裁判响哨！                   47'2分钟后，沃克尔斜传，热苏斯禁区左侧内切晃过门将后射门，本-米门线前封铲堵出皮球
48'上半场比赛结束！！                   47'2分钟后，沃克尔斜传，热苏斯禁区左侧内切晃过门将后射门，本-米门线前封铲堵出皮球
48'上半场两队互交白卷！！                   47'2分钟后，沃克尔斜传，热苏斯禁区左侧内切晃过门将后射门，本-米门线前封铲堵出皮球
48'稍稍休息，再来收看下半场比赛                   47'2分钟后，沃克尔斜传，热苏斯禁区左侧内切晃过门将后射门，本-米门线前封铲堵出皮球
47'津琴科上抢破坏出去边线                   47'2分钟后，沃克尔斜传，热苏斯禁区左侧内切晃过门将后射门，本-米门线前封铲堵出皮球
47'科克外围得球，挑传球到禁区                   47'2分钟后，沃克尔斜传，热苏斯禁区左侧内切晃过门将后射门，本-米门线前封铲堵出皮球
47'被埃德森摘下来，贝尔纳多席尔瓦前场得到球                   47'2分钟后，沃克尔斜传，热苏斯禁区左侧内切晃过门将后射门，本-米门线前封铲堵出皮球
48'分球禁区线上阿圭罗，右脚一脚爆射                   47'2分钟后，沃克尔斜传，热苏斯禁区左侧内切晃过门将后射门，本-米门线前封铲堵出皮球
48'球被希顿扑出底线，角球                   47'2分钟后，沃克尔斜传，热苏斯禁区左侧内切晃过门将后射门，本-米门线前封铲堵出皮球
49'角球开到禁区里，球被解围出去                   47'2分钟后，沃克尔斜传，热苏斯禁区左侧内切晃过门将后射门，本-米门线前封铲堵出皮球
49'外围拉波尔特跟进垫射，球被希顿没收                   47'2分钟后，沃克尔斜传，热苏斯禁区左侧内切晃过门将后射门，本-米门线前封铲堵出皮球
50'后场球开出来，亨德里克带球向前                   47'2分钟后，沃克尔斜传，热苏斯禁区左侧内切晃过门将后射门，本-米门线前封铲堵出皮球
50'孔帕尼破坏下来，沃克后场带球向前                   47'2分钟后，沃克尔斜传，热苏斯禁区左侧内切晃过门将后射门，本-米门线前封铲堵出皮球
50'贝尔纳多席尔瓦前场右侧得球                   47'2分钟后，沃克尔斜传，热苏斯禁区左侧内切晃过门将后射门，本-米门线前封铲堵出皮球
50'传中球到禁区，被本杰明米解围出去                   47'2分钟后，沃克尔斜传，热苏斯禁区左侧内切晃过门将后射门，本-米门线前封铲堵出皮球
