1'射门!!!亚眠球员科内特大禁区中央右脚射门,被对方守门员横身扑出.                   1'开场不到1分钟，科尔内特反抢后在禁区右侧劲射，阿雷奥拉倒地将球扑住
37'卡库塔为亚眠赢得一个任意球.                   34'第34分钟，恩昆库禁区外远射，球被门将居尔特内飞身扑出，迪马利亚跟上补射被挡出
37'巴黎圣日耳曼球员恩昆库拼抢犯规,对手获得控球权.                   34'第34分钟，恩昆库禁区外远射，球被门将居尔特内飞身扑出，迪马利亚跟上补射被挡出
47'进球啦！！！亚眠球员科纳特大禁区右侧右脚射门,球从左下角飞进球门,球进了!助攻的是蒙科杜伊特. 亚眠 1-1 巴黎圣日耳曼.                   47'下半时双方易边再战，第47分钟，亚眠打入一球，蒙克杜特直塞，科纳特禁区右侧抽射远角破门，亚眠将比分扳成1-1
49'亚眠球员科纳特拼抢犯规,对手获得控球权.                   47'下半时双方易边再战，第47分钟，亚眠打入一球，蒙克杜特直塞，科纳特禁区右侧抽射远角破门，亚眠将比分扳成1-1
49'塞尔索为巴黎圣日耳曼赢得一个任意球.                   47'下半时双方易边再战，第47分钟，亚眠打入一球，蒙克杜特直塞，科纳特禁区右侧抽射远角破门，亚眠将比分扳成1-1
49'科纳特为亚眠在右路,赢得一个任意球.                   47'下半时双方易边再战，第47分钟，亚眠打入一球，蒙克杜特直塞，科纳特禁区右侧抽射远角破门，亚眠将比分扳成1-1
49'巴黎圣日耳曼球员金彭贝拼抢犯规,对手获得控球权.                   47'下半时双方易边再战，第47分钟，亚眠打入一球，蒙克杜特直塞，科纳特禁区右侧抽射远角破门，亚眠将比分扳成1-1
50'亚眠科纳特受伤倒地,比赛暂停                   47'下半时双方易边再战，第47分钟，亚眠打入一球，蒙克杜特直塞，科纳特禁区右侧抽射远角破门，亚眠将比分扳成1-1
50'暂停结束,球员们重新开始比赛.                   47'下半时双方易边再战，第47分钟，亚眠打入一球，蒙克杜特直塞，科纳特禁区右侧抽射远角破门，亚眠将比分扳成1-1
73'巴黎圣日耳曼球员迪马利亚大禁区中央尝试右脚射门,可惜皮球高出球门.给他传球的是卡瓦尼.                   72'第72分钟，迪马利亚在禁区线上连续晃动后远射，球稍稍高出
74'亚眠换人,弗法纳上,蒙科杜伊特因伤下场.                   72'第72分钟，迪马利亚在禁区线上连续晃动后远射，球稍稍高出
75'射门!!!巴黎圣日耳曼球员卡瓦尼大禁区外左脚射门,被对方守门员横身扑出.给他传球的是库尔萨瓦.                   72'第72分钟，迪马利亚在禁区线上连续晃动后远射，球稍稍高出
80'西索科将球处理出底线,巴黎圣日耳曼获得角球.                   80'第80分钟，亚眠再次扳平比分，卡库塔长传，科纳特拿球后突入禁区劲射，阿雷奥拉挡了一下没能阻止球入网，亚眠2-2扳平
80'进球啦！！！亚眠球员科纳特大禁区右侧右脚射门,球从中路偏上飞进球门,球进了!助攻的是卡库塔. 亚眠 2-2 巴黎圣日耳曼.                   80'第80分钟，亚眠再次扳平比分，卡库塔长传，科纳特拿球后突入禁区劲射，阿雷奥拉挡了一下没能阻止球入网，亚眠2-2扳平
81'亚眠换人,博德默换下曼扎拉                   80'第80分钟，亚眠再次扳平比分，卡库塔长传，科纳特拿球后突入禁区劲射，阿雷奥拉挡了一下没能阻止球入网，亚眠2-2扳平
82'亚眠球员弗法纳一脚直塞球给加克贝,但是边裁举旗显示后者已经越位.                   80'第80分钟，亚眠再次扳平比分，卡库塔长传，科纳特拿球后突入禁区劲射，阿雷奥拉挡了一下没能阻止球入网，亚眠2-2扳平
83'亚眠球员弗法纳拼抢犯规,对手获得控球权.                   80'第80分钟，亚眠再次扳平比分，卡库塔长传，科纳特拿球后突入禁区劲射，阿雷奥拉挡了一下没能阻止球入网，亚眠2-2扳平
83'恩昆库为巴黎圣日耳曼在对方半场,赢得一个任意球.                   80'第80分钟，亚眠再次扳平比分，卡库塔长传，科纳特拿球后突入禁区劲射，阿雷奥拉挡了一下没能阻止球入网，亚眠2-2扳平
83'黄牌！亚眠球员弗法纳因为恶意犯规,被主裁判出示黄牌.                   80'第80分钟，亚眠再次扳平比分，卡库塔长传，科纳特拿球后突入禁区劲射，阿雷奥拉挡了一下没能阻止球入网，亚眠2-2扳平
83'巴黎圣日耳曼球员卡瓦尼大禁区左侧左脚射门,被防守球员封堵.给他传球的是穆尼耶.                   80'第80分钟，亚眠再次扳平比分，卡库塔长传，科纳特拿球后突入禁区劲射，阿雷奥拉挡了一下没能阻止球入网，亚眠2-2扳平
83'迪巴希将球处理出底线,巴黎圣日耳曼获得角球.                   80'第80分钟，亚眠再次扳平比分，卡库塔长传，科纳特拿球后突入禁区劲射，阿雷奥拉挡了一下没能阻止球入网，亚眠2-2扳平
