1'比赛开始了，拜仁开球                   1'第1分钟马竞攻势占优
57'马丁内斯小禁区外包抄，高高跃起，冲顶攻门                   54'拜仁第54分钟几乎扳平，马丁内斯横传，阿拉巴骗过后卫，在门前28米处左脚重炮击中横梁下沿弹回场内
57'奥布拉克迅速反应，侧扑把球摁在门线上                   54'拜仁第54分钟几乎扳平，马丁内斯横传，阿拉巴骗过后卫，在门前28米处左脚重炮击中横梁下沿弹回场内
75'穆勒右路交给拉姆，回敲阿隆索                   75'马竞下半时首次威胁就险些破门，第75分钟，格列兹曼后场反击长途奔袭分球，托雷斯禁区右侧扣过阿拉巴，在门前9米处右脚外脚背弹射击中远门柱内侧弹回，科克在门前13米处推射又被诺伊尔没收
75'在转移到左侧来，贝尔纳特突破丢掉了                   75'马竞下半时首次威胁就险些破门，第75分钟，格列兹曼后场反击长途奔袭分球，托雷斯禁区右侧扣过阿拉巴，在门前9米处右脚外脚背弹射击中远门柱内侧弹回，科克在门前13米处推射又被诺伊尔没收
75'马竞反击，险些得手，立柱啊                   75'马竞下半时首次威胁就险些破门，第75分钟，格列兹曼后场反击长途奔袭分球，托雷斯禁区右侧扣过阿拉巴，在门前9米处右脚外脚背弹射击中远门柱内侧弹回，科克在门前13米处推射又被诺伊尔没收
76'马竞反击2打5，格里兹曼斜塞，托雷斯杀入禁区内，右侧晃开防守，面对出击的诺伊尔，外脚背弹射击中门柱                   75'马竞下半时首次威胁就险些破门，第75分钟，格列兹曼后场反击长途奔袭分球，托雷斯禁区右侧扣过阿拉巴，在门前9米处右脚外脚背弹射击中远门柱内侧弹回，科克在门前13米处推射又被诺伊尔没收
77'禁区内科克第二点停好，禁区内再射一脚，被诺伊尔扑住                   75'马竞下半时首次威胁就险些破门，第75分钟，格列兹曼后场反击长途奔袭分球，托雷斯禁区右侧扣过阿拉巴，在门前9米处右脚外脚背弹射击中远门柱内侧弹回，科克在门前13米处推射又被诺伊尔没收
77'马竞下半场唯一的机会，就险些再次叩开拜仁大门啊                   75'马竞下半时首次威胁就险些破门，第75分钟，格列兹曼后场反击长途奔袭分球，托雷斯禁区右侧扣过阿拉巴，在门前9米处右脚外脚背弹射击中远门柱内侧弹回，科克在门前13米处推射又被诺伊尔没收
77'而且是2打5，只有2个人的反击                   75'马竞下半时首次威胁就险些破门，第75分钟，格列兹曼后场反击长途奔袭分球，托雷斯禁区右侧扣过阿拉巴，在门前9米处右脚外脚背弹射击中远门柱内侧弹回，科克在门前13米处推射又被诺伊尔没收
78'拜仁再次换人，贝尔纳特被贝纳蒂亚替下                   75'马竞下半时首次威胁就险些破门，第75分钟，格列兹曼后场反击长途奔袭分球，托雷斯禁区右侧扣过阿拉巴，在门前9米处右脚外脚背弹射击中远门柱内侧弹回，科克在门前13米处推射又被诺伊尔没收
78'拜仁这边3个名额全用完，马竞还没换人呢                   75'马竞下半时首次威胁就险些破门，第75分钟，格列兹曼后场反击长途奔袭分球，托雷斯禁区右侧扣过阿拉巴，在门前9米处右脚外脚背弹射击中远门柱内侧弹回，科克在门前13米处推射又被诺伊尔没收
78'右路科斯塔传中，费尔南德斯奋力一挡，界外球                   75'马竞下半时首次威胁就险些破门，第75分钟，格列兹曼后场反击长途奔袭分球，托雷斯禁区右侧扣过阿拉巴，在门前9米处右脚外脚背弹射击中远门柱内侧弹回，科克在门前13米处推射又被诺伊尔没收
78'阿隆索中路直塞，莱万禁区边缘拿球                   75'马竞下半时首次威胁就险些破门，第75分钟，格列兹曼后场反击长途奔袭分球，托雷斯禁区右侧扣过阿拉巴，在门前9米处右脚外脚背弹射击中远门柱内侧弹回，科克在门前13米处推射又被诺伊尔没收
