6'王鹏为石家庄永昌在对方半场,赢得一个任意球.                   6'第6分钟，许博禁区外大力射门，皮球高出门楣
72'进球啦！！！石家庄永昌球员毛剑卿球门线跟前右脚射门,球从中路飞进球门,球进了!助攻的是鲁本. 石家庄永昌 2-2 广州富力.                   72'第72分钟，石家庄永昌发动进攻，毛里西奥带到禁区后，直接打门，被对方解围出来，但皮球并没有踢远
74'鲁本为石家庄永昌在对方半场,赢得一个任意球.                   72'第72分钟，石家庄永昌发动进攻，毛里西奥带到禁区后，直接打门，被对方解围出来，但皮球并没有踢远
74'广州富力球员斯文松拼抢犯规,对手获得控球权.                   72'第72分钟，石家庄永昌发动进攻，毛里西奥带到禁区后，直接打门，被对方解围出来，但皮球并没有踢远
75'张耀坤将球处理出底线,石家庄永昌获得角球.                   72'第72分钟，石家庄永昌发动进攻，毛里西奥带到禁区后，直接打门，被对方解围出来，但皮球并没有踢远
76'毛剑卿为石家庄永昌在左路,赢得一个任意球.                   76'第76分钟后，毛剑卿、李提香先后为永昌获得任意球，但都没有形成威胁
76'广州富力球员斯文松拼抢犯规,对手获得控球权.                   76'第76分钟后，毛剑卿、李提香先后为永昌获得任意球，但都没有形成威胁
77'李提香为石家庄永昌在左路,赢得一个任意球.                   76'第76分钟后，毛剑卿、李提香先后为永昌获得任意球，但都没有形成威胁
77'广州富力球员肖智拼抢犯规,对手获得控球权.                   76'第76分钟后，毛剑卿、李提香先后为永昌获得任意球，但都没有形成威胁
79'赵容亨为石家庄永昌在左路,赢得一个任意球.                   76'第76分钟后，毛剑卿、李提香先后为永昌获得任意球，但都没有形成威胁
79'广州富力球员雷纳迪尼奥拼抢犯规,对手获得控球权.                   76'第76分钟后，毛剑卿、李提香先后为永昌获得任意球，但都没有形成威胁
88'石家庄永昌球员黄世博大禁区外右脚射门,被防守球员封堵.给他传球的是鲁本.                   88'第88分钟，主队发动进攻，黄世博在禁区内被于洋拉倒，石家庄永昌获得点球
88'宁安将球处理出底线,石家庄永昌获得角球.                   88'第88分钟，主队发动进攻，黄世博在禁区内被于洋拉倒，石家庄永昌获得点球
89'广州富力换人,Chang Feiya换下唐淼                   88'第88分钟，主队发动进攻，黄世博在禁区内被于洋拉倒，石家庄永昌获得点球
89'点球,黄世博在禁区内被侵犯,石家庄永昌获得点球.                   88'第88分钟，主队发动进攻，黄世博在禁区内被于洋拉倒，石家庄永昌获得点球
89'广州富力球员于洋犯规,致使对方获得点球.                   88'第88分钟，主队发动进攻，黄世博在禁区内被于洋拉倒，石家庄永昌获得点球
90'石家庄永昌球员李春郁点球被对方守门员扑出.点球罚失.                   88'第88分钟，主队发动进攻，黄世博在禁区内被于洋拉倒，石家庄永昌获得点球
90'+2'进球啦！！！石家庄永昌球员Diego Mauricio球门右侧小角度右脚射门,球从左下角飞进球门,球进了!助攻的是王子豪. 石家庄永昌 3-2 广州富力.                   88'第88分钟，主队发动进攻，黄世博在禁区内被于洋拉倒，石家庄永昌获得点球
90'+4'下半场结束,石家庄永昌 3-2 广州富力                   88'第88分钟，主队发动进攻，黄世博在禁区内被于洋拉倒，石家庄永昌获得点球
