7'自己的控球回传，席尔瓦送直线球给大了                   7'第7分钟，纳乔长传被曼加拉头球解围，穆萨25码处劲射偏出
66'松懈了一段时间的曼城能否重新紧起来呢                   64'莫斯科中央陆军第64分钟扳回一城，纳乔直传，穆萨禁区右侧低传，敦比亚小禁区边缘抢在萨巴莱塔之前射入空门，1-2
67'亚亚图雷挑传到禁区，哲科胸部回做，阿圭罗跟进接应停球直接停出了底线                   64'莫斯科中央陆军第64分钟扳回一城，纳乔直传，穆萨禁区右侧低传，敦比亚小禁区边缘抢在萨巴莱塔之前射入空门，1-2
67'阿圭罗拉到左路拿球交给亚亚图雷                   64'莫斯科中央陆军第64分钟扳回一城，纳乔直传，穆萨禁区右侧低传，敦比亚小禁区边缘抢在萨巴莱塔之前射入空门，1-2
75'杜姆比亚引领与穆萨的配合，孔帕尼将穆萨推倒                   75'第75分钟，纳乔任意球传入禁区，伊格纳舍维奇头球攻门偏出
75'中央陆军获得一个中路偏左的任意球机会                   75'第75分钟，纳乔任意球传入禁区，伊格纳舍维奇头球攻门偏出
75'叶夫列莫夫任意球旋到后点，伊格纳舍维奇这点空了，不过他跃起没有顶到球                   75'第75分钟，纳乔任意球传入禁区，伊格纳舍维奇头球攻门偏出
76'席尔瓦控好球分给左路科拉罗夫，科拉罗夫强突被费尔南德斯倒地拦截                   75'第75分钟，纳乔任意球传入禁区，伊格纳舍维奇头球攻门偏出
77'下半场比赛进行了30分钟，曼城暂时还是以2：1领先中央陆军                   75'第75分钟，纳乔任意球传入禁区，伊格纳舍维奇头球攻门偏出
77'米拉诺夫右路的盘带被费尔南多绊倒                   75'第75分钟，纳乔任意球传入禁区，伊格纳舍维奇头球攻门偏出
78'费尔南德斯右路直塞，埃雷门科斜插到位小角度打门，球划门而过                   75'第75分钟，纳乔任意球传入禁区，伊格纳舍维奇头球攻门偏出
78'曼城再换人，25号费尔南迪尼奥换下了21号大卫-席尔瓦                   75'第75分钟，纳乔任意球传入禁区，伊格纳舍维奇头球攻门偏出
86'遭了，杜姆比亚在禁区内被推倒                   86'莫斯科中央陆军第86分钟扳平比分，申尼科夫左路传中，敦比亚禁区内在科拉罗夫防守下摔倒，回放显示双方并无明显接触，纳乔主罚点球命中，2-2
86'科拉罗夫推倒了杜姆比亚，点球                   86'莫斯科中央陆军第86分钟扳平比分，申尼科夫左路传中，敦比亚禁区内在科拉罗夫防守下摔倒，回放显示双方并无明显接触，纳乔主罚点球命中，2-2
86'纳乔推射球门右侧球进，扳平了                   86'莫斯科中央陆军第86分钟扳平比分，申尼科夫左路传中，敦比亚禁区内在科拉罗夫防守下摔倒，回放显示双方并无明显接触，纳乔主罚点球命中，2-2
87'曼城换人，35号约维蒂奇换下了6号费尔南多                   86'莫斯科中央陆军第86分钟扳平比分，申尼科夫左路传中，敦比亚禁区内在科拉罗夫防守下摔倒，回放显示双方并无明显接触，纳乔主罚点球命中，2-2
88'亚亚图雷送到右路萨巴莱塔传中被后卫挡出，                   86'莫斯科中央陆军第86分钟扳平比分，申尼科夫左路传中，敦比亚禁区内在科拉罗夫防守下摔倒，回放显示双方并无明显接触，纳乔主罚点球命中，2-2
88'纳瓦斯再度下底传中，无人接应                   86'莫斯科中央陆军第86分钟扳平比分，申尼科夫左路传中，敦比亚禁区内在科拉罗夫防守下摔倒，回放显示双方并无明显接触，纳乔主罚点球命中，2-2
89'留给曼城的时间大概也只有六、七分钟                   86'莫斯科中央陆军第86分钟扳平比分，申尼科夫左路传中，敦比亚禁区内在科拉罗夫防守下摔倒，回放显示双方并无明显接触，纳乔主罚点球命中，2-2
89'中央陆军还有机会                   86'莫斯科中央陆军第86分钟扳平比分，申尼科夫左路传中，敦比亚禁区内在科拉罗夫防守下摔倒，回放显示双方并无明显接触，纳乔主罚点球命中，2-2
89'留给曼城的时间大概也只有六、七分钟                   89'第89分钟，埃弗雷莫夫传球，穆萨禁区左侧射门偏出近角
89'中央陆军还有机会                   89'第89分钟，埃弗雷莫夫传球，穆萨禁区左侧射门偏出近角
90'杜姆比亚中场斜塞，穆萨得球杀进禁区打门偏出                   89'第89分钟，埃弗雷莫夫传球，穆萨禁区左侧射门偏出近角
90'亚亚图雷中路直传，米尔纳禁区内拿球时已经越位                   89'第89分钟，埃弗雷莫夫传球，穆萨禁区左侧射门偏出近角
91'莫斯科中央陆军换人，19号考纳换下了18号穆萨                   89'第89分钟，埃弗雷莫夫传球，穆萨禁区左侧射门偏出近角
91'下半场进入伤停补时阶段，3分钟                   89'第89分钟，埃弗雷莫夫传球，穆萨禁区左侧射门偏出近角
92'中央陆军连续一脚传递，最后一传没有传好                   89'第89分钟，埃弗雷莫夫传球，穆萨禁区左侧射门偏出近角
92'埃雷门科回防到位断球了                   89'第89分钟，埃弗雷莫夫传球，穆萨禁区左侧射门偏出近角
92'19号考纳换下的是88号杜姆比亚                   89'第89分钟，埃弗雷莫夫传球，穆萨禁区左侧射门偏出近角
