5'拜仁前场右路的角球机会                   5'抗议客场昂贵球票的拜仁球迷在开场5分钟后才纷纷入场
35'阿森纳前场断球，可惜沃尔科特没有回跑，处于越位位置                   33'阿森纳第33分钟险些破门，蒙雷亚尔左路传中，无人防守的沃尔科特小禁区边缘头球攻门被诺伊尔在门线上神勇救出，拉姆塞小禁区右侧的补射滑门而出
35'科斯塔左路来了，交给中路                   33'阿森纳第33分钟险些破门，蒙雷亚尔左路传中，无人防守的沃尔科特小禁区边缘头球攻门被诺伊尔在门线上神勇救出，拉姆塞小禁区右侧的补射滑门而出
35'阿隆索转移到右路，拉姆传中质量不高                   33'阿森纳第33分钟险些破门，蒙雷亚尔左路传中，无人防守的沃尔科特小禁区边缘头球攻门被诺伊尔在门线上神勇救出，拉姆塞小禁区右侧的补射滑门而出
35'还是拉姆这一侧，回传给阿隆索                   33'阿森纳第33分钟险些破门，蒙雷亚尔左路传中，无人防守的沃尔科特小禁区边缘头球攻门被诺伊尔在门线上神勇救出，拉姆塞小禁区右侧的补射滑门而出
36'桑切斯左路来了，传到沃尔科特脚下，没能转身                   33'阿森纳第33分钟险些破门，蒙雷亚尔左路传中，无人防守的沃尔科特小禁区边缘头球攻门被诺伊尔在门线上神勇救出，拉姆塞小禁区右侧的补射滑门而出
36'回传出来，厄齐尔再直传，贝莱林底线传中打在后卫身上出底线                   33'阿森纳第33分钟险些破门，蒙雷亚尔左路传中，无人防守的沃尔科特小禁区边缘头球攻门被诺伊尔在门线上神勇救出，拉姆塞小禁区右侧的补射滑门而出
36'阿森纳获得一个右路的角球机会                   33'阿森纳第33分钟险些破门，蒙雷亚尔左路传中，无人防守的沃尔科特小禁区边缘头球攻门被诺伊尔在门线上神勇救出，拉姆塞小禁区右侧的补射滑门而出
36'卡索拉角球传中，莱万多夫斯基头球解围                   33'阿森纳第33分钟险些破门，蒙雷亚尔左路传中，无人防守的沃尔科特小禁区边缘头球攻门被诺伊尔在门线上神勇救出，拉姆塞小禁区右侧的补射滑门而出
75'莱万多夫斯基这里空了，单刀球打远角被切赫用脚挡高出底线                   75'拜仁第75分钟险些打破僵局，科斯塔反击中传球，莱万多夫斯基禁区右侧12码处单刀射门被切赫扑出
75'有切赫果然不同                   75'拜仁第75分钟险些打破僵局，科斯塔反击中传球，莱万多夫斯基禁区右侧12码处单刀射门被切赫扑出
76'穆勒前场右路直接远射，切赫倒地将球让出底线                   75'拜仁第75分钟险些打破僵局，科斯塔反击中传球，莱万多夫斯基禁区右侧12码处单刀射门被切赫扑出
76'这球切赫看得很准                   75'拜仁第75分钟险些打破僵局，科斯塔反击中传球，莱万多夫斯基禁区右侧12码处单刀射门被切赫扑出
76'阿森纳右路任意球机会                   75'拜仁第75分钟险些打破僵局，科斯塔反击中传球，莱万多夫斯基禁区右侧12码处单刀射门被切赫扑出
77'诺伊尔失误，吉鲁进球了                   75'拜仁第75分钟险些打破僵局，科斯塔反击中传球，莱万多夫斯基禁区右侧12码处单刀射门被切赫扑出
78'诺伊尔出击失误，吉鲁将球顶进空门！                   75'拜仁第75分钟险些打破僵局，科斯塔反击中传球，莱万多夫斯基禁区右侧12码处单刀射门被切赫扑出
78'卡索拉的传中，诺伊尔出击居然打空了，吉鲁跟进头球将球顶进空门                   75'拜仁第75分钟险些打破僵局，科斯塔反击中传球，莱万多夫斯基禁区右侧12码处单刀射门被切赫扑出
77'诺伊尔失误，吉鲁进球了                   77'阿森纳第77分钟打破僵局，吉鲁赢得前场任意球，卡索拉长传禁区，科斯切尔尼争顶落空，出击的诺伊尔同样扑空，吉鲁用脸部将皮球撞入空门
78'诺伊尔出击失误，吉鲁将球顶进空门！                   77'阿森纳第77分钟打破僵局，吉鲁赢得前场任意球，卡索拉长传禁区，科斯切尔尼争顶落空，出击的诺伊尔同样扑空，吉鲁用脸部将皮球撞入空门
78'卡索拉的传中，诺伊尔出击居然打空了，吉鲁跟进头球将球顶进空门                   77'阿森纳第77分钟打破僵局，吉鲁赢得前场任意球，卡索拉长传禁区，科斯切尔尼争顶落空，出击的诺伊尔同样扑空，吉鲁用脸部将皮球撞入空门
79'阿森纳主场球迷开始喝歌庆祝                   77'阿森纳第77分钟打破僵局，吉鲁赢得前场任意球，卡索拉长传禁区，科斯切尔尼争顶落空，出击的诺伊尔同样扑空，吉鲁用脸部将皮球撞入空门
80'蒂亚戈传给穆勒                   77'阿森纳第77分钟打破僵局，吉鲁赢得前场任意球，卡索拉长传禁区，科斯切尔尼争顶落空，出击的诺伊尔同样扑空，吉鲁用脸部将皮球撞入空门
80'分左路，科斯塔传中被贝莱林挡出边线                   77'阿森纳第77分钟打破僵局，吉鲁赢得前场任意球，卡索拉长传禁区，科斯切尔尼争顶落空，出击的诺伊尔同样扑空，吉鲁用脸部将皮球撞入空门
94'科斯塔断球，横传被科奎林断下                   94'第94分钟，贝莱林前场抢断后突入禁区右侧传中，厄齐尔近距离垫射被诺伊尔在门线后扑出，底线裁判做出正确判断，2-0
94'科奎林高速带球到右肋部传中，厄齐尔近距离打门被诺伊尔扑出，但门线裁判判这球已经越过门线                   94'第94分钟，贝莱林前场抢断后突入禁区右侧传中，厄齐尔近距离垫射被诺伊尔在门线后扑出，底线裁判做出正确判断，2-0
94'电视慢镜来看进球没有问题                   94'第94分钟，贝莱林前场抢断后突入禁区右侧传中，厄齐尔近距离垫射被诺伊尔在门线后扑出，底线裁判做出正确判断，2-0
95'全场比赛结束！                   94'第94分钟，贝莱林前场抢断后突入禁区右侧传中，厄齐尔近距离垫射被诺伊尔在门线后扑出，底线裁判做出正确判断，2-0
