4'皇马对阵德国球队，上一场胜利还要延续到2000年                   4'第4分钟，C罗左路被误判为越位
32'皇马前场再攻，C罗拿球强突，禁区线上拔脚怒射，被法赫曼直接没收                   32'第32分钟，阿隆索断球传出，迪马里亚交给C罗，C罗变线闪开科拉希纳茨，禁区边缘低射击中左门柱弹回场内
33'德拉克斯勒在争抢中鼻子伤了，站在场边队医紧急处理中                   32'第32分钟，阿隆索断球传出，迪马里亚交给C罗，C罗变线闪开科拉希纳茨，禁区边缘低射击中左门柱弹回场内
34'马塞洛左路拿球，踩单车内切                   32'第32分钟，阿隆索断球传出，迪马里亚交给C罗，C罗变线闪开科拉希纳茨，禁区边缘低射击中左门柱弹回场内
34'禁区左上角外脚背挑传禁区，第一点被后卫头球解围                   32'第32分钟，阿隆索断球传出，迪马里亚交给C罗，C罗变线闪开科拉希纳茨，禁区边缘低射击中左门柱弹回场内
35'诺伊施泰特前场中间拿球，分边左路找梅耶尔                   32'第32分钟，阿隆索断球传出，迪马里亚交给C罗，C罗变线闪开科拉希纳茨，禁区边缘低射击中左门柱弹回场内
35'卡瓦哈尔上抢，直接一脚解围出边线                   32'第32分钟，阿隆索断球传出，迪马里亚交给C罗，C罗变线闪开科拉希纳茨，禁区边缘低射击中左门柱弹回场内
35'桑塔纳中线位置拿球，短传球给到博阿滕                   32'第32分钟，阿隆索断球传出，迪马里亚交给C罗，C罗变线闪开科拉希纳茨，禁区边缘低射击中左门柱弹回场内
46'可惜劳尔因为有事，未能前往现场观看                   46'1分钟后，迪马利亚直传禁区左侧，C罗在门前9米处小角度低射被费尔曼左腿一档落在球网上方，摩德里奇右侧开出角球，C罗争顶被费尔曼没收
46'又是法赫曼，面度C罗的低射，直接倒地用腿挡出                   46'1分钟后，迪马利亚直传禁区左侧，C罗在门前9米处小角度低射被费尔曼左腿一档落在球网上方，摩德里奇右侧开出角球，C罗争顶被费尔曼没收
46'皇马右侧角球机会，开出被沙尔克球员解围                   46'1分钟后，迪马利亚直传禁区左侧，C罗在门前9米处小角度低射被费尔曼左腿一档落在球网上方，摩德里奇右侧开出角球，C罗争顶被费尔曼没收
46'下半场比赛开始，皇马开球                   46'1分钟后，迪马利亚直传禁区左侧，C罗在门前9米处小角度低射被费尔曼左腿一档落在球网上方，摩德里奇右侧开出角球，C罗争顶被费尔曼没收
46'双方下半场并没有人员上的变化                   46'1分钟后，迪马利亚直传禁区左侧，C罗在门前9米处小角度低射被费尔曼左腿一档落在球网上方，摩德里奇右侧开出角球，C罗争顶被费尔曼没收
47'迪玛利亚前场拿球，横传找莫德里奇时被沙尔克球员拦截                   46'1分钟后，迪马利亚直传禁区左侧，C罗在门前9米处小角度低射被费尔曼左腿一档落在球网上方，摩德里奇右侧开出角球，C罗争顶被费尔曼没收
47'沙尔克后场的过顶球找前插的梅耶尔                   46'1分钟后，迪马利亚直传禁区左侧，C罗在门前9米处小角度低射被费尔曼左腿一档落在球网上方，摩德里奇右侧开出角球，C罗争顶被费尔曼没收
47'可惜没能过掉马塞洛的防线                   46'1分钟后，迪马利亚直传禁区左侧，C罗在门前9米处小角度低射被费尔曼左腿一档落在球网上方，摩德里奇右侧开出角球，C罗争顶被费尔曼没收
48'沙尔克前场抢断，德拉克斯勒禁区远射，卡西将球扑出                   46'1分钟后，迪马利亚直传禁区左侧，C罗在门前9米处小角度低射被费尔曼左腿一档落在球网上方，摩德里奇右侧开出角球，C罗争顶被费尔曼没收
48'沙尔克右路再传禁区，佩佩头球解围                   46'1分钟后，迪马利亚直传禁区左侧，C罗在门前9米处小角度低射被费尔曼左腿一档落在球网上方，摩德里奇右侧开出角球，C罗争顶被费尔曼没收
48'皇马右路的反击，贝尔拿球，变向内切，横传门前                   46'1分钟后，迪马利亚直传禁区左侧，C罗在门前9米处小角度低射被费尔曼左腿一档落在球网上方，摩德里奇右侧开出角球，C罗争顶被费尔曼没收
48'马蒂普转身回防，在C罗之前将球解围                   46'1分钟后，迪马利亚直传禁区左侧，C罗在门前9米处小角度低射被费尔曼左腿一档落在球网上方，摩德里奇右侧开出角球，C罗争顶被费尔曼没收
49'马塞洛左路拿球，横切后大范围转移球往右路走，被断啦                   46'1分钟后，迪马利亚直传禁区左侧，C罗在门前9米处小角度低射被费尔曼左腿一档落在球网上方，摩德里奇右侧开出角球，C罗争顶被费尔曼没收
49'法尔范拿球反击，右边路变向扣球过掉马塞洛                   46'1分钟后，迪马利亚直传禁区左侧，C罗在门前9米处小角度低射被费尔曼左腿一档落在球网上方，摩德里奇右侧开出角球，C罗争顶被费尔曼没收
44'沙尔克前场的传球失误，皇马反击                   44'第44分钟，马塞洛左路传中，本泽马后点距门5米处半凌空推射打飞
44'迪玛利亚左边路拿球，回防的博阿滕毫无逼抢啊                   44'第44分钟，马塞洛左路传中，本泽马后点距门5米处半凌空推射打飞
45'皇马的过顶球到禁区，本泽马抢点攻门，打在边网                   44'第44分钟，马塞洛左路传中，本泽马后点距门5米处半凌空推射打飞
45'这两队的交锋，因为劳尔的缘故，赛前也是深受关注                   44'第44分钟，马塞洛左路传中，本泽马后点距门5米处半凌空推射打飞
46'可惜劳尔因为有事，未能前往现场观看                   44'第44分钟，马塞洛左路传中，本泽马后点距门5米处半凌空推射打飞
46'又是法赫曼，面度C罗的低射，直接倒地用腿挡出                   44'第44分钟，马塞洛左路传中，本泽马后点距门5米处半凌空推射打飞
46'皇马右侧角球机会，开出被沙尔克球员解围                   44'第44分钟，马塞洛左路传中，本泽马后点距门5米处半凌空推射打飞
46'下半场比赛开始，皇马开球                   44'第44分钟，马塞洛左路传中，本泽马后点距门5米处半凌空推射打飞
46'双方下半场并没有人员上的变化                   44'第44分钟，马塞洛左路传中，本泽马后点距门5米处半凌空推射打飞
47'迪玛利亚前场拿球，横传找莫德里奇时被沙尔克球员拦截                   44'第44分钟，马塞洛左路传中，本泽马后点距门5米处半凌空推射打飞
47'沙尔克后场的过顶球找前插的梅耶尔                   44'第44分钟，马塞洛左路传中，本泽马后点距门5米处半凌空推射打飞
47'可惜没能过掉马塞洛的防线                   44'第44分钟，马塞洛左路传中，本泽马后点距门5米处半凌空推射打飞
46'可惜劳尔因为有事，未能前往现场观看                   46'矿工补时第1分钟打进安慰球，富克斯左路传中，亨特拉尔在门前18米处凌空抽射挂右上角，1比6，他成为萨莫拉诺、莫伦特斯、罗本、斯内德之后，第5位欧冠攻破皇马球门的旧将
46'又是法赫曼，面度C罗的低射，直接倒地用腿挡出                   46'矿工补时第1分钟打进安慰球，富克斯左路传中，亨特拉尔在门前18米处凌空抽射挂右上角，1比6，他成为萨莫拉诺、莫伦特斯、罗本、斯内德之后，第5位欧冠攻破皇马球门的旧将
46'皇马右侧角球机会，开出被沙尔克球员解围                   46'矿工补时第1分钟打进安慰球，富克斯左路传中，亨特拉尔在门前18米处凌空抽射挂右上角，1比6，他成为萨莫拉诺、莫伦特斯、罗本、斯内德之后，第5位欧冠攻破皇马球门的旧将
46'下半场比赛开始，皇马开球                   46'矿工补时第1分钟打进安慰球，富克斯左路传中，亨特拉尔在门前18米处凌空抽射挂右上角，1比6，他成为萨莫拉诺、莫伦特斯、罗本、斯内德之后，第5位欧冠攻破皇马球门的旧将
46'双方下半场并没有人员上的变化                   46'矿工补时第1分钟打进安慰球，富克斯左路传中，亨特拉尔在门前18米处凌空抽射挂右上角，1比6，他成为萨莫拉诺、莫伦特斯、罗本、斯内德之后，第5位欧冠攻破皇马球门的旧将
47'迪玛利亚前场拿球，横传找莫德里奇时被沙尔克球员拦截                   46'矿工补时第1分钟打进安慰球，富克斯左路传中，亨特拉尔在门前18米处凌空抽射挂右上角，1比6，他成为萨莫拉诺、莫伦特斯、罗本、斯内德之后，第5位欧冠攻破皇马球门的旧将
47'沙尔克后场的过顶球找前插的梅耶尔                   46'矿工补时第1分钟打进安慰球，富克斯左路传中，亨特拉尔在门前18米处凌空抽射挂右上角，1比6，他成为萨莫拉诺、莫伦特斯、罗本、斯内德之后，第5位欧冠攻破皇马球门的旧将
47'可惜没能过掉马塞洛的防线                   46'矿工补时第1分钟打进安慰球，富克斯左路传中，亨特拉尔在门前18米处凌空抽射挂右上角，1比6，他成为萨莫拉诺、莫伦特斯、罗本、斯内德之后，第5位欧冠攻破皇马球门的旧将
48'沙尔克前场抢断，德拉克斯勒禁区远射，卡西将球扑出                   46'矿工补时第1分钟打进安慰球，富克斯左路传中，亨特拉尔在门前18米处凌空抽射挂右上角，1比6，他成为萨莫拉诺、莫伦特斯、罗本、斯内德之后，第5位欧冠攻破皇马球门的旧将
48'沙尔克右路再传禁区，佩佩头球解围                   46'矿工补时第1分钟打进安慰球，富克斯左路传中，亨特拉尔在门前18米处凌空抽射挂右上角，1比6，他成为萨莫拉诺、莫伦特斯、罗本、斯内德之后，第5位欧冠攻破皇马球门的旧将
48'皇马右路的反击，贝尔拿球，变向内切，横传门前                   46'矿工补时第1分钟打进安慰球，富克斯左路传中，亨特拉尔在门前18米处凌空抽射挂右上角，1比6，他成为萨莫拉诺、莫伦特斯、罗本、斯内德之后，第5位欧冠攻破皇马球门的旧将
48'马蒂普转身回防，在C罗之前将球解围                   46'矿工补时第1分钟打进安慰球，富克斯左路传中，亨特拉尔在门前18米处凌空抽射挂右上角，1比6，他成为萨莫拉诺、莫伦特斯、罗本、斯内德之后，第5位欧冠攻破皇马球门的旧将
49'马塞洛左路拿球，横切后大范围转移球往右路走，被断啦                   46'矿工补时第1分钟打进安慰球，富克斯左路传中，亨特拉尔在门前18米处凌空抽射挂右上角，1比6，他成为萨莫拉诺、莫伦特斯、罗本、斯内德之后，第5位欧冠攻破皇马球门的旧将
49'法尔范拿球反击，右边路变向扣球过掉马塞洛                   46'矿工补时第1分钟打进安慰球，富克斯左路传中，亨特拉尔在门前18米处凌空抽射挂右上角，1比6，他成为萨莫拉诺、莫伦特斯、罗本、斯内德之后，第5位欧冠攻破皇马球门的旧将
