1'上半场比赛开始！                   1'开场仅1分钟，苏亚雷斯传球，但库蒂尼奥错过禁区边缘内的射门机会
14'查德利前场拿球给到队友                   12'第12分钟，乔-艾伦禁区内射门被挡，斯特林射门偏出
14'保利尼奥拿球被拉拽                   12'第12分钟，乔-艾伦禁区内射门被挡，斯特林射门偏出
14'利物浦中场拿球转移到另一侧                   12'第12分钟，乔-艾伦禁区内射门被挡，斯特林射门偏出
15'利物浦长传打热刺身后                   12'第12分钟，乔-艾伦禁区内射门被挡，斯特林射门偏出
15'这球送的太深，洛里斯将球得到                   12'第12分钟，乔-艾伦禁区内射门被挡，斯特林射门偏出
15'乔阿伦左路禁区里拿球                   12'第12分钟，乔-艾伦禁区内射门被挡，斯特林射门偏出
18'斯特林右路超车过掉一名防守球员                   18'利物浦第18分钟取得领先，苏亚雷斯直传亨德森被道森勉强拦截，亨德森回敲，苏亚雷斯晃过沃克尔后10码处推射破门
18'最后的一传被挡了出来                   18'利物浦第18分钟取得领先，苏亚雷斯直传亨德森被道森勉强拦截，亨德森回敲，苏亚雷斯晃过沃克尔后10码处推射破门
18'这段时间，利物浦的攻势很猛                   18'利物浦第18分钟取得领先，苏亚雷斯直传亨德森被道森勉强拦截，亨德森回敲，苏亚雷斯晃过沃克尔后10码处推射破门
19'利物浦进球了！！                   18'利物浦第18分钟取得领先，苏亚雷斯直传亨德森被道森勉强拦截，亨德森回敲，苏亚雷斯晃过沃克尔后10码处推射破门
19'苏亚雷斯                   18'利物浦第18分钟取得领先，苏亚雷斯直传亨德森被道森勉强拦截，亨德森回敲，苏亚雷斯晃过沃克尔后10码处推射破门
20'苏亚雷斯前场跟亨德森做撞墙式配合，苏亚雷斯杀到禁区内冷静推射远角破门！                   18'利物浦第18分钟取得领先，苏亚雷斯直传亨德森被道森勉强拦截，亨德森回敲，苏亚雷斯晃过沃克尔后10码处推射破门
21'洪磊00： 利物浦进啦，真的---是真的                   18'利物浦第18分钟取得领先，苏亚雷斯直传亨德森被道森勉强拦截，亨德森回敲，苏亚雷斯晃过沃克尔后10码处推射破门
21'查德利左路拿球到了禁区内                   18'利物浦第18分钟取得领先，苏亚雷斯直传亨德森被道森勉强拦截，亨德森回敲，苏亚雷斯晃过沃克尔后10码处推射破门
21'底线附近传球送后点                   18'利物浦第18分钟取得领先，苏亚雷斯直传亨德森被道森勉强拦截，亨德森回敲，苏亚雷斯晃过沃克尔后10码处推射破门
21'这球队友没有勾到                   18'利物浦第18分钟取得领先，苏亚雷斯直传亨德森被道森勉强拦截，亨德森回敲，苏亚雷斯晃过沃克尔后10码处推射破门
21'斯特林右路突破没有过去                   18'利物浦第18分钟取得领先，苏亚雷斯直传亨德森被道森勉强拦截，亨德森回敲，苏亚雷斯晃过沃克尔后10码处推射破门
22'热刺的反击机会                   22'第22分钟，斯特林直传，反越位成功的苏亚雷斯禁区右侧10码处小角度射门打在洛里斯腿上弹出底线
22'利物浦中场两人夹击将球抢到回来                   22'第22分钟，斯特林直传，反越位成功的苏亚雷斯禁区右侧10码处小角度射门打在洛里斯腿上弹出底线
22'直接送直塞到禁区内                   22'第22分钟，斯特林直传，反越位成功的苏亚雷斯禁区右侧10码处小角度射门打在洛里斯腿上弹出底线
22'苏亚雷斯高速插上，小角度想打门将的小门                   22'第22分钟，斯特林直传，反越位成功的苏亚雷斯禁区右侧10码处小角度射门打在洛里斯腿上弹出底线
22'这球被门将防了下来                   22'第22分钟，斯特林直传，反越位成功的苏亚雷斯禁区右侧10码处小角度射门打在洛里斯腿上弹出底线
22'可惜了                   22'第22分钟，斯特林直传，反越位成功的苏亚雷斯禁区右侧10码处小角度射门打在洛里斯腿上弹出底线
23'斯特林斜传送禁区呃逆                   22'第22分钟，斯特林直传，反越位成功的苏亚雷斯禁区右侧10码处小角度射门打在洛里斯腿上弹出底线
23'洛里斯出击抢在乔阿伦之前将球得到                   22'第22分钟，斯特林直传，反越位成功的苏亚雷斯禁区右侧10码处小角度射门打在洛里斯腿上弹出底线
24'『互动话题』苏亚雷斯又进球了，谁还能阻挡？                   22'第22分钟，斯特林直传，反越位成功的苏亚雷斯禁区右侧10码处小角度射门打在洛里斯腿上弹出底线
28'他放倒了亨德森                   28'利物浦第28分钟险些扩大比分，苏亚雷斯禁区左侧挑传回中路，无人防守的库蒂尼奥禁区边缘抽射打中横梁弹回被解围，格伦-约翰逊25码处左脚抽射稍稍高出
28'道森得到一张黄牌！                   28'利物浦第28分钟险些扩大比分，苏亚雷斯禁区左侧挑传回中路，无人防守的库蒂尼奥禁区边缘抽射打中横梁弹回被解围，格伦-约翰逊25码处左脚抽射稍稍高出
28'利物浦的射门又是打在了横梁上！！                   28'利物浦第28分钟险些扩大比分，苏亚雷斯禁区左侧挑传回中路，无人防守的库蒂尼奥禁区边缘抽射打中横梁弹回被解围，格伦-约翰逊25码处左脚抽射稍稍高出
29'苏亚雷斯底线回传到禁区弧顶，队友的射门打了一个反弹球打在了横梁上                   28'利物浦第28分钟险些扩大比分，苏亚雷斯禁区左侧挑传回中路，无人防守的库蒂尼奥禁区边缘抽射打中横梁弹回被解围，格伦-约翰逊25码处左脚抽射稍稍高出
29'而格伦-约翰逊禁区外围的抽射又是稍稍高出横梁                   28'利物浦第28分钟险些扩大比分，苏亚雷斯禁区左侧挑传回中路，无人防守的库蒂尼奥禁区边缘抽射打中横梁弹回被解围，格伦-约翰逊25码处左脚抽射稍稍高出
29'这段时间热刺太被动了                   28'利物浦第28分钟险些扩大比分，苏亚雷斯禁区左侧挑传回中路，无人防守的库蒂尼奥禁区边缘抽射打中横梁弹回被解围，格伦-约翰逊25码处左脚抽射稍稍高出
29'而这个时候，热刺队有球员受伤了                   28'利物浦第28分钟险些扩大比分，苏亚雷斯禁区左侧挑传回中路，无人防守的库蒂尼奥禁区边缘抽射打中横梁弹回被解围，格伦-约翰逊25码处左脚抽射稍稍高出
30'热刺被迫换人了，桑德罗下，霍尔特比上！                   28'利物浦第28分钟险些扩大比分，苏亚雷斯禁区左侧挑传回中路，无人防守的库蒂尼奥禁区边缘抽射打中横梁弹回被解围，格伦-约翰逊25码处左脚抽射稍稍高出
31'热刺这边获得角球机会                   28'利物浦第28分钟险些扩大比分，苏亚雷斯禁区左侧挑传回中路，无人防守的库蒂尼奥禁区边缘抽射打中横梁弹回被解围，格伦-约翰逊25码处左脚抽射稍稍高出
31'角球送前点，查德利甩开防守球员头球攻门稍稍顶高                   28'利物浦第28分钟险些扩大比分，苏亚雷斯禁区左侧挑传回中路，无人防守的库蒂尼奥禁区边缘抽射打中横梁弹回被解围，格伦-约翰逊25码处左脚抽射稍稍高出
31'热刺这边获得角球机会                   31'第31分钟，霍尔特比开出角球，保利尼奥8码处头球攻门稍稍高出
31'角球送前点，查德利甩开防守球员头球攻门稍稍顶高                   31'第31分钟，霍尔特比开出角球，保利尼奥8码处头球攻门稍稍高出
32'热刺现在也并不是没机会                   31'第31分钟，霍尔特比开出角球，保利尼奥8码处头球攻门稍稍高出
32'海-的承诺：欧冠马上要抽签了，有什么想法吗？---您又希望谁碰谁呢？                   31'第31分钟，霍尔特比开出角球，保利尼奥8码处头球攻门稍稍高出
33'米兰内洛的小辉：左翼少了代表名字看起来真不习惯---慢慢就习惯啦                   31'第31分钟，霍尔特比开出角球，保利尼奥8码处头球攻门稍稍高出
33'洛里斯送礼了，但苏亚雷斯没有把握住啊                   31'第31分钟，霍尔特比开出角球，保利尼奥8码处头球攻门稍稍高出
33'利物浦长传打到前场，洛里斯冲出禁区想解围，但这球并没有顶远                   31'第31分钟，霍尔特比开出角球，保利尼奥8码处头球攻门稍稍高出
34'苏亚雷斯得球后带球到禁区内，稍微调整一下后推射被洛里斯回防挡出                   31'第31分钟，霍尔特比开出角球，保利尼奥8码处头球攻门稍稍高出
34'热刺的后防今天着实让人不放心                   31'第31分钟，霍尔特比开出角球，保利尼奥8码处头球攻门稍稍高出
38'斯特林右路横向带球                   38'热刺第38分钟险些扳平，索尔达多禁区左侧回传，霍尔特比12码处扫射擦右侧立柱偏出
38'大禁区线上的打门被后卫挡了一下                   38'热刺第38分钟险些扳平，索尔达多禁区左侧回传，霍尔特比12码处扫射擦右侧立柱偏出
38'热刺左路拿球到底线                   38'热刺第38分钟险些扳平，索尔达多禁区左侧回传，霍尔特比12码处扫射擦右侧立柱偏出
39'索尔达多低平球回敲到中路                   38'热刺第38分钟险些扳平，索尔达多禁区左侧回传，霍尔特比12码处扫射擦右侧立柱偏出
39'霍尔特比跟上推远角打偏了                   38'热刺第38分钟险些扳平，索尔达多禁区左侧回传，霍尔特比12码处扫射擦右侧立柱偏出
39'这球稍稍可惜了点                   38'热刺第38分钟险些扳平，索尔达多禁区左侧回传，霍尔特比12码处扫射擦右侧立柱偏出
39'不过一住院医生而已：看到苏牙进球睡意全无，就算还要早起上班啊……---真球迷！！                   38'热刺第38分钟险些扳平，索尔达多禁区左侧回传，霍尔特比12码处扫射擦右侧立柱偏出
40'宽容的romt：龅牙苏又进球了，最近状态实在火---太火了                   38'热刺第38分钟险些扳平，索尔达多禁区左侧回传，霍尔特比12码处扫射擦右侧立柱偏出
40'利物浦又进球了！！                   38'热刺第38分钟险些扳平，索尔达多禁区左侧回传，霍尔特比12码处扫射擦右侧立柱偏出
40'亨德森！！                   38'热刺第38分钟险些扳平，索尔达多禁区左侧回传，霍尔特比12码处扫射擦右侧立柱偏出
41'利物浦中场传球打到前场，队友得球后直接将球送到禁区内，亨德森跟上第一脚打门被洛里斯扑出，禁区外围，苏亚雷斯再打又被洛里斯托了一下，亨德森跟上再补总算将球打进！                   38'热刺第38分钟险些扳平，索尔达多禁区左侧回传，霍尔特比12码处扫射擦右侧立柱偏出
43'MJ月球漫步MJ：热刺这是要被灌了吗---后场漏洞太多了                   43'第43分钟，索尔达多禁区左侧射入空门，但裁判莫斯判罚他对米格诺莱犯规在先，进球无效
43'沃克尔后场防守球员的时候拉人犯规                   43'第43分钟，索尔达多禁区左侧射入空门，但裁判莫斯判罚他对米格诺莱犯规在先，进球无效
43'沃克尔得到一张黄牌！                   43'第43分钟，索尔达多禁区左侧射入空门，但裁判莫斯判罚他对米格诺莱犯规在先，进球无效
44'米尼奥莱后场停球停大了                   43'第43分钟，索尔达多禁区左侧射入空门，但裁判莫斯判罚他对米格诺莱犯规在先，进球无效
44'索尔达多禁区内冲撞门将将球断了下来并将球打进                   43'第43分钟，索尔达多禁区左侧射入空门，但裁判莫斯判罚他对米格诺莱犯规在先，进球无效
44'但裁判还是先吹了哨子，索尔达多进攻犯规                   43'第43分钟，索尔达多禁区左侧射入空门，但裁判莫斯判罚他对米格诺莱犯规在先，进球无效
44'不过这球，米尼奥莱的失误还是比较明显的                   43'第43分钟，索尔达多禁区左侧射入空门，但裁判莫斯判罚他对米格诺莱犯规在先，进球无效
45'神奇猫先生：苏牙还有一球，卢卡斯再来一个暴力远射---这是要4-0么？                   43'第43分钟，索尔达多禁区左侧射入空门，但裁判莫斯判罚他对米格诺莱犯规在先，进球无效
46'上半场比赛要补时2分钟！                   43'第43分钟，索尔达多禁区左侧射入空门，但裁判莫斯判罚他对米格诺莱犯规在先，进球无效
46'查德利前场拿球                   43'第43分钟，索尔达多禁区左侧射入空门，但裁判莫斯判罚他对米格诺莱犯规在先，进球无效
46'下半场比赛开始！                   43'第43分钟，索尔达多禁区左侧射入空门，但裁判莫斯判罚他对米格诺莱犯规在先，进球无效
46'下半场比赛由热刺开球                   43'第43分钟，索尔达多禁区左侧射入空门，但裁判莫斯判罚他对米格诺莱犯规在先，进球无效
46'杨鲁克斯：下半场热刺刀刀见血，4：2拿下利物浦！---先将比分扳平了再想逆转                   43'第43分钟，索尔达多禁区左侧射入空门，但裁判莫斯判罚他对米格诺莱犯规在先，进球无效
49'苏亚雷斯中场传球力量小了                   49'利物浦第49分钟又与进球擦肩，斯特林禁区右侧传中，萨科远点近距离头球攻门打中左侧立柱弹回，斯科特尔12码处抽射偏出
49'球还在利物浦脚下                   49'利物浦第49分钟又与进球擦肩，斯特林禁区右侧传中，萨科远点近距离头球攻门打中左侧立柱弹回，斯科特尔12码处抽射偏出
49'库蒂尼奥左路拿球，禁区外围远射打在了防守球员身上                   49'利物浦第49分钟又与进球擦肩，斯特林禁区右侧传中，萨科远点近距离头球攻门打中左侧立柱弹回，斯科特尔12码处抽射偏出
49'现场也是下起了雨                   49'利物浦第49分钟又与进球擦肩，斯特林禁区右侧传中，萨科远点近距离头球攻门打中左侧立柱弹回，斯科特尔12码处抽射偏出
50'利物浦角球送中路，第一点被热刺球员破坏                   49'利物浦第49分钟又与进球擦肩，斯特林禁区右侧传中，萨科远点近距离头球攻门打中左侧立柱弹回，斯科特尔12码处抽射偏出
50'斯特林右路下底传后门柱，萨科头球攻门被立柱拒绝！！！                   49'利物浦第49分钟又与进球擦肩，斯特林禁区右侧传中，萨科远点近距离头球攻门打中左侧立柱弹回，斯科特尔12码处抽射偏出
52'乔阿伦后场边路防守犯规                   49'利物浦第49分钟又与进球擦肩，斯特林禁区右侧传中，萨科远点近距离头球攻门打中左侧立柱弹回，斯科特尔12码处抽射偏出
52'热刺左路下底送中路                   49'利物浦第49分钟又与进球擦肩，斯特林禁区右侧传中，萨科远点近距离头球攻门打中左侧立柱弹回，斯科特尔12码处抽射偏出
52'球在前点被利物浦球员破坏出来                   49'利物浦第49分钟又与进球擦肩，斯特林禁区右侧传中，萨科远点近距离头球攻门打中左侧立柱弹回，斯科特尔12码处抽射偏出
59'列侬右路拿球横扫门前                   59'第59分钟，索尔达多小禁区前倒地，裁判未予理会，列农和弗赖尔斯的射门接连被封堵挡出
59'热刺抢点球员包抄中摔倒了                   59'第59分钟，索尔达多小禁区前倒地，裁判未予理会，列农和弗赖尔斯的射门接连被封堵挡出
60'裁判对这球没有进行判罚                   59'第59分钟，索尔达多小禁区前倒地，裁判未予理会，列农和弗赖尔斯的射门接连被封堵挡出
61'热刺换人，登贝莱下，汤森德上！                   59'第59分钟，索尔达多小禁区前倒地，裁判未予理会，列农和弗赖尔斯的射门接连被封堵挡出
62'雨现在越下越大                   59'第59分钟，索尔达多小禁区前倒地，裁判未予理会，列农和弗赖尔斯的射门接连被封堵挡出
62'热刺前场断球                   59'第59分钟，索尔达多小禁区前倒地，裁判未予理会，列农和弗赖尔斯的射门接连被封堵挡出
63'场地的湿滑也是没有打成反击                   63'热刺第63分钟再遭打击，保利尼奥凌空拼抢皮球时蹬踏到苏亚雷斯右胸被红牌直接罚下
64'保利尼奥中场防守的时候直接抬腿揣在了苏亚雷斯的胸口！！！                   63'热刺第63分钟再遭打击，保利尼奥凌空拼抢皮球时蹬踏到苏亚雷斯右胸被红牌直接罚下
64'保利尼奥直接被红牌罚下！！                   63'热刺第63分钟再遭打击，保利尼奥凌空拼抢皮球时蹬踏到苏亚雷斯右胸被红牌直接罚下
64'苏亚雷斯很痛苦倒在地上                   63'热刺第63分钟再遭打击，保利尼奥凌空拼抢皮球时蹬踏到苏亚雷斯右胸被红牌直接罚下
66'『互动话题』保利尼奥这动作太凶残了些吧                   63'热刺第63分钟再遭打击，保利尼奥凌空拼抢皮球时蹬踏到苏亚雷斯右胸被红牌直接罚下
66'好在苏亚雷斯的问题并不大                   63'热刺第63分钟再遭打击，保利尼奥凌空拼抢皮球时蹬踏到苏亚雷斯右胸被红牌直接罚下
66'这动作不知道会不会成为导火索                   63'热刺第63分钟再遭打击，保利尼奥凌空拼抢皮球时蹬踏到苏亚雷斯右胸被红牌直接罚下
71'全场比赛70分钟了，场上的比分还是利物浦2-0领先热刺                   71'第71分钟，亨德森直传，苏亚雷斯突入禁区左侧小角度射门被洛里斯扑出近角
71'利物浦中场拿球送直塞                   71'第71分钟，亨德森直传，苏亚雷斯突入禁区左侧小角度射门被洛里斯扑出近角
71'苏亚雷斯禁区内得球后，低射近角被挡出                   71'第71分钟，亨德森直传，苏亚雷斯突入禁区左侧小角度射门被洛里斯扑出近角
71'利物浦角球前点                   71'第71分钟，亨德森直传，苏亚雷斯突入禁区左侧小角度射门被洛里斯扑出近角
72'裁判的哨子先鸣了，进攻犯规                   71'第71分钟，亨德森直传，苏亚雷斯突入禁区左侧小角度射门被洛里斯扑出近角
73'热刺中场拿球，没有什么机会                   71'第71分钟，亨德森直传，苏亚雷斯突入禁区左侧小角度射门被洛里斯扑出近角
73'转移到右路来策应                   71'第71分钟，亨德森直传，苏亚雷斯突入禁区左侧小角度射门被洛里斯扑出近角
74'球在中场被利物浦抢断了                   71'第71分钟，亨德森直传，苏亚雷斯突入禁区左侧小角度射门被洛里斯扑出近角
74'苏亚雷斯禁区内拿球                   71'第71分钟，亨德森直传，苏亚雷斯突入禁区左侧小角度射门被洛里斯扑出近角
74'横向摆脱后将球回敲                   71'第71分钟，亨德森直传，苏亚雷斯突入禁区左侧小角度射门被洛里斯扑出近角
74'库蒂尼奥兜远角，这球打偏了                   71'第71分钟，亨德森直传，苏亚雷斯突入禁区左侧小角度射门被洛里斯扑出近角
84'库蒂尼奥前场带球，自己马失前蹄了                   84'第84分钟，替补卢卡斯出场的阿尔贝托传球，苏亚雷斯禁区边缘面对出击的洛里斯挑射破门，4-0
84'苏亚雷斯！！4-0！！                   84'第84分钟，替补卢卡斯出场的阿尔贝托传球，苏亚雷斯禁区边缘面对出击的洛里斯挑射破门，4-0
85'阿尔贝托前场拿球给到苏亚雷斯，面对出击的门将，苏亚雷斯挑射破门！！                   84'第84分钟，替补卢卡斯出场的阿尔贝托传球，苏亚雷斯禁区边缘面对出击的洛里斯挑射破门，4-0
85'非常的轻松                   84'第84分钟，替补卢卡斯出场的阿尔贝托传球，苏亚雷斯禁区边缘面对出击的洛里斯挑射破门，4-0
85'博阿斯脸上面无表情                   84'第84分钟，替补卢卡斯出场的阿尔贝托传球，苏亚雷斯禁区边缘面对出击的洛里斯挑射破门，4-0
86'利物浦还在加强进攻                   84'第84分钟，替补卢卡斯出场的阿尔贝托传球，苏亚雷斯禁区边缘面对出击的洛里斯挑射破门，4-0
86'现场，热刺的球迷也开始了退场                   84'第84分钟，替补卢卡斯出场的阿尔贝托传球，苏亚雷斯禁区边缘面对出击的洛里斯挑射破门，4-0
87'斯特林想沿底线走，最后还是被断掉了                   84'第84分钟，替补卢卡斯出场的阿尔贝托传球，苏亚雷斯禁区边缘面对出击的洛里斯挑射破门，4-0
89'利物浦现在不着急进攻了                   89'第89分钟，苏亚雷斯直传，反越位成功的斯特林12码处单刀推射破门，5-0
89'5-0！！                   89'第89分钟，苏亚雷斯直传，反越位成功的斯特林12码处单刀推射破门，5-0
89'斯特林！！                   89'第89分钟，苏亚雷斯直传，反越位成功的斯特林12码处单刀推射破门，5-0
89'送出助攻的是苏亚雷斯                   89'第89分钟，苏亚雷斯直传，反越位成功的斯特林12码处单刀推射破门，5-0
90'苏亚雷斯前场拿球送直塞，斯特林反越位成功后，冷静推射破门！                   89'第89分钟，苏亚雷斯直传，反越位成功的斯特林12码处单刀推射破门，5-0
90'利物浦换人，库蒂尼奥下，摩西上！                   89'第89分钟，苏亚雷斯直传，反越位成功的斯特林12码处单刀推射破门，5-0
91'下半场补时3分钟                   89'第89分钟，苏亚雷斯直传，反越位成功的斯特林12码处单刀推射破门，5-0
92'利物浦中场拿球横向转移                   89'第89分钟，苏亚雷斯直传，反越位成功的斯特林12码处单刀推射破门，5-0
