7'雷纳尔迪尼奥右路突破，池忠国把球铲出底线，角球                   7'第7分钟巴兰特斯从右路启动到中路，杀到禁区边缘转移到左路，吴毅臻怒射踢高
34'胡鸣飞右边路转身，球先出界                   33'第33分钟丹尼尔在和张耀坤拼抢后痛苦倒地不起，看上去肩膀有点脱臼
35'叶重秋中场断球，巴兰特斯直接做球                   33'第33分钟丹尼尔在和张耀坤拼抢后痛苦倒地不起，看上去肩膀有点脱臼
35'丹尼尔领球转身没有带好                   33'第33分钟丹尼尔在和张耀坤拼抢后痛苦倒地不起，看上去肩膀有点脱臼
35'姜至鹏左路下底传中到禁区前                   33'第33分钟丹尼尔在和张耀坤拼抢后痛苦倒地不起，看上去肩膀有点脱臼
35'雷纳尔迪尼奥的兜射远角打偏                   33'第33分钟丹尼尔在和张耀坤拼抢后痛苦倒地不起，看上去肩膀有点脱臼
36'卢琳左路拿球被胡鸣飞上抢，但是带球出边线                   33'第33分钟丹尼尔在和张耀坤拼抢后痛苦倒地不起，看上去肩膀有点脱臼
36'阿隆左路内切被破坏                   33'第33分钟丹尼尔在和张耀坤拼抢后痛苦倒地不起，看上去肩膀有点脱臼
46'上半场补时2分钟                   46'第46分钟胡鸣飞右路传中，叶重秋头球被刘殿座扑住
46'阿隆拿球搓门前，张一诺把球没收                   46'第46分钟胡鸣飞右路传中，叶重秋头球被刘殿座扑住
46'胡鸣飞右路传中，叶重秋抢点越位                   46'第46分钟胡鸣飞右路传中，叶重秋头球被刘殿座扑住
47'上半场比赛结束！                   46'第46分钟胡鸣飞右路传中，叶重秋头球被刘殿座扑住
46'下半场比赛开始！                   46'第46分钟胡鸣飞右路传中，叶重秋头球被刘殿座扑住
46'富力中圈开球                   46'第46分钟胡鸣飞右路传中，叶重秋头球被刘殿座扑住
46'汪嵩中场分边                   46'第46分钟胡鸣飞右路传中，叶重秋头球被刘殿座扑住
46'雷纳尔迪尼奥右路传中，卢琳手球了                   46'第46分钟胡鸣飞右路传中，叶重秋头球被刘殿座扑住
47'巴兰特斯前场拿球，越位在先                   46'第46分钟胡鸣飞右路传中，叶重秋头球被刘殿座扑住
48'张贤秀斜传左路，阿隆拿球                   46'第46分钟胡鸣飞右路传中，叶重秋头球被刘殿座扑住
48'卢琳禁区前转身，球被破坏                   46'第46分钟胡鸣飞右路传中，叶重秋头球被刘殿座扑住
48'姜至鹏上抢胡鸣飞犯规                   46'第46分钟胡鸣飞右路传中，叶重秋头球被刘殿座扑住
48'雷纳尔迪尼奥拿球突破到禁区前，分左侧                   46'第46分钟胡鸣飞右路传中，叶重秋头球被刘殿座扑住
48'阿隆插上的斜射偏出远门柱                   46'第46分钟胡鸣飞右路传中，叶重秋头球被刘殿座扑住
49'雷纳尔迪尼奥右路被于涛拉倒，任意球                   46'第46分钟胡鸣飞右路传中，叶重秋头球被刘殿座扑住
51'巴兰特斯斜传右路，丹尼尔抢落点犯规了                   51'第51分钟张远转移到右路，卢琳略微调整后，起左脚传中，博基拉中路抢点射门得分，1比1，富力扳平
51'阿隆左侧肋部领球下底，传中被挡出边线                   51'第51分钟张远转移到右路，卢琳略微调整后，起左脚传中，博基拉中路抢点射门得分，1比1，富力扳平
51'用户3491576387： 预测申鑫和之前一起上来的辽足再一起下去                   51'第51分钟张远转移到右路，卢琳略微调整后，起左脚传中，博基拉中路抢点射门得分，1比1，富力扳平
52'吴毅臻后场出球短了                   51'第51分钟张远转移到右路，卢琳略微调整后，起左脚传中，博基拉中路抢点射门得分，1比1，富力扳平
52'富力进球了！！！                   51'第51分钟张远转移到右路，卢琳略微调整后，起左脚传中，博基拉中路抢点射门得分，1比1，富力扳平
52'博基拉！！！                   51'第51分钟张远转移到右路，卢琳略微调整后，起左脚传中，博基拉中路抢点射门得分，1比1，富力扳平
52'张远分右路，卢琳传中，博基拉抢点垫射破门！                   51'第51分钟张远转移到右路，卢琳略微调整后，起左脚传中，博基拉中路抢点射门得分，1比1，富力扳平
52'富力1-1追平申鑫                   51'第51分钟张远转移到右路，卢琳略微调整后，起左脚传中，博基拉中路抢点射门得分，1比1，富力扳平
53'池忠国中场拿球，杨家威丢球了                   51'第51分钟张远转移到右路，卢琳略微调整后，起左脚传中，博基拉中路抢点射门得分，1比1，富力扳平
53'姜至鹏左边路突破，被包夹                   51'第51分钟张远转移到右路，卢琳略微调整后，起左脚传中，博基拉中路抢点射门得分，1比1，富力扳平
57'丹尼尔连续拉球转身，门前捅射被刘殿座扑出，角球                   57'第57分钟卢琳禁区外右路任意球直接射门被张一诺扑住
57'角球到前点，乔尼头球顶偏                   57'第57分钟卢琳禁区外右路任意球直接射门被张一诺扑住
58'用户1454403214： 富力只要是外援问题！                   57'第57分钟卢琳禁区外右路任意球直接射门被张一诺扑住
58'雷纳尔迪尼奥禁区前做球，阿隆被绊倒，任意球                   57'第57分钟卢琳禁区外右路任意球直接射门被张一诺扑住
59'卢琳任意球直接射门被张一诺扑住                   57'第57分钟卢琳禁区外右路任意球直接射门被张一诺扑住
60'吴毅臻左路拿球下底，被雷纳尔迪尼奥抢断                   57'第57分钟卢琳禁区外右路任意球直接射门被张一诺扑住
60'阿隆右路拉球转身，下底被拦截                   57'第57分钟卢琳禁区外右路任意球直接射门被张一诺扑住
60'姜至鹏左路插上助攻，横传后点                   57'第57分钟卢琳禁区外右路任意球直接射门被张一诺扑住
60'博基拉禁区右侧强行起脚被乔尼封堵，角球                   57'第57分钟卢琳禁区外右路任意球直接射门被张一诺扑住
61'角球到前点被于涛解围                   61'第61分钟斯托伊科维奇用叶楚贵换下汪嵩
61'外围张远的低射被门将扑住                   61'第61分钟斯托伊科维奇用叶楚贵换下汪嵩
62'雷纳尔迪尼奥搓传禁区，乔尼先头球解围                   61'第61分钟斯托伊科维奇用叶楚贵换下汪嵩
62'角球机会                   61'第61分钟斯托伊科维奇用叶楚贵换下汪嵩
62'富力换人，叶楚贵换下汪嵩                   61'第61分钟斯托伊科维奇用叶楚贵换下汪嵩
63'角球还是没有找到队友的头顶                   61'第61分钟斯托伊科维奇用叶楚贵换下汪嵩
63'巴兰特斯中场拿球，分左路吴毅臻                   61'第61分钟斯托伊科维奇用叶楚贵换下汪嵩
63'丹尼尔再接应巴兰特斯的身后球，越位                   61'第61分钟斯托伊科维奇用叶楚贵换下汪嵩
64'雷纳尔迪尼奥拿球摆脱被拉倒，任意球                   61'第61分钟斯托伊科维奇用叶楚贵换下汪嵩
64'任意球依旧没有过顶                   61'第61分钟斯托伊科维奇用叶楚贵换下汪嵩
71'阿隆左路下底进禁区，没有及时传                   71'第71分钟申鑫用贾天子换下池忠国
71'阿隆禁区前拿球转身，射门被破坏                   71'第71分钟申鑫用贾天子换下池忠国
72'申鑫换人，池忠国被贾天子换下                   71'第71分钟申鑫用贾天子换下池忠国
73'巴兰特斯后场出球到右路，队友停出边线                   71'第71分钟申鑫用贾天子换下池忠国
73'张贤秀斜传右路，阿隆拿球内切                   71'第71分钟申鑫用贾天子换下池忠国
74'卢琳插上横扫被挡出，角球                   71'第71分钟申鑫用贾天子换下池忠国
74'吴毅臻抽筋倒地                   71'第71分钟申鑫用贾天子换下池忠国
73'巴兰特斯后场出球到右路，队友停出边线                   73'第73分钟吴毅臻抽筋被抬出，虽然队医做出换人手势，但吴毅臻还是坚持上场，不过只多踢了一分钟，申鑫方面用刘峻楠将其换下
73'张贤秀斜传右路，阿隆拿球内切                   73'第73分钟吴毅臻抽筋被抬出，虽然队医做出换人手势，但吴毅臻还是坚持上场，不过只多踢了一分钟，申鑫方面用刘峻楠将其换下
74'卢琳插上横扫被挡出，角球                   73'第73分钟吴毅臻抽筋被抬出，虽然队医做出换人手势，但吴毅臻还是坚持上场，不过只多踢了一分钟，申鑫方面用刘峻楠将其换下
74'吴毅臻抽筋倒地                   73'第73分钟吴毅臻抽筋被抬出，虽然队医做出换人手势，但吴毅臻还是坚持上场，不过只多踢了一分钟，申鑫方面用刘峻楠将其换下
75'丹尼尔中场拿球转身，顶防的金洋洋手球了                   73'第73分钟吴毅臻抽筋被抬出，虽然队医做出换人手势，但吴毅臻还是坚持上场，不过只多踢了一分钟，申鑫方面用刘峻楠将其换下
75'叶楚贵挑传禁区，博基拉越位在先                   73'第73分钟吴毅臻抽筋被抬出，虽然队医做出换人手势，但吴毅臻还是坚持上场，不过只多踢了一分钟，申鑫方面用刘峻楠将其换下
76'丹尼尔背身拿球，张耀坤犯规                   73'第73分钟吴毅臻抽筋被抬出，虽然队医做出换人手势，但吴毅臻还是坚持上场，不过只多踢了一分钟，申鑫方面用刘峻楠将其换下
76'申鑫换人，吴毅臻被刘俊楠换下                   73'第73分钟吴毅臻抽筋被抬出，虽然队医做出换人手势，但吴毅臻还是坚持上场，不过只多踢了一分钟，申鑫方面用刘峻楠将其换下
79'常飞亚右路拿球下底，扣球回敲                   79'第79分钟于涛对张远犯规吃到黄牌
79'常飞亚禁区前拿球，被破坏                   79'第79分钟于涛对张远犯规吃到黄牌
81'张远右路拼和于涛拼脚                   79'第79分钟于涛对张远犯规吃到黄牌
81'裁判黄牌警告了于涛                   79'第79分钟于涛对张远犯规吃到黄牌
81'金洋洋中场上抢抬脚过高                   79'第79分钟于涛对张远犯规吃到黄牌
82'叶重秋分左路，没有和队友想到一起                   79'第79分钟于涛对张远犯规吃到黄牌
89'圭峰山下的足印 ：阿隆这样踢实在是伤全队的心                   89'第89分钟进球意外来到，丹尼尔左路下底传中，巴兰特斯侧身凌空扫射，皮球打在杨家威身上弹入门内，慢镜头显示杨家威没有越位，范琦一开始判罚球进，但在富力申述之后，范琦改判进球无效
89'姜至鹏起球，叶重秋头球解围                   89'第89分钟进球意外来到，丹尼尔左路下底传中，巴兰特斯侧身凌空扫射，皮球打在杨家威身上弹入门内，慢镜头显示杨家威没有越位，范琦一开始判罚球进，但在富力申述之后，范琦改判进球无效
89'姜至鹏给边路分球，直接出边线                   89'第89分钟进球意外来到，丹尼尔左路下底传中，巴兰特斯侧身凌空扫射，皮球打在杨家威身上弹入门内，慢镜头显示杨家威没有越位，范琦一开始判罚球进，但在富力申述之后，范琦改判进球无效
90'申鑫进球了！！！                   89'第89分钟进球意外来到，丹尼尔左路下底传中，巴兰特斯侧身凌空扫射，皮球打在杨家威身上弹入门内，慢镜头显示杨家威没有越位，范琦一开始判罚球进，但在富力申述之后，范琦改判进球无效
90'折射！                   89'第89分钟进球意外来到，丹尼尔左路下底传中，巴兰特斯侧身凌空扫射，皮球打在杨家威身上弹入门内，慢镜头显示杨家威没有越位，范琦一开始判罚球进，但在富力申述之后，范琦改判进球无效
90'丹尼尔左路起球到禁区前，巴兰特斯凌空射门被半路的杨家威挡入球门                   89'第89分钟进球意外来到，丹尼尔左路下底传中，巴兰特斯侧身凌空扫射，皮球打在杨家威身上弹入门内，慢镜头显示杨家威没有越位，范琦一开始判罚球进，但在富力申述之后，范琦改判进球无效
91'但是裁判改判！                   89'第89分钟进球意外来到，丹尼尔左路下底传中，巴兰特斯侧身凌空扫射，皮球打在杨家威身上弹入门内，慢镜头显示杨家威没有越位，范琦一开始判罚球进，但在富力申述之后，范琦改判进球无效
91'进球无效                   89'第89分钟进球意外来到，丹尼尔左路下底传中，巴兰特斯侧身凌空扫射，皮球打在杨家威身上弹入门内，慢镜头显示杨家威没有越位，范琦一开始判罚球进，但在富力申述之后，范琦改判进球无效
91'示意越位，但是慢镜头来看，杨家威并不越位，也没有干扰门将                   89'第89分钟进球意外来到，丹尼尔左路下底传中，巴兰特斯侧身凌空扫射，皮球打在杨家威身上弹入门内，慢镜头显示杨家威没有越位，范琦一开始判罚球进，但在富力申述之后，范琦改判进球无效
91'还是1比1                   89'第89分钟进球意外来到，丹尼尔左路下底传中，巴兰特斯侧身凌空扫射，皮球打在杨家威身上弹入门内，慢镜头显示杨家威没有越位，范琦一开始判罚球进，但在富力申述之后，范琦改判进球无效
92'补时4分钟！                   89'第89分钟进球意外来到，丹尼尔左路下底传中，巴兰特斯侧身凌空扫射，皮球打在杨家威身上弹入门内，慢镜头显示杨家威没有越位，范琦一开始判罚球进，但在富力申述之后，范琦改判进球无效
92'申鑫又进球了！！！                   89'第89分钟进球意外来到，丹尼尔左路下底传中，巴兰特斯侧身凌空扫射，皮球打在杨家威身上弹入门内，慢镜头显示杨家威没有越位，范琦一开始判罚球进，但在富力申述之后，范琦改判进球无效
92'这次没有疑问！丹尼尔！                   89'第89分钟进球意外来到，丹尼尔左路下底传中，巴兰特斯侧身凌空扫射，皮球打在杨家威身上弹入门内，慢镜头显示杨家威没有越位，范琦一开始判罚球进，但在富力申述之后，范琦改判进球无效
92'贾天子分右路，杨家威下底传中，丹尼尔抢点推空门！                   89'第89分钟进球意外来到，丹尼尔左路下底传中，巴兰特斯侧身凌空扫射，皮球打在杨家威身上弹入门内，慢镜头显示杨家威没有越位，范琦一开始判罚球进，但在富力申述之后，范琦改判进球无效
92'申鑫2-1领先富力！                   89'第89分钟进球意外来到，丹尼尔左路下底传中，巴兰特斯侧身凌空扫射，皮球打在杨家威身上弹入门内，慢镜头显示杨家威没有越位，范琦一开始判罚球进，但在富力申述之后，范琦改判进球无效
