9'门将大脚开球到前场右侧！                   8'第8分钟，阿尔维斯右路传中，内马尔凌空抽射被门将贝尼特斯挡出
82'W-贝尼特斯起身继续比赛！                   82'第82分钟，阿尔维斯传中，迪亚比劲射打在丹特身上出了底线
83'巴黎圣日耳曼开球给右侧阿尔维斯！                   82'第82分钟，阿尔维斯传中，迪亚比劲射打在丹特身上出了底线
83'阿尔维斯边路传中到前点！                   82'第82分钟，阿尔维斯传中，迪亚比劲射打在丹特身上出了底线
83'被解围出去！                   82'第82分钟，阿尔维斯传中，迪亚比劲射打在丹特身上出了底线
84'外围右侧阿尔维斯还有球权！                   82'第82分钟，阿尔维斯传中，迪亚比劲射打在丹特身上出了底线
84'搓传到禁区内前点！                   82'第82分钟，阿尔维斯传中，迪亚比劲射打在丹特身上出了底线
84'被丹特挡出底线！                   82'第82分钟，阿尔维斯传中，迪亚比劲射打在丹特身上出了底线
84'巴黎圣日耳曼的左侧角球！                   82'第82分钟，阿尔维斯传中，迪亚比劲射打在丹特身上出了底线
84'开到禁区内左肋！                   82'第82分钟，阿尔维斯传中，迪亚比劲射打在丹特身上出了底线
84'双方争顶！                   82'第82分钟，阿尔维斯传中，迪亚比劲射打在丹特身上出了底线
84'W-贝尼特斯把球拿到没收！                   82'第82分钟，阿尔维斯传中，迪亚比劲射打在丹特身上出了底线
84'W-贝尼特斯开球给中路！                   82'第82分钟，阿尔维斯传中，迪亚比劲射打在丹特身上出了底线
84'维拉蒂把球拦截！                   82'第82分钟，阿尔维斯传中，迪亚比劲射打在丹特身上出了底线
84'给前场左路的贝尔纳特！                   82'第82分钟，阿尔维斯传中，迪亚比劲射打在丹特身上出了底线
85'低平球给身前穆萨-迪亚比！                   82'第82分钟，阿尔维斯传中，迪亚比劲射打在丹特身上出了底线
85'横做给禁区内迪马利亚！                   82'第82分钟，阿尔维斯传中，迪亚比劲射打在丹特身上出了底线
85'迪马利亚的分球被W-贝尼特斯出击没收！                   82'第82分钟，阿尔维斯传中，迪亚比劲射打在丹特身上出了底线
