4'胡人天把球拿好，回给周海滨                   4'比赛刚刚开始4分钟，天津队已经两次落入越位陷阱
20'李本舰很远的位置，没人盯防，一脚大力爆射，踢偏了                   20'第20分钟，富力将球吊入禁区，天津队解围不远，姜宁直接凌空抽射令杜佳扑球脱 手，幸亏他第二反应很快将球扑住
21'李本舰还是有一脚远射功底的                   20'第20分钟，富力将球吊入禁区，天津队解围不远，姜宁直接凌空抽射令杜佳扑球脱 手，幸亏他第二反应很快将球扑住
21'富力的威胁进攻，禁区内混战，姜宁右脚背抽射，被杜佳扑出                   20'第20分钟，富力将球吊入禁区，天津队解围不远，姜宁直接凌空抽射令杜佳扑球脱 手，幸亏他第二反应很快将球扑住
22'烈鸟左路突破，横拨一下给巴尔克斯                   20'第20分钟，富力将球吊入禁区，天津队解围不远，姜宁直接凌空抽射令杜佳扑球脱 手，幸亏他第二反应很快将球扑住
22'巴尔克斯一停，直接打门，没有打上力量                   20'第20分钟，富力将球吊入禁区，天津队解围不远，姜宁直接凌空抽射令杜佳扑球脱 手，幸亏他第二反应很快将球扑住
22'富力还是长传找哈默德，这么踢浪费资源啊                   20'第20分钟，富力将球吊入禁区，天津队解围不远，姜宁直接凌空抽射令杜佳扑球脱 手，幸亏他第二反应很快将球扑住
23'泰达把球控制下来右路推进到前场                   20'第20分钟，富力将球吊入禁区，天津队解围不远，姜宁直接凌空抽射令杜佳扑球脱 手，幸亏他第二反应很快将球扑住
23'斜传禁区，后点找巴尔克斯，唐淼阻挡一下，但球还是被巴尔克斯得到                   20'第20分钟，富力将球吊入禁区，天津队解围不远，姜宁直接凌空抽射令杜佳扑球脱 手，幸亏他第二反应很快将球扑住
23'禁区内巴尔克斯面对唐淼，闪开空当，一脚低射，被刘殿座扑住                   20'第20分钟，富力将球吊入禁区，天津队解围不远，姜宁直接凌空抽射令杜佳扑球脱 手，幸亏他第二反应很快将球扑住
23'王秋明前场的突破造成对手犯规                   20'第20分钟，富力将球吊入禁区，天津队解围不远，姜宁直接凌空抽射令杜佳扑球脱 手，幸亏他第二反应很快将球扑住
24'泰达的优势很明显啊，已经完全控制了中前场，富力有些疲于奔命                   24'第24分钟，巴尔克斯在底线将张耀坤护出底线的球踩住， 回身传中，但裁判示意皮球已出底线
25'烈鸟任意球直接打门，被人墙挡出                   24'第24分钟，巴尔克斯在底线将张耀坤护出底线的球踩住， 回身传中，但裁判示意皮球已出底线
25'泰达外围再送一个直塞，巴尔克斯和张耀坤在拼                   24'第24分钟，巴尔克斯在底线将张耀坤护出底线的球踩住， 回身传中，但裁判示意皮球已出底线
26'张耀坤底线附近卡住位置，巴尔克斯灵巧的把球拨了回来，张耀坤重心丢掉，倒地                   24'第24分钟，巴尔克斯在底线将张耀坤护出底线的球踩住， 回身传中，但裁判示意皮球已出底线
26'巴尔克斯顺势往门前带，这个时候裁判哨响，先出底线了                   24'第24分钟，巴尔克斯在底线将张耀坤护出底线的球踩住， 回身传中，但裁判示意皮球已出底线
27'从慢镜头来看，这个球不好说，一直压在底线上，张耀坤有些拖大，险些酿成大祸                   24'第24分钟，巴尔克斯在底线将张耀坤护出底线的球踩住， 回身传中，但裁判示意皮球已出底线
27'从慢镜头来看，这个球不好说，一直压在底线上，张耀坤有些拖大，险些酿成大祸                   27'第27分钟，李本舰倒地连续铲球受伤无法坚持，王新欣登场替补
28'富力左路的配合，干的不错，可惜最后一传还是难以把握                   27'第27分钟，李本舰倒地连续铲球受伤无法坚持，王新欣登场替补
28'王秋明左路的直塞找烈鸟，传的太大，别说烈鸟，猎鹰都接不到                   27'第27分钟，李本舰倒地连续铲球受伤无法坚持，王新欣登场替补
28'李本舰拼抢中受伤倒地                   27'第27分钟，李本舰倒地连续铲球受伤无法坚持，王新欣登场替补
29'队医上来看一眼，马上示意换人，看来伤的不轻                   27'第27分钟，李本舰倒地连续铲球受伤无法坚持，王新欣登场替补
30'李本舰刚刚伤愈复出，刚才拼抢中大腿严重拉伤，自己都不能走了，被担架抬下                   27'第27分钟，李本舰倒地连续铲球受伤无法坚持，王新欣登场替补
30'王新欣替补出场，李本舰趴在担架上，很痛苦啊                   27'第27分钟，李本舰倒地连续铲球受伤无法坚持，王新欣登场替补
32'白岳峰解围踢呲，险些给了哈默德机会，还好中卫紧跟把球解围                   32'第32分钟，汪嵩右路传 中，哈默德头球攻门顶高
32'富力右路的传中，给的比较大，左路姜至鹏上来把球拿到                   32'第32分钟，汪嵩右路传 中，哈默德头球攻门顶高
33'姜至鹏送斜传到禁区，给的比较大，今天姜至鹏的传球有些不在状态，几次给大                   32'第32分钟，汪嵩右路传 中，哈默德头球攻门顶高
33'富力还没有失去球权，球一直围绕着泰达的禁区外转                   32'第32分钟，汪嵩右路传 中，哈默德头球攻门顶高
33'卢琳右路再次给进去，这次传的不错，哈默德中路包抄，头球攻门高了                   32'第32分钟，汪嵩右路传 中，哈默德头球攻门顶高
34'米歇尔外围的挑传，直接送出了底线                   32'第32分钟，汪嵩右路传 中，哈默德头球攻门顶高
35'张贤秀拿球往前走，杀到中场附近，直塞哈默德被断下                   32'第32分钟，汪嵩右路传 中，哈默德头球攻门顶高
35'泰达反击，一个不太难的传球却出现了失误                   32'第32分钟，汪嵩右路传 中，哈默德头球攻门顶高
43'聊博超右路插上助攻，交给胡人天，没有机会，在敲回去                   43'第43分钟，天津队长传冲吊，巴尔 克斯和张耀坤争顶后直接凌空抽射，刘殿座奋力将球挡出
43'卢卡斯的长传，交到禁区内                   43'第43分钟，天津队长传冲吊，巴尔 克斯和张耀坤争顶后直接凌空抽射，刘殿座奋力将球挡出
44'张耀坤和巴尔克斯抢位置，张耀坤头球解围变助攻，巴尔克斯凌空一脚被刘殿座挡出                   43'第43分钟，天津队长传冲吊，巴尔 克斯和张耀坤争顶后直接凌空抽射，刘殿座奋力将球挡出
44'泰达进球了                   43'第43分钟，天津队长传冲吊，巴尔 克斯和张耀坤争顶后直接凌空抽射，刘殿座奋力将球挡出
44'巴尔克斯的轰门造成姜至鹏的乌龙                   43'第43分钟，天津队长传冲吊，巴尔 克斯和张耀坤争顶后直接凌空抽射，刘殿座奋力将球挡出
45'富力后防连续出错，最终造成了丢球                   43'第43分钟，天津队长传冲吊，巴尔 克斯和张耀坤争顶后直接凌空抽射，刘殿座奋力将球挡出
46'巴尔克斯禁区内横传，王新欣小禁区打门被挡住                   43'第43分钟，天津队长传冲吊，巴尔 克斯和张耀坤争顶后直接凌空抽射，刘殿座奋力将球挡出
46'下半场比赛开始                   43'第43分钟，天津队长传冲吊，巴尔 克斯和张耀坤争顶后直接凌空抽射，刘殿座奋力将球挡出
46'泰达中场组织一下，分边给烈鸟，烈鸟拼抢犯规                   43'第43分钟，天津队长传冲吊，巴尔 克斯和张耀坤争顶后直接凌空抽射，刘殿座奋力将球挡出
47'白岳峰跟进再打，又被挡出，张贤秀禁区内二点解围踢呲，巴尔克斯抓住机会打空门被姜至鹏一挡，碰入自家大门                   47'第47分钟，巴尔克斯直传，烈鸟杀入禁区在后卫防守下勉强射门，皮球没有力量被刘殿座得到
47'富力整个上半场都是踢的浑浑噩噩，对手没什么太有威胁的攻势，但自己连续的出错                   47'第47分钟，巴尔克斯直传，烈鸟杀入禁区在后卫防守下勉强射门，皮球没有力量被刘殿座得到
48'富力有机会，汪嵩禁区内抓住空当，来一脚，打高了                   47'第47分钟，巴尔克斯直传，烈鸟杀入禁区在后卫防守下勉强射门，皮球没有力量被刘殿座得到
48'上半场哨子没响，孔特拉就先行走回更衣室，很明显要发怒了                   47'第47分钟，巴尔克斯直传，烈鸟杀入禁区在后卫防守下勉强射门，皮球没有力量被刘殿座得到
47'富力长传往禁区前沿的阵地给，哈默德越位了                   47'第47分钟，巴尔克斯直传，烈鸟杀入禁区在后卫防守下勉强射门，皮球没有力量被刘殿座得到
47'哈默德在场上，那叶楚贵换下的是谁呢，下的是姜宁                   47'第47分钟，巴尔克斯直传，烈鸟杀入禁区在后卫防守下勉强射门，皮球没有力量被刘殿座得到
48'张耀坤后场出球失误                   47'第47分钟，巴尔克斯直传，烈鸟杀入禁区在后卫防守下勉强射门，皮球没有力量被刘殿座得到
48'泰达左侧斜传到禁区内，被张贤秀解围                   47'第47分钟，巴尔克斯直传，烈鸟杀入禁区在后卫防守下勉强射门，皮球没有力量被刘殿座得到
48'张耀坤今天这个状态，十分堪忧                   47'第47分钟，巴尔克斯直传，烈鸟杀入禁区在后卫防守下勉强射门，皮球没有力量被刘殿座得到
48'巴尔克斯回撤组织一下，转身往右侧分                   47'第47分钟，巴尔克斯直传，烈鸟杀入禁区在后卫防守下勉强射门，皮球没有力量被刘殿座得到
49'姜至鹏及时的回收，把球阻断                   47'第47分钟，巴尔克斯直传，烈鸟杀入禁区在后卫防守下勉强射门，皮球没有力量被刘殿座得到
49'富力送直线，叶楚贵没有抢住身位，被白岳峰挡住，杜佳出击把球得到                   47'第47分钟，巴尔克斯直传，烈鸟杀入禁区在后卫防守下勉强射门，皮球没有力量被刘殿座得到
50'胡人天右路强突，杀进去了，但最后停球一下出了底线                   47'第47分钟，巴尔克斯直传，烈鸟杀入禁区在后卫防守下勉强射门，皮球没有力量被刘殿座得到
50'胡人天这个球不应该再停，直接凌空扫入禁区中央会更把握                   47'第47分钟，巴尔克斯直传，烈鸟杀入禁区在后卫防守下勉强射门，皮球没有力量被刘殿座得到
54'烈鸟中路组织，过渡到右侧，聊博超和胡人天配合失误，跑位重叠了                   54'第54分钟，卢琳换到右路低平球传中，哈默德抢到前点鱼跃冲顶，皮球从前门柱稍稍偏出
54'泰达减缓了进攻的速度，中路烈鸟在送直传，巴尔克斯越位                   54'第54分钟，卢琳换到右路低平球传中，哈默德抢到前点鱼跃冲顶，皮球从前门柱稍稍偏出
55'右路唐淼把球交给卢琳，卢琳的传中不错啊                   54'第54分钟，卢琳换到右路低平球传中，哈默德抢到前点鱼跃冲顶，皮球从前门柱稍稍偏出
55'哈默德小禁区前点俯射冲顶轰炸，偏出近门柱                   54'第54分钟，卢琳换到右路低平球传中，哈默德抢到前点鱼跃冲顶，皮球从前门柱稍稍偏出
55'很可惜啊，这是个绝佳的机会，没能把握                   54'第54分钟，卢琳换到右路低平球传中，哈默德抢到前点鱼跃冲顶，皮球从前门柱稍稍偏出
56'泰达再入一球，来自小将王秋明                   54'第54分钟，卢琳换到右路低平球传中，哈默德抢到前点鱼跃冲顶，皮球从前门柱稍稍偏出
56'这个进球打的精彩绝伦啊，一连串的配合把富力的防线厮的粉碎                   54'第54分钟，卢琳换到右路低平球传中，哈默德抢到前点鱼跃冲顶，皮球从前门柱稍稍偏出
57'烈鸟禁区前沿和王秋明连续做了两次撞墙配合，王秋明左侧杀入禁区，脚弓推射远角，稳稳把球打入，收获赛季第二球                   54'第54分钟，卢琳换到右路低平球传中，哈默德抢到前点鱼跃冲顶，皮球从前门柱稍稍偏出
57'烈鸟禁区前沿和王秋明连续做了两次撞墙配合，王秋明左侧杀入禁区，脚弓推射远角，稳稳把球打入，收获赛季第二球                   57'第57分钟，富力队发动反击，叶楚贵禁区内小角度打门越过了杜佳，但聊博超飞身赶到将皮球铲出大门
58'富力的绝佳机会                   57'第57分钟，富力队发动反击，叶楚贵禁区内小角度打门越过了杜佳，但聊博超飞身赶到将皮球铲出大门
59'右侧突破到禁区边缘，横传进去，汪嵩后点打空门的机会，想求稳，推射被聊博超倒地挡出                   57'第57分钟，富力队发动反击，叶楚贵禁区内小角度打门越过了杜佳，但聊博超飞身赶到将皮球铲出大门
59'这个球居然都不进啊，富力也是够背的                   57'第57分钟，富力队发动反击，叶楚贵禁区内小角度打门越过了杜佳，但聊博超飞身赶到将皮球铲出大门
59'汪嵩要是换成爆射，恐怕进球就来了，如果这个机会把握住那么局面也将大不一样啊                   57'第57分钟，富力队发动反击，叶楚贵禁区内小角度打门越过了杜佳，但聊博超飞身赶到将皮球铲出大门
60'富力再度换人，今晚百场纪念的张远出战，换下卢琳                   57'第57分钟，富力队发动反击，叶楚贵禁区内小角度打门越过了杜佳，但聊博超飞身赶到将皮球铲出大门
61'泰达现在两球领先，踢起来也是愈发的的得心应手                   61'第61分钟，卢卡斯将张远脚下球铲出底线，双方发生一些争执，但主裁很快平息
61'富力中场把球断下来，张远右路的突破，传中制造角球                   61'第61分钟，卢卡斯将张远脚下球铲出底线，双方发生一些争执，但主裁很快平息
62'卢卡斯和哈默德在禁区内纠缠，被裁判叫到一边教育一番                   61'第61分钟，卢卡斯将张远脚下球铲出底线，双方发生一些争执，但主裁很快平息
62'汪嵩战术角球开出，禁区前沿，斜传进去                   61'第61分钟，卢卡斯将张远脚下球铲出底线，双方发生一些争执，但主裁很快平息
62'朴钟佑给到后点，张贤秀包抄，碰出底线                   61'第61分钟，卢卡斯将张远脚下球铲出底线，双方发生一些争执，但主裁很快平息
63'富力今晚是怎么打都找不到感觉啊                   61'第61分钟，卢卡斯将张远脚下球铲出底线，双方发生一些争执，但主裁很快平息
63'汪嵩交给米歇尔，直塞哈默德，线路受阻                   61'第61分钟，卢卡斯将张远脚下球铲出底线，双方发生一些争执，但主裁很快平息
63'张远中场拼抢犯规了                   61'第61分钟，卢卡斯将张远脚下球铲出底线，双方发生一些争执，但主裁很快平息
64'张远上来打了个什么位置呢，好像是右后卫，然后唐淼顶在边锋的位置                   61'第61分钟，卢卡斯将张远脚下球铲出底线，双方发生一些争执，但主裁很快平息
64'泰达前场获得左路的角球                   61'第61分钟，卢卡斯将张远脚下球铲出底线，双方发生一些争执，但主裁很快平息
64'烈鸟给入禁区，太靠近门将，刘殿座稳稳没收                   61'第61分钟，卢卡斯将张远脚下球铲出底线，双方发生一些争执，但主裁很快平息
71'富力的角球还是没有直接送禁区，选择战术角球                   71'第71分钟，富力队右路回传，汪嵩禁区线上左脚轰门稍稍高出
71'朴钟佑禁区内横拨给汪嵩，汪嵩抽射，高出横梁                   71'第71分钟，富力队右路回传，汪嵩禁区线上左脚轰门稍稍高出
71'汪嵩脚下还是比较有谱的，但刚刚那次空门不进，确实比较心塞                   71'第71分钟，富力队右路回传，汪嵩禁区线上左脚轰门稍稍高出
72'富力右路再次发难，传球选择不好，被解围                   71'第71分钟，富力队右路回传，汪嵩禁区线上左脚轰门稍稍高出
72'泰达这会儿完全陷入半场防守状态，70分钟刚过啊，主场这么踢恐怕太过难看了                   71'第71分钟，富力队右路回传，汪嵩禁区线上左脚轰门稍稍高出
73'老汉也不满意了，换人调整，波拉里干吉上来，换下胡人天                   71'第71分钟，富力队右路回传，汪嵩禁区线上左脚轰门稍稍高出
73'上一名防守队员，撤下边锋。很明显要增加中后场的硬度                   71'第71分钟，富力队右路回传，汪嵩禁区线上左脚轰门稍稍高出
74'姜至鹏左侧斜吊禁区，叶楚贵头球摆渡，哈默德抢第二点摔倒了，杜佳出击得到                   71'第71分钟，富力队右路回传，汪嵩禁区线上左脚轰门稍稍高出
74'泰达主场还从未赢过富力，看来今天希望大大的                   71'第71分钟，富力队右路回传，汪嵩禁区线上左脚轰门稍稍高出
74'姜至鹏左侧斜吊禁区，叶楚贵头球摆渡，哈默德抢第二点摔倒了，杜佳出击得到                   74'第74分钟，富力队左路传中，张远头球攻门被杜佳倒地扑住
74'泰达主场还从未赢过富力，看来今天希望大大的                   74'第74分钟，富力队左路传中，张远头球攻门被杜佳倒地扑住
75'富力还是围着对手禁区攻，但面对对手层次分明的防守，富力也只能是打到哪算哪                   74'第74分钟，富力队左路传中，张远头球攻门被杜佳倒地扑住
76'张耀坤也上来参与进攻了，分到右边路                   74'第74分钟，富力队左路传中，张远头球攻门被杜佳倒地扑住
77'泰达抢断反击，直接交到锋线上的巴尔克斯                   74'第74分钟，富力队左路传中，张远头球攻门被杜佳倒地扑住
77'巴尔克斯单骑闯关，面对两名后卫，等一下队友                   74'第74分钟，富力队左路传中，张远头球攻门被杜佳倒地扑住
77'队友迟迟没有上来，自己打远射了，高出横梁                   74'第74分钟，富力队左路传中，张远头球攻门被杜佳倒地扑住
79'富力左路斜传打通了对手防线                   79'第79分钟，米切尔左路传中，叶楚贵后点头球攻门顶在横梁上沿弹出底线
79'姜至鹏快速插上，底线附近瞄着传，后点给的不错                   79'第79分钟，米切尔左路传中，叶楚贵后点头球攻门顶在横梁上沿弹出底线
79'叶楚贵包抄到位，小角度的头球攻门，砸在横梁上沿，弹出底线                   79'第79分钟，米切尔左路传中，叶楚贵后点头球攻门顶在横梁上沿弹出底线
80'泰达有球员抽筋，被抬下场                   79'第79分钟，米切尔左路传中，叶楚贵后点头球攻门顶在横梁上沿弹出底线
81'泰达后场断球，难得的反击机会                   79'第79分钟，米切尔左路传中，叶楚贵后点头球攻门顶在横梁上沿弹出底线
81'巴尔克斯右路拿球，没有速度，停顿一下，交给中路                   79'第79分钟，米切尔左路传中，叶楚贵后点头球攻门顶在横梁上沿弹出底线
81'烈鸟禁区前沿回做，周海滨迎头赶上，一脚射门，偏出                   79'第79分钟，米切尔左路传中，叶楚贵后点头球攻门顶在横梁上沿弹出底线
82'周海滨自己也笑了，两球领先心情大好啊                   79'第79分钟，米切尔左路传中，叶楚贵后点头球攻门顶在横梁上沿弹出底线
82'姜至鹏左路斜传，卢卡斯抢在哈默德身前把球挡住                   79'第79分钟，米切尔左路传中，叶楚贵后点头球攻门顶在横梁上沿弹出底线
82'张贤秀禁区内在抢第二落点，手球犯规                   79'第79分钟，米切尔左路传中，叶楚贵后点头球攻门顶在横梁上沿弹出底线
82'杜佳拖延时间，得到一张黄牌                   79'第79分钟，米切尔左路传中，叶楚贵后点头球攻门顶在横梁上沿弹出底线
88'比赛进入到了尾声，富力基本是败局已定了，今天整体的状态实在很差                   88'第88分钟，哈默德左路轻巧晃过聊博超进入禁区，但卢卡斯判断准确单脚将皮球留下
88'右边张远给球又小了                   88'第88分钟，哈默德左路轻巧晃过聊博超进入禁区，但卢卡斯判断准确单脚将皮球留下
89'哈默德禁区前沿拿球，强行过掉一名后卫，但没有及时出球，自己还在过                   88'第88分钟，哈默德左路轻巧晃过聊博超进入禁区，但卢卡斯判断准确单脚将皮球留下
89'在想扣过卢卡斯，被直接断下                   88'第88分钟，哈默德左路轻巧晃过聊博超进入禁区，但卢卡斯判断准确单脚将皮球留下
89'今天卢卡斯和巴尔克斯这一前一后，堪称是泰达的定海神针                   88'第88分钟，哈默德左路轻巧晃过聊博超进入禁区，但卢卡斯判断准确单脚将皮球留下
90'右路汪嵩分球，米歇尔低球传中到前点                   88'第88分钟，哈默德左路轻巧晃过聊博超进入禁区，但卢卡斯判断准确单脚将皮球留下
90'叶楚贵倒地铲射，偏出近门柱，危险                   88'第88分钟，哈默德左路轻巧晃过聊博超进入禁区，但卢卡斯判断准确单脚将皮球留下
90'下半场补时4分钟                   88'第88分钟，哈默德左路轻巧晃过聊博超进入禁区，但卢卡斯判断准确单脚将皮球留下
91'富力右路45度角吊进去，叶楚贵力压吕伟的头球攻门，偏了                   88'第88分钟，哈默德左路轻巧晃过聊博超进入禁区，但卢卡斯判断准确单脚将皮球留下
