1'上半场比赛开始了                   1'双方第1分钟拼抢激烈，费莱尼边路铲倒米尔纳被罚黄牌
28'裁判并没有给牌                   25'第25分钟，席尔瓦传球，哲科禁区左侧弧线球射门又被穆查轻松摘下
28'迪斯丁也很快站了起来，问题不大                   25'第25分钟，席尔瓦传球，哲科禁区左侧弧线球射门又被穆查轻松摘下
30'科拉罗夫抱摔都用上了                   30'第30分钟，科拉罗夫边路丢球后抱倒奥斯曼被罚黄牌，拜恩斯右路任意球传中，费莱尼远点小角度头球攻门被乔-哈特没收
30'放倒了奥斯曼                   30'第30分钟，科拉罗夫边路丢球后抱倒奥斯曼被罚黄牌，拜恩斯右路任意球传中，费莱尼远点小角度头球攻门被乔-哈特没收
30'裁判给了一张黄牌                   30'第30分钟，科拉罗夫边路丢球后抱倒奥斯曼被罚黄牌，拜恩斯右路任意球传中，费莱尼远点小角度头球攻门被乔-哈特没收
30'比赛的火药味十足啊                   30'第30分钟，科拉罗夫边路丢球后抱倒奥斯曼被罚黄牌，拜恩斯右路任意球传中，费莱尼远点小角度头球攻门被乔-哈特没收
30'今天或许还会有红牌出现                   30'第30分钟，科拉罗夫边路丢球后抱倒奥斯曼被罚黄牌，拜恩斯右路任意球传中，费莱尼远点小角度头球攻门被乔-哈特没收
30'埃弗顿右路定位球，传中被费莱尼顶到                   30'第30分钟，科拉罗夫边路丢球后抱倒奥斯曼被罚黄牌，拜恩斯右路任意球传中，费莱尼远点小角度头球攻门被乔-哈特没收
31'没顶上力量，哈特轻松没收                   30'第30分钟，科拉罗夫边路丢球后抱倒奥斯曼被罚黄牌，拜恩斯右路任意球传中，费莱尼远点小角度头球攻门被乔-哈特没收
31'阿尼切贝倒在了地上                   30'第30分钟，科拉罗夫边路丢球后抱倒奥斯曼被罚黄牌，拜恩斯右路任意球传中，费莱尼远点小角度头球攻门被乔-哈特没收
31'科洛图雷在身后伸腿绊倒了他                   30'第30分钟，科拉罗夫边路丢球后抱倒奥斯曼被罚黄牌，拜恩斯右路任意球传中，费莱尼远点小角度头球攻门被乔-哈特没收
31'埃弗顿的前场定位球                   30'第30分钟，科拉罗夫边路丢球后抱倒奥斯曼被罚黄牌，拜恩斯右路任意球传中，费莱尼远点小角度头球攻门被乔-哈特没收
31'距离球门还有些距离                   30'第30分钟，科拉罗夫边路丢球后抱倒奥斯曼被罚黄牌，拜恩斯右路任意球传中，费莱尼远点小角度头球攻门被乔-哈特没收
32'战术定位球，拜恩斯传中被米尔纳挡出边线                   30'第30分钟，科拉罗夫边路丢球后抱倒奥斯曼被罚黄牌，拜恩斯右路任意球传中，费莱尼远点小角度头球攻门被乔-哈特没收
32'奥斯曼！！！                   30'第30分钟，科拉罗夫边路丢球后抱倒奥斯曼被罚黄牌，拜恩斯右路任意球传中，费莱尼远点小角度头球攻门被乔-哈特没收
32'这次进球了！                   30'第30分钟，科拉罗夫边路丢球后抱倒奥斯曼被罚黄牌，拜恩斯右路任意球传中，费莱尼远点小角度头球攻门被乔-哈特没收
32'一脚远射破门！                   30'第30分钟，科拉罗夫边路丢球后抱倒奥斯曼被罚黄牌，拜恩斯右路任意球传中，费莱尼远点小角度头球攻门被乔-哈特没收
33'科尔曼一系列的花活吸引了曼城防线的注意力，突然给回了中路！奥斯曼左脚抽出一脚漂亮的弧线                   30'第30分钟，科拉罗夫边路丢球后抱倒奥斯曼被罚黄牌，拜恩斯右路任意球传中，费莱尼远点小角度头球攻门被乔-哈特没收
33'哈特居然没有反应                   30'第30分钟，科拉罗夫边路丢球后抱倒奥斯曼被罚黄牌，拜恩斯右路任意球传中，费莱尼远点小角度头球攻门被乔-哈特没收
36'曼城的反击传球失误                   36'第36分钟，纳斯塔西奇防守角球时拦倒费莱尼，但裁判普罗伯特未予理会
36'曼城又开始过不了中场了                   36'第36分钟，纳斯塔西奇防守角球时拦倒费莱尼，但裁判普罗伯特未予理会
36'米纳拉斯禁区左侧盘过了对方后卫                   36'第36分钟，纳斯塔西奇防守角球时拦倒费莱尼，但裁判普罗伯特未予理会
36'脚底一滑，自己摔倒了                   36'第36分钟，纳斯塔西奇防守角球时拦倒费莱尼，但裁判普罗伯特未予理会
37'这球曼城后卫应该没有碰到他                   36'第36分钟，纳斯塔西奇防守角球时拦倒费莱尼，但裁判普罗伯特未予理会
37'利物浦下起了大雨                   36'第36分钟，纳斯塔西奇防守角球时拦倒费莱尼，但裁判普罗伯特未予理会
38'而天上还挂着太阳，少见的晴雨                   36'第36分钟，纳斯塔西奇防守角球时拦倒费莱尼，但裁判普罗伯特未予理会
38'科尔曼连续传中！                   36'第36分钟，纳斯塔西奇防守角球时拦倒费莱尼，但裁判普罗伯特未予理会
38'费莱尼头球摆渡，还是被后卫抢先解围                   36'第36分钟，纳斯塔西奇防守角球时拦倒费莱尼，但裁判普罗伯特未予理会
38'阿尼切贝！倚住后卫转身抽射打高了                   36'第36分钟，纳斯塔西奇防守角球时拦倒费莱尼，但裁判普罗伯特未予理会
39'米尔纳带球跌跌撞撞，球出了边线                   36'第36分钟，纳斯塔西奇防守角球时拦倒费莱尼，但裁判普罗伯特未予理会
39'曼城没有席尔瓦还是不行啊                   36'第36分钟，纳斯塔西奇防守角球时拦倒费莱尼，但裁判普罗伯特未予理会
39'特维斯禁区外一脚远射！擦着立柱飞出底线                   36'第36分钟，纳斯塔西奇防守角球时拦倒费莱尼，但裁判普罗伯特未予理会
39'米尔纳带球跌跌撞撞，球出了边线                   39'曼城攻势寥寥，第39分钟，米尔纳传球，特维斯右路25码处劲射稍稍偏出远角
39'曼城没有席尔瓦还是不行啊                   39'曼城攻势寥寥，第39分钟，米尔纳传球，特维斯右路25码处劲射稍稍偏出远角
39'特维斯禁区外一脚远射！擦着立柱飞出底线                   39'曼城攻势寥寥，第39分钟，米尔纳传球，特维斯右路25码处劲射稍稍偏出远角
40'曼城只能依靠球星的个人能力来制造杀伤了                   39'曼城攻势寥寥，第39分钟，米尔纳传球，特维斯右路25码处劲射稍稍偏出远角
40'刚才想说没有图雷不行，结果...打成了席尔瓦                   39'曼城攻势寥寥，第39分钟，米尔纳传球，特维斯右路25码处劲射稍稍偏出远角
40'埃弗顿适当的收缩防线                   39'曼城攻势寥寥，第39分钟，米尔纳传球，特维斯右路25码处劲射稍稍偏出远角
40'吸引曼城压出来打                   39'曼城攻势寥寥，第39分钟，米尔纳传球，特维斯右路25码处劲射稍稍偏出远角
41'特维斯穿裆过了奥斯曼                   39'曼城攻势寥寥，第39分钟，米尔纳传球，特维斯右路25码处劲射稍稍偏出远角
41'最后传球还是被断了                   39'曼城攻势寥寥，第39分钟，米尔纳传球，特维斯右路25码处劲射稍稍偏出远角
41'埃弗顿的反击                   39'曼城攻势寥寥，第39分钟，米尔纳传球，特维斯右路25码处劲射稍稍偏出远角
41'米纳拉斯过了萨巴莱塔，球趟大了                   39'曼城攻势寥寥，第39分钟，米尔纳传球，特维斯右路25码处劲射稍稍偏出远角
41'雨还下得真大                   39'曼城攻势寥寥，第39分钟，米尔纳传球，特维斯右路25码处劲射稍稍偏出远角
42'这种晴雨会给哪队带来好运呢？                   39'曼城攻势寥寥，第39分钟，米尔纳传球，特维斯右路25码处劲射稍稍偏出远角
42'席尔瓦起脚传中，后点位置队友的包抄没有到位                   39'曼城攻势寥寥，第39分钟，米尔纳传球，特维斯右路25码处劲射稍稍偏出远角
47'席尔瓦身后使出小动作，绊倒了科尔曼                   47'第47分钟，席尔瓦传球，科拉罗夫禁区左侧的抽射偏出
47'裁判又一次掏出黄牌                   47'第47分钟，席尔瓦传球，科拉罗夫禁区左侧的抽射偏出
48'传中送入禁区，费莱尼有些懵了                   47'第47分钟，席尔瓦传球，科拉罗夫禁区左侧的抽射偏出
48'裁判吹了他推人犯规                   47'第47分钟，席尔瓦传球，科拉罗夫禁区左侧的抽射偏出
50'埃弗顿左边路起球传中                   47'第47分钟，席尔瓦传球，科拉罗夫禁区左侧的抽射偏出
50'阿尼切贝头球攻门顶偏了                   47'第47分钟，席尔瓦传球，科拉罗夫禁区左侧的抽射偏出
59'今天两队的定位球都不少                   59'第59分钟，拜恩斯开出角球，奥斯曼12码处凌空垫射被哈维-加西亚稍稍挡高出横梁
59'传中被奥斯曼抢到！左脚打高了                   59'第59分钟，拜恩斯开出角球，奥斯曼12码处凌空垫射被哈维-加西亚稍稍挡高出横梁
59'应该是被曼城的球员碰了一下，继续角球                   59'第59分钟，拜恩斯开出角球，奥斯曼12码处凌空垫射被哈维-加西亚稍稍挡高出横梁
60'继续传中，裁判认为在球在空中出了底线                   59'第59分钟，拜恩斯开出角球，奥斯曼12码处凌空垫射被哈维-加西亚稍稍挡高出横梁
60'皮纳尔凶狠的犯规                   59'第59分钟，拜恩斯开出角球，奥斯曼12码处凌空垫射被哈维-加西亚稍稍挡高出横梁
60'引起了曼城球员的抗议                   59'第59分钟，拜恩斯开出角球，奥斯曼12码处凌空垫射被哈维-加西亚稍稍挡高出横梁
60'皮纳尔也是有黄牌在身的                   59'第59分钟，拜恩斯开出角球，奥斯曼12码处凌空垫射被哈维-加西亚稍稍挡高出横梁
60'一个蹬踏动作                   59'第59分钟，拜恩斯开出角球，奥斯曼12码处凌空垫射被哈维-加西亚稍稍挡高出横梁
61'引来了一张红牌！                   59'第59分钟，拜恩斯开出角球，奥斯曼12码处凌空垫射被哈维-加西亚稍稍挡高出横梁
61'皮纳尔故意蹬踏加西亚                   59'第59分钟，拜恩斯开出角球，奥斯曼12码处凌空垫射被哈维-加西亚稍稍挡高出横梁
61'正好是踹在了加西亚的小腿上                   59'第59分钟，拜恩斯开出角球，奥斯曼12码处凌空垫射被哈维-加西亚稍稍挡高出横梁
61'皮纳尔这张红牌完全是自找的                   59'第59分钟，拜恩斯开出角球，奥斯曼12码处凌空垫射被哈维-加西亚稍稍挡高出横梁
61'这下曼城的机会来了吗                   59'第59分钟，拜恩斯开出角球，奥斯曼12码处凌空垫射被哈维-加西亚稍稍挡高出横梁
62'比赛还有半个多小时                   59'第59分钟，拜恩斯开出角球，奥斯曼12码处凌空垫射被哈维-加西亚稍稍挡高出横梁
67'曼城逐渐占据了上风                   67'曼城第67分钟险些扳平比分，哲科挑传，特维斯小禁区边缘捅射被穆查神勇扑出，接着他又扑出了米尔纳在小禁区右侧的补射
67'好机会！特维斯门前垫射被挡出                   67'曼城第67分钟险些扳平比分，哲科挑传，特维斯小禁区边缘捅射被穆查神勇扑出，接着他又扑出了米尔纳在小禁区右侧的补射
67'而后点的米尔纳补射！又被门将扑出                   67'曼城第67分钟险些扳平比分，哲科挑传，特维斯小禁区边缘捅射被穆查神勇扑出，接着他又扑出了米尔纳在小禁区右侧的补射
67'穆哈立功了                   67'曼城第67分钟险些扳平比分，哲科挑传，特维斯小禁区边缘捅射被穆查神勇扑出，接着他又扑出了米尔纳在小禁区右侧的补射
67'曼城角球传中，特维斯打门！被海廷加头球顶出                   67'曼城第67分钟险些扳平比分，哲科挑传，特维斯小禁区边缘捅射被穆查神勇扑出，接着他又扑出了米尔纳在小禁区右侧的补射
68'萨巴莱塔跟进补射，远射放了高射炮                   67'曼城第67分钟险些扳平比分，哲科挑传，特维斯小禁区边缘捅射被穆查神勇扑出，接着他又扑出了米尔纳在小禁区右侧的补射
69'埃弗顿频频的边路进攻，又是角球                   67'曼城第67分钟险些扳平比分，哲科挑传，特维斯小禁区边缘捅射被穆查神勇扑出，接着他又扑出了米尔纳在小禁区右侧的补射
69'战术角球，奥斯曼的射门被后卫挡出                   67'曼城第67分钟险些扳平比分，哲科挑传，特维斯小禁区边缘捅射被穆查神勇扑出，接着他又扑出了米尔纳在小禁区右侧的补射
69'曼奇尼还不换人吗？                   67'曼城第67分钟险些扳平比分，哲科挑传，特维斯小禁区边缘捅射被穆查神勇扑出，接着他又扑出了米尔纳在小禁区右侧的补射
69'要换了                   67'曼城第67分钟险些扳平比分，哲科挑传，特维斯小禁区边缘捅射被穆查神勇扑出，接着他又扑出了米尔纳在小禁区右侧的补射
70'纳斯里换下了巴里                   67'曼城第67分钟险些扳平比分，哲科挑传，特维斯小禁区边缘捅射被穆查神勇扑出，接着他又扑出了米尔纳在小禁区右侧的补射
70'埃弗顿用奈史密斯换下了米纳拉斯                   67'曼城第67分钟险些扳平比分，哲科挑传，特维斯小禁区边缘捅射被穆查神勇扑出，接着他又扑出了米尔纳在小禁区右侧的补射
70'纳斯里换下了巴里                   70'第70分钟，纳斯里换下巴里
70'埃弗顿用奈史密斯换下了米纳拉斯                   70'第70分钟，纳斯里换下巴里
71'纳斯里起球转移到左路，科尔曼大脚解围                   70'第70分钟，纳斯里换下巴里
71'科拉罗夫低平球传中，席尔瓦在后卫干扰下停球没处理好                   70'第70分钟，纳斯里换下巴里
72'曼城在中场重新掌控住节奏                   70'第70分钟，纳斯里换下巴里
73'游客2510: 上半场有一球误判越位了吧---嗯，要不埃弗顿2比0了                   70'第70分钟，纳斯里换下巴里
73'曼城右路传中逼得了一个角球                   70'第70分钟，纳斯里换下巴里
73'席尔瓦传前点，哲科头球后蹭顶出了底线                   70'第70分钟，纳斯里换下巴里
47'席尔瓦身后使出小动作，绊倒了科尔曼                   47'2分钟后，海廷加远点接角球小角度头球攻门被乔-哈特扑出
47'裁判又一次掏出黄牌                   47'2分钟后，海廷加远点接角球小角度头球攻门被乔-哈特扑出
48'传中送入禁区，费莱尼有些懵了                   47'2分钟后，海廷加远点接角球小角度头球攻门被乔-哈特扑出
48'裁判吹了他推人犯规                   47'2分钟后，海廷加远点接角球小角度头球攻门被乔-哈特扑出
50'埃弗顿左边路起球传中                   47'2分钟后，海廷加远点接角球小角度头球攻门被乔-哈特扑出
50'阿尼切贝头球攻门顶偏了                   47'2分钟后，海廷加远点接角球小角度头球攻门被乔-哈特扑出
79'萨巴莱塔调整过多啊                   79'第79分钟，席尔瓦传球，萨巴莱塔禁区右侧的射门被穆查扑出
79'已经出了机会，打门的时候门将出击了                   79'第79分钟，席尔瓦传球，萨巴莱塔禁区右侧的射门被穆查扑出
79'萨巴莱塔最后一脚打在了门将身上                   79'第79分钟，席尔瓦传球，萨巴莱塔禁区右侧的射门被穆查扑出
79'哲科禁区外远射之后捂着自己的左脚倒地                   79'第79分钟，席尔瓦传球，萨巴莱塔禁区右侧的射门被穆查扑出
80'埃弗顿门前险情不断                   79'第79分钟，席尔瓦传球，萨巴莱塔禁区右侧的射门被穆查扑出
80'米尔纳的打门打在了迪斯丁的脚后跟上，角球                   79'第79分钟，席尔瓦传球，萨巴莱塔禁区右侧的射门被穆查扑出
80'科拉罗夫角球传中，起了个高球                   79'第79分钟，席尔瓦传球，萨巴莱塔禁区右侧的射门被穆查扑出
80'被费莱尼头球顶出禁区                   79'第79分钟，席尔瓦传球，萨巴莱塔禁区右侧的射门被穆查扑出
81'科拉罗夫的45度传中，科尔曼抢在特维斯身前头球解围                   79'第79分钟，席尔瓦传球，萨巴莱塔禁区右侧的射门被穆查扑出
81'曼城连续获得角球机会                   79'第79分钟，席尔瓦传球，萨巴莱塔禁区右侧的射门被穆查扑出
82'纳斯里摆脱了奥斯曼！                   79'第79分钟，席尔瓦传球，萨巴莱塔禁区右侧的射门被穆查扑出
82'禁区外远射，低平球射门被门将接住了                   79'第79分钟，席尔瓦传球，萨巴莱塔禁区右侧的射门被穆查扑出
87'埃弗顿上半场有个越位进球其实是个误判                   87'第87分钟，费莱尼禁区内封堵特维斯射门时手球犯规，裁判却判罚禁区边缘外任意球，科拉罗夫射门被人墙挡出
87'科拉罗夫的定位球被人墙挡出                   87'第87分钟，费莱尼禁区内封堵特维斯射门时手球犯规，裁判却判罚禁区边缘外任意球，科拉罗夫射门被人墙挡出
88'费莱尼真积极啊                   87'第87分钟，费莱尼禁区内封堵特维斯射门时手球犯规，裁判却判罚禁区边缘外任意球，科拉罗夫射门被人墙挡出
89'科拉罗夫的外脚背兜了个弧线，传中被后卫顶出                   87'第87分钟，费莱尼禁区内封堵特维斯射门时手球犯规，裁判却判罚禁区边缘外任意球，科拉罗夫射门被人墙挡出
89'这个时候曼奇尼一定会很想念阿奎罗                   87'第87分钟，费莱尼禁区内封堵特维斯射门时手球犯规，裁判却判罚禁区边缘外任意球，科拉罗夫射门被人墙挡出
89'哲科？更适合打替补                   87'第87分钟，费莱尼禁区内封堵特维斯射门时手球犯规，裁判却判罚禁区边缘外任意球，科拉罗夫射门被人墙挡出
90'下半场他几乎没有什么作为                   87'第87分钟，费莱尼禁区内封堵特维斯射门时手球犯规，裁判却判罚禁区边缘外任意球，科拉罗夫射门被人墙挡出
90'埃弗顿换上耶拉维奇，换下阿尼切贝                   87'第87分钟，费莱尼禁区内封堵特维斯射门时手球犯规，裁判却判罚禁区边缘外任意球，科拉罗夫射门被人墙挡出
90'奥斯曼前场抢球犯规领到了黄牌                   87'第87分钟，费莱尼禁区内封堵特维斯射门时手球犯规，裁判却判罚禁区边缘外任意球，科拉罗夫射门被人墙挡出
