3'绿城左侧倒三角回传到禁区弧顶                   3'第3分钟，绿城左侧倒三角回传到禁区弧顶，黄希扬禁区外围迎球远射将球打高了
12'辽宁队快速转移直接出了边线                   11'第11分钟，王皓前场拿球给到禁区弧顶，杨运停球后直接打门打在防守队员手臂上，但是裁判没有吹罚
12'绿城中场拿球给到拉蒙                   11'第11分钟，王皓前场拿球给到禁区弧顶，杨运停球后直接打门打在防守队员手臂上，但是裁判没有吹罚
12'拉蒙禁区内将球做到边路                   11'第11分钟，王皓前场拿球给到禁区弧顶，杨运停球后直接打门打在防守队员手臂上，但是裁判没有吹罚
13'队友跟进后直接送禁区后点                   11'第11分钟，王皓前场拿球给到禁区弧顶，杨运停球后直接打门打在防守队员手臂上，但是裁判没有吹罚
13'这球后点并没有进攻的球员啊                   11'第11分钟，王皓前场拿球给到禁区弧顶，杨运停球后直接打门打在防守队员手臂上，但是裁判没有吹罚
13'辽宁队这边打反击                   11'第11分钟，王皓前场拿球给到禁区弧顶，杨运停球后直接打门打在防守队员手臂上，但是裁判没有吹罚
13'王皓边路拿球到了底线                   11'第11分钟，王皓前场拿球给到禁区弧顶，杨运停球后直接打门打在防守队员手臂上，但是裁判没有吹罚
13'右路的下底到后点                   11'第11分钟，王皓前场拿球给到禁区弧顶，杨运停球后直接打门打在防守队员手臂上，但是裁判没有吹罚
13'王林头球先解围出来                   11'第11分钟，王皓前场拿球给到禁区弧顶，杨运停球后直接打门打在防守队员手臂上，但是裁判没有吹罚
14'绿城后场控球转移一下                   11'第11分钟，王皓前场拿球给到禁区弧顶，杨运停球后直接打门打在防守队员手臂上，但是裁判没有吹罚
14'金泰延的上抢将球碰出边线                   11'第11分钟，王皓前场拿球给到禁区弧顶，杨运停球后直接打门打在防守队员手臂上，但是裁判没有吹罚
20'绿城右路送直塞到禁区内                   20'第20分钟，波利带球突破到禁区前沿，王林阻挡犯规，辽宁宏运赢得前场任意球机会，罚任意球前双方球员排人墙时发生了小的冲突，随后孙世林直接打门高出横梁
20'这球被辽宁队直接识破                   20'第20分钟，波利带球突破到禁区前沿，王林阻挡犯规，辽宁宏运赢得前场任意球机会，罚任意球前双方球员排人墙时发生了小的冲突，随后孙世林直接打门高出横梁
20'上半场打了20分钟，两队都没有创造出很好的得分机会                   20'第20分钟，波利带球突破到禁区前沿，王林阻挡犯规，辽宁宏运赢得前场任意球机会，罚任意球前双方球员排人墙时发生了小的冲突，随后孙世林直接打门高出横梁
21'波利前场带球到了禁区前沿                   20'第20分钟，波利带球突破到禁区前沿，王林阻挡犯规，辽宁宏运赢得前场任意球机会，罚任意球前双方球员排人墙时发生了小的冲突，随后孙世林直接打门高出横梁
21'王林这边防守中犯规                   20'第20分钟，波利带球突破到禁区前沿，王林阻挡犯规，辽宁宏运赢得前场任意球机会，罚任意球前双方球员排人墙时发生了小的冲突，随后孙世林直接打门高出横梁
21'辽宁宏运赢得前场任意球机会                   20'第20分钟，波利带球突破到禁区前沿，王林阻挡犯规，辽宁宏运赢得前场任意球机会，罚任意球前双方球员排人墙时发生了小的冲突，随后孙世林直接打门高出横梁
21'距离也是比较好的                   20'第20分钟，波利带球突破到禁区前沿，王林阻挡犯规，辽宁宏运赢得前场任意球机会，罚任意球前双方球员排人墙时发生了小的冲突，随后孙世林直接打门高出横梁
21'看看怎么打                   20'第20分钟，波利带球突破到禁区前沿，王林阻挡犯规，辽宁宏运赢得前场任意球机会，罚任意球前双方球员排人墙时发生了小的冲突，随后孙世林直接打门高出横梁
22'禁区内波利和黄希扬有互相推的动作                   20'第20分钟，波利带球突破到禁区前沿，王林阻挡犯规，辽宁宏运赢得前场任意球机会，罚任意球前双方球员排人墙时发生了小的冲突，随后孙世林直接打门高出横梁
23'孙世林任意球打门了                   20'第20分钟，波利带球突破到禁区前沿，王林阻挡犯规，辽宁宏运赢得前场任意球机会，罚任意球前双方球员排人墙时发生了小的冲突，随后孙世林直接打门高出横梁
23'这球还是没有压住将球打高                   20'第20分钟，波利带球突破到禁区前沿，王林阻挡犯规，辽宁宏运赢得前场任意球机会，罚任意球前双方球员排人墙时发生了小的冲突，随后孙世林直接打门高出横梁
23'波利左路拿球后内切                   20'第20分钟，波利带球突破到禁区前沿，王林阻挡犯规，辽宁宏运赢得前场任意球机会，罚任意球前双方球员排人墙时发生了小的冲突，随后孙世林直接打门高出横梁
23'没有起脚的机会                   20'第20分钟，波利带球突破到禁区前沿，王林阻挡犯规，辽宁宏运赢得前场任意球机会，罚任意球前双方球员排人墙时发生了小的冲突，随后孙世林直接打门高出横梁
47'角球送禁区内                   47'2分钟后，绿城进攻，拉蒙边路起球送禁区内，球弹地后被张鹭得到
47'落点下来后被绿城拿到                   47'2分钟后，绿城进攻，拉蒙边路起球送禁区内，球弹地后被张鹭得到
47'禁区中路，黄希扬打门没有将球压住                   47'2分钟后，绿城进攻，拉蒙边路起球送禁区内，球弹地后被张鹭得到
47'这球也是非常的危险                   47'2分钟后，绿城进攻，拉蒙边路起球送禁区内，球弹地后被张鹭得到
48'绿城本赛季客场有过赢球吗？1有、2没有[qiangda]                   47'2分钟后，绿城进攻，拉蒙边路起球送禁区内，球弹地后被张鹭得到
48'丁海峰左路低平球送禁区前点                   47'2分钟后，绿城进攻，拉蒙边路起球送禁区内，球弹地后被张鹭得到
48'布拉比先出一脚将球解围                   47'2分钟后，绿城进攻，拉蒙边路起球送禁区内，球弹地后被张鹭得到
48'角球送禁区中路，绿城拿到第一点                   47'2分钟后，绿城进攻，拉蒙边路起球送禁区内，球弹地后被张鹭得到
49'辽宁队中场控球，失误了                   47'2分钟后，绿城进攻，拉蒙边路起球送禁区内，球弹地后被张鹭得到
49'绿城中场拿球下来给到前场                   47'2分钟后，绿城进攻，拉蒙边路起球送禁区内，球弹地后被张鹭得到
49'冯刚接球后没有转身的机会                   47'2分钟后，绿城进攻，拉蒙边路起球送禁区内，球弹地后被张鹭得到
50'陈柏良这边手球犯规了                   47'2分钟后，绿城进攻，拉蒙边路起球送禁区内，球弹地后被张鹭得到
50'绿城这边也是错过了进攻的机会                   47'2分钟后，绿城进攻，拉蒙边路起球送禁区内，球弹地后被张鹭得到
33'底线附近，辽宁队将球的时候又是一个犯规                   33'第33分钟，杨善平防守犯规吃到黄牌
33'孙世林中场拿球过人被放倒                   33'第33分钟，杨善平防守犯规吃到黄牌
33'绿城这边的目标是只少一分啊                   33'第33分钟，杨善平防守犯规吃到黄牌
34'丁捷右路传球被挡                   33'第33分钟，杨善平防守犯规吃到黄牌
34'绿城这边反击的机会                   33'第33分钟，杨善平防守犯规吃到黄牌
34'杨善平这边防守中犯规                   33'第33分钟，杨善平防守犯规吃到黄牌
34'杨善平得到一张黄牌！                   33'第33分钟，杨善平防守犯规吃到黄牌
35'波利中场拿球被断                   33'第33分钟，杨善平防守犯规吃到黄牌
35'绿城这边中场控球后回敲                   33'第33分钟，杨善平防守犯规吃到黄牌
36'绿城禁区弧顶做配合                   33'第33分钟，杨善平防守犯规吃到黄牌
36'这球没有送过去                   33'第33分钟，杨善平防守犯规吃到黄牌
36'拉蒙在往边路传球的时候，越位了                   33'第33分钟，杨善平防守犯规吃到黄牌
36'辽宁队中场带球进攻                   33'第33分钟，杨善平防守犯规吃到黄牌
36'金泰延右路下底到禁区内                   33'第33分钟，杨善平防守犯规吃到黄牌
36'落点还是不怎么好                   33'第33分钟，杨善平防守犯规吃到黄牌
41'绿城这边防守漏了                   41'第41分钟，阿甘左路一对二被放倒，绿城获得任意球机会，绿城任意球开出到前点，秦升头球解围险些造成乌龙，皮球擦着横梁飞出底线
41'王皓这边也是没有拿住                   41'第41分钟，阿甘左路一对二被放倒，绿城获得任意球机会，绿城任意球开出到前点，秦升头球解围险些造成乌龙，皮球擦着横梁飞出底线
41'范晓冬左路拿球也是顶一顶                   41'第41分钟，阿甘左路一对二被放倒，绿城获得任意球机会，绿城任意球开出到前点，秦升头球解围险些造成乌龙，皮球擦着横梁飞出底线
42'长传找到了拉蒙                   41'第41分钟，阿甘左路一对二被放倒，绿城获得任意球机会，绿城任意球开出到前点，秦升头球解围险些造成乌龙，皮球擦着横梁飞出底线
43'阿甘边路接球后内切，造了犯规                   41'第41分钟，阿甘左路一对二被放倒，绿城获得任意球机会，绿城任意球开出到前点，秦升头球解围险些造成乌龙，皮球擦着横梁飞出底线
43'任意球开出，赢得一个角球                   41'第41分钟，阿甘左路一对二被放倒，绿城获得任意球机会，绿城任意球开出到前点，秦升头球解围险些造成乌龙，皮球擦着横梁飞出底线
43'角球送前点，辽宁队这边险些送出乌龙啊                   41'第41分钟，阿甘左路一对二被放倒，绿城获得任意球机会，绿城任意球开出到前点，秦升头球解围险些造成乌龙，皮球擦着横梁飞出底线
44'绿城再次获得角球机会                   41'第41分钟，阿甘左路一对二被放倒，绿城获得任意球机会，绿城任意球开出到前点，秦升头球解围险些造成乌龙，皮球擦着横梁飞出底线
44'角球还是给前点                   41'第41分钟，阿甘左路一对二被放倒，绿城获得任意球机会，绿城任意球开出到前点，秦升头球解围险些造成乌龙，皮球擦着横梁飞出底线
44'辽宁队拿到第一点                   41'第41分钟，阿甘左路一对二被放倒，绿城获得任意球机会，绿城任意球开出到前点，秦升头球解围险些造成乌龙，皮球擦着横梁飞出底线
44'辽宁队这边反击的机会                   41'第41分钟，阿甘左路一对二被放倒，绿城获得任意球机会，绿城任意球开出到前点，秦升头球解围险些造成乌龙，皮球擦着横梁飞出底线
44'丁捷右路接球后内切                   41'第41分钟，阿甘左路一对二被放倒，绿城获得任意球机会，绿城任意球开出到前点，秦升头球解围险些造成乌龙，皮球擦着横梁飞出底线
44'禁区外围的打门被后卫挡了一下                   41'第41分钟，阿甘左路一对二被放倒，绿城获得任意球机会，绿城任意球开出到前点，秦升头球解围险些造成乌龙，皮球擦着横梁飞出底线
46'绿城前场二过二的配合到了禁区内                   46'上半场补时1分钟，补时阶段，绿城队右路斜传，中路接应队友垫传，阿甘禁区里依住杨善平的一脚小角度打门，稍稍偏出
46'阿甘小角度直接抽射将球打偏                   46'上半场补时1分钟，补时阶段，绿城队右路斜传，中路接应队友垫传，阿甘禁区里依住杨善平的一脚小角度打门，稍稍偏出
46'这球打得也还是不错                   46'上半场补时1分钟，补时阶段，绿城队右路斜传，中路接应队友垫传，阿甘禁区里依住杨善平的一脚小角度打门，稍稍偏出
46'下半场比赛开始！                   46'上半场补时1分钟，补时阶段，绿城队右路斜传，中路接应队友垫传，阿甘禁区里依住杨善平的一脚小角度打门，稍稍偏出
46'下半场比赛由杭州绿城来发球                   46'上半场补时1分钟，补时阶段，绿城队右路斜传，中路接应队友垫传，阿甘禁区里依住杨善平的一脚小角度打门，稍稍偏出
46'绿城右边路拿球                   46'上半场补时1分钟，补时阶段，绿城队右路斜传，中路接应队友垫传，阿甘禁区里依住杨善平的一脚小角度打门，稍稍偏出
46'传中的时候被辽宁队挡出底线                   46'上半场补时1分钟，补时阶段，绿城队右路斜传，中路接应队友垫传，阿甘禁区里依住杨善平的一脚小角度打门，稍稍偏出
46'绿城这边角球机会                   46'上半场补时1分钟，补时阶段，绿城队右路斜传，中路接应队友垫传，阿甘禁区里依住杨善平的一脚小角度打门，稍稍偏出
47'角球送禁区内                   46'上半场补时1分钟，补时阶段，绿城队右路斜传，中路接应队友垫传，阿甘禁区里依住杨善平的一脚小角度打门，稍稍偏出
47'落点下来后被绿城拿到                   46'上半场补时1分钟，补时阶段，绿城队右路斜传，中路接应队友垫传，阿甘禁区里依住杨善平的一脚小角度打门，稍稍偏出
47'禁区中路，黄希扬打门没有将球压住                   46'上半场补时1分钟，补时阶段，绿城队右路斜传，中路接应队友垫传，阿甘禁区里依住杨善平的一脚小角度打门，稍稍偏出
47'这球也是非常的危险                   46'上半场补时1分钟，补时阶段，绿城队右路斜传，中路接应队友垫传，阿甘禁区里依住杨善平的一脚小角度打门，稍稍偏出
48'绿城本赛季客场有过赢球吗？1有、2没有[qiangda]                   46'上半场补时1分钟，补时阶段，绿城队右路斜传，中路接应队友垫传，阿甘禁区里依住杨善平的一脚小角度打门，稍稍偏出
48'丁海峰左路低平球送禁区前点                   46'上半场补时1分钟，补时阶段，绿城队右路斜传，中路接应队友垫传，阿甘禁区里依住杨善平的一脚小角度打门，稍稍偏出
48'布拉比先出一脚将球解围                   46'上半场补时1分钟，补时阶段，绿城队右路斜传，中路接应队友垫传，阿甘禁区里依住杨善平的一脚小角度打门，稍稍偏出
48'角球送禁区中路，绿城拿到第一点                   46'上半场补时1分钟，补时阶段，绿城队右路斜传，中路接应队友垫传，阿甘禁区里依住杨善平的一脚小角度打门，稍稍偏出
49'辽宁队中场控球，失误了                   46'上半场补时1分钟，补时阶段，绿城队右路斜传，中路接应队友垫传，阿甘禁区里依住杨善平的一脚小角度打门，稍稍偏出
49'绿城中场拿球下来给到前场                   46'上半场补时1分钟，补时阶段，绿城队右路斜传，中路接应队友垫传，阿甘禁区里依住杨善平的一脚小角度打门，稍稍偏出
49'冯刚接球后没有转身的机会                   46'上半场补时1分钟，补时阶段，绿城队右路斜传，中路接应队友垫传，阿甘禁区里依住杨善平的一脚小角度打门，稍稍偏出
50'陈柏良这边手球犯规了                   50'第50分钟，陈柏良中场争抢头球的时候跟秦升相撞，双方都有所受伤
50'绿城这边也是错过了进攻的机会                   50'第50分钟，陈柏良中场争抢头球的时候跟秦升相撞，双方都有所受伤
51'陈柏良中场争抢头球的时候跟对方相撞                   50'第50分钟，陈柏良中场争抢头球的时候跟秦升相撞，双方都有所受伤
51'陈柏良这边受伤比较严重                   50'第50分钟，陈柏良中场争抢头球的时候跟秦升相撞，双方都有所受伤
51'秦升这边也是受伤                   50'第50分钟，陈柏良中场争抢头球的时候跟秦升相撞，双方都有所受伤
51'用冰袋敷头                   50'第50分钟，陈柏良中场争抢头球的时候跟秦升相撞，双方都有所受伤
52'中场休息的时候，两队并没有进行人员上的调整                   50'第50分钟，陈柏良中场争抢头球的时候跟秦升相撞，双方都有所受伤
53'比赛恢复进行                   50'第50分钟，陈柏良中场争抢头球的时候跟秦升相撞，双方都有所受伤
53'王皓禁区内拿球后一扣                   50'第50分钟，陈柏良中场争抢头球的时候跟秦升相撞，双方都有所受伤
53'在横扫门前被挡出                   50'第50分钟，陈柏良中场争抢头球的时候跟秦升相撞，双方都有所受伤
55'这球也是错失了绝佳的破门机会                   55'第55分钟，孙世林拿球被布拉比绊倒，辽宁队获得前场任意球机会，顾超出击将球得到
55'孙世林前场带球被绊倒                   55'第55分钟，孙世林拿球被布拉比绊倒，辽宁队获得前场任意球机会，顾超出击将球得到
55'辽宁队前场再次获得任意球                   55'第55分钟，孙世林拿球被布拉比绊倒，辽宁队获得前场任意球机会，顾超出击将球得到
56'布拉比这次的犯规够的上吃牌的动作                   55'第55分钟，孙世林拿球被布拉比绊倒，辽宁队获得前场任意球机会，顾超出击将球得到
56'任意球送禁区内后点                   55'第55分钟，孙世林拿球被布拉比绊倒，辽宁队获得前场任意球机会，顾超出击将球得到
56'顾超出击将球摘得                   55'第55分钟，孙世林拿球被布拉比绊倒，辽宁队获得前场任意球机会，顾超出击将球得到
57'拉蒙前场带球后分球                   55'第55分钟，孙世林拿球被布拉比绊倒，辽宁队获得前场任意球机会，顾超出击将球得到
57'队友接球后直接打门                   55'第55分钟，孙世林拿球被布拉比绊倒，辽宁队获得前场任意球机会，顾超出击将球得到
57'还是没有压住                   55'第55分钟，孙世林拿球被布拉比绊倒，辽宁队获得前场任意球机会，顾超出击将球得到
57'禁区内，两队都是没有什么机会                   55'第55分钟，孙世林拿球被布拉比绊倒，辽宁队获得前场任意球机会，顾超出击将球得到
58'绿城左路拿球低平球传到禁区弧顶                   55'第55分钟，孙世林拿球被布拉比绊倒，辽宁队获得前场任意球机会，顾超出击将球得到
46'绿城前场二过二的配合到了禁区内                   46'1分钟后，黄希扬的远射被张鹭挡出
46'阿甘小角度直接抽射将球打偏                   46'1分钟后，黄希扬的远射被张鹭挡出
46'这球打得也还是不错                   46'1分钟后，黄希扬的远射被张鹭挡出
46'下半场比赛开始！                   46'1分钟后，黄希扬的远射被张鹭挡出
46'下半场比赛由杭州绿城来发球                   46'1分钟后，黄希扬的远射被张鹭挡出
46'绿城右边路拿球                   46'1分钟后，黄希扬的远射被张鹭挡出
46'传中的时候被辽宁队挡出底线                   46'1分钟后，黄希扬的远射被张鹭挡出
46'绿城这边角球机会                   46'1分钟后，黄希扬的远射被张鹭挡出
47'角球送禁区内                   46'1分钟后，黄希扬的远射被张鹭挡出
47'落点下来后被绿城拿到                   46'1分钟后，黄希扬的远射被张鹭挡出
47'禁区中路，黄希扬打门没有将球压住                   46'1分钟后，黄希扬的远射被张鹭挡出
47'这球也是非常的危险                   46'1分钟后，黄希扬的远射被张鹭挡出
48'绿城本赛季客场有过赢球吗？1有、2没有[qiangda]                   46'1分钟后，黄希扬的远射被张鹭挡出
48'丁海峰左路低平球送禁区前点                   46'1分钟后，黄希扬的远射被张鹭挡出
48'布拉比先出一脚将球解围                   46'1分钟后，黄希扬的远射被张鹭挡出
48'角球送禁区中路，绿城拿到第一点                   46'1分钟后，黄希扬的远射被张鹭挡出
49'辽宁队中场控球，失误了                   46'1分钟后，黄希扬的远射被张鹭挡出
49'绿城中场拿球下来给到前场                   46'1分钟后，黄希扬的远射被张鹭挡出
49'冯刚接球后没有转身的机会                   46'1分钟后，黄希扬的远射被张鹭挡出
67'拉蒙禁区内接球横扫中路                   67'第67分钟，绿城左路送出直塞，阿甘拿球突入禁区后小角度打门，被张鹭扑出
67'队友接球后被破坏                   67'第67分钟，绿城左路送出直塞，阿甘拿球突入禁区后小角度打门，被张鹭扑出
68'绿城这边再次获得角球机会                   67'第67分钟，绿城左路送出直塞，阿甘拿球突入禁区后小角度打门，被张鹭扑出
68'打了一个战术，边路的传球送后点                   67'第67分钟，绿城左路送出直塞，阿甘拿球突入禁区后小角度打门，被张鹭扑出
68'辽宁队先将球解围出来                   67'第67分钟，绿城左路送出直塞，阿甘拿球突入禁区后小角度打门，被张鹭扑出
68'阿甘左路接球到了禁区里面                   67'第67分钟，绿城左路送出直塞，阿甘拿球突入禁区后小角度打门，被张鹭扑出
68'小角度打门被张鹭扑了出去                   67'第67分钟，绿城左路送出直塞，阿甘拿球突入禁区后小角度打门，被张鹭扑出
69'绿城继续角球机会                   67'第67分钟，绿城左路送出直塞，阿甘拿球突入禁区后小角度打门，被张鹭扑出
69'角球送前点被顶了出来                   67'第67分钟，绿城左路送出直塞，阿甘拿球突入禁区后小角度打门，被张鹭扑出
70'阿甘左路带球连续突破                   67'第67分钟，绿城左路送出直塞，阿甘拿球突入禁区后小角度打门，被张鹭扑出
70'球进了！！！                   67'第67分钟，绿城左路送出直塞，阿甘拿球突入禁区后小角度打门，被张鹭扑出
72'阿甘！！                   72'第72分钟，绿城反击，拉蒙的射门稍稍偏出
72'阿甘左路带球连续突破两人的防守，到了禁区内，小角度打门推射远角破门！                   72'第72分钟，绿城反击，拉蒙的射门稍稍偏出
73'拉蒙禁区外围又是搓射一脚                   72'第72分钟，绿城反击，拉蒙的射门稍稍偏出
73'这球又是差了一点点                   72'第72分钟，绿城反击，拉蒙的射门稍稍偏出
73'辽宁队的中场有些失控                   72'第72分钟，绿城反击，拉蒙的射门稍稍偏出
74'阿甘庆祝动作也是得到一张黄牌！                   72'第72分钟，绿城反击，拉蒙的射门稍稍偏出
74'杨宇禁区内抢点的时候手球                   72'第72分钟，绿城反击，拉蒙的射门稍稍偏出
74'杨宇得到一张黄牌！                   72'第72分钟，绿城反击，拉蒙的射门稍稍偏出
75'阿甘脚后跟传球，这球送的稍微有些大                   72'第72分钟，绿城反击，拉蒙的射门稍稍偏出
75'禁区外围，安塔尔冷射被张鹭压在身下                   72'第72分钟，绿城反击，拉蒙的射门稍稍偏出
75'2-0！！！                   72'第72分钟，绿城反击，拉蒙的射门稍稍偏出
75'阿甘脚后跟传球，这球送的稍微有些大                   75'第75分钟，阿甘左路跟拉蒙做撞墙配合，阿甘突入禁区后，面对门将回敲到中路，拉蒙跟进滑铲破门，绿城客场2-0取得领先
75'禁区外围，安塔尔冷射被张鹭压在身下                   75'第75分钟，阿甘左路跟拉蒙做撞墙配合，阿甘突入禁区后，面对门将回敲到中路，拉蒙跟进滑铲破门，绿城客场2-0取得领先
75'2-0！！！                   75'第75分钟，阿甘左路跟拉蒙做撞墙配合，阿甘突入禁区后，面对门将回敲到中路，拉蒙跟进滑铲破门，绿城客场2-0取得领先
76'拉蒙！！                   75'第75分钟，阿甘左路跟拉蒙做撞墙配合，阿甘突入禁区后，面对门将回敲到中路，拉蒙跟进滑铲破门，绿城客场2-0取得领先
76'阿甘左路拿到再次进到禁区里面，面对门将回敲到中路，拉蒙跟进滑铲破门！                   75'第75分钟，阿甘左路跟拉蒙做撞墙配合，阿甘突入禁区后，面对门将回敲到中路，拉蒙跟进滑铲破门，绿城客场2-0取得领先
76'阿甘左路跟拉蒙做的撞墙配合                   75'第75分钟，阿甘左路跟拉蒙做撞墙配合，阿甘突入禁区后，面对门将回敲到中路，拉蒙跟进滑铲破门，绿城客场2-0取得领先
76'这球进的实在是漂亮                   75'第75分钟，阿甘左路跟拉蒙做撞墙配合，阿甘突入禁区后，面对门将回敲到中路，拉蒙跟进滑铲破门，绿城客场2-0取得领先
77'辽宁宏运本赛季主场有失利吗？1有、2没有[qiangda]                   75'第75分钟，阿甘左路跟拉蒙做撞墙配合，阿甘突入禁区后，面对门将回敲到中路，拉蒙跟进滑铲破门，绿城客场2-0取得领先
78'辽宁宏运换人，杨运下，米切尔上！                   75'第75分钟，阿甘左路跟拉蒙做撞墙配合，阿甘突入禁区后，面对门将回敲到中路，拉蒙跟进滑铲破门，绿城客场2-0取得领先
78'米切尔当中锋来用                   75'第75分钟，阿甘左路跟拉蒙做撞墙配合，阿甘突入禁区后，面对门将回敲到中路，拉蒙跟进滑铲破门，绿城客场2-0取得领先
78'辽宁宏运换人，杨运下，米切尔上！                   78'第78分钟，辽宁队反击，禁区内多脚射门都被挡出，最后金裕晋的打门擦着横梁飞出
78'米切尔当中锋来用                   78'第78分钟，辽宁队反击，禁区内多脚射门都被挡出，最后金裕晋的打门擦着横梁飞出
79'辽宁队这边展开反扑                   78'第78分钟，辽宁队反击，禁区内多脚射门都被挡出，最后金裕晋的打门擦着横梁飞出
79'禁区内连续多脚打门都是被防守球员防了下来                   78'第78分钟，辽宁队反击，禁区内多脚射门都被挡出，最后金裕晋的打门擦着横梁飞出
79'禁区内的抽射也是被后卫在门线上顶出                   78'第78分钟，辽宁队反击，禁区内多脚射门都被挡出，最后金裕晋的打门擦着横梁飞出
81'拉蒙左路拿球到了禁区角上                   78'第78分钟，辽宁队反击，禁区内多脚射门都被挡出，最后金裕晋的打门擦着横梁飞出
81'黄希扬禁区外围远射将球打高                   78'第78分钟，辽宁队反击，禁区内多脚射门都被挡出，最后金裕晋的打门擦着横梁飞出
81'比赛还剩下最后的10分钟                   78'第78分钟，辽宁队反击，禁区内多脚射门都被挡出，最后金裕晋的打门擦着横梁飞出
81'看看辽宁队能不能将比分扳回来                   78'第78分钟，辽宁队反击，禁区内多脚射门都被挡出，最后金裕晋的打门擦着横梁飞出
81'金泰延右路推进被放倒                   78'第78分钟，辽宁队反击，禁区内多脚射门都被挡出，最后金裕晋的打门擦着横梁飞出
84'拉蒙中场拼抢的时候造了对方犯规                   84'第84分钟，丁海峰开出角球被顾超化解
49'辽宁队中场控球，失误了                   49'全场补时4分钟，第91分钟，罗竞换下陈柏良
49'绿城中场拿球下来给到前场                   49'全场补时4分钟，第91分钟，罗竞换下陈柏良
49'冯刚接球后没有转身的机会                   49'全场补时4分钟，第91分钟，罗竞换下陈柏良
50'陈柏良这边手球犯规了                   49'全场补时4分钟，第91分钟，罗竞换下陈柏良
50'绿城这边也是错过了进攻的机会                   49'全场补时4分钟，第91分钟，罗竞换下陈柏良
51'陈柏良中场争抢头球的时候跟对方相撞                   49'全场补时4分钟，第91分钟，罗竞换下陈柏良
51'陈柏良这边受伤比较严重                   49'全场补时4分钟，第91分钟，罗竞换下陈柏良
51'秦升这边也是受伤                   49'全场补时4分钟，第91分钟，罗竞换下陈柏良
51'用冰袋敷头                   49'全场补时4分钟，第91分钟，罗竞换下陈柏良
52'中场休息的时候，两队并没有进行人员上的调整                   49'全场补时4分钟，第91分钟，罗竞换下陈柏良
