1'上半场比赛开始                   1'第1分钟上港的前场紧逼，让重庆队显得很不习惯
49'费尔南迪尼奥！！！                   48'第48分钟重庆队终于进球，塞巴左路送球，上港禁区内乱战成一团，上港后卫连续解围不利，最后是彭欣力左侧送球，费尔南迪尼奥近距离推射得分，1比1，重庆半场前扳平比分
49'中场前扳平了                   48'第48分钟重庆队终于进球，塞巴左路送球，上港禁区内乱战成一团，上港后卫连续解围不利，最后是彭欣力左侧送球，费尔南迪尼奥近距离推射得分，1比1，重庆半场前扳平比分
50'禁区内连续混战，上港解围不远，彭欣力倒三角给门前，费尔南迪尼奥推射破门                   48'第48分钟重庆队终于进球，塞巴左路送球，上港禁区内乱战成一团，上港后卫连续解围不利，最后是彭欣力左侧送球，费尔南迪尼奥近距离推射得分，1比1，重庆半场前扳平比分
50'重庆1-1上港                   48'第48分钟重庆队终于进球，塞巴左路送球，上港禁区内乱战成一团，上港后卫连续解围不利，最后是彭欣力左侧送球，费尔南迪尼奥近距离推射得分，1比1，重庆半场前扳平比分
50'上半场比赛结束                   48'第48分钟重庆队终于进球，塞巴左路送球，上港禁区内乱战成一团，上港后卫连续解围不利，最后是彭欣力左侧送球，费尔南迪尼奥近距离推射得分，1比1，重庆半场前扳平比分
48'上港中场挑传禁区，被门将没收                   48'第48分钟重庆队终于进球，塞巴左路送球，上港禁区内乱战成一团，上港后卫连续解围不利，最后是彭欣力左侧送球，费尔南迪尼奥近距离推射得分，1比1，重庆半场前扳平比分
49'卡尔德克禁区前拿球，自己没带好                   48'第48分钟重庆队终于进球，塞巴左路送球，上港禁区内乱战成一团，上港后卫连续解围不利，最后是彭欣力左侧送球，费尔南迪尼奥近距离推射得分，1比1，重庆半场前扳平比分
49'胡尔克右边路拿球，吕文君接应                   48'第48分钟重庆队终于进球，塞巴左路送球，上港禁区内乱战成一团，上港后卫连续解围不利，最后是彭欣力左侧送球，费尔南迪尼奥近距离推射得分，1比1，重庆半场前扳平比分
49'塞巴后场被吕文君绊倒了                   48'第48分钟重庆队终于进球，塞巴左路送球，上港禁区内乱战成一团，上港后卫连续解围不利，最后是彭欣力左侧送球，费尔南迪尼奥近距离推射得分，1比1，重庆半场前扳平比分
50'彭欣力给右路，冯劲接应                   48'第48分钟重庆队终于进球，塞巴左路送球，上港禁区内乱战成一团，上港后卫连续解围不利，最后是彭欣力左侧送球，费尔南迪尼奥近距离推射得分，1比1，重庆半场前扳平比分
51'直接抽射被蹭出底线，角球                   48'第48分钟重庆队终于进球，塞巴左路送球，上港禁区内乱战成一团，上港后卫连续解围不利，最后是彭欣力左侧送球，费尔南迪尼奥近距离推射得分，1比1，重庆半场前扳平比分
51'费尔南迪尼奥角球旋后点，丁捷抢点垫射高了                   48'第48分钟重庆队终于进球，塞巴左路送球，上港禁区内乱战成一团，上港后卫连续解围不利，最后是彭欣力左侧送球，费尔南迪尼奥近距离推射得分，1比1，重庆半场前扳平比分
49'彭欣力前场争下，给左路塞巴                   49'第49分钟冯劲右侧怒射打在于海身上后形成落叶球险些进门，冯劲自己开出右侧角球，丁捷摆脱蔡慧康干扰，门前一米处飞身抢射稍稍高出
49'重庆进球了！！！                   49'第49分钟冯劲右侧怒射打在于海身上后形成落叶球险些进门，冯劲自己开出右侧角球，丁捷摆脱蔡慧康干扰，门前一米处飞身抢射稍稍高出
49'费尔南迪尼奥！！！                   49'第49分钟冯劲右侧怒射打在于海身上后形成落叶球险些进门，冯劲自己开出右侧角球，丁捷摆脱蔡慧康干扰，门前一米处飞身抢射稍稍高出
49'中场前扳平了                   49'第49分钟冯劲右侧怒射打在于海身上后形成落叶球险些进门，冯劲自己开出右侧角球，丁捷摆脱蔡慧康干扰，门前一米处飞身抢射稍稍高出
50'禁区内连续混战，上港解围不远，彭欣力倒三角给门前，费尔南迪尼奥推射破门                   49'第49分钟冯劲右侧怒射打在于海身上后形成落叶球险些进门，冯劲自己开出右侧角球，丁捷摆脱蔡慧康干扰，门前一米处飞身抢射稍稍高出
50'重庆1-1上港                   49'第49分钟冯劲右侧怒射打在于海身上后形成落叶球险些进门，冯劲自己开出右侧角球，丁捷摆脱蔡慧康干扰，门前一米处飞身抢射稍稍高出
50'上半场比赛结束                   49'第49分钟冯劲右侧怒射打在于海身上后形成落叶球险些进门，冯劲自己开出右侧角球，丁捷摆脱蔡慧康干扰，门前一米处飞身抢射稍稍高出
49'卡尔德克禁区前拿球，自己没带好                   49'第49分钟冯劲右侧怒射打在于海身上后形成落叶球险些进门，冯劲自己开出右侧角球，丁捷摆脱蔡慧康干扰，门前一米处飞身抢射稍稍高出
49'胡尔克右边路拿球，吕文君接应                   49'第49分钟冯劲右侧怒射打在于海身上后形成落叶球险些进门，冯劲自己开出右侧角球，丁捷摆脱蔡慧康干扰，门前一米处飞身抢射稍稍高出
49'塞巴后场被吕文君绊倒了                   49'第49分钟冯劲右侧怒射打在于海身上后形成落叶球险些进门，冯劲自己开出右侧角球，丁捷摆脱蔡慧康干扰，门前一米处飞身抢射稍稍高出
50'彭欣力给右路，冯劲接应                   49'第49分钟冯劲右侧怒射打在于海身上后形成落叶球险些进门，冯劲自己开出右侧角球，丁捷摆脱蔡慧康干扰，门前一米处飞身抢射稍稍高出
51'直接抽射被蹭出底线，角球                   49'第49分钟冯劲右侧怒射打在于海身上后形成落叶球险些进门，冯劲自己开出右侧角球，丁捷摆脱蔡慧康干扰，门前一米处飞身抢射稍稍高出
51'费尔南迪尼奥角球旋后点，丁捷抢点垫射高了                   49'第49分钟冯劲右侧怒射打在于海身上后形成落叶球险些进门，冯劲自己开出右侧角球，丁捷摆脱蔡慧康干扰，门前一米处飞身抢射稍稍高出
52'彭欣力中场转身摆脱，带了几步                   49'第49分钟冯劲右侧怒射打在于海身上后形成落叶球险些进门，冯劲自己开出右侧角球，丁捷摆脱蔡慧康干扰，门前一米处飞身抢射稍稍高出
52'选择远射，打高了                   49'第49分钟冯劲右侧怒射打在于海身上后形成落叶球险些进门，冯劲自己开出右侧角球，丁捷摆脱蔡慧康干扰，门前一米处飞身抢射稍稍高出
52'中场争顶，埃尔克森压人了                   49'第49分钟冯劲右侧怒射打在于海身上后形成落叶球险些进门，冯劲自己开出右侧角球，丁捷摆脱蔡慧康干扰，门前一米处飞身抢射稍稍高出
54'彭欣力中场接应，等球了被上抢                   54'第54分钟胡尔克右路传中，埃尔克森头球顶在对方队员身上出界
54'奥斯卡中路直塞禁区，被邓小飞拿到                   54'第54分钟胡尔克右路传中，埃尔克森头球顶在对方队员身上出界
54'王燊超右路拿球回敲                   54'第54分钟胡尔克右路传中，埃尔克森头球顶在对方队员身上出界
55'于海左路起球，另一侧胡尔克                   54'第54分钟胡尔克右路传中，埃尔克森头球顶在对方队员身上出界
55'搓传前点，埃尔克森顶偏了                   54'第54分钟胡尔克右路传中，埃尔克森头球顶在对方队员身上出界
55'蹭到对手头上，有角球                   54'第54分钟胡尔克右路传中，埃尔克森头球顶在对方队员身上出界
55'角球到后点，胡尔克停好                   54'第54分钟胡尔克右路传中，埃尔克森头球顶在对方队员身上出界
56'自己再下底横扫门前，被邓小飞拿到                   54'第54分钟胡尔克右路传中，埃尔克森头球顶在对方队员身上出界
57'冯劲右路带球下底，被让出了底线                   54'第54分钟胡尔克右路传中，埃尔克森头球顶在对方队员身上出界
57'胡尔克右路内切带球，被破坏                   54'第54分钟胡尔克右路传中，埃尔克森头球顶在对方队员身上出界
60'奥斯卡右路插上，接应长传                   60'第60分钟重庆队形成三打五局面，塞巴左路过掉王燊超杀入禁区腹地，但他的射门被颜骏凌飞身封出
60'横扫门前被挡，自己再拿                   60'第60分钟重庆队形成三打五局面，塞巴左路过掉王燊超杀入禁区腹地，但他的射门被颜骏凌飞身封出
60'这次传高球，高出了横梁                   60'第60分钟重庆队形成三打五局面，塞巴左路过掉王燊超杀入禁区腹地，但他的射门被颜骏凌飞身封出
61'武磊前场头球摆渡，左路埃尔克森                   60'第60分钟重庆队形成三打五局面，塞巴左路过掉王燊超杀入禁区腹地，但他的射门被颜骏凌飞身封出
61'突破进禁区，横传被解围                   60'第60分钟重庆队形成三打五局面，塞巴左路过掉王燊超杀入禁区腹地，但他的射门被颜骏凌飞身封出
61'费尔南迪尼奥带球反击，分左路                   60'第60分钟重庆队形成三打五局面，塞巴左路过掉王燊超杀入禁区腹地，但他的射门被颜骏凌飞身封出
61'塞巴进禁区，扣过王燊超                   60'第60分钟重庆队形成三打五局面，塞巴左路过掉王燊超杀入禁区腹地，但他的射门被颜骏凌飞身封出
61'射门被颜骏凌挡出来                   60'第60分钟重庆队形成三打五局面，塞巴左路过掉王燊超杀入禁区腹地，但他的射门被颜骏凌飞身封出
62'卡尔德克前场背身拿球，被贺惯推倒                   60'第60分钟重庆队形成三打五局面，塞巴左路过掉王燊超杀入禁区腹地，但他的射门被颜骏凌飞身封出
62'裁判黄牌警告贺惯                   60'第60分钟重庆队形成三打五局面，塞巴左路过掉王燊超杀入禁区腹地，但他的射门被颜骏凌飞身封出
63'上港后场横向转移球控制                   60'第60分钟重庆队形成三打五局面，塞巴左路过掉王燊超杀入禁区腹地，但他的射门被颜骏凌飞身封出
63'奥斯卡肋部一敲，武磊左路突破                   60'第60分钟重庆队形成三打五局面，塞巴左路过掉王燊超杀入禁区腹地，但他的射门被颜骏凌飞身封出
63'上港后场横向转移球控制                   63'第63分钟胡尔克巧妙送球，埃尔克森在禁区右路形成单刀，但他意外往内扣球要过邓小飞，但身体就显得不协调，被重庆队员抢先解围
63'奥斯卡肋部一敲，武磊左路突破                   63'第63分钟胡尔克巧妙送球，埃尔克森在禁区右路形成单刀，但他意外往内扣球要过邓小飞，但身体就显得不协调，被重庆队员抢先解围
64'和姜嘉俊身体接触倒地，没有吹罚                   63'第63分钟胡尔克巧妙送球，埃尔克森在禁区右路形成单刀，但他意外往内扣球要过邓小飞，但身体就显得不协调，被重庆队员抢先解围
64'埃尔克森又接应直塞，进禁区面对门将                   63'第63分钟胡尔克巧妙送球，埃尔克森在禁区右路形成单刀，但他意外往内扣球要过邓小飞，但身体就显得不协调，被重庆队员抢先解围
64'邓小飞出击，先倒地破坏                   63'第63分钟胡尔克巧妙送球，埃尔克森在禁区右路形成单刀，但他意外往内扣球要过邓小飞，但身体就显得不协调，被重庆队员抢先解围
64'二点球唐家庶解围                   63'第63分钟胡尔克巧妙送球，埃尔克森在禁区右路形成单刀，但他意外往内扣球要过邓小飞，但身体就显得不协调，被重庆队员抢先解围
64'角球开出，被邓小飞摘下                   63'第63分钟胡尔克巧妙送球，埃尔克森在禁区右路形成单刀，但他意外往内扣球要过邓小飞，但身体就显得不协调，被重庆队员抢先解围
65'塞巴禁区前做球，卡尔德克左路插上                   63'第63分钟胡尔克巧妙送球，埃尔克森在禁区右路形成单刀，但他意外往内扣球要过邓小飞，但身体就显得不协调，被重庆队员抢先解围
65'横传门前，冯劲铲射没打上                   63'第63分钟胡尔克巧妙送球，埃尔克森在禁区右路形成单刀，但他意外往内扣球要过邓小飞，但身体就显得不协调，被重庆队员抢先解围
66'奥斯卡斜传禁区远端                   63'第63分钟胡尔克巧妙送球，埃尔克森在禁区右路形成单刀，但他意外往内扣球要过邓小飞，但身体就显得不协调，被重庆队员抢先解围
66'埃尔克森迂回插上，头球被邓小飞托出横梁                   63'第63分钟胡尔克巧妙送球，埃尔克森在禁区右路形成单刀，但他意外往内扣球要过邓小飞，但身体就显得不协调，被重庆队员抢先解围
66'角球开出，没有过第一点                   63'第63分钟胡尔克巧妙送球，埃尔克森在禁区右路形成单刀，但他意外往内扣球要过邓小飞，但身体就显得不协调，被重庆队员抢先解围
65'塞巴禁区前做球，卡尔德克左路插上                   65'第65分钟胡尔克右路送球，埃尔克森强力头球攻门被邓小飞打出界外
65'横传门前，冯劲铲射没打上                   65'第65分钟胡尔克右路送球，埃尔克森强力头球攻门被邓小飞打出界外
66'奥斯卡斜传禁区远端                   65'第65分钟胡尔克右路送球，埃尔克森强力头球攻门被邓小飞打出界外
66'埃尔克森迂回插上，头球被邓小飞托出横梁                   65'第65分钟胡尔克右路送球，埃尔克森强力头球攻门被邓小飞打出界外
66'角球开出，没有过第一点                   65'第65分钟胡尔克右路送球，埃尔克森强力头球攻门被邓小飞打出界外
67'重庆反击，右路彭欣力身后拿球                   65'第65分钟胡尔克右路送球，埃尔克森强力头球攻门被邓小飞打出界外
67'调整到左脚起球后点，被顶出                   65'第65分钟胡尔克右路送球，埃尔克森强力头球攻门被邓小飞打出界外
68'于海左路45度角起球进禁区                   65'第65分钟胡尔克右路送球，埃尔克森强力头球攻门被邓小飞打出界外
68'武磊第一点停下，邓小飞没收了                   65'第65分钟胡尔克右路送球，埃尔克森强力头球攻门被邓小飞打出界外
68'于海左路45度角起球进禁区                   68'第68分钟重庆连续配合，但最后丁捷接费尔南迪尼奥回传，怒射再次稍稍高出
68'武磊第一点停下，邓小飞没收了                   68'第68分钟重庆连续配合，但最后丁捷接费尔南迪尼奥回传，怒射再次稍稍高出
69'胡尔克右路起球被顶出                   68'第68分钟重庆连续配合，但最后丁捷接费尔南迪尼奥回传，怒射再次稍稍高出
69'费尔南迪尼奥前场横传左路冯劲                   68'第68分钟重庆连续配合，但最后丁捷接费尔南迪尼奥回传，怒射再次稍稍高出
69'起球第一点被顶出                   68'第68分钟重庆连续配合，但最后丁捷接费尔南迪尼奥回传，怒射再次稍稍高出
69'禁区另一侧回敲，丁捷远射高出横梁                   68'第68分钟重庆连续配合，但最后丁捷接费尔南迪尼奥回传，怒射再次稍稍高出
70'上港换人，蔡惠康被林创益换下                   68'第68分钟重庆连续配合，但最后丁捷接费尔南迪尼奥回传，怒射再次稍稍高出
70'重庆换人，尹聪耀换下冯劲                   68'第68分钟重庆连续配合，但最后丁捷接费尔南迪尼奥回传，怒射再次稍稍高出
70'进入下半场的补水时间                   68'第68分钟重庆连续配合，但最后丁捷接费尔南迪尼奥回传，怒射再次稍稍高出
71'比赛继续                   68'第68分钟重庆连续配合，但最后丁捷接费尔南迪尼奥回传，怒射再次稍稍高出
77'尹聪耀起球被回防的吕文君顶出                   77'第77分钟林创益铲翻彭欣力吃到黄牌
77'外围丁捷搓传禁区后点，塞巴越位                   77'第77分钟林创益铲翻彭欣力吃到黄牌
78'林创益中场扑抢，铲球犯规                   77'第77分钟林创益铲翻彭欣力吃到黄牌
78'裁判黄牌警告了林创益                   77'第77分钟林创益铲翻彭欣力吃到黄牌
80'上港进球了！！！                   77'第77分钟林创益铲翻彭欣力吃到黄牌
80'再度领先，吕文君！                   77'第77分钟林创益铲翻彭欣力吃到黄牌
81'上港进攻起高球，武磊插上头球摆渡，吕文君门前一停一射，打进                   81'第81分钟胡尔克后场犯规，重庆任意球开入禁区，丁捷中路头球射中柱弹出，卡尔德克跟进再射，被颜骏凌似乎在门内位置捞出，裁判判罚球进，上港申述，经VAR确认后，此球为进
81'重庆1-2落后上港                   81'第81分钟胡尔克后场犯规，重庆任意球开入禁区，丁捷中路头球射中柱弹出，卡尔德克跟进再射，被颜骏凌似乎在门内位置捞出，裁判判罚球进，上港申述，经VAR确认后，此球为进
81'彭欣力左路拿球，被胡尔克推倒，任意球                   81'第81分钟胡尔克后场犯规，重庆任意球开入禁区，丁捷中路头球射中柱弹出，卡尔德克跟进再射，被颜骏凌似乎在门内位置捞出，裁判判罚球进，上港申述，经VAR确认后，此球为进
82'任意球开出，头球顶在立柱上                   81'第81分钟胡尔克后场犯规，重庆任意球开入禁区，丁捷中路头球射中柱弹出，卡尔德克跟进再射，被颜骏凌似乎在门内位置捞出，裁判判罚球进，上港申述，经VAR确认后，此球为进
82'重庆进球了！！！                   81'第81分钟胡尔克后场犯规，重庆任意球开入禁区，丁捷中路头球射中柱弹出，卡尔德克跟进再射，被颜骏凌似乎在门内位置捞出，裁判判罚球进，上港申述，经VAR确认后，此球为进
82'补射被颜骏凌门线上捞出来，示意进了                   81'第81分钟胡尔克后场犯规，重庆任意球开入禁区，丁捷中路头球射中柱弹出，卡尔德克跟进再射，被颜骏凌似乎在门内位置捞出，裁判判罚球进，上港申述，经VAR确认后，此球为进
83'主裁判定进球                   81'第81分钟胡尔克后场犯规，重庆任意球开入禁区，丁捷中路头球射中柱弹出，卡尔德克跟进再射，被颜骏凌似乎在门内位置捞出，裁判判罚球进，上港申述，经VAR确认后，此球为进
83'卡尔德克                   81'第81分钟胡尔克后场犯规，重庆任意球开入禁区，丁捷中路头球射中柱弹出，卡尔德克跟进再射，被颜骏凌似乎在门内位置捞出，裁判判罚球进，上港申述，经VAR确认后，此球为进
83'丁捷的头球顶在后门柱弹出，卡尔德克补射，颜骏凌捞出来，应该先越过门线了                   81'第81分钟胡尔克后场犯规，重庆任意球开入禁区，丁捷中路头球射中柱弹出，卡尔德克跟进再射，被颜骏凌似乎在门内位置捞出，裁判判罚球进，上港申述，经VAR确认后，此球为进
83'主裁也在听视频裁判的提示                   81'第81分钟胡尔克后场犯规，重庆任意球开入禁区，丁捷中路头球射中柱弹出，卡尔德克跟进再射，被颜骏凌似乎在门内位置捞出，裁判判罚球进，上港申述，经VAR确认后，此球为进
84'进球有效                   81'第81分钟胡尔克后场犯规，重庆任意球开入禁区，丁捷中路头球射中柱弹出，卡尔德克跟进再射，被颜骏凌似乎在门内位置捞出，裁判判罚球进，上港申述，经VAR确认后，此球为进
84'2-2，重庆再度追平                   81'第81分钟胡尔克后场犯规，重庆任意球开入禁区，丁捷中路头球射中柱弹出，卡尔德克跟进再射，被颜骏凌似乎在门内位置捞出，裁判判罚球进，上港申述，经VAR确认后，此球为进
84'于海左路起球，被顶出                   81'第81分钟胡尔克后场犯规，重庆任意球开入禁区，丁捷中路头球射中柱弹出，卡尔德克跟进再射，被颜骏凌似乎在门内位置捞出，裁判判罚球进，上港申述，经VAR确认后，此球为进
84'彭欣力中场拿球摆脱，被奥斯卡绊倒                   81'第81分钟胡尔克后场犯规，重庆任意球开入禁区，丁捷中路头球射中柱弹出，卡尔德克跟进再射，被颜骏凌似乎在门内位置捞出，裁判判罚球进，上港申述，经VAR确认后，此球为进
84'进球有效                   84'第84分钟塞巴踢翻胡尔克吃到黄牌
84'2-2，重庆再度追平                   84'第84分钟塞巴踢翻胡尔克吃到黄牌
84'于海左路起球，被顶出                   84'第84分钟塞巴踢翻胡尔克吃到黄牌
84'彭欣力中场拿球摆脱，被奥斯卡绊倒                   84'第84分钟塞巴踢翻胡尔克吃到黄牌
85'塞巴左路转身被断球                   84'第84分钟塞巴踢翻胡尔克吃到黄牌
85'胡尔克拿球被塞巴绊倒了                   84'第84分钟塞巴踢翻胡尔克吃到黄牌
