6'王大龙后场打球，自己带过中线                   6'第6分钟，上港后场长传球，李浩文与王大龙拼速度后倒地，裁判并未有任何表示
47'上港左侧的进攻，李健将球破坏出边线                   47'第47分钟，里卡多在毅腾禁区内跌跌撞撞摔倒，裁判马力判罚里卡多假摔向其出示黄牌
47'里卡多回带，转身再传，失误了                   47'第47分钟，里卡多在毅腾禁区内跌跌撞撞摔倒，裁判马力判罚里卡多假摔向其出示黄牌
47'下半场双方并没有人员上的变化                   47'第47分钟，里卡多在毅腾禁区内跌跌撞撞摔倒，裁判马力判罚里卡多假摔向其出示黄牌
48'上港队进攻，右边路的传中到禁区                   47'第47分钟，里卡多在毅腾禁区内跌跌撞撞摔倒，裁判马力判罚里卡多假摔向其出示黄牌
48'可惜麦克布林的前插跑太快，越位在先                   47'第47分钟，里卡多在毅腾禁区内跌跌撞撞摔倒，裁判马力判罚里卡多假摔向其出示黄牌
49'里卡多前场拿球，中路强突，禁区内面对伊班的上抢，倒在禁区啦                   47'第47分钟，里卡多在毅腾禁区内跌跌撞撞摔倒，裁判马力判罚里卡多假摔向其出示黄牌
49'主裁判马力鸣哨，看看怎么判                   47'第47分钟，里卡多在毅腾禁区内跌跌撞撞摔倒，裁判马力判罚里卡多假摔向其出示黄牌
49'马力吹罚了里卡多的假摔，送上黄袍一件                   47'第47分钟，里卡多在毅腾禁区内跌跌撞撞摔倒，裁判马力判罚里卡多假摔向其出示黄牌
50'下半场开始来看，毅腾进攻的人数上投入明显增加，但球员心态略显着急                   47'第47分钟，里卡多在毅腾禁区内跌跌撞撞摔倒，裁判马力判罚里卡多假摔向其出示黄牌
50'哎呀，李浩文，可惜了                   47'第47分钟，里卡多在毅腾禁区内跌跌撞撞摔倒，裁判马力判罚里卡多假摔向其出示黄牌
50'王燊超左边路拿球，横传给到李浩文                   47'第47分钟，里卡多在毅腾禁区内跌跌撞撞摔倒，裁判马力判罚里卡多假摔向其出示黄牌
53'毅腾换下：11号吕永帝上，换下22号赵伟                   53'第53分钟，哈尔滨毅腾做出人员调整，吕永帝替换赵伟登场
53'麦克布林中场背身拿球，面对防守，回传后场给傅欢                   53'第53分钟，哈尔滨毅腾做出人员调整，吕永帝替换赵伟登场
54'傅欢搓传再往前送，被后卫头球顶回                   53'第53分钟，哈尔滨毅腾做出人员调整，吕永帝替换赵伟登场
54'汪佳捷中场争抢中被吹犯规                   53'第53分钟，哈尔滨毅腾做出人员调整，吕永帝替换赵伟登场
55'许东左路拿球，趟出两步后，左脚直接起球往后点吊                   53'第53分钟，哈尔滨毅腾做出人员调整，吕永帝替换赵伟登场
55'可惜没有队友跟上，球飞出了底线                   53'第53分钟，哈尔滨毅腾做出人员调整，吕永帝替换赵伟登场
55'上港前场右路进攻，吕文君拿球强行下底                   53'第53分钟，哈尔滨毅腾做出人员调整，吕永帝替换赵伟登场
55'可惜最后的传中球直接出了底线                   53'第53分钟，哈尔滨毅腾做出人员调整，吕永帝替换赵伟登场
59'毅腾前场进攻，里卡多禁区外突施冷箭，打偏                   59'第59分钟，进球功臣李浩文再次凭借个人能力突破毅腾后卫封锁，王敬平用身体封堵住来球
59'李浩文啊，可惜啦                   59'第59分钟，进球功臣李浩文再次凭借个人能力突破毅腾后卫封锁，王敬平用身体封堵住来球
60'李浩文大禁区右上角拿球，面对两人围抢，扣球摆脱进入禁区，调整后面对补防的球员右脚低射，被王敬平倒地挡出                   59'第59分钟，进球功臣李浩文再次凭借个人能力突破毅腾后卫封锁，王敬平用身体封堵住来球
61'李浩文再抢第二落点，王敬平起身赶紧揽入怀中                   59'第59分钟，进球功臣李浩文再次凭借个人能力突破毅腾后卫封锁，王敬平用身体封堵住来球
61'毅腾前场失误，吕文君拿球反击                   59'第59分钟，进球功臣李浩文再次凭借个人能力突破毅腾后卫封锁，王敬平用身体封堵住来球
61'罗德瑞格的逼抢，放倒了吕文君，犯规                   59'第59分钟，进球功臣李浩文再次凭借个人能力突破毅腾后卫封锁，王敬平用身体封堵住来球
62'伊班争顶时撞到了多利，犯规                   59'第59分钟，进球功臣李浩文再次凭借个人能力突破毅腾后卫封锁，王敬平用身体封堵住来球
71'里卡多拿球，单骑闯关，可惜最后的趟球过大                   71'第71分钟，上海上港前场发起围攻，王佳玉大禁区线上的一脚劲射球擦门柱飞出球门
71'颜骏凌将球控制，慢等里卡多上来逼抢，再将球抱在怀中                   71'第71分钟，上海上港前场发起围攻，王佳玉大禁区线上的一脚劲射球擦门柱飞出球门
72'上港左路传中到禁区，王大龙胸部停球                   71'第71分钟，上海上港前场发起围攻，王佳玉大禁区线上的一脚劲射球擦门柱飞出球门
72'可惜停大了，停给了禁区弧顶的王佳玉                   71'第71分钟，上海上港前场发起围攻，王佳玉大禁区线上的一脚劲射球擦门柱飞出球门
72'王佳玉直接凌空一脚抽射，打偏                   71'第71分钟，上海上港前场发起围攻，王佳玉大禁区线上的一脚劲射球擦门柱飞出球门
73'多利前场右路拿球，王燊超身上放倒多利，犯规                   71'第71分钟，上海上港前场发起围攻，王佳玉大禁区线上的一脚劲射球擦门柱飞出球门
73'上港后场抢断，过度给到林创益                   71'第71分钟，上海上港前场发起围攻，王佳玉大禁区线上的一脚劲射球擦门柱飞出球门
74'林创益拿球强突，毅腾三人围抢，林创益将球一捅                   71'第71分钟，上海上港前场发起围攻，王佳玉大禁区线上的一脚劲射球擦门柱飞出球门
74'想利用速度强吃，结果球有点大了，被王敬平出来控制                   71'第71分钟，上海上港前场发起围攻，王佳玉大禁区线上的一脚劲射球擦门柱飞出球门
80'毅腾后场过顶球，阿多上来，力压多利将球顶回中线                   80'第80分钟，麦克布林前场从毅腾球员脚下拦截球成功后果断射门，球击中防守球员有所减速被毅腾门将得到
81'全场比赛80分钟了，比分1-0，李浩文进球，上港领先                   80'第80分钟，麦克布林前场从毅腾球员脚下拦截球成功后果断射门，球击中防守球员有所减速被毅腾门将得到
81'汪佳捷中场拿球，短传给到王佳玉                   80'第80分钟，麦克布林前场从毅腾球员脚下拦截球成功后果断射门，球击中防守球员有所减速被毅腾门将得到
81'王佳玉再直塞找林创益，许东侧方上抢，放倒林创益                   80'第80分钟，麦克布林前场从毅腾球员脚下拦截球成功后果断射门，球击中防守球员有所减速被毅腾门将得到
82'上港获得前场中路的任意球                   80'第80分钟，麦克布林前场从毅腾球员脚下拦截球成功后果断射门，球击中防守球员有所减速被毅腾门将得到
82'王佳玉任意球传至禁区右侧，第一点被毅腾球员解围                   80'第80分钟，麦克布林前场从毅腾球员脚下拦截球成功后果断射门，球击中防守球员有所减速被毅腾门将得到
83'韩旭前场中路拿球，斜传左侧找前插的罗德瑞格                    80'第80分钟，麦克布林前场从毅腾球员脚下拦截球成功后果断射门，球击中防守球员有所减速被毅腾门将得到
83'罗德瑞格左路拿球，单车强突傅欢                   80'第80分钟，麦克布林前场从毅腾球员脚下拦截球成功后果断射门，球击中防守球员有所减速被毅腾门将得到
83'可惜傅欢不吃晃，罗德瑞格只能选择回传了                   80'第80分钟，麦克布林前场从毅腾球员脚下拦截球成功后果断射门，球击中防守球员有所减速被毅腾门将得到
83'毅腾再次换人：20号韩德明上，换下6号韩旭                   80'第80分钟，麦克布林前场从毅腾球员脚下拦截球成功后果断射门，球击中防守球员有所减速被毅腾门将得到
87'林创益前场拿球，中路强突被王大龙放倒在地                   86'第86分钟，替补登场的林创益强行突破被毅腾后卫王大龙放倒，裁判掏出黄牌警告王大龙
87'王大龙被主裁判出示黄牌警告！！！                   86'第86分钟，替补登场的林创益强行突破被毅腾后卫王大龙放倒，裁判掏出黄牌警告王大龙
87'上港中前场任意球，可惜传球过大，直接被王敬平拿到                   86'第86分钟，替补登场的林创益强行突破被毅腾后卫王大龙放倒，裁判掏出黄牌警告王大龙
88'李健右路拿球，利用速度强行下底                   86'第86分钟，替补登场的林创益强行突破被毅腾后卫王大龙放倒，裁判掏出黄牌警告王大龙
88'可惜最后的传球不给力，直接出了底线，球落在网顶                   86'第86分钟，替补登场的林创益强行突破被毅腾后卫王大龙放倒，裁判掏出黄牌警告王大龙
88'下半场比赛进入尾声，比分还是1-0，毅腾还有机会客场拿分吗？                   86'第86分钟，替补登场的林创益强行突破被毅腾后卫王大龙放倒，裁判掏出黄牌警告王大龙
89'傅欢前场右路拿球，虚晃摆脱放铲的许东                   86'第86分钟，替补登场的林创益强行突破被毅腾后卫王大龙放倒，裁判掏出黄牌警告王大龙
89'傅欢拿球自己往中间靠，突然起脚打门，可惜踢飞了                   86'第86分钟，替补登场的林创益强行突破被毅腾后卫王大龙放倒，裁判掏出黄牌警告王大龙
48'上港队进攻，右边路的传中到禁区                   48'下半场3分钟伤停补时结束后，场上比分定格在1-0，上海上港主场艰难战胜哈尔滨毅腾
48'可惜麦克布林的前插跑太快，越位在先                   48'下半场3分钟伤停补时结束后，场上比分定格在1-0，上海上港主场艰难战胜哈尔滨毅腾
49'里卡多前场拿球，中路强突，禁区内面对伊班的上抢，倒在禁区啦                   48'下半场3分钟伤停补时结束后，场上比分定格在1-0，上海上港主场艰难战胜哈尔滨毅腾
49'主裁判马力鸣哨，看看怎么判                   48'下半场3分钟伤停补时结束后，场上比分定格在1-0，上海上港主场艰难战胜哈尔滨毅腾
49'马力吹罚了里卡多的假摔，送上黄袍一件                   48'下半场3分钟伤停补时结束后，场上比分定格在1-0，上海上港主场艰难战胜哈尔滨毅腾
50'下半场开始来看，毅腾进攻的人数上投入明显增加，但球员心态略显着急                   48'下半场3分钟伤停补时结束后，场上比分定格在1-0，上海上港主场艰难战胜哈尔滨毅腾
50'哎呀，李浩文，可惜了                   48'下半场3分钟伤停补时结束后，场上比分定格在1-0，上海上港主场艰难战胜哈尔滨毅腾
50'王燊超左边路拿球，横传给到李浩文                   48'下半场3分钟伤停补时结束后，场上比分定格在1-0，上海上港主场艰难战胜哈尔滨毅腾
51'李浩文禁区左上角和汪佳捷的2过1配合                   48'下半场3分钟伤停补时结束后，场上比分定格在1-0，上海上港主场艰难战胜哈尔滨毅腾
51'李浩文接到汪佳捷回传，强突                   48'下半场3分钟伤停补时结束后，场上比分定格在1-0，上海上港主场艰难战胜哈尔滨毅腾
51'面对出击的王敬平，小禁区脚上起左脚打门，打在边网上                   48'下半场3分钟伤停补时结束后，场上比分定格在1-0，上海上港主场艰难战胜哈尔滨毅腾
51'这球角度太小，不过机会确实不错                   48'下半场3分钟伤停补时结束后，场上比分定格在1-0，上海上港主场艰难战胜哈尔滨毅腾
